wavelength,Back_TanCaym,Belly_TanCaym,Breast_TanCaym,Crissum_TanCaym,Crown_TanCaym,DorTail_TanCaym,Patch10_TanCaym,Patch11_TanCaym,Patch12_TanCaym,Rump_TanCaym,Throat_TanCaym,WingTip_TanCaym
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,150.0,385.0,73.3333333331,216.666666667,313.333333333,330.0,253.333333333,270.0,213.333333333,260.0,390.0,230.0
179.16,81.1111333333,62.7778,78.8888666668,66.6666666666,41.1112000001,65.5555999999,78.8888666668,53.3333333334,17.7777333333,46.6666666667,31.1111333333,32.2222000001
179.54,87.4074666667,43.7037333333,62.9630000001,80.7407999999,68.8889333334,49.6297333333,62.9629333333,72.5926,45.1852,69.6296,62.2221333333,62.963
179.93,-46.6666666665,250.0,-33.3333333334,200.0,256.666666667,-36.6666666668,120.0,206.666666667,210.0,230.0,176.666666667,176.666666667
180.31,116.666666667,-1081.66666667,-78.3333333334,-286.666666667,-468.333333335,-228.333333335,-273.333333333,-356.666666667,-458.333333333,-636.666666666,-873.333333333,-418.333333334
180.69,-229.999999999,2398.33333333,116.666666666,660.0,953.333333333,556.666666668,446.666666665,753.333333333,969.999999999,1423.33333333,1886.66666667,996.666666667
181.07,315.000000001,-1020.0,68.3333333336,-173.333333333,-208.333333333,-75.0,-33.3333333334,-185.0,-309.999999999,-566.666666668,-821.666666667,-400.0
181.45,-84.4444666673,871.666599999,52.2222666668,223.333333333,267.777733334,191.111133333,219.999933333,254.444333333,311.111066667,542.2222,702.2222,387.7778
181.83,26.6668000001,355.9258,61.1112666667,133.333266667,137.407466667,112.592666667,123.3334,144.4446,124.814933333,239.2592,291.111133333,187.4074
182.21,72.6666666667,265.2222,77.3333333334,114.444333333,111.555533333,129.111,117.111133333,131.555466667,103.999866667,188.2222,215.555533333,152.888866666
182.59,81.6000000001,320.666666667,70.6666666667,106.4,120.0,132.266666667,130.666666666,161.866666667,100.8,214.933333333,247.733333333,170.666666667
182.97,307.7778,1291.66666667,201.111133333,374.4444,515.555533333,532.222133334,533.3334,665.5556,365.555466667,913.333333333,975.555533334,634.4446
183.35,203.555466667,587.3333,167.999933333,227.111,305.7778,287.111066667,272.888866667,350.2222,226.2222,456.8888,457.777666667,342.222133333
183.73,178.333333333,467.666666667,135.666666667,181.0,239.666666667,250.333333333,244.333333333,283.666666667,187.666666667,371.0,373.0,296.333333333
184.11,204.444466667,683.8889,106.666733333,196.111133333,286.111133333,317.777733333,333.888866667,359.9998,223.888933334,517.7776,517.2222,411.666733333
184.49,118.333333333,388.333333333,57.6666666666,114.333333333,162.666666667,179.666666667,205.666666667,205.666666667,123.333333333,297.333333334,293.333333333,213.666666667
184.87,126.9696,373.3334,70.3031333333,128.181733333,186.363533333,175.151533333,236.3638,226.363533333,126.0606,289.697,292.727333333,208.181866667
185.25,145.507266667,389.5652,84.3478000001,130.145,213.333333333,187.536266667,261.159533333,245.796866667,133.333533333,297.681266667,285.507133333,208.116066667
185.63,151.8182,412.878766667,94.5454000001,154.2424,223.0304,190.303,261.8182,278.4848,133.9394,309.697,303.0302,211.818266667
186.01,126.9048,330.476166667,83.8094666665,135.476133333,193.571333333,159.0476,214.523666667,230.000066667,130.9524,252.143,252.142866667,162.8572
186.39,158.823533333,489.607833333,83.5292666667,165.490266667,289.019666666,181.960733333,295.686333333,312.1568,170.588266667,350.196066667,398.823666667,208.2352
186.77,137.435933333,345.512833333,102.564133333,157.435733334,230.769266666,165.3846,234.102533333,233.589866667,155.8976,271.0256,310.256466667,174.102533333
187.15,86.2584666667,201.156433333,76.7346666667,105.170133333,134.83,103.945466667,133.061066667,137.9592,94.9660666666,151.564666667,178.5034,107.074733333
187.53,77.8948666667,180.058466667,71.1110666667,100.000066667,116.1404,95.3215333333,121.286466666,127.602266667,90.9941333333,133.3334,164.3274,94.8537999999
187.91,93.3333333331,221.869766667,74.7967333333,123.5772,145.0406,114.634133333,140.813133333,165.690933333,110.569066667,161.463266666,210.7316,110.4064
188.29,91.2821333333,190.1924,77.0512666667,118.461533333,137.051333333,105.3846,126.153866667,154.2308,112.435933333,148.9744,184.102466667,103.077
188.67,113.6,223.466666667,97.3333333333,143.466666667,166.0,137.066666667,150.133333333,186.533333334,146.4,180.4,208.666666667,140.8
189.05,130.387666667,247.131866667,106.976733333,155.348933333,177.5194,162.480533333,158.759533333,202.1706,173.798533333,204.030933334,230.3876,160.310066667
189.43,110.8332,189.226266667,92.9760666666,136.904733333,141.9048,133.9286,122.618866667,162.857133333,144.404666667,167.381,184.880933333,130.000066667
189.81,110.960533333,173.050833333,91.1864666666,124.180666667,132.090333333,134.463266667,116.7232,150.282533333,141.2428,159.435066667,175.3672,125.762733333
190.19,124.133333333,183.533333333,88.2666666667,137.866666667,142.8,146.0,130.133333333,166.266666667,148.533333334,181.2,192.533333333,143.866666667
190.57,113.439133333,156.613866667,88.1481999999,128.253866667,124.5502,137.671866667,117.883666666,145.820066667,133.862466667,159.470933333,162.645533333,130.687733334
190.95,105.8586,136.313033333,75.9596,116.969666667,106.565666667,125.050466667,98.4847999999,135.555533333,120.505066667,143.737466667,146.2626,121.111
191.33,110.196066667,136.1765,76.1766,118.529533334,108.725466667,126.6668,106.372666667,140.686333333,123.3332,146.568533333,148.333333333,126.9608
191.71,134.482733333,160.229866667,87.5862,137.5862,127.930933333,156.3218,125.057333333,166.4368,149.425533333,177.930933333,173.218333333,157.816066667
192.09,123.2848,146.280166667,87.4395999999,128.115866667,117.198066667,140.386533333,115.941933333,144.637733333,137.101466667,160.966266667,152.560533333,147.632933333
192.47,136.7232,163.446366667,99.2090000001,143.276666667,126.553666667,159.548066667,123.8418,164.180933333,152.881466667,183.276866667,169.2656,169.378466667
192.85,179.428666667,210.8572,117.3334,193.904733333,160.000066667,209.5238,151.8094,215.8096,201.142866667,252.761866667,244.952266667,220.952466667
193.23,202.3656,240.215066667,143.6558,230.322533333,183.870933333,228.8172,184.7312,253.978533333,224.301066666,294.6236,291.612933334,252.0432
