wavelength,Back_CorMelm,Belly_CorMelm,Breast_CorMelm,Crissum_CorMelm,Crown_CorMelm,DorTail_CorMelm,Patch10_CorMelm,Patch11_CorMelm,Patch12_CorMelm,Patch13_CorMelm,Rump_CorMelm,Throat_CorMelm,WingTip_CorMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,37.0833333333,83.3333333333,44.9479166667,12.5,-5.69444444446,42.5,33.3333333333,2.49999999999,40.0,10.8333333333,-36.6666666666,18.3333333334,34.5833333333
179.16,130.0001,180.0,73.0554166667,77.7777999999,86.6666666667,84.4443333335,150.0,57.7778,66.6666666667,-2.2220666668,-43.3331666667,102.2222,178.8889
179.54,53.5556333333,53.7778,43.7777833333,21.7778,28.8888888889,51.1111333333,41.6666666667,20.4444,27.1110666667,30.6668666667,8.22229999999,33.3334,34.6667
179.93,29.5237,55.7142,22.2619791667,30.4761333333,4.68245555558,36.1905333333,24.40475,12.8572,47.1426666667,21.9049333333,5.71436666668,25.238,12.8572
180.31,34.5185,86.3703333333,9.42605000001,-6.07393333334,8.64191111111,46.5185333333,41.85175,10.9628666667,20.7408,-6.81486666668,-52.0740333333,-24.5925333333,14.6666666667
180.69,28.9166666667,93.8333333333,0.94791666664,-24.8333333333,3.66666666668,49.1666666667,44.9999999999,4.83333333335,13.6666666666,-24.1666666667,-74.5,-41.1666666668,9.00000000006
181.07,22.6881666665,109.677533333,-13.6155875001,-34.4086666666,12.0430999999,49.6774,54.0323333333,4.08606666659,1.0753333334,-42.1505333333,-105.161366667,-72.4732,1.828
181.45,13.7333333333,128.8,-33.9833333334,-56.8000000001,10.5777777779,62.6666666667,46.9999999999,3.73333333334,0.26666666674,-49.3333333332,-136.933333333,-109.066666667,-8.0
181.83,-115.416666667,289.166666667,-244.375,-280.833333333,-75.8333333333,28.3333333332,4.16666666675,-63.3333333334,-105.833333333,-280.0,-553.75,-492.5,-97.5
182.21,67.5555333333,-110.6668,139.4165125,185.7778,35.3335111112,22.6665999998,30.55575,46.2223333333,96.8887999999,185.333466667,320.4445,289.7778,40.6666333332
