wavelength,Back_SpoCasm,Belly_SpoCasm,Breast_SpoCasm,Crissum_SpoCasm,Crown_SpoCasm,DorTail_SpoCasm,Patch10_SpoCasm,Patch11_SpoCasm,Rump_SpoCasm,Throat_SpoCasm,WingTip_SpoCasm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,168.888733333,71.1110666667,162.222266667,51.1111333333,64.4444,168.888933333,126.666666667,126.6666,64.4445333332,42.2222666666,80.0000333335
179.16,83.0769333333,69.2307333333,102.0514,84.6155333333,86.1537333333,106.6666,90.7691333334,91.7948666666,79.4872000001,68.205,78.2052666667
179.54,21.4815333333,34.8146,16.2963333333,8.14826666666,63.7037333333,5.1852,-13.3333333333,14.0740666667,25.9259333333,17.7778,29.2592666667
179.93,-36.6666666667,2.0,-5.33333333331,-34.6666666667,18.0,-12.0,-26.6666666667,2.66666666667,-6.00000000001,-4.00000000001,7.66666666666
180.31,-16.4227333333,17.0731333333,-19.0244666667,0.813,35.4470666667,-38.2112666667,-17.2357333333,-8.94313333335,26.1788,4.71546666664,23.1707666667
180.69,-9.07806666668,21.7020666667,-15.7445333334,8.08513333335,34.1843333333,-34.8935333333,-15.3191333333,-8.22686666667,26.9502666667,3.26246666666,24.1842666667
181.07,4.44433333332,29.3566,-0.701733333346,23.0410666667,40.8187333333,-17.0762,0.9356,5.26313333334,35.6724,5.26313333334,32.1635666667
181.45,13.3332666667,31.6129333333,11.9354,29.1399333333,47.7419333333,-3.97853333333,9.67746666668,10.3227333333,39.4624666667,7.95699999999,36.7740333333
181.83,15.6922,36.3078,16.6154,32.7179333333,44.7179333334,0.6154,16.3076666667,13.0256666667,39.1795333334,10.2564,39.2821333333
182.21,25.4545333334,42.1818666667,16.7272,42.4241999999,53.4546666667,1.5758,23.5150666667,14.4243333333,45.6970666666,13.091,48.1212333333
182.59,10.3545333333,23.546,-1.84393333332,34.7517333333,44.6809333333,-4.82259999994,11.2058666667,-5.95753333334,27.8014,-6.383,35.2482333334
182.97,8.59253333341,21.4816,-1.92593333334,30.074,41.6296666667,-8.29619999992,10.9631333333,-19.5555333333,15.5554666667,-10.2222,23.8518333333
183.35,13.8333333334,20.6666666667,-0.99999999998,30.6666666667,40.5000000001,-12.0000000001,4.16666666668,-35.9999999999,14.6666666667,-22.9999999999,21.0
183.73,15.2380666667,24.7618666667,2.5396,31.9048666667,40.3175333333,-9.2065333334,7.61900000001,-33.6508666666,23.0157999999,-17.3015333334,22.5395666667
184.11,3.41886666665,24.1025333333,-4.78633333334,24.9570666667,45.8120666667,-20.5128666668,0.854666666646,-44.1024666666,14.5298666667,-25.9829999999,22.7351666667
184.49,-3.20979999992,30.6171999999,-29.3827333333,23.7036666667,59.5062000001,-42.9628666666,-15.5554666667,-69.6297333333,19.2592666666,-48.8888,20.8643
184.87,-23.0769333333,5.64093333334,-40.7692666667,-1.53846666667,50.0,-48.9744,-26.4102000001,-82.5642,-0.512799999934,-63.3333333333,7.8206
185.25,-55.5556000001,11.6665333333,-72.7777333333,-52.7777999999,88.3333333334,-130.0,-56.6667333334,-188.333266667,-35.5555333334,-130.000133333,4.44446666672
185.63,12.9166666666,67.0833333333,10.8333333334,21.2500000001,120.416666667,-53.75,37.0833333333,-87.0833333334,36.2500000001,-33.75,65.6250000001
