wavelength,Back_CatHomf,Belly_CatHomf,Breast_CatHomf,Crissum_CatHomf,Crown_CatHomf,DorTail_CatHomf,Rump_CatHomf,Throat_CatHomf,WingTip_CatHomf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-83.3333333333,-46.6666666667,-110.0,-33.3333333333,-50.0000000001,-10.0000000001,-46.6666666667,16.6666666667,-6.66666666668
179.16,-226.666666667,-340.0,-426.666666667,-146.666666667,-160.0,-140.0,-340.0,-120.0,-253.333333333
179.54,-80.0,-166.666666667,-200.0,-59.9999999999,-93.3333333334,-120.0,-113.333333333,6.66666666674,-120.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-74.4445333335,-134.4446,-248.888933333,-42.2222000001,26.6665999999,15.5555333333,-99.9999333334,118.888866667,-6.66673333334
180.69,-120.0,-208.0,-337.333333333,-81.3333333334,-9.33333333314,6.66666666654,-178.666666667,105.333333333,-74.6666666668
181.07,-13.3333333332,-69.1666666667,-153.333333333,-17.5000000001,44.1666666665,48.3333333333,-55.0000000001,110.833333333,6.6666666666
181.45,29.4444000001,-7.7778,-55.0,16.1112,62.2223333333,54.9999333333,-3.3333333334,108.333466667,54.4444666667
181.83,65.6410666667,42.5640666667,-16.4102666667,53.3333333333,103.076866667,93.8460666667,45.1282666666,129.7436,92.3077333334
182.21,84.8147333333,74.0740666667,22.963,72.9630000001,115.5556,100.370466667,66.6667333333,124.814866667,101.8518
182.59,55.0000000001,57.0,23.3333333334,57.9999999999,91.6666666666,71.6666666665,54.0000000001,94.0000000001,79.0
182.97,53.6666666665,52.3333333333,25.6666666667,55.6666666667,83.3333333334,76.0000000001,56.3333333332,87.3333333334,75.6666666666
183.35,57.8948,49.1228,22.4560666666,51.2280666666,80.7017333334,73.3332666667,61.0526000001,79.9999999999,79.6492666667
183.73,78.0392000001,63.5293333333,31.3726000001,67.4508666666,101.176533333,96.4706000001,81.1765333332,96.8627333333,101.5686
184.11,94.7618,62.8572,18.5714666668,67.6189999999,109.999866667,90.0001333334,96.6666666666,101.4286,107.142866667
184.49,85.4901333334,69.0196000001,23.9215999999,70.9803999999,98.4313333333,83.1372000001,95.6862666667,86.2746000001,99.2155999999
184.87,80.6060666667,69.6968666666,29.3940666667,70.0000000001,92.7272,73.0303999999,92.7273333335,80.9091333333,101.818066667
185.25,64.5454666667,51.2123333333,12.1212666667,62.7273999999,85.4545333333,59.0909333333,77.2728,63.6364,92.4242666667
185.63,71.7460666665,57.1428666667,20.9524666667,70.7937333334,98.0951333334,69.2063333333,94.9206666669,69.2064666667,98.0953333333
186.01,54.6666666667,31.3333333333,7.00000000008,48.6666666667,78.3333333333,51.6666666668,69.6666666667,49.3333333333,84.3333333333
186.39,48.8,20.5333333333,11.2,33.3333333333,63.4666666667,46.1333333333,61.0666666667,43.2,78.4
186.77,67.4073333333,35.8024666666,27.4074000001,50.3702666667,76.0494666667,67.6543999999,77.5307999999,60.7408,88.3949333333
187.15,56.7618666667,37.3333333333,29.3333999999,43.6189333333,66.6666666666,57.1429333335,62.8571333334,47.4284666667,70.6666666667
187.53,52.8333333333,40.0,35.6666666667,48.1666666667,67.5000000001,56.8333333333,60.6666666667,49.1666666667,67.8333333333
187.91,48.7878,39.8485333333,37.7273333333,43.7878666667,64.3939333333,52.1211333333,59.697,45.909,65.1514
188.29,55.9183333333,52.2448666667,50.068,49.3877333333,71.2924666667,65.9865333333,66.8028,55.1019333333,73.4695333333
188.67,55.5555333333,48.6275333333,50.3268,43.2678666667,68.2352666666,64.5751999999,60.3922,52.6798,65.8824
189.05,54.9684666667,48.8051333333,50.5660666667,38.4905333333,66.1636,63.6478000001,61.6353333333,51.6981333333,61.1321333333
189.43,60.641,57.0513333333,59.9999333333,41.1539333333,71.282,69.1026000001,67.5640666667,57.0512,64.8717333333
189.81,60.1257333333,57.3584666667,61.2578666666,38.7422666667,68.9307333333,66.4152000001,67.7986666666,54.9685333333,62.6416000001
