wavelength,Back_LopPusm,Belly_LopPusm,Breast_LopPusm,Crissum_LopPusm,Crown_LopPusm,DorTail_LopPusm,Patch10_LopPusm,Patch11_LopPusm,Rump_LopPusm,Throat_LopPusm,WingTip_LopPusm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,35.5556,-18.8888333333,-4.44446666654,24.4445333333,22.2222000001,6.66679999986,-102.222133333,-44.4444666665,-13.3332666667,-95.5555999999,65.9259666667
179.16,-9.99999999986,-16.6666666666,7.57575757586,-6.6666666668,-86.6666666668,-6.66666666666,110.0,1.39983313829e-10,93.3333333334,-13.3333333332,-134.444444444
179.54,275.5556,287.777866667,328.889024243,226.666533333,240.0,308.888766667,282.222266667,237.7778,273.3332,231.111066667,285.555522222
179.93,293.333333334,286.666666667,368.939393939,271.666666667,205.0,225.0,278.333333333,303.333333333,363.333333333,470.0,302.5
180.31,-208.571466666,-537.619,-638.87430303,-214.2856,-210.476066666,-187.142733333,-558.095133333,-440.952333334,-507.618933333,-710.476133333,-182.539566667
180.69,-203.333333333,-572.5,-618.712121213,-210.000000001,-223.333333333,-208.75,-540.0,-433.333333333,-505.000000001,-654.166666666,-190.138888889
181.07,-404.444533334,-950.000033333,-962.121169696,-387.777933334,-424.444399999,-372.777766667,-807.777733333,-671.110999999,-805.555533333,-956.666666667,-372.963011111
181.45,-906.666733334,-2152.2223,-2151.91915152,-908.888933333,-1073.3332,-928.888866666,-1860.00006667,-1508.88886667,-1744.44433333,-2226.66673333,-934.814844445
181.83,-105.882266667,-325.490166667,-324.670412121,-101.5686,-134.901933333,-102.352966667,-267.843133333,-203.9216,-256.4706,-357.647,-83.5948000001
182.21,-67.0174666666,-275.965,-251.578909091,-43.1578666667,-98.2454666667,-62.4561,-207.7192,-155.438533333,-177.193,-255.438733333,-29.4735777778
182.59,-42.2222666668,-191.111066667,-167.146551515,-16.9443999999,-58.3334000001,-35.6944666667,-130.833333333,-95.0,-114.444533333,-175.555533333,-1.80554444448
