wavelength,Back_TacPhof,Belly_TacPhof,Breast_TacPhof,Crissum_TacPhof,Crown_TacPhof,DorTail_TacPhof,Patch10_TacPhof,Patch11_TacPhof,Rump_TacPhof,Throat_TacPhof,WingTip_TacPhof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,171.428466667,159.0476,174.7619,199.0476,158.571466667,180.952333333,177.142866667,156.190466667,204.761933334,189.5238,204.285766667
179.16,673.333333333,806.666666666,293.333333333,413.333333333,533.333333333,673.333333333,460.0,833.333333334,533.333333333,466.666666666,373.333333333
179.54,36.6666666669,183.333333333,-4.99999999986,26.6666666668,69.9999999999,160.0,1.39994682513e-10,193.333333333,1.39999656312e-10,-46.6666666667,66.6666666668
179.93,92.381,63.8094666667,120.952433333,90.4761999999,79.0476666667,53.3332666667,113.3332,84.762,105.714133333,98.0952666667,110.476166667
180.31,237.333333333,90.6666666661,777.333333334,376.0,250.0,178.666666667,373.333333333,182.666666667,553.333333333,585.333333334,458.666666667
180.69,443.333333335,-43.333333334,1840.0,706.666666666,408.333333333,266.666666668,660.000000001,236.666666665,1143.33333333,1293.33333333,1008.33333333
181.07,83.9999999998,178.0,-218.666666667,45.3333333335,63.6666666669,135.333333333,42.6666666664,92.0,-21.3333333335,-90.6666666667,-17.6666666666
181.45,11.4285999994,138.095200001,-392.857066667,-14.2857333332,-32.8571666666,84.7619333332,-14.2856666667,-9.5238,-146.666533333,-200.0002,-141.9048
181.83,51.5554666668,96.8887999998,-164.444333333,20.889,13.1110666666,76.0000000001,34.2222666667,27.1111999999,-14.2221333333,-39.5555333334,-39.5555666666
182.21,51.8840666665,81.7390666666,-96.0869666667,26.6667333333,32.0289666667,58.8404666667,49.2754,38.5507999999,24.6377999999,-11.0143999999,-6.37670000014
182.59,24.5162000002,53.7633333335,-77.3118666667,3.0106666666,16.6666666667,23.8710666666,32.6881333333,16.5591333334,9.67739999993,-16.1291333334,-9.2473
182.97,-0.53333333326,46.1333333331,-118.8,-24.0,-18.6666666667,1.33333333328,16.2666666666,-4.79999999994,-12.5333333333,-39.7333333333,-38.4000000001
183.35,-4.58333333346,27.2916666665,-95.1041666666,-35.6249999999,-14.4791666667,1.45833333332,18.3333333334,-7.91666666668,-3.75,-26.25,-38.0208333333
183.73,19.8638666666,36.5986,-39.5238,-10.0681333333,10.9525333333,28.7075333333,41.3605333333,14.1496666667,21.6326,10.7483333333,-4.62589999993
184.11,-1.8802,20.3417333334,-73.5042000001,-35.8973333333,-7.3505,21.8803333333,28.8888,-5.47006666666,2.56413333334,-7.17933333341,-27.8632333333
184.49,-12.1212000001,17.3738666667,-98.8889333333,-53.1312000001,-15.4544,31.9191333333,35.1514666666,-7.07066666668,1.61626666664,-13.1314,-34.9496666666
184.87,-27.1111333335,-9.33326666674,-130.333433333,-71.5555333333,-37.5554333333,27.9999333333,20.4444000001,-23.7777333333,-15.3334666665,-33.5555333333,-51.6666666667
185.25,-52.1428666666,-30.2380666666,-157.142833333,-90.4761333333,-57.5000333334,5.71426666658,9.52380000001,-36.4286000001,-42.8570666667,-53.0952666666,-77.5000333333
185.63,-70.5127333332,-42.3077333333,-185.3847,-112.3076,-71.1538999999,-2.0512666666,0.512866666734,-33.5898,-54.1025333333,-71.2820666667,-86.2820333333
186.01,-183.137133333,-142.352933333,-346.0785,-231.372533334,-182.9411,-84.7058666667,-67.0588,-136.8626,-170.588266667,-176.0786,-188.039133333
186.39,-122.456066667,-101.754333333,-272.982366667,-174.035066667,-144.912166667,-52.6316000001,-36.1404,-95.4385333333,-139.6492,-116.8422,-130.7016
186.77,-90.8770666665,-67.7193999999,-264.035,-147.719266667,-142.2806,-33.3333333332,-14.7368,-68.4209999999,-120.3508,-97.1930000001,-125.614
187.15,-15.3702666667,2.2222,-112.6852,-45.5556666666,-44.0741,14.2594,24.6295333333,0.925866666674,-34.2592,-15.9259333333,-30.5555666666
187.53,6.66666666672,40.0,-99.2708333335,-11.0416666667,-25.7291666667,46.875,57.5000000001,27.0833333333,-14.1666666666,13.125,1.25000000007
187.91,4.0476666666,55.9523333332,-107.9761,3.57133333327,-28.0952666667,46.4284666666,62.6190666666,44.7618666667,-2.38079999994,14.5238666667,8.69050000006
188.29,21.4140666667,70.7069333333,-73.8383333333,37.5758,-6.46470000001,48.8889333333,68.4848000001,59.1919333333,23.0303333333,38.3838666667,33.8383333333
188.67,53.5000000001,89.4999999998,-24.75,70.3333333334,24.3333333333,65.1666666667,80.3333333334,76.9999999999,53.3333333333,59.9999999999,66.0000000002
189.05,80.8080000001,134.141466667,-9.19196666667,93.5354,49.5959666667,90.1008666667,102.828266667,108.888866667,81.4141999999,88.6868666668,93.4342666666
