wavelength,Back_ChlNitf,Belly_ChlNitf,Breast_ChlNitf,Crissum_ChlNitf,Crown_ChlNitf,DorTail_ChlNitf,Patch10_ChlNitf,Patch11_ChlNitf,Patch12_ChlNitf,Patch13_ChlNitf,Patch14_ChlNitf,Rump_ChlNitf,Throat_ChlNitf,WingTip_ChlNitf
190.57,-256.727170635,-254.365166667,-215.97225,-221.131,-206.547666666,-253.670666667,-271.230083334,-248.8095,-235.3175,-230.45625,-206.25,-208.333333333,-229.861083334,-229.563416667
190.95,-289.182726191,-281.764041667,-243.939333333,-250.108166667,-239.28575,-285.064916667,-305.73575,-283.333333333,-262.445833333,-257.359416667,-232.575833333,-233.76625,-261.688416667,-258.766083333
191.33,-428.98234127,-413.318541666,-362.2025,-373.0655,-353.124916667,-421.726333333,-442.559416666,-421.27975,-392.112916667,-392.857166667,-349.107166667,-348.958416666,-387.946416666,-387.351333334
191.71,-415.225369048,-403.80125,-360.234083333,-363.157833333,-344.152,-412.719333334,-430.701833333,-413.74275,-380.4095,-381.43275,-343.420916667,-343.567166666,-379.824666666,-380.555583334
192.09,-395.033071429,-385.069458333,-352.083333334,-353.472333333,-331.388833333,-396.389,-411.666666667,-395.833333333,-353.889,-368.888833333,-331.388916667,-329.444333333,-360.0,-363.333416667
192.47,-458.226575397,-452.2435,-418.269083333,-423.077,-387.179583333,-469.391,-483.653833333,-467.948666667,-414.423083334,-430.609083333,-391.025666667,-390.544916667,-420.192333333,-420.031916667
192.85,-502.389170635,-489.149291667,-465.798583334,-469.618,-430.382,-524.131916667,-532.986083333,-516.6665,-447.39575,-473.263916666,-440.104083333,-445.659666667,-468.923583333,-459.895916666
193.23,-524.197746032,-512.4095,-490.579833334,-498.188333333,-454.891333333,-548.550833333,-555.253666666,-545.652166667,-453.079666666,-503.441916667,-467.028833333,-480.434666667,-482.6085,-483.333416667
193.61,-384.101289683,-371.236625,-359.274333333,-363.57525,-335.887083333,-399.327916667,-403.36025,-403.629083333,-322.311916666,-369.085833333,-349.999916667,-352.419333333,-367.069833334,-355.241833333
193.99,-458.058607143,-440.54475,-438.301333333,-433.974416667,-407.37175,-471.634583333,-479.006416667,-483.33325,-386.538416667,-445.3525,-424.359,-428.68575,-444.871833333,-425.801416667
194.37,-469.373015873,-467.166666667,-467.0,-448.666666666,-426.166666666,-488.333333333,-497.0,-499.166666667,-405.333333333,-467.5,-442.833333333,-451.5,-464.5,-446.333333333
194.75,-375.357785714,-377.937083333,-375.136583333,-361.33875,-334.016333333,-389.344166667,-392.349833333,-394.945416667,-322.814083333,-379.098416667,-357.10375,-354.781333333,-354.235166666,-353.142083333
195.13,-316.139369047,-327.559625,-322.142833333,-310.714333334,-284.642833333,-331.904916666,-329.40475,-337.261833333,-274.404666667,-326.90475,-306.904666667,-300.357083333,-298.571583333,-300.238083334
195.51,-313.702170635,-332.597958333,-326.838333333,-311.76475,-286.642083333,-327.94125,-328.9215,-340.56375,-277.08325,-327.818583333,-311.151916667,-300.49025,-297.1815,-304.53425
195.89,-396.745992064,-423.939375,-415.303166667,-392.727166667,-366.818083333,-413.181916667,-413.484833333,-436.060666667,-356.515083333,-428.939416667,-393.33325,-383.787833334,-384.999916667,-383.636416667
196.27,-373.341797619,-413.244166667,-394.642916667,-365.773916667,-350.892916667,-393.89875,-388.244166667,-417.857,-348.511916667,-415.476166667,-371.279916667,-365.02975,-372.619166667,-365.922583333
196.65,-290.27234127,-326.620333333,-310.0695,-284.6065,-285.416583333,-309.837916667,-301.967666667,-324.305583333,-278.47225,-328.935166667,-297.106416667,-287.152666667,-294.79175,-290.50925
197.03,-318.806936508,-367.739833333,-346.212166667,-319.065583334,-319.697,-344.949416667,-333.964666667,-353.282666667,-314.646416667,-362.5,-334.469583333,-313.762583333,-326.262583333,-327.272916667
197.40,-321.541924603,-365.145625,-348.809416667,-312.6985,-321.825333333,-346.560833333,-334.524,-349.338583333,-316.402166667,-358.465583334,-336.508,-312.566,-324.867833333,-330.42325
197.78,-454.227095238,-510.326,-481.703,-436.413083333,-455.0725,-487.862333333,-472.46375,-488.40575,-442.210166667,-502.355,-478.985583333,-443.115916667,-439.493,-461.05075
198.16,-580.705599206,-656.86925,-611.036083333,-554.955,-583.783583333,-633.10825,-596.171333333,-630.18025,-555.630666667,-649.099166666,-616.216333333,-564.6395,-558.33325,-585.360416666
198.54,-771.072765873,-854.885041667,-790.804416667,-722.988416667,-782.471166667,-851.436916666,-792.816,-831.32175,-717.24125,-848.56325,-809.482583333,-755.747083333,-739.942416667,-768.390833333
198.92,-1329.80850397,-1465.68629167,-1362.74516666,-1249.50966666,-1381.37258333,-1464.70591667,-1390.19633333,-1437.25483334,-1229.41158333,-1476.96066667,-1423.03933334,-1334.804,-1305.8825,-1349.50966666
199.30,-3226.07711508,-3532.14279167,-3348.80958333,-2992.85725,-3374.99991667,-3594.04766667,-3401.1905,-3453.5715,-3025.00008333,-3580.9525,-3476.1905,-3289.28566667,-3208.33325,-3307.14291667
199.68,-955.365757937,-1038.58691667,-985.507250001,-877.174000001,-1012.319,-1073.91308333,-1008.33333333,-1009.78266667,-882.608750001,-1050.0,-1039.13041667,-971.014583334,-971.014333333,-953.260916666
200.06,-629.119928572,-677.696083333,-644.607833334,-576.960833333,-678.18625,-711.274583333,-674.019666666,-663.235416667,-569.1175,-682.84325,-701.715666667,-657.598,-623.529333333,-636.0295
200.44,-3853.10850397,-3981.25004167,-3929.16658333,-3566.66658333,-4175.0,-4376.38891666,-4095.83325,-4051.38875,-3477.778,-4098.61108333,-4308.33325,-4050.0,-3783.3335,-3911.111
200.82,1394.63117857,1430.39204166,1401.47075,1278.9215,1493.62758334,1567.15683334,1473.03916667,1476.47058333,1265.68641667,1472.05875,1527.94116667,1465.68641667,1355.39208333,1412.74516666
201.19,855.75390873,872.916625,857.440583334,788.988166667,915.178583334,957.738083334,901.488166667,916.369083334,775.892666667,906.845083333,924.404666668,909.523833334,838.095416667,869.047666666
201.57,776.958642857,800.268791666,795.698916667,745.430083333,848.387166667,885.215,833.871,842.204416667,724.1935,844.623583333,844.892416666,836.290333333,785.752583333,791.935666666
201.95,1375.98040079,1432.84329166,1466.17658333,1326.47058333,1512.25483333,1575.98033334,1471.07858333,1483.82341667,1289.21566667,1506.37258333,1487.255,1511.76475,1420.09808333,1413.72541667
202.33,1187.19705555,1222.80695833,1281.14033333,1157.89475,1309.21066667,1365.78958333,1278.50883333,1279.386,1113.15791667,1286.40341666,1299.56125,1323.24558333,1242.54391667,1232.456
202.71,2494.88540079,2498.611125,2733.33333333,2427.77775,2714.81466667,2837.037,2649.07408333,2661.11108333,2359.25916667,2671.29633333,2746.29633333,2747.22208333,2618.51858334,2608.33333333
203.09,2219.68253968,2208.33333333,2469.16666667,2163.33333333,2419.16666667,2528.33333333,2330.0,2380.0,2114.16666666,2353.33333333,2459.16666666,2478.33333334,2368.33333333,2330.0
203.47,947.437007938,937.326291667,1052.77791667,936.805583334,1032.98608333,1072.91675,987.152666666,1015.27775,890.972166667,1002.77775,1051.04158333,1085.0695,1002.43058333,997.222166667
203.85,740.091765873,722.786458333,829.166666667,743.489583333,808.333333333,840.885416667,759.114583333,784.375,704.6875,789.0625,817.708333333,861.458333333,769.53125,786.71875
204.22,477.419035714,461.21775,536.05775,481.891083333,519.7115,544.070583333,479.647416667,500.480833334,460.577083334,508.49375,523.237083333,544.551333333,502.243416667,501.28225
204.60,547.375480159,526.893791667,615.71975,550.000083333,590.71975,612.87875,544.697,562.87875,528.030333333,584.090916666,601.894,616.0985,572.916666667,571.591
204.98,793.494904762,760.863166667,905.059749999,803.869,870.238166666,896.428666667,778.571416667,803.5715,758.630916667,852.97625,896.131083332,908.333333333,843.15475,836.904916667
205.36,756.560873016,715.83325,860.000083333,763.333333333,835.000083333,852.222333333,737.22225,752.77775,731.111166667,805.277916667,859.4445,862.500083334,800.833333333,802.222166667
205.74,957.401599206,889.492708333,1071.377,956.159416668,1058.69566666,1088.04341667,917.391249999,963.043333333,923.550750001,1017.75358334,1103.62325,1088.76808333,1033.33333333,1015.21733333
206.12,738.943519841,679.453958333,816.95425,746.55175,831.321916667,848.850666667,708.045916667,745.114833333,720.689583333,793.965583333,860.9195,831.034416667,805.172416667,771.839083333
206.50,777.895531746,716.358041667,849.38275,795.987583333,887.654333333,884.259166667,756.172666667,773.45675,760.802583333,839.814916667,907.098833333,889.197583333,833.02475,821.29625
206.87,1060.49388492,981.481583333,1174.53708333,1117.12983334,1246.29633334,1237.037,1035.64825,1057.8705,1036.111,1173.61116667,1255.09266667,1249.07408334,1146.29633333,1124.53708333
207.25,2281.79563492,2086.97916667,2480.20833334,2380.20833333,2692.70833334,2689.58333333,2188.54166667,2221.875,2240.625,2528.125,2669.79166666,2635.41666666,2420.83333333,2387.5
207.63,-3407.85714286,-2987.5,-3556.66666667,-3415.0,-4016.66666666,-4041.66666667,-3133.33333334,-3220.0,-3311.66666667,-3750.0,-3958.33333333,-3780.0,-3576.66666667,-3530.0
208.01,-5240.6084881,-4513.888875,-5380.55566667,-5277.77783333,-6258.33325,-6347.22225,-4875.00008333,-5072.22216667,-5022.22225,-5863.88883333,-6150.0,-5841.66675,-5719.4445,-5547.22233334
208.39,-900.074404763,-755.208333333,-931.770833334,-893.75,-1097.39583333,-1083.33333333,-820.833333333,-844.270833333,-846.354166667,-1006.77083333,-1051.04166667,-1000.0,-1002.08333333,-952.083333334
208.77,-1556.87836111,-1269.90729167,-1614.81483333,-1585.18508333,-1940.74066666,-1887.96308333,-1406.4815,-1480.5555,-1479.62966667,-1734.25925,-1811.11116667,-1777.77783333,-1745.3705,-1655.5555
209.14,1705.73189286,1341.20366667,1774.07408333,1723.14825,2053.70358333,2003.70366667,1557.40725,1638.889,1619.44441667,1838.88891667,1886.111,1877.77766667,1860.18533333,1785.18516667
209.52,7397.61904762,5514.58333334,7612.5,7408.33333334,8716.66666667,8337.5,6475.0,7029.16666667,6866.66666666,7825.0,7991.66666667,7945.83333332,7825.0,7495.83333333
209.90,1055.04537302,774.107166667,1102.97616667,1058.33333333,1241.66658333,1145.83325,922.023833332,975.595166667,983.33325,1082.738,1117.26183333,1141.0715,1097.61908333,1083.33333333
210.28,978.174603175,683.610916666,1035.0,987.777749999,1132.22216667,1040.55558333,833.333333334,917.222083334,903.333333333,997.777749999,1012.22208333,1065.00008333,1008.33333333,1013.33341667
210.66,1461.58730158,989.166666668,1559.16666667,1488.33333334,1652.5,1506.66666667,1157.5,1375.83333333,1349.16666667,1484.16666667,1470.83333333,1545.0,1529.16666666,1461.66666667
211.03,700.238095237,466.458333333,745.0,717.5,822.916666667,705.416666667,542.916666666,669.583333333,671.666666667,715.833333333,725.0,769.583333334,745.0,716.666666667
211.41,587.764396825,384.027666667,643.40275,619.791583333,694.09725,592.361083334,470.138916667,569.09725,562.152833333,609.028,621.52775,668.402833333,645.48625,611.111083333
211.79,395.216587301,283.78375,456.5315,443.693666667,481.306416667,406.982083333,339.864916666,400.900833333,388.063,420.946,433.108166667,471.3965,443.4685,413.73875
212.17,337.88825,249.547041667,387.8625,374.63775,404.89125,342.7535,291.66675,327.898416667,330.797083333,353.261,367.21,393.297083333,365.579833333,343.116083333
212.55,330.216476191,256.510375,384.02775,373.95825,398.611083333,344.791583333,290.97225,329.687416667,332.46525,345.138833333,367.01375,391.145833334,353.819416666,341.146
212.92,434.427309524,344.707333334,500.675666666,484.684666666,519.144,445.495416667,380.18025,424.77475,438.06325,456.756833334,478.828833333,506.081083333,464.18925,444.819833334
213.30,844.841269842,683.59375,1004.16666667,986.458333334,1070.83333333,901.041666667,727.083333332,830.208333333,878.124999999,928.125,996.874999998,1061.97916667,927.083333333,893.75
213.68,1741.61005952,1377.38091667,2067.85716667,2038.09516667,2258.33333333,1886.90483333,1484.52375,1717.85716667,1744.04766666,1919.04766666,2116.66666666,2267.85708333,1916.66658333,1865.47633333
214.06,1072.02383333,862.847333333,1290.27758333,1252.77775,1378.47225,1153.47225,910.416583334,1054.86116667,1066.66675,1183.33325,1284.72225,1377.77791667,1150.69433333,1156.94458333
214.44,556.2665,459.722208333,666.66675,633.680666667,710.763916666,595.138833333,464.583333333,540.277666666,550.0,617.708333334,664.9305,717.361083333,602.4305,602.430583333
214.81,364.693611111,307.754541667,437.037166667,413.657333333,477.777833333,402.77775,313.426,355.324083333,365.27775,406.4815,442.592583333,482.407416667,407.4075,401.157333333
215.19,437.407376984,367.500083333,523.333333333,492.5,560.0,485.0,372.77775,429.444416667,419.4445,471.944333333,519.722166667,565.0,477.77775,468.055666666
215.57,400.396849206,337.5,480.913916667,449.193666667,520.430083333,442.741916667,328.763583333,405.3765,381.451833333,427.1505,473.387083333,522.31175,432.526916667,430.3765
215.95,462.06647619,385.648291667,547.53075,508.641916667,597.22225,504.93825,371.605,457.715916666,457.09875,492.90125,535.802583334,591.358083333,512.34575,506.481416667
216.32,699.08234127,561.197916667,846.354166668,779.6875,924.479166668,767.1875,522.395833334,701.041666667,711.979166667,729.166666667,816.666666667,926.041666665,797.916666667,785.9375
216.70,682.275198412,501.666791667,809.999916666,767.777666666,889.444416667,717.777833333,468.888916667,669.444333334,674.444333333,693.888666667,778.888999999,921.66675,775.0,751.666666667
217.08,1298.6962381,901.1905,1583.33325,1489.28566667,1742.85716667,1459.52375,872.619000001,1314.28566667,1266.6665,1302.38083333,1457.143,1842.85716667,1501.19033333,1401.19033334
217.46,463.716480159,323.913,543.115916667,488.767916667,575.0,487.318833333,327.174,450.724666666,439.130583333,440.2175,483.333416667,607.60875,525.724833333,463.405666666
217.83,1263.09523809,890.625,1540.625,1329.16666666,1579.16666667,1383.33333334,880.208333333,1232.29166667,1215.625,1236.45833333,1315.625,1662.5,1467.70833333,1201.04166667
218.21,-4413.49206349,-2995.83333334,-5391.66666667,-4579.16666667,-5454.16666666,-5012.5,-2816.66666667,-4279.16666666,-4320.83333334,-4404.16666666,-4525.0,-5816.66666667,-5191.66666667,-3891.66666666
218.59,-532.119611111,-378.431375,-617.156916667,-548.529333333,-638.235333333,-594.117583333,-346.078416667,-508.8235,-530.882416667,-506.86275,-550.490333333,-673.03925,-604.901916667,-474.509833333
218.97,-254.773507937,-176.4705,-299.754916666,-269.117583333,-303.676333333,-297.05875,-170.833333333,-254.166666666,-259.06875,-243.382333333,-266.176333333,-321.078333333,-280.392083333,-232.353166667
219.34,-352.175222222,-273.91975,-412.963,-382.407333333,-429.321166667,-418.518666667,-264.50625,-353.703666666,-367.284083333,-351.543166667,-365.432083333,-448.765416667,-394.444416667,-344.135666667
219.72,-555.092484127,-457.407458333,-659.25925,-628.703666667,-681.018666667,-668.981416666,-433.796333333,-559.25925,-567.592416667,-554.629583333,-575.462916666,-730.555583333,-630.555666666,-554.166583333
220.10,-228.501984127,-168.854166667,-260.833333333,-261.666666667,-277.5,-277.708333333,-161.458333333,-234.166666667,-215.208333333,-218.541666666,-229.375,-301.25,-253.125,-214.166666667
220.47,-256.700611111,-185.118958333,-285.714166666,-289.523666666,-305.714166667,-313.80975,-178.33325,-271.666666667,-227.857166667,-244.2855,-244.761833333,-331.904666667,-282.142833333,-234.761833333
220.85,-232.215980159,-173.026416666,-263.377166667,-258.552583333,-277.851,-295.39475,-169.078916667,-255.701833333,-213.5965,-226.754416667,-216.228,-296.0525,-259.649083333,-218.859583333
221.23,-205.621765873,-162.2025,-233.729916667,-231.547666667,-252.579333333,-252.182583333,-149.40475,-225.39675,-189.484,-197.817416667,-198.214333333,-261.706416666,-235.317333333,-210.912666667
221.61,-142.61768254,-109.841958334,-161.063166667,-169.109166666,-176.00575,-174.28175,-102.155166667,-159.626333333,-124.281666667,-135.057416666,-132.902166667,-174.85625,-157.61475,-145.40225
221.98,-195.893265873,-159.883708334,-209.689916667,-237.9845,-247.6745,-249.031,-147.093,-223.4495,-186.240416667,-184.496083333,-186.24025,-251.550333333,-230.426166667,-212.403
222.36,-205.260345238,-162.403125,-209.689916666,-253.100833333,-259.302333333,-251.356666666,-155.232416667,-228.876,-190.69775,-184.88375,-201.162833334,-267.829416667,-238.37225,-223.255916667
222.74,-152.870619048,-103.191333333,-152.482166667,-200.532,-203.014333333,-200.88675,-110.638166667,-181.56025,-135.461083333,-131.737583333,-143.085083333,-217.553166667,-178.368666666,-166.312083333
223.11,-141.88625,-88.9182083333,-139.184416667,-189.538916667,-193.617,-190.602916666,-95.0355,-171.808416667,-127.127666667,-121.09925,-129.255416667,-196.985833333,-165.425583333,-151.241166667
223.49,-121.039238095,-61.5566666666,-110.849,-157.232666667,-153.459,-157.2325,-66.5094999999,-144.339666667,-116.823666667,-99.5282500001,-103.1445,-158.805,-137.264166667,-122.79875
223.87,-86.9373769842,-38.0137916667,-71.57525,-109.018,-102.511416667,-113.470416667,-46.4611666667,-101.9405,-89.3835,-72.9451666666,-71.347,-104.452,-95.4338333334,-86.4154999999
224.24,-91.6056706347,-39.166625,-77.5641666667,-117.1795,-107.05125,-118.4615,-47.9486666667,-107.051333333,-96.2821666668,-77.8204166667,-74.7436666666,-109.359,-107.563916667,-93.5898333335
224.62,-61.4764444445,-23.1061666667,-50.66275,-80.5871666666,-72.15925,-74.90525,-31.34475,-71.4961666667,-65.62525,-52.5566666667,-50.8523333333,-76.9886666667,-74.9054166666,-61.0795
225.00,-46.2358849206,-15.8171666667,-33.2524166667,-63.4303333333,-54.61175,-55.906,-21.602,-55.0161666667,-48.5435833333,-38.754,-41.4239166667,-58.00975,-61.8931666667,-43.1230833333
225.38,-47.4126984128,-13.8333333333,-33.4166666667,-67.3333333332,-49.4166666667,-58.75,-21.75,-56.0,-49.0,-39.0,-41.0833333333,-59.0,-61.0,-38.9166666667
225.75,-64.7088849206,-28.6573333333,-47.5,-85.0926666666,-63.5184166667,-78.3334166667,-35.1851666667,-75.0925833333,-67.1296666667,-55.9258333333,-61.2034999999,-78.9814166667,-83.7965833333,-57.59275
226.13,-71.6986031745,-39.0894583333,-55.0686666667,-89.3470833333,-64.4330833333,-76.4605833333,-43.2989166667,-81.4433333332,-71.1341666667,-61.5978333333,-67.0103333334,-80.4123333334,-85.739,-59.8798333333
226.51,-66.6004007937,-40.933625,-53.4720833333,-80.4012500001,-56.9444166666,-70.75625,-41.5125,-77.9321666666,-64.5059166667,-62.1914166667,-63.1945,-77.1604999999,-82.09875,-53.6265833333
226.88,-64.8499404763,-45.7300416667,-55.2343333334,-78.3059166667,-55.3031666667,-68.1128333333,-43.7328333333,-75.2754166667,-66.1156666667,-65.2893333333,-66.59775,-74.2423333333,-85.124,-54.6144166667
227.26,-54.7677261905,-43.173625,-48.5815833333,-67.02125,-45.8036666667,-56.501,-38.5933333333,-62.2930833333,-55.6145,-55.43725,-59.0425833333,-66.72575,-70.7446666667,-49.409
227.64,-44.273686508,-36.0101666667,-37.2725833333,-52.4746666667,-34.596,-44.4949166667,-30.2525,-49.8484166667,-40.4545,-44.0909166667,-47.7271666667,-53.4849166667,-56.26275,-37.8789166666
228.01,-53.2720238095,-45.7822083333,-44.9386666667,-58.0266666667,-42.7915,-47.8526666667,-35.685,-54.1410833333,-46.77925,-50.1023333333,-54.95925,-60.2761666667,-64.62175,-42.5869166667
228.39,-60.995281746,-55.3572916667,-50.6943333333,-64.0378333333,-51.4385833333,-54.2163333333,-44.34525,-60.8631666667,-51.5873333333,-56.34925,-62.59925,-68.60125,-68.70025,-47.4205
228.76,-71.1546825397,-70.3762083333,-62.47325,-75.8063333333,-62.9034166666,-65.6990833334,-54.35475,-73.387,-61.4516666666,-67.3655833333,-74.6238333333,-79.0860833334,-81.88175,-59.94625
229.14,-74.7078333333,-73.543,-66.7690833333,-80.2146666666,-68.55825,-68.7116666667,-58.48675,-77.2496666667,-66.25775,-69.7341666667,-77.914,-82.2084999999,-83.3845,-64.0593333333
229.52,-76.7376349206,-76.45475,-68.8363333333,-79.2406666667,-70.8579166666,-69.1320833333,-61.292,-80.8678333333,-68.2938333333,-70.9565833333,-79.0925833334,-84.0729166667,-86.1440000001,-67.40625
229.89,-56.5138888889,-58.2708333333,-49.9583333333,-59.2916666667,-52.6666666667,-50.7083333333,-45.1666666667,-60.9166666667,-50.2083333333,-53.1666666667,-58.5,-65.125,-66.0,-49.9166666667
230.27,-49.8496746032,-49.8831666667,-43.3410833333,-51.8300833333,-46.88475,-43.1075833333,-38.201,-52.9205833333,-42.7570833333,-45.87225,-51.3240833334,-57.0484166667,-57.944,-43.4189166667
230.65,-44.1306150794,-45.1010416667,-38.1451666667,-44.2469166667,-41.8410833333,-37.2036666667,-33.0545,-46.304,-37.5520833333,-39.15625,-45.71125,-49.9301666666,-50.244,-38.3195833333
231.02,-43.9794246032,-45.6626666667,-38.2171666667,-43.8865833334,-42.6229166666,-36.3046666667,-32.9234166666,-45.1503333333,-36.6803333333,-37.6708333333,-44.0916666667,-49.1804166667,-48.224,-37.2609166667
231.40,-49.6115674603,-49.17725,-41.8066666667,-46.2185,-47.129,-41.3865833334,-38.16525,-49.1246666667,-41.3865833334,-42.1219166667,-48.2845,-53.7464166667,-55.0069166666,-40.6163333333
231.78,-63.2380476191,-62.46125,-56.5030833333,-61.176,-61.9548333333,-54.6728333333,-54.2055833333,-62.2275,-56.61975,-56.542,-61.7600833334,-69.4313333333,-70.8330833333,-54.4781666667
