wavelength,Back_ChlNitf,Belly_ChlNitf,Breast_ChlNitf,Crissum_ChlNitf,Crown_ChlNitf,DorTail_ChlNitf,Patch10_ChlNitf,Patch11_ChlNitf,Patch12_ChlNitf,Patch13_ChlNitf,Patch14_ChlNitf,Rump_ChlNitf,Throat_ChlNitf,WingTip_ChlNitf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,227.876984127,207.03125,196.875,219.791666667,173.958333333,196.354166667,206.770833333,188.020833333,223.958333333,183.854166667,196.354166667,180.729166667,166.145833333,195.3125
179.16,-713.756448413,-705.555541667,-638.889083333,-691.666666667,-658.333416666,-619.444333334,-766.666666667,-563.888916667,-830.555666666,-647.22225,-716.666666667,-630.555666666,-547.22225,-697.222083333
179.54,161.508055556,141.388791666,145.555333333,149.999916667,132.777666667,126.66675,146.111083334,133.333333333,165.0,136.66675,148.888916667,147.77775,123.333416667,151.666666667
179.93,279.761904762,228.645833334,269.791666667,294.791666667,198.958333333,223.958333333,255.208333333,246.875,326.041666666,241.666666667,242.708333333,246.875,235.416666667,252.083333333
180.31,1463.29355953,1392.85716667,1301.19066667,1394.04758333,1108.92866667,1211.90475,1445.83325,1277.97616667,1488.09533334,1270.23816667,1222.61916667,1270.23816666,1154.16675,1335.71408333
180.69,1845.17192857,1759.375,1622.91658333,1746.52775,1386.11116667,1511.8055,1815.97225,1631.94441667,1865.27766667,1590.27783333,1506.9445,1603.47225,1438.889,1669.44458334
181.07,-4072.77777778,-3934.16666667,-3608.33333333,-3905.0,-3068.33333334,-3323.33333333,-4076.66666667,-3680.0,-4175.0,-3543.33333333,-3261.66666666,-3598.33333334,-3208.33333334,-3695.0
181.45,10465.0793651,10145.8333333,9329.16666666,9958.33333333,7862.5,8633.33333334,10408.3333333,9695.83333333,10633.3333333,9133.33333334,8279.16666667,9125.00000002,8370.83333334,9279.16666666
181.83,-1137.12511508,-1151.388875,-1018.51841667,-1087.96291667,-841.666666666,-949.999916667,-1150.00008333,-1078.24075,-1153.24075,-994.444583333,-880.092499998,-975.925999998,-918.055666667,-998.148083333
182.21,-965.40059127,-1005.35708333,-850.793583334,-910.714166667,-730.158666667,-820.634999999,-994.047500001,-930.952249999,-962.3015,-845.238166667,-751.1905,-818.253833334,-774.206333333,-851.587499999
182.59,-1462.13142461,-1538.69054167,-1298.8095,-1354.76191667,-1098.21433333,-1236.905,-1499.40466667,-1426.78583333,-1433.92833333,-1260.71416667,-1130.95233333,-1216.66658333,-1190.47633333,-1287.5
182.97,-2005.69992857,-2083.712125,-1790.909,-1843.18183333,-1522.72725,-1672.72708333,-2028.78791667,-1929.54541667,-1965.1515,-1735.60608333,-1571.96966666,-1663.63633333,-1662.87883333,-1759.091
183.35,-7459.12707936,-7813.88895834,-6738.88891667,-7030.5555,-5722.22233333,-6377.77775,-7511.11116667,-7186.11108334,-7280.55541666,-6544.44441667,-6002.77783333,-6202.77775,-6347.22241667,-6505.5555
183.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.11,-2625.29761905,-2832.8125,-2427.08333333,-2567.70833333,-2036.45833333,-2372.91666667,-2692.70833333,-2571.875,-2586.45833333,-2360.41666667,-2130.20833333,-2222.91666666,-2312.5,-2314.58333333
184.49,-741.921765873,-801.637,-696.726333333,-725.297583333,-571.726166667,-668.154833333,-769.642916667,-728.571416667,-728.571583333,-673.214416667,-605.0595,-632.4405,-646.726083333,-647.321416667
184.87,-746.074265873,-810.863,-698.511916667,-740.1785,-576.78575,-689.285666666,-780.059583333,-736.607166667,-727.678416667,-688.988166666,-626.1905,-644.642916667,-671.130833333,-658.035666667
185.25,-496.478174603,-546.979166666,-473.333333333,-484.375,-376.458333334,-461.875,-518.958333333,-495.833333333,-477.916666667,-464.583333333,-425.833333333,-423.958333333,-448.541666667,-444.166666666
185.63,-350.887357143,-386.51525,-335.303,-338.9395,-256.818166667,-326.81825,-366.666666667,-350.151583333,-328.484916667,-327.424166667,-292.727166667,-297.878833333,-318.636333333,-318.636416667
186.01,-379.960400794,-404.567291667,-353.365416667,-362.019166667,-275.320416667,-355.769333333,-390.545083333,-376.442333333,-355.76925,-355.12825,-314.102583333,-321.955166667,-341.346083333,-345.673
186.39,-386.133694445,-406.367958333,-358.962416667,-366.037666667,-278.45925,-362.10675,-394.496916667,-378.144666667,-362.264166666,-362.893,-319.339666667,-336.320916667,-345.44,-352.673
186.77,-282.629019841,-296.068125,-258.215916667,-266.901333333,-198.591583334,-265.962416667,-290.023333333,-272.8875,-266.197333334,-268.5445,-232.04225,-248.591666667,-249.061083333,-254.694916667
187.15,-220.090511905,-237.257666667,-203.197666667,-208.236333333,-160.271416667,-216.860333333,-234.980583333,-218.217,-205.91075,-209.496083333,-182.3645,-196.996166667,-194.47675,-198.25575
187.53,-204.576515873,-217.617666667,-179.80075,-189.130333333,-147.282666667,-200.000083333,-218.931166667,-201.177666667,-189.402166666,-191.485583333,-166.847833333,-180.163,-174.4565,-183.333166667
187.91,-182.713138889,-190.048583333,-154.611583333,-162.297666666,-127.588916667,-173.6245,-193.203916666,-178.721666666,-166.828583333,-166.343,-147.6535,-158.00975,-152.265333333,-161.00325
188.29,-200.938011905,-202.399,-170.706833333,-174.494916667,-141.498416667,-189.394,-210.016833333,-193.855333333,-181.39725,-181.9865,-165.067416667,-172.390416666,-167.255833333,-178.03025
188.67,-224.085936508,-220.786583333,-185.2995,-186.891333333,-158.33325,-210.861333333,-229.494416667,-215.543083333,-198.689166667,-202.809083333,-179.306916667,-185.393166667,-186.048583333,-198.689
189.05,-204.777952381,-202.735625,-171.885416667,-167.42425,-147.895583333,-193.5185,-209.68,-195.875416667,-186.363666667,-183.67,-163.215416667,-165.235583333,-169.612583333,-181.986583333
189.43,-288.836746032,-287.335375,-241.557,-243.20175,-218.20175,-278.6185,-300.877166667,-274.671,-269.298333334,-259.42975,-228.179833333,-237.500083333,-240.679833333,-259.649
189.81,-272.045952381,-271.24475,-224.89725,-231.070083333,-209.876583333,-264.917583333,-284.670666667,-257.4075,-255.555666667,-244.135833333,-216.666666666,-225.308833333,-227.469083334,-245.679083333
190.19,-271.379559524,-268.364,-225.103,-233.641833334,-212.24275,-263.271583333,-283.847666667,-257.613,-250.514583334,-244.135833333,-220.679083333,-222.119416667,-229.8355,-243.004083333
