wavelength,Back_ConCinm,Belly_ConCinm,Breast_ConCinm,Crissum_ConCinm,Crown_ConCinm,DorTail_ConCinm,Patch10_ConCinm,Patch11_ConCinm,Rump_ConCinm,Throat_ConCinm,WingTip_ConCinm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,670.833333333,250.0,666.666666666,641.666666666,458.333333333,425.0,175.0,433.333333333,650.0,416.666666667,408.333333333
179.16,199.40475,86.90475,176.190333334,171.428416667,144.047666667,173.809583334,123.809583333,138.09525,153.571416666,145.238166667,111.904666667
179.54,745.833333333,583.333333333,966.666666666,366.666666667,400.0,591.666666667,616.666666666,408.333333333,658.333333333,550.0,325.0
179.93,5.95241666667,-21.4285,-91.6667499999,-8.33333500003e-05,-57.1429166667,-26.1904166667,-26.1905,-25.0000833333,-42.8570833333,-27.381,13.09525
180.31,-1201.04166667,-316.666666667,-1464.58333333,-1037.5,-1054.16666667,-902.083333332,-847.916666666,-785.416666666,-962.499999999,-877.083333332,-660.416666668
180.69,-956.666666668,-195.0,-1140.0,-823.333333334,-806.666666668,-661.666666667,-610.0,-600.0,-706.666666666,-653.333333332,-496.666666667
181.07,1144.16666667,305.0,1266.66666667,971.666666667,985.000000001,810.0,839.999999999,753.333333333,741.666666667,776.666666666,648.333333333
181.45,-1877.77795833,-563.888833333,-2116.66675,-1650.00016667,-1680.5555,-1383.33341667,-1513.88883333,-1319.44458334,-1297.22225,-1355.55566667,-1177.77775
181.83,2772.91666667,400.000000001,2933.33333333,2491.66666667,2462.5,1900.0,2095.83333333,1833.33333333,1737.5,2012.5,1770.83333333
182.21,527.651583333,3.7879166666,474.242583333,420.454583333,357.575833333,315.151583334,342.424083333,267.424166667,253.03025,328.030333334,356.060583333
182.59,767.361083333,-188.88875,680.555583332,590.277666667,395.833333333,355.555583333,443.0555,291.6665,281.944333333,431.9445,473.611
182.97,-344.696916667,134.090833334,-283.33325,-215.909166667,-150.7575,-131.060583333,-193.9395,-52.2726666667,-54.5454166666,-148.485,-205.302916667
183.35,-731.250041666,156.944416666,-552.777833334,-395.833416666,-340.277666667,-325.000083333,-459.722083333,-97.2222499999,-206.944333333,-331.9445,-420.83325
183.73,-410.8975,1.28216666658,-298.07675,-230.128083334,-223.077,-253.846166667,-257.692333333,-108.974416667,-158.333416667,-218.589583333,-243.58975
