wavelength,Back_DigCarf,Belly_DigCarf,Breast_DigCarf,Crissum_DigCarf,Crown_DigCarf,DorTail_DigCarf,Patch10_DigCarf,Rump_DigCarf,Throat_DigCarf,WingTip_DigCarf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,19.0909666667,30.3030564103,-15.1514666667,17.5758666667,-8.78793333334,-7.27279999999,19.091,-19.394,21.8181333333,15.7575333333
179.16,202.222233333,151.965861539,62.2222000001,111.111133333,151.111233333,71.1112666667,111.111233333,37.7778666667,177.777733334,133.333533333
179.54,108.888833333,179.658046154,195.5556,128.888866667,192.222266667,215.5556,172.2222,293.333333333,171.111133333,153.333266667
179.93,256.666666667,184.102564103,233.333333333,220.0,258.333333333,283.333333333,208.333333333,330.0,163.333333333,340.0
180.31,104.666666667,115.666666667,7.33333333334,90.3333333334,50.3333333333,5.99999999993,58.3333333334,-26.3333333333,98.9999999999,94.3333333334
180.69,106.031833333,133.260107692,28.5715333333,104.761933333,59.6825,10.1585999999,73.6507666667,-16.5079333333,117.460333333,115.555533333
181.07,76.8749999999,103.028846154,48.5416666668,85.8333333334,57.6041666667,24.1666666667,58.4375,17.9166666668,97.2916666665,97.0833333334
181.45,73.8460333333,113.727738462,59.4871999999,95.6409333334,56.5384666667,15.8974,67.5641999999,20.5128666667,103.076733333,108.974333333
181.83,82.3332666667,137.675174359,73.1112,99.5555333332,72.7776666667,42.8888666666,91.2222666667,47.1111333333,111.3334,129.111066667
182.21,114.666666667,184.369230769,93.8666666666,121.6,94.6666666665,68.7999999999,124.266666667,75.4666666666,140.8,178.4
182.59,141.111133333,227.150974359,110.370333333,148.1482,100.9259,58.8890000001,159.4445,76.6665999999,170.3704,238.888933334
182.97,125.8332,283.675282051,136.666666667,130.5556,64.7221999999,17.2222000001,192.499933333,58.8889333333,186.111133333,286.111066667
183.35,64.0,-344.820512821,-30.6666666668,66.6666666674,214.0,316.0,-186.0,189.333333333,-49.3333333333,-349.333333333
183.73,375.555766667,-470.256502565,104.444400001,393.333266667,663.333366666,686.666666666,-101.111233333,433.333266667,71.1111999999,-382.222066667
184.11,96.9564666668,-23.2998820513,49.5652666667,88.9855999999,120.579566667,126.376866667,28.4057666665,90.7245999999,46.6666666667,-10.7246666667
184.49,106.111033333,1.9145076923,60.8888666668,103.111066667,120.6666,121.5554,43.9999333333,88.8888666667,65.3333333333,26.6665999999
184.87,124.8718,9.19123076924,91.2820666666,136.154,141.6667,144.871866667,49.6153666667,109.743533333,82.0512000001,38.4616
185.25,75.0339999999,20.3558,73.4694666668,96.7347333333,88.2312999999,91.4285333333,40.6123,75.5102000001,57.8230000001,37.2789333333
185.63,67.3530333333,29.8113641026,70.3921999999,90.0982,80.0981000001,80.2941333333,48.9216333333,73.2354000001,57.353,39.9999333333
186.01,75.1281333333,48.9828769231,75.8973333333,93.0402666668,85.2748,87.1062,65.1281333334,77.5090666665,67.1795333333,54.8716666666
186.39,77.1929666668,55.3305641026,73.4503333333,88.5380666667,82.8362666667,84.0936666667,66.4618666667,77.1930666667,65.9648,57.6023333333
186.77,84.3786000001,62.6335897436,81.7515333333,94.8022666667,87.034,88.3616666666,74.096,84.4068,70.6214666667,64.4633333333
187.15,78.3846333334,64.2562923077,80.8717333333,88.5127333334,82.3077333333,84.9743333334,73.6924,80.9228666666,68.4615333333,62.6666
187.53,74.9522333333,62.3333179487,78.1904666667,85.3809999999,79.1189333333,80.6189333333,71.9284666667,80.0001333333,63.4285333333,61.8570666667
187.91,75.0512666666,65.5701846154,81.8460666667,89.1282000001,83.7436000001,83.077,72.9232,84.4102,62.8204,61.4359333333
188.29,72.3736,67.6379794872,82.2727333333,91.8181999999,84.0908666665,81.7677333334,72.8280666666,85.3029333333,63.6364,60.3534
188.67,69.3917666667,66.545374359,77.8829999999,87.5225333334,81.1712333333,76.4413333333,68.5134333333,83.3333333333,62.8828666667,58.5134666667
189.05,72.7648333334,70.1298205128,74.9018666667,85.6863333333,82.0784333333,76.4705333333,71.8825,82.7844,66.7450666667,62.2352666667
189.43,73.9829333333,71.2135487179,72.3076,81.6068000001,82.2736,75.6581333333,71.9488666667,82.735,69.0597333333,63.2479333333
189.81,80.7129000001,77.754,78.6808666667,87.0232666667,88.5918333333,81.3190666667,77.0410999999,88.4492666666,75.4012,67.9502000001
190.19,77.8704333334,73.5955384615,75.3704000001,84.0001333333,85.9445,76.8147333333,71.6851666666,85.3704666667,70.8888,64.8147333332
190.57,80.7127666667,78.9421384615,80.8805333334,88.0082666667,91.8449000001,81.9288000001,76.5829000001,91.7400666666,75.5556,66.7085333333
190.95,78.9864666666,78.5343435897,78.8287333334,88.6485333333,93.1080999999,80.6306,72.8380333333,90.5405999999,75.6758666667,64.6845999999
191.33,82.3924000001,79.7022102564,81.8279333333,93.1720000001,100.161466667,81.6666,69.5698000001,93.3333333334,78.172,63.4946666667
191.71,78.0439666667,80.1567435898,80.7714666667,91.1845333333,96.5012666665,82.0386666666,66.5841333333,88.54,77.08,58.4572666667
192.09,63.9777333333,67.0118717949,65.9110000001,73.9999333333,79.2222666667,69.8666,56.5554666667,71.4222666667,64.4889333333,49.5556666666
192.47,64.3292333333,64.9843230769,64.5121999999,71.2601333333,78.4349333334,68.6179333333,55.9552666667,70.4472,62.2764,49.6342
