wavelength,Back_SalAtof,Belly_SalAtof,Breast_SalAtof,Crissum_SalAtof,Crown_SalAtof,DorTail_SalAtof,Rump_SalAtof,Throat_SalAtof,WingTip_SalAtof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-26.6666666669,-66.6666666667,-26.6666666666,43.3333333333,-16.6666666666,-56.6666666667,6.6666666667,-30.0,0.0
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,-35.4166666667,-79.1666666665,-52.0833333333,6.25,-16.6666666666,-10.4166666667,-12.5,-22.9166666667,-39.5833333333
179.93,-52.0833333333,-87.5,-129.166666667,-60.4166666667,-35.4166666667,-102.083333334,-110.416666667,-87.4999999999,-85.4166666669
180.31,-38.768,-43.1161666667,-80.0723333333,-22.464,-34.7825,-53.9855,-11.9565,-61.232,-27.174
180.69,-45.238,-53.4013333333,-94.5576666665,-26.8706666666,-39.116,-59.8638333334,-20.408,-64.6258333334,-32.653
181.07,-42.517,-46.9388333333,-95.2383333333,-19.3876666667,-35.034,-53.7416666666,-16.3266666667,-50.3403333334,-29.2518333333
181.45,-36.7423333333,-45.0758333334,-97.7273333331,-12.1211666667,-19.697,-54.5455,-10.985,-42.803,-22.3485
181.83,-36.574,-34.722,-102.314666667,-10.648,-5.09250000002,-61.1108333331,-11.1111666667,-40.2776666666,-9.25899999999
182.21,-17.1171666667,10.8108333333,-57.6576666667,17.5676666667,20.2701666666,-20.2703333333,27.9279999998,-14.865,41.4413333333
182.59,-0.000166666665,25.5321666667,-32.2693333333,36.1701666667,36.5248333334,-3.9006666667,38.6524999999,10.2836666666,48.2268333334
182.97,17.8571666667,35.4166666667,-14.881,43.1548333333,45.8335,13.3928333333,52.0833333333,30.3571666666,52.0833333333
183.35,15.4166666667,32.5,-36.25,48.75,41.6666666667,2.91666666666,53.7500000002,32.9166666667,56.25
183.73,9.21050000001,15.3508333333,-58.7719999998,32.4561666669,25.8773333334,-10.9648333333,31.1401666666,17.9823333333,42.1055
184.11,8.79633333333,12.9628333333,-68.0555000002,37.0370000002,27.3146666667,2.31483333335,12.0373333333,29.1668333333,41.6665
184.49,16.6666666667,29.6296666667,-98.148,72.2223333335,35.185,25.926,26.5433333333,50.6173333334,62.3458333334
184.87,44.4445,76.8518333335,-98.1481666665,118.5185,57.4073333333,65.7406666667,42.5926666667,66.6665,98.1479999999
185.25,64.5833333335,139.583333333,-229.166666667,175.0,87.5,120.833333333,-20.8333333335,70.8333333335,143.75
