wavelength,Back_SicColm,Belly_SicColm,Breast_SicColm,Crissum_SicColm,Crown_SicColm,DorTail_SicColm,Patch10_SicColm,Rump_SicColm,Throat_SicColm,WingTip_SicColm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-18.8888666667,13.8889333333,-9.44446666667,-15.0,12.7778666667,15.5554666667,-1.66666666667,25.5555333333,-6.11106666667,-23.3332
179.16,31.1111333333,16.2963999999,39.9999333333,73.3334000001,54.0741333333,70.3702666667,65.9260666667,77.7778666667,45.1852,39.9998666667
179.54,58.3333333333,67.0,63.0,62.3333333333,66.3333333333,68.6666666667,81.0,49.6666666667,70.0000000001,62.3333333333
179.93,91.7949333334,103.5898,72.3075999999,137.948666667,78.4614666667,102.564133333,116.9232,124.615466667,87.6924,106.153866667
180.31,34.3528666667,49.8039333333,30.8235333333,58.3528666667,48.7058666667,57.1764666666,65.0195333333,53.0981333333,38.2744666667,38.9019333333
180.69,27.5611333333,43.252,23.6585333333,54.1463333333,42.7642666667,55.2031999999,61.7887333333,49.5934666667,31.7886,36.7478666667
181.07,33.721,47.4418666667,24.6510666667,61.6277333333,49.845,57.5969333333,67.2868666667,50.9302666667,36.3566,44.9613333334
181.45,29.9577333333,49.1139333333,18.9028,58.4810666667,49.3672,51.0550666666,68.8608,46.8354666667,29.7047333333,43.6286666666
181.83,27.1427333333,48.8571999999,13.3332666667,57.4286,46.6667333333,49.3333333333,68.381,47.143,20.9524,46.0001333333
182.21,21.4718666667,42.3377333333,10.9957333334,43.5496,43.9825333333,41.1254666667,58.0086,36.1038666667,17.5756666667,35.238
182.59,27.9654,48.4847333333,20.7791333333,47.1861333334,51.8614666667,50.909,65.8008666667,48.5714,24.6754,45.8874666667
182.97,25.8333333333,45.5,26.9166666667,44.1666666667,47.8333333333,53.75,64.3333333333,50.25,29.75,45.4166666667
183.35,9.79433333333,34.5678,13.4978666667,32.9219333333,42.9631333334,37.6132,48.0659333333,39.0946,11.9341333333,39.3415333333
183.73,0.938933333339,32.0188666666,9.38973333332,20.0,49.5774,34.9296666667,49.6713333333,32.5821333333,10.8920666667,38.4038
184.11,7.58333333333,33.75,14.8333333333,23.0833333333,53.1666666667,38.5,53.6666666667,39.75,23.75,40.75
184.49,12.3578,34.7154,19.0244666667,26.7478666667,54.9594,41.1382,56.1788,46.5854,30.5691333333,42.8455333333
184.87,21.0204,42.653,26.1905333333,31.9728,63.7416,44.4218,61.7006666667,52.3128666667,37.9590666667,46.2584666667
