wavelength,Back_CreVerf,Belly_CreVerf,Breast_CreVerf,Crissum_CreVerf,Crown_CreVerf,DorTail_CreVerf,Rump_CreVerf,Throat_CreVerf,WingTip_CreVerf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,78.7879259259,98.9898888889,109.091,85.8586666668,113.131222222,108.080666667,77.7778888889,93.9393333332,33.3333333333
179.16,-229.62962963,-466.666666667,-122.222222222,44.4444444443,-388.888888889,-388.888888889,-116.666666667,-11.111111111,177.777777778
179.54,-25.9259259261,-444.444444444,66.6666666663,-277.777777778,-355.555555556,88.888888889,88.8888888889,-188.888888889,433.333333334
179.93,24.2799629629,46.9136666667,51.852,63.5803333333,54.9382222222,56.173,39.5062222222,57.4074444445,27.778
180.31,81.7818148147,83.033,78.3782222223,89.7898888889,92.0422222222,85.8857777776,73.048,82.4323333332,29.5794444444
180.69,86.4655555555,86.0084444445,78.0522222223,91.3580000001,96.7075555558,88.8887777777,77.6406111111,83.5388888889,32.3731111111
181.07,87.5980740741,87.3735555554,66.3298888889,92.2557777779,89.562111111,88.3840000001,72.8113333334,77.6094444444,19.0234444445
181.45,104.197666667,91.8518888889,70.9259999999,112.037111111,92.5926666666,93.5185555557,83.8888888889,89.2593333334,26.4813333333
181.83,103.310851852,84.8486666668,73.9057777777,107.912222222,82.8284444446,95.4543333333,89.4782222223,94.6127777777,38.0471111111
182.21,112.169444445,82.5397777778,69.8413333332,108.928555556,75.3966666667,94.8414444443,91.369,100.793666667,30.3572222222
182.59,102.001851852,75.8258888889,65.1652222222,97.5976666665,70.5705555556,87.3875555554,82.582611111,92.3422222221,30.7808888889
182.97,106.157888889,85.2745555556,63.4538888889,100.133777778,67.0683333333,91.834,89.0898333332,99.7322222222,45.114
183.35,123.304851852,94.8716666668,68.547,115.384444444,67.3503333333,107.179555556,106.324833333,112.649555556,45.2991111111
183.73,130.982814815,107.478666666,65.1708888889,126.495666667,71.3677777778,118.803444445,118.1625,131.196444444,35.0426666667
184.11,121.717259259,116.161555556,45.9595555555,121.464666667,58.3331111111,108.838333334,120.580833333,132.070777778,18.1817777778
184.49,247.883592593,221.428666667,32.5395555556,235.714444444,10.3173333331,188.889,222.222333333,284.127,-84.127
184.87,455.026481481,350.793666666,-3.17466666678,400.0,-79.3651111112,260.317555556,372.222111111,584.126888889,-190.476222222
185.25,256.29637037,207.407555556,56.2962222221,251.111222222,11.8517777778,163.703666667,245.185111111,366.666666667,-17.0371111111
