wavelength,Back_SpoArdm,Belly_SpoArdm,Breast_SpoArdm,Crissum_SpoArdm,Crown_SpoArdm,DorTail_SpoArdm,Rump_SpoArdm,Throat_SpoArdm,WingTip_SpoArdm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,57.407,85.1851666667,59.2591666667,62.963,75.0,62.037,61.1108333334,61.1108333333,60.1851666666
179.16,54.4445,127.777666667,93.3333333333,84.4446666667,91.1111666667,70.0001666667,87.778,55.5555,62.2221666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,91.1764999998,76.4703333333,62.7451666667,57.8433333333,63.7256666667,68.6271666667,35.294,35.294,63.7255
180.31,100.889,140.000166667,98.8888333335,92.0001666667,102.666833333,90.6666666669,60.8888333333,59.7776666666,78.2223333334
180.69,125.000166667,157.323333333,113.636333334,106.0605,128.535333333,104.040333334,77.7778333331,71.7171666665,89.6463333334
181.07,136.868666666,155.555666667,119.4445,111.616333333,126.515166667,107.575666667,79.0405000002,68.9393333335,94.1919999998
181.45,200.0,198.780333333,153.6585,137.3985,157.723666667,141.463333334,84.5528333334,60.9756666669,121.951166667
181.83,266.666666667,254.487166667,184.615333334,176.282166667,211.538666667,194.230833334,72.4358333333,42.9486666665,148.076833333
182.21,2433.33333334,2275.0,1650.0,1516.66666667,1900.0,1683.33333333,291.666666668,-341.66666667,1233.33333333
182.59,-95.1388333335,-99.3055,-70.8334999999,-72.222,-81.25,-52.7778333334,9.0278333333,91.6668333335,-43.7499999998
182.97,-17.1296666666,-24.0741666667,-13.8891666667,1.389,-12.5,3.70350000002,49.0739999998,111.111166666,6.4815
183.35,-10.606,16.6668333333,6.5658333333,21.2121666666,18.687,25.7575,61.6163333332,145.959833333,28.7878333331
183.73,10.6481666667,56.9443333331,22.6851666666,50.463,41.2036666667,45.8333333333,84.7221666669,161.573833333,51.3889999998
184.11,26.9231666667,87.6068333335,53.4189999998,77.3503333333,74.359,61.5386666667,89.7433333333,175.213666666,58.9745
184.49,31.6325,93.5373333332,58.8436666667,85.7143333335,79.932,59.8638333334,89.1155000002,147.959166667,67.0066666667
184.87,56.79,103.703833334,66.3579999998,92.2839999998,110.494,74.0738333333,119.444333333,155.5555,79.9383333334
185.25,64.1175,89.0193333332,67.647,84.1178333334,94.9019999999,73.3335,100.9805,121.372666666,79.2158333333
185.63,56.6308333333,86.9174999998,63.0826666666,76.7026666667,84.0503333333,67.7418333333,92.8316666668,102.1505,75.448
186.01,61.7886666667,93.6995000002,58.9431666667,79.2683333331,90.2438333333,72.7643333333,100.609833333,113.414833333,86.382
