wavelength,Back_IriJelf,Belly_IriJelf,Breast_IriJelf,Crissum_IriJelf,Crown_IriJelf,DorTail_IriJelf,Rump_IriJelf,Throat_IriJelf,WingTip_IriJelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,79.9999333333,11.4284,45.7143333334,23.8096,-24.7619333333,16.1904,-1.42849333332,-6.66659999999,48.5714666667
179.16,246.666666667,73.3333333332,106.666666667,-53.3333333335,-273.333333333,-33.3333333333,-3.33333333326,-240.0,220.0
179.54,78.5186000001,62.9628666667,60.0000666667,10.3703333333,28.148,68.1481333335,21.6296466667,29.6296666667,73.3332666667
179.93,-133.333333333,-140.0,-9.99999999994,136.666666667,26.6666666667,-166.666666667,132.666666667,-6.6666666666,-146.666666667
180.31,114.509866667,51.7646666666,30.1961333334,14.3137333333,1.9608,71.3726666667,18.1568533333,28.2353333333,100.980466667
180.69,116.5518,36.7816000001,10.8047333334,-8.73566666665,-25.0573333333,71.2643333335,-9.08056666667,2.06900000008,103.448133333
181.07,101.935266667,29.6775333333,3.8708666667,-7.74179999999,-16.129,76.129,-4.12895333333,1.29033333334,104.301066667
181.45,77.1716666665,13.9394000001,-19.5959333334,-17.7778,-25.6566666667,53.1312,-25.2929066667,-6.06066666666,79.7979333333
181.83,57.1111333333,-9.55559999998,-44.0000666667,-31.1110666665,-45.3332666666,34.0001333333,-42.59992,-11.7778666667,70.4444000001
182.21,37.5193333333,-7.59686666668,-28.217,-12.248,-29.1473333333,21.8604666667,-16.5892,-1.8604,49.6124666667
182.59,42.4243333334,-3.18186666666,-24.394,-12.7272666667,-23.0303333333,26.6666000001,-9.43939999998,3.93933333334,54.8485333333
182.97,17.5,-17.9166,-45.4166666666,-33.4722666666,-31.8054666667,7.08333333334,-24.47218,-14.5833333333,35.5556
183.35,5.55560000002,-23.7499333333,-57.639,-45.9722000001,-36.1112,1.66673333334,-30.0833066667,-25.4165333333,21.1110666667
183.73,-5.33326666665,-30.0741333334,-63.5556666666,-62.5184,-46.0741333334,-10.2222666666,-38.28162,-36.1482,8.44446666669
184.11,-54.6666666667,-87.1111333333,-137.777866667,-133.999866667,-112.666666666,-59.7778666667,-100.555673333,-104.6666,-38.6666666667
184.49,-105.666666667,-132.333333333,-205.666666667,-216.666666667,-178.0,-87.6666666666,-138.1,-139.333333333,-57.3333333333
184.87,-38.7096,-57.4193333334,-103.010666667,-104.516066667,-72.9032666667,-26.8816,-49.84948,-46.4516000001,-9.67746666666
185.25,-38.6110666666,-52.2221999999,-126.388866667,-129.7222,-70.8332666668,-29.4443999999,-54.4444200001,-33.8888666666,-15.0000666667
185.63,-40.7407333333,-57.0370666668,-160.370333333,-170.740933333,-71.1111333334,-30.7406666667,-42.9628400001,-38.5184666666,-1.11100000005
186.01,-65.4166666667,-81.2500000001,-204.583333333,-205.0,-90.8333333332,-53.3333333333,-45.2916666667,-67.9166666667,-40.4166666668
186.39,331.666666666,430.000000001,1015.0,885.0,381.666666667,343.333333333,261.833333334,353.333333333,278.333333333
186.77,103.589733333,134.358866667,220.2564,199.999866667,108.205066666,117.9488,94.8204600001,104.358933333,98.4614000001
187.15,118.596466667,159.649266667,271.929866667,229.473666667,105.964866667,133.333266667,90.2805933333,101.754333333,100.701666667
187.53,118.75,166.666666667,285.416666667,250.0,110.833333333,173.75,75.3749999999,105.0,102.5
187.91,208.571466667,353.333266667,577.142733333,503.8096,169.523933333,310.476266667,101.71426,129.523933333,182.857266667
188.29,-2.22239999994,-123.333266667,-220.5556,-191.666666667,16.1109333333,-66.6667333333,59.7776066666,36.1112,-4.99999999987
188.67,31.8919333334,-21.4414666666,-50.4504666667,-30.4506,36.7568,-0.54053333332,48.9368600001,40.9009333331,19.6396666667
189.05,26.6666,-17.1428666667,-48.4125333333,-31.5873333333,29.6824666667,-4.92039999999,44.6984599999,33.4921333335,16.6666
