wavelength,Back_ThlPecm,Belly_ThlPecm,Breast_ThlPecm,Crissum_ThlPecm,Crown_ThlPecm,DorTail_ThlPecm,Patch10_ThlPecm,Rump_ThlPecm,Throat_ThlPecm,WingTip_ThlPecm
190.57,101.754333333,74.386,74.2689999999,108.420888889,129.707555556,105.965,127.017555556,123.158,112.163888889,96.9591111111
190.95,104.134333333,77.7777777778,81.3953333333,121.447222222,137.855222222,119.379888889,133.979222222,134.367111111,122.093111111,105.038777778
191.33,107.762444444,84.0182222223,88.7366666668,135.464333333,158.447333333,131.506888889,152.207111111,149.771666666,132.115555556,112.633111111
191.71,93.5947777779,70.7188888889,69.1504444446,114.902111111,125.882333333,109.150333333,129.542444445,124.052111111,109.934777778,88.8888888888
192.09,81.3952222222,59.3024444444,61.6278888888,103.23,109.043888889,98.5788888889,111.628,110.465111111,96.2532222222,70.2842222221
192.47,86.4536666667,60.2738888889,50.685111111,103.652777778,109.893444444,99.0867777779,118.721333333,115.220777778,97.5645555556,65.6014444446
192.85,85.1850000001,54.2672222222,39.7744444444,94.5251111112,103.542666666,95.974111111,115.136888889,110.467,97.4235555556,56.0386666668
193.23,80.5995555557,62.2574444444,42.3282222222,97.0016666668,104.232777778,100.000111111,125.220444444,111.463888889,103.174666667,49.2063333333
193.61,72.4710000001,61.6914444444,46.1025555557,91.708,100.000111111,97.1807777778,113.930555556,104.809444445,94.6933333332,45.9367777778
193.99,79.5752222223,66.3398888889,61.1111111111,98.2026666666,105.718888889,105.065444444,114.215666667,107.843111111,98.5294444442,46.242
194.37,77.4251111111,72.8394444444,66.4903333333,97.5307777777,105.467333333,117.989333333,107.583777778,110.405666667,102.116444444,35.4498888889
194.75,85.9904444444,87.9227777777,68.5988888888,125.845444444,120.048333333,141.304222222,129.468555556,136.956555556,123.188555556,29.7101111111
195.13,66.931111111,79.3652222221,44.7092222221,115.079444444,98.9418888889,124.867777778,123.015888889,117.989555555,110.582111111,7.672
195.51,71.5277777778,100.694444444,38.5416666668,151.736111111,99.3055555557,156.944444445,160.416666667,127.430555556,149.305555555,-12.8472222222
195.89,101.709333333,151.282111111,78.6326666669,230.342,151.709444444,202.136555556,205.555666667,175.641222222,213.675222222,-0.8548888889
196.27,152.222222222,230.0,86.6666666667,325.555555556,222.777777778,288.888888889,283.888888889,243.888888889,281.111111111,-2.22222222222
196.65,104.273444444,189.316333333,80.3417777777,255.555444444,183.760777778,235.042777778,209.829222222,189.743666667,225.640888889,-0.427444444567
197.03,62.318888889,119.323666667,67.3913333333,164.734333333,117.391111111,143.719888889,137.681,121.739111111,143.478333333,16.4252222222
197.40,45.1612222222,86.9176666667,48.0287777778,123.476666667,84.2295555555,101.433555555,99.2832222222,91.9355555557,110.752555555,17.3835555555
197.78,38.0691111111,83.2422222222,38.7977777779,122.951,68.1238888889,90.5282222221,101.821555556,86.5210000001,115.847,12.2038888889
198.16,27.1043333333,68.8553333333,19.8653333332,108.585888889,43.0976666667,67.8451111111,84.3435555557,71.7172222222,97.8113333335,1.68344444443
198.54,18.1534444444,52.7386666667,9.70266666677,99.3741111112,30.2034444444,43.8185555555,76.0562222221,56.8075555555,72.3005555556,-4.85144444443
198.92,15.7087777778,43.6781111111,11.1111111112,85.1853333332,21.7114444444,35.1213333333,63.0904444443,44.4445555556,61.1748888889,-0.255444444467
199.30,13.7115555556,36.5247777778,10.0473333333,79.7873333333,19.149,29.9055555556,59.6925555555,37.707,54.6101111111,-4.01888888889
199.68,12.9811111111,30.9131111111,8.2508888889,72.1672222222,14.3014444445,25.0824444445,51.8153333332,34.5433333333,44.4443333333,-5.94066666668
200.06,2.48088888888,22.2223333333,0.755333333333,56.3107777778,0.10777777779,18.2308888889,41.7473333333,25.0268888889,32.1467777778,-11.5425555556
200.44,-14.0415555555,5.73866666667,-5.37233333333,44.0778888888,-24.6642222222,8.30288888888,33.4553333333,12.3322222222,21.0012222222,-24.1758888889
200.82,-16.9032222222,-1.77311111111,-8.2742222222,35.5792222222,-32.0331111111,2.3641111111,29.0778888889,3.90066666667,11.2292222222,-28.1323333333
201.19,-10.9832222222,10.0894444445,-6.6411111111,43.4226666668,-29.8851111111,13.7931111111,35.8875555556,10.2171111111,20.3064444444,-22.4777777778
201.57,-12.182,11.9144444444,-7.3627777778,37.2156666667,-33.4672222222,12.7175555556,39.2235555554,9.77255555557,17.6705555556,-24.8995555556
201.95,-15.6695555555,3.84611111111,-12.9628888889,26.2107777778,-38.889,9.25933333333,29.3448888889,5.27044444443,8.54700000001,-36.1823333333
202.33,-14.815,4.93833333333,-13.1687777778,25.103,-36.0766666667,12.0713333333,23.7312222222,6.17277777777,10.0136666667,-29.2181111111
202.71,-32.6985555555,-4.44433333334,-30.7935555555,12.2221111111,-52.2222222222,8.73022222221,13.9683333334,-2.69844444442,8.254,-44.4444444444
203.09,-101.322666667,-43.3863333333,-93.6506666667,-27.5132222222,-124.338555556,-22.4867777778,-25.1324444443,-50.5291111112,-33.0686666667,-123.809777778
203.47,-109.309444444,-40.8407777778,-107.207222222,-25.5255555555,-133.333111111,-10.5105555556,-29.7297777778,-44.7447777778,-31.5313333333,-131.832
203.85,-153.472222222,-66.6666666667,-140.277777778,-51.0416666663,-185.069444445,-29.1666666666,-57.2916666667,-77.4305555556,-49.6527777778,-169.444444444
204.22,-205.777777778,-89.7777777778,-202.666666667,-76.4444444443,-253.333333333,-52.8888888889,-87.111111111,-121.333333333,-72.888888889,-243.555555556
204.60,-61.5077777778,-1.19044444444,-62.5000000003,-3.373,-80.357111111,-0.3968888889,-13.6905555556,-21.2301111111,4.56366666667,-75.1982222222
204.98,-48.2108888889,16.1958888889,-53.4841111112,6.02622222223,-71.1865555555,6.9681111111,-8.8512222222,-12.0527777778,20.7156666667,-64.0301111111
205.36,-45.5247777777,6.94444444444,-50.6172222222,3.70366666667,-71.2962222223,-1.38888888891,-13.8887777778,-19.1357777778,8.6418888889,-61.1112222222
205.74,-62.5926666667,1.111,-66.8517777779,-5.37033333333,-99.8147777778,-10.1851111111,-27.2222222222,-35.5555555556,1.29633333333,-86.2964444444
206.12,-46.4956666666,17.094,-44.2735555557,17.094,-79.829111111,-2.05133333333,-14.5297777778,-21.1965555556,16.2393333333,-60.171
206.50,-54.0491111112,10.7344444445,-42.7495555557,12.6176666667,-98.8699999999,-3.76644444443,-19.0205555555,-30.1318888889,21.0923333333,-70.6215555556
206.87,-62.0000000001,13.7777777778,-52.2222222221,6.22222222223,-132.0,-18.0,-29.5555555554,-44.4444444444,14.8888888889,-89.5555555556
207.25,-31.2617777778,29.9434444445,-20.9038888889,26.1768888889,-99.0583333335,-0.753333333333,-6.59133333333,-16.7607777778,34.8398888889,-58.0035555555
207.63,-50.101,18.9897777778,-36.9696666667,1.61622222223,-128.282777778,-28.4847777778,-23.8383333332,-32.9292222222,22.4243333334,-88.888888889
208.01,-10.5485555555,36.8494444445,-2.10977777777,20.3937777778,-64.1350000001,-2.81288888888,2.53188888887,7.31366666666,33.1926666667,-41.6315555556
208.39,1.71955555556,44.8412222222,11.508,29.1004444445,-48.8095555556,6.61377777779,12.5662222222,17.7248888889,37.434,-23.8094444444
208.77,4.92444444442,44.192,9.4697777778,31.9445555556,-39.8987777778,5.80811111111,17.5504444444,18.4342222222,35.2272222222,-19.3181111111
209.14,0.236444444433,34.5154444444,9.4562222222,26.714,-43.8535555555,0.945666666667,14.5391111111,14.539,28.487,-20.4491111111
209.52,-2.52522222223,33.2067777778,12.5,18.9395555555,-51.2626666667,-5.30322222223,9.84844444443,15.4042222222,26.6412222222,-21.7172222222
209.90,-4.522,32.1705555555,12.1445555556,28.2944444444,-52.7133333333,-4.52188888887,8.78544444443,18.863,28.9405555555,-14.9872222222
210.28,-4.36522222223,29.4974444445,7.01066666667,23.8095555556,-58.9947777778,-1.05811111112,9.52366666667,19.0475555555,26.7195555556,-14.947
210.66,5.37644444443,38.829,12.3058888889,29.988,-41.6964444445,7.16833333332,16.7263333334,28.7934444445,31.1826666667,-2.38955555553
211.03,8.61899999999,42.4713333333,20.2492222222,37.2793333333,-26.5837777778,12.3572222222,22.9488888889,36.0332222222,37.9022222222,10.4882222222
211.41,4.83077777779,36.3286666667,18.8404444444,33.3332222222,-24.831,10.2416666667,17.3914444444,30.145,32.9467777778,11.7873333333
211.79,9.53700000001,39.9998888889,24.2592222222,40.6481111111,-19.1668888889,14.537,19.8147777778,32.5926666667,38.3334444444,21.0184444444
212.17,-9.571,33.4433333333,11.0011111111,28.3827777778,-41.8043333333,-0.3302222222,5.83055555557,14.8515555556,26.1825555555,6.38055555554
212.55,-19.2593333333,30.6173333334,5.432,24.0741111111,-54.568,-5.926,1.11111111112,9.62966666667,27.5308888889,-4.44444444443
212.92,-44.1314444444,26.604,-6.41622222223,0.31300000001,-86.3849999999,-20.3443333333,-24.413,-5.32077777778,20.3444444446,-26.7604444444
213.30,-101.182111111,18.2032222222,-33.0968888888,-21.2765555555,-152.245888889,-56.9741111111,-59.5744444443,-35.2245555556,-3.07333333333,-65.7209999999
213.68,-163.580333333,-6.17288888901,-78.0863333332,-47.5308888889,-223.148111111,-109.568,-99.9999999999,-80.2468888889,-28.7035555557,-115.740777778
214.06,-89.2928888888,19.596,-33.5354444443,-24.8484444444,-131.919222222,-59.7981111111,-54.1415555555,-33.1312222222,2.6263333333,-71.9191111111
214.44,-68.8888888888,33.5186666667,-20.1851111111,-9.81466666667,-107.777666667,-46.4815555556,-44.2591111111,-23.1482222222,18.3333333333,-57.5925555555
214.81,-84.5573333334,18.644,-33.1449999999,-17.7024444445,-124.293777778,-63.8416666668,-50.6588888889,-39.9246666667,1.13,-76.8362222222
215.19,-96.7676666667,14.9496666667,-39.3937777778,-25.2525555555,-141.010111111,-61.8182222222,-61.414111111,-53.5353333334,-4.24255555553,-92.9293333332
215.57,-79.7980000001,41.4141111111,-27.2727777777,-17.3736666667,-127.878666667,-45.8585555555,-32.7273333333,-34.9495555557,15.3534444444,-78.383888889
215.95,-67.8788888889,56.7675555557,-9.69700000001,-11.5151111111,-114.141555556,-28.283,-16.3636666667,-28.8888888889,26.0606666667,-64.0405555555
