wavelength,Back_CamPauf,Belly_CamPauf,Breast_CamPauf,Crissum_CamPauf,Crown_CamPauf,DorTail_CamPauf,Rump_CamPauf,Throat_CamPauf,WingTip_CamPauf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-146.666666667,-70.0000000001,-360.0,-373.333333333,-340.0,-13.3333333334,-53.3333333334,-6.6666666666,-6.66666666666
179.16,33.7778,45.9997333333,55.1109,49.1111,33.3332666667,45.3334666667,52.6667,7.5556,40.8888666667
179.54,33.3332666667,40.606,27.8788333333,46.9696666667,25.4546,51.5152666667,40.3030333333,21.8180666666,22.4244
179.93,37.0833333333,40.625,41.0416666667,15.2083333333,33.3333333333,58.75,47.2916666667,23.75,41.25
180.31,21.3333333333,27.7406666667,47.2223,13.9999666667,19.1852666667,51.3332666667,42.0372333333,12.9628,37.4816
180.69,17.5626666667,22.6164666667,45.7348,10.9319666667,14.6236666667,49.0323333333,37.8495,7.0968,34.9105333333
181.07,24.1904,28.0951666667,51.3333666667,21.4922333333,22.5395333333,52.5714666667,44.2221666667,12.0634,36.8254
181.45,18.8434666667,17.1428,42.1768666667,5.06803333333,12.313,48.3674,35.7141666667,4.69386666665,28.2312666667
181.83,21.9682666667,20.6666333333,47.6508666667,7.20636666666,17.3968666667,50.4126666666,41.1746333333,10.3489333333,33.7776666667
182.21,26.6666666667,25.1202333333,53.0583,10.3093333333,16.426,51.5464666667,44.3985666667,9.20966666667,37.2508666666
182.59,23.5124666667,15.3405666667,47.2402,3.0467,7.45513333334,45.8780666667,36.3798333333,-0.716866666667,30.3942
182.97,36.5516666667,22.7586,60.728,17.6244,15.5554,58.6974666667,48.3908,10.8046,47.2797333333
183.35,47.5362,32.8019,80.9662,16.5218666667,14.1062666667,76.5216666667,57.2946666667,10.5315333333,59.3236666666
183.73,50.3448666666,37.2987666667,91.2644666666,25.0000333333,11.6092000001,87.8160666667,69.1952333333,17.8162,72.5287333334
184.11,65.6085333332,54.0742666666,96.6137666667,39.1535666667,23.2804,84.8677333332,78.7302666667,31.4285333333,79.8942000001
184.49,77.9260000001,69.4816666667,118.0742,48.2224333333,12.2963333333,114.5184,97.9259333333,30.2222000001,99.4074666667
184.87,92.1213333333,78.5454000001,115.878766667,58.2423,34.6667333333,113.4546,103.878866667,46.7879333333,106.787933333
185.25,82.5157999999,65.7862333333,105.7861,38.0503333333,24.2766,97.8615333333,87.4214333333,33.2076666667,99.9998666667
185.63,103.939466667,87.2725666666,139.090933333,71.7421666667,43.7878666667,122.5758,116.590866667,50.4545999999,131.666666667
