wavelength,Back_CatInof,Belly_CatInof,Breast_CatInof,Crissum_CatInof,Crown_CatInof,DorTail_CatInof,Patch10_CatInof,Rump_CatInof,Throat_CatInof,WingTip_CatInof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,46.6666666667,29.3333333333,16.0,22.6666666667,-6.0,23.3333333333,38.6666666667,34.0,36.6666666667,25.3333333333
179.16,-86.6666666667,-33.3333333334,8.33333333326,-31.6666666667,-11.6666666666,-13.3333333333,58.3333333334,25.0,9.99999999992,26.6666666667
179.54,8.88886666674,84.4445333335,86.6666666666,84.4443999999,91.1110666665,-44.4444666665,66.6666666667,108.888733333,-6.66673333326,-28.8889333333
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-0.91946666666,1.14939999992,34.7127333334,45.2873333334,26.4368666667,5.97700000008,47.5862666667,39.9999333333,15.4021999999,3.90813333332
180.69,-14.4828,-6.20693333333,19.0805333333,31.0344666666,13.1035333333,-6.20693333328,28.9656,22.7585333333,4.36786666666,-3.44819999998
181.07,-59.6078666666,-53.3333999999,10.5882666667,15.2941999999,29.4117333333,-26.6665999999,19.9998666667,-7.451,-20.3922000001,-47.4510666665
181.45,423.333333333,443.333333333,263.333333333,118.333333333,118.333333333,361.666666667,221.666666667,376.666666667,383.333333333,486.666666668
181.83,122.222066666,132.063466667,107.619066667,53.9681999999,86.9840666665,123.492,89.8414666666,129.8412,111.746066667,132.380933333
182.21,113.333333333,116.049333333,108.889,67.6543333333,90.8642666667,117.7778,95.3086666667,130.864133333,101.728333333,114.567933333
182.59,90.8109333333,83.7838,95.3152666667,59.8198,87.2072666667,97.6576666665,79.2793333335,112.072066667,78.018,101.081
182.97,68.7406666667,61.4814,78.3703999999,42.3703333333,76.7407333333,72.2961333334,60.7407333333,91.8518666667,70.9629999999,78.3704666667
183.35,71.2726666667,75.3939333333,81.5757333333,54.0605333333,79.1514666667,74.1817333334,70.4240666666,94.1816666668,73.5758666666,80.0000000001
183.73,94.4278000001,99.403,103.7812,78.9054666667,103.582133333,97.5125333334,95.4227999999,113.5324,97.5122666667,97.9103999999
184.11,84.6428666667,96.3093999999,92.0238666666,70.8334,97.2619333333,87.9763333332,88.4524,106.785666667,94.0476000001,91.9047333333
184.49,91.7948666667,92.6923333334,91.1538000001,72.0514,105.384533333,89.8718000001,95.7692,109.8718,92.6922666665,96.1538
184.87,84.6079333334,89.4118,78.8236000001,69.0196666667,95.3921333332,83.7254666667,86.0784666667,100.294133333,81.9608000001,88.8236666667
185.25,82.1002666667,85.5707333333,74.9771333333,63.2876666667,96.895,83.3789999999,82.9222666667,93.3334,81.8265999999,85.8446666667
185.63,76.6168666667,84.0796666666,64.2787333333,55.1244666667,93.6318666665,75.4229999999,75.7214,85.6717333333,75.4227333333,78.1095333333
186.01,80.4166666667,102.638933333,62.0833333333,65.5555333333,104.0278,70.4166000001,81.1111333333,84.1666666666,80.2776666667,81.3889333333
186.39,63.5,95.1666666667,40.8333333333,42.3333333333,93.4999999999,48.9999999999,63.6666666667,56.6666666667,65.5,64.9999999999
