wavelength,Back_AniLacf,Belly_AniLacf,Breast_AniLacf,Crissum_AniLacf,Crown_AniLacf,DorTail_AniLacf,Patch10_AniLacf,Patch11_AniLacf,Patch12_AniLacf,Patch13_AniLacf,Rump_AniLacf,Throat_AniLacf,WingTip_AniLacf
184.11,-1112.00006666,-1063.09541667,-1089.90466667,-1060.57153333,-1055.619,-1020.95246667,-1051.0476,-1094.47626667,-1123.99993333,-1097.5238,-1001.90473333,-1116.9524,-1069.52393333
184.49,-1048.64873334,-1019.14416667,-1033.69373333,-1012.072,-1005.22533333,-966.846800001,-1001.26133333,-1033.51346667,-1050.2702,-1056.7568,-950.090133333,-1054.41426667,-1014.05406667
184.87,-1137.84293333,-1114.583125,-1117.255,-1110.19606667,-1099.01946667,-1051.5686,-1093.33326667,-1128.23513333,-1139.4118,-1159.4118,-1029.80393333,-1147.05886667,-1108.03906667
185.25,-1434.32106667,-1425.77158333,-1413.33333333,-1413.08653333,-1378.2716,-1325.18526667,-1388.88873333,-1417.03693334,-1430.1236,-1475.30853333,-1286.66673333,-1439.0124,-1406.17286667
185.63,-1537.86666667,-1534.66666666,-1517.33333333,-1522.93333333,-1485.06666667,-1424.0,-1493.6,-1528.8,-1541.06666667,-1582.53333333,-1384.0,-1541.06666667,-1515.2
186.01,-3560.0,-3561.36370833,-3475.15146666,-3512.72733333,-3452.72733333,-3286.06073333,-3441.81813333,-3509.091,-3573.33333334,-3662.72733333,-3200.60606666,-3540.60613333,-3506.0606
186.39,-7801.33333333,-7850.83333333,-7650.66666667,-7728.0,-7610.66666667,-7266.66666667,-7602.66666667,-7694.66666667,-7830.66666667,-8093.33333333,-6993.33333333,-7702.66666667,-7717.33333333
186.77,-4821.66666667,-4870.83333334,-4744.16666667,-4810.0,-4745.0,-4520.83333333,-4730.83333333,-4760.83333333,-4848.33333333,-5014.58333333,-4319.16666667,-4723.33333333,-4760.83333333
187.15,6413.3334,6569.44441667,6344.4444,6475.5556,6378.889,6097.77786667,6364.44446667,6398.88886667,6505.55553333,6702.2224,5801.11113333,6315.55566667,6423.33346667
187.53,4798.33333333,4901.5625,4703.33333333,4839.16666667,4788.33333333,4560.83333333,4755.83333333,4768.33333333,4835.83333333,4985.83333333,4359.16666667,4679.16666666,4797.5
187.91,1229.58333333,1254.16666667,1204.375,1225.625,1223.75,1154.375,1213.33333333,1222.91666667,1226.04166667,1269.47916667,1126.04166667,1198.33333333,1219.375
188.29,1097.7778,1121.06466667,1078.14813333,1098.33333333,1099.6296,1037.40746667,1085.55553333,1096.6666,1096.29626667,1136.5741,1012.77773333,1070.74073333,1080.55573333
188.67,736.484933333,752.499958333,720.484933333,733.696933333,729.5758,695.393866667,727.2728,733.333333333,737.696866666,754.181966667,679.757466667,714.6666,720.000066667
189.05,692.758666667,714.9425,685.976933333,691.724066667,687.931066667,657.815933333,687.816066667,690.344866667,694.9426,710.6896,645.287266667,669.425266667,685.747266667
