wavelength,Back_TanVelf,Belly_TanVelf,Breast_TanVelf,Crissum_TanVelf,Crown_TanVelf,DorTail_TanVelf,Patch10_TanVelf,Patch11_TanVelf,Patch12_TanVelf,Rump_TanVelf,Throat_TanVelf,WingTip_TanVelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,323.611166667,272.916666667,272.916666667,340.277833333,140.97225,118.75,364.583333333,52.7778333333,118.0555,86.1110833335,84.0277500002,408.333333333
179.16,51.4529166667,64.4871666666,57.3931666668,76.8803333333,68.3333333333,58.6323333333,80.4274166666,53.0344166667,71.5384166667,49.6154166667,59.4872499999,68.611125
179.54,-189.33825,-191.544166667,-196.0785,-213.602916667,-190.56375,-192.647,-246.201,-167.279416667,-253.921583333,-144.730416667,-200.367666667,-149.080916667
179.93,-237.009833333,-249.019583333,-228.431416667,-463.480416667,-239.951,-151.96075,-426.71575,-190.196166667,-297.794083333,-171.568583333,-196.078416667,-118.504916667
180.31,-214.572833333,-207.512666667,-193.682833333,-268.187666666,-137.620333333,-122.715166666,-310.681916667,-175.282916667,-233.842833333,-107.441916667,-156.03425,-112.450375
180.69,-270.963666667,-282.44,-259.265666667,-351.936666666,-192.84025,-170.31825,-396.4725,-245.566,-296.980833333,-158.600583333,-227.693,-183.323666667
181.07,-151.697583333,-160.32025,-135.161083333,-210.278333334,-101.500583333,-86.5023333333,-231.644166667,-143.423,-171.868666667,-84.8423333333,-125.419,-99.1594583333
181.45,-95.3620833332,-89.5337500001,-63.0705000002,-118.750083333,-39.2609166666,-42.5099166667,-133.110083333,-75.4713333333,-84.6974166668,-41.0465833334,-61.1359166666,-49.95025
181.83,-131.797166667,-95.0547499998,-42.2978333335,-120.58075,-15.06725,-53.1144166667,-143.476416667,-75.9047499998,-69.9706666666,-40.4250833333,-42.9925000001,-60.4480833333
182.21,-446.981166667,-107.823166667,93.7075,26.8707499998,135.33175,-270.833249999,-147.87425,-49.7448333334,91.1565000001,-68.8774999999,140.1785,-159.141208333
182.59,-1819.01691667,-355.769333333,535.897583333,277.564166667,526.923166667,-1275.85483333,-468.376083333,-85.8974166666,645.940166667,-211.324666667,775.640916666,-617.521458333
182.97,161.257583333,-2.40908333335,-82.3636666666,-98.1364166666,-53.6211666667,156.984916667,-16.2424166668,-37.6060833333,-97.8485,22.5909999999,-101.72725,37.0605833334
183.35,129.420833333,-0.717166666675,-49.67325,-53.7399166666,-23.2934166667,127.342083333,-8.56016666685,-11.3561666668,-57.6615833333,15.6952500001,-60.07625,35.0580833333
183.73,101.658166667,-28.9898333334,-55.8334166666,-81.5405000002,-34.8738333333,98.2406666668,-40.0589166668,-28.2239166668,-69.2003333333,-6.6750833335,-69.6128333334,17.9125416667
184.11,23.6285,-87.2395,-104.6875,-176.927166667,-76.1805833334,20.7290833334,-110.885416666,-97.1700833332,-121.215333333,-61.8576666668,-131.232583333,-43.8195416667
184.49,-56.4286666666,-153.888833334,-181.64675,-296.369083333,-115.952333333,-51.3094999998,-207.281666667,-181.865083333,-185.992,-136.96425,-210.138916667,-106.527833333
184.87,-35.9334166666,-120.206666667,-153.769833333,-256.881666667,-85.944,-27.1303333334,-181.004666666,-143.49425,-166.83375,-121.209166667,-186.205,-52.9343333333
