wavelength,Back_UroStof,Belly_UroStof,Breast_UroStof,Crissum_UroStof,Crown_UroStof,DorTail_UroStof,Rump_UroStof,Throat_UroStof,WingTip_UroStof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,34.3136666667,41.1763333334,41.1765,58.8235,32.3528333333,35.2943333333,53.9215,41.1765,39.2158333333
179.16,19.4443333333,31.9443333333,4.16666666665,-15.2778333333,-12.5,16.6666666667,44.4443333334,20.8335,22.2221666667
179.54,525.0,316.666666667,350.0,450.0,691.666666667,266.666666667,383.333333334,433.333333333,533.333333334
179.93,180.9525,230.952333334,154.762,149.999833333,202.381,83.3334999999,130.952333333,107.143,152.381
180.31,6133.33333334,6233.33333334,2816.66666667,6333.33333334,8083.33333333,4266.66666667,4166.66666667,4683.33333334,6716.66666667
180.69,533.3335,566.6665,246.153833333,551.282,702.564166667,385.8975,387.179333333,415.3845,585.897333333
181.07,296.794833333,323.718,157.051166667,326.923,411.538333333,232.692166667,228.205166667,234.615666667,346.794666667
181.45,226.851666667,265.277833333,118.5185,241.6665,317.592666667,185.185333334,199.074166666,192.592333333,279.629666667
181.83,188.888833333,232.963166667,107.777833333,201.111,260.740666666,168.888666667,165.926,170.3705,245.185166667
182.21,192.6355,241.472833333,117.8295,217.441833333,281.3955,189.534833333,189.147166667,188.372,272.868166666
182.59,176.736166667,208.680666667,95.1388333335,189.583333333,254.861,177.777833333,177.4305,157.986166666,243.403
182.97,169.047666666,195.238,86.3945000002,177.210833333,247.278833334,163.605333333,179.931833333,138.775333333,231.292666666
183.35,162.424333333,190.000166666,99.9996666667,178.484666667,242.121166667,170.302833334,189.393833333,144.848666666,229.697
183.73,160.691833333,191.823666667,112.893,190.880666667,256.918333334,186.7925,196.855333333,147.798833333,237.107
184.11,149.371166667,174.842666667,107.232666667,182.0755,244.654166667,176.7295,183.333166667,146.226333333,224.528333334
184.49,153.472333333,186.111333333,106.25,201.389,271.180666667,181.944333333,208.680666667,164.930666667,249.305666667
184.87,170.512833333,207.264833333,118.375833333,241.453,333.3335,205.555666667,256.837666667,204.700833333,295.299
185.25,140.625,177.4305,89.5833333332,200.000166666,274.652833333,162.847166667,223.958333333,182.2915,229.861
185.63,142.7535,167.029,85.1446666666,193.478333333,272.826166667,153.623166666,222.826,177.173666667,215.217333333
186.01,168.889,205.555666667,80.5554999999,253.889,387.777833333,187.777833333,322.222166667,221.666666667,265.0
186.39,256.4815,287.037166667,82.4073333335,373.148166667,623.148333333,313.889,495.370333333,314.814666666,380.5555
186.77,-945.833333333,-1062.5,-216.666666667,-1495.83333333,-2637.5,-1112.5,-1970.83333333,-1275.0,-1416.66666666
187.15,-358.333333333,-416.666666667,-70.0,-581.666666666,-1035.0,-365.0,-748.333333333,-576.666666667,-576.666666667
187.53,-156.14,-164.912166667,-11.4035,-233.333333334,-507.0175,-145.614,-335.087666667,-283.333333334,-264.035
187.91,-113.889,-115.277666666,11.111166667,-157.638833334,-389.5835,-73.6111666665,-237.5,-188.888833334,-197.222333333
188.29,-77.1605000001,-93.8271666667,16.0495000002,-124.074,-333.950666667,-50.6173333335,-196.296333334,-132.716,-155.555666666
188.67,-68.0556666669,-97.2223333334,21.5278333335,-120.138666667,-362.499833333,-40.972,-213.888833333,-117.361,-150.000166667
189.05,-29.6875,-66.1458333333,16.6666666667,-82.2916666667,-250.0,-28.125,-145.3125,-64.5833333333,-102.604166667
189.43,-32.9363333333,-40.873,-6.34916666665,-69.4445000002,-188.095166667,-31.7461666667,-117.0635,-50.7935,-92.8571666665
189.81,-60.1191666667,-83.3333333333,-37.4999999998,-156.5475,-327.381,-86.9048333332,-213.095166667,-95.2381666668,-182.737833334
190.19,-48.1481666666,-65.278,-36.1111666666,-134.722,-259.722333333,-74.5368333334,-174.537,-84.7221666669,-144.444166667
