wavelength,Back_TerVirf,Belly_TerVirf,Breast_TerVirf,Crissum_TerVirf,Crown_TerVirf,DorTail_TerVirf,Rump_TerVirf,Throat_TerVirf,WingTip_TerVirf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,58.7964166667,48.61125,66.2036666666,58.1404652778,57.4075,47.2221666666,57.2530555556,69.9074166666,57.87025
179.16,83.3334166666,86.9047500001,61.90475,20.9325902778,60.71425,72.6190000002,114.417953704,114.285666667,99.4047083332
179.54,82.5,65.8333333332,49.1666666667,63.263888889,94.9999999999,81.6666666668,72.4074074075,113.333333334,69.5833333333
179.93,46.5276666666,27.0833333333,38.1945,42.3610902778,52.0833333333,50.0000833333,56.944537037,68.0555833333,31.944625
180.31,60.294,53.1250833333,61.1519166667,57.639,67.2179166667,64.5834166667,72.1269074074,76.3480833333,60.9374583333
180.69,55.9368333333,52.4510833333,60.4574166667,56.9535,66.231,62.58175,70.7999537037,73.7471666667,58.306125
181.07,51.22875,50.9080833333,54.9143333333,53.6947708333,64.9571666667,61.32475,68.9874537037,69.9786666667,55.0214166667
181.45,47.8415833333,46.53625,51.45575,53.0036944445,61.8975833333,59.83925,64.8928796296,63.4035,53.1123333334
181.83,48.8025,48.3033333333,54.0918333333,54.0669097222,62.4750833333,60.32925,67.90875,62.9740833333,53.84225
182.21,51.80725,50.3010833333,57.5804166666,55.2960902778,65.0604166667,62.1486666667,69.4554166666,64.7589166666,55.5220416666
182.59,51.60425,49.10875,56.7736666667,52.8706041667,63.3690833333,59.0464166667,66.552787037,63.1463333333,52.6738333333
182.97,51.8900833333,48.79725,56.44325,51.6823472222,63.3589166666,56.9158333333,66.8243518518,61.2973333333,49.24825
183.35,52.77775,48.3333333333,56.9656666667,51.7913611111,65.4273333334,57.9914166667,65.066462963,60.4274166667,50.5127916667
183.73,51.9901666666,48.0929166667,54.9336666666,50.8014722222,64.0961666666,57.1725,61.9909537037,57.37975,47.782
184.11,48.445,44.8961666667,51.47525,47.3417708333,59.4896666666,55.4226666667,57.5890092592,51.9935833333,45.3946666667
184.49,47.0295,40.93375,45.7175833333,43.4091388889,54.7068333333,50.6945833334,51.8346388889,48.071,40.162125
184.87,49.5348333333,41.3955,44.6123333333,43.1591319445,53.6045833333,50.77525,50.9603333334,47.9845833333,39.1281666667
185.25,50.7918333333,37.9715,45.1734166667,41.6760555556,51.5836666667,49.8868333333,49.3547685185,45.1735,38.1033333333
185.63,52.3304166667,38.7710833333,47.74,42.6760694444,52.6835833333,49.082,49.0700740741,47.1751666667,37.2175
186.01,51.0808333333,35.9135,45.36275,41.2889791667,50.3835,47.45475,47.0556759259,44.0029166666,35.3556666667
186.39,52.49325,37.09025,46.0723333334,44.302125,49.8291666666,48.3949166667,47.1462685185,43.8524166667,37.1245
186.77,51.325,37.2384166667,46.5830833334,45.6444861111,48.5705,48.0825,45.9164814815,41.3876666666,37.5174166666
187.15,53.2245833333,37.93475,47.53625,47.6236527778,47.3186666667,49.4565833333,44.7141018519,41.99275,39.9457083333
187.53,51.7635833333,35.7539166667,44.4675833333,45.4154166667,43.3955,45.816,43.50325,39.9031666667,36.4455
187.91,51.0840833333,35.4675,44.851,44.3089861111,40.95525,43.6654166667,42.0656203704,38.24525,34.468125
188.29,53.63525,38.786,49.1426666667,47.1908055555,43.2098333333,46.0218333333,43.6824351852,41.7695833333,36.36825
188.67,55.23025,41.4575,52.68475,49.5147083334,44.0723333334,48.22175,45.5523888889,44.3166666667,40.8125416666
189.05,50.5795833334,36.19575,49.2391666667,45.1419652778,39.8189166667,42.78975,40.3259722222,39.3115833334,36.4130416667
189.43,52.3865833333,40.1409166666,52.23,48.0210277778,40.92325,45.5008333333,40.2103796296,41.9796666666,38.614875
