wavelength,Back_RamDimm,Belly_RamDimm,Breast_RamDimm,Crissum_RamDimm,Crown_RamDimm,DorTail_RamDimm,Patch10_RamDimm,Rump_RamDimm,Throat_RamDimm,WingTip_RamDimm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,25.0,48.8888666667,46.6667333333,48.8888666667,8.61113333334,42.2221333333,36.1110666666,40.5556,36.6666333333,41.9444
179.16,-100.0,-43.9999999999,-27.9999999999,-56.0000000001,-135.333333333,-37.3333333333,-110.666666667,-49.3333333333,-102.0,-34.6666666667
179.54,35.5555333333,-22.2220666667,113.333333333,42.2222,7.77770000008,11.1108666666,8.88900000006,24.4443333333,-41.1111333333,61.1109666666
179.93,102.424266667,78.1818000001,50.3031333333,80.0000666667,71.5152333333,69.0907333333,80.0,73.9395333332,58.1818666667,70.6060333333
180.31,-5120.0,-4546.66666667,-2520.0,-3773.33333333,-5386.66666667,-3720.0,-5493.33333333,-4386.66666667,-4476.66666667,-2233.33333333
180.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.07,235.873,232.063533333,128.571533333,185.714266667,240.317433333,185.079466667,289.841333333,220.0,219.841433333,94.2856333334
181.45,176.774133333,178.4946,116.559066667,155.698933333,171.2903,156.559066667,215.268933333,173.978533333,162.580566667,85.4837333334
181.83,174.022866667,175.1724,129.885133333,162.528733333,172.988633333,158.850666667,218.850666667,168.5058,158.850566667,85.7473
182.21,504.166666667,514.166666667,417.499999999,466.666666667,533.749999999,511.666666667,695.0,512.5,493.333333333,182.916666667
182.59,-511.666666667,-616.666666667,-351.666666667,-560.0,-632.500000001,-668.333333333,-925.0,-523.333333333,-492.499999999,34.1666666666
182.97,-566.666666665,-783.333333333,-216.666666666,-636.666666666,-693.333333331,-1093.33333333,-1276.66666667,-520.0,-656.666666666,310.0
183.35,-27.6190666665,-59.9999333335,12.3809333333,-30.9522666667,-68.5714666666,-143.3334,-164.762,-36.1903333333,-71.4284,59.5237666666
183.73,-700.000000001,-973.333333334,-606.666666668,-853.333333333,-1043.33333333,-1593.33333333,-1660.0,-846.666666667,-1048.33333333,-200.0
184.11,-32.8571333334,-53.8096,-14.7618666667,-25.7142666666,-77.3809666665,-122.380866667,-143.8096,-35.7141999999,-90.0001666667,44.0476666667
184.49,1.53846666666,8.20513333334,-1.02560000007,19.7434666666,-20.0000000001,-40.7692666667,-61.2820000001,13.0769333334,-26.0256333333,36.4101666667
184.87,23.2432666667,26.1261333333,32.7926666666,41.4414666666,5.04496666666,-13.6935333333,-23.0630666666,24.5044,-0.360333333326,39.0989666667
185.25,17.0257333333,20.1025333333,21.9486666667,31.5898666667,7.9489,-0.512999999994,-1.12813333333,22.5642,1.02563333332,25.4357666667
185.63,32.827,30.5485333333,39.1560666667,46.1602666667,22.1096333333,15.6119333333,18.0590666667,36.1181333333,16.7932,40.5484333333
186.01,33.9024666667,31.5448,45.691,50.3252,26.6261,15.7722666667,17.1546,37.9674666667,19.6341333333,40.5284
186.39,41.4559333333,38.3141333333,49.9617333333,55.6321333333,33.1417333333,20.8430666667,24.751,42.069,22.8735333333,42.4137666667
186.77,34.5705333333,32.7147333333,39.7937333333,46.048,27.9381333333,15.1891333333,15.8075333333,33.6082,14.1924666667,35.8762333333
187.15,34.4047333333,35.238,37.2618,45.5357333333,27.4999333333,21.4880666667,17.6784,34.4643333333,18.6012666667,38.6311
187.53,35.1074,36.3978,36.3442,45.3226666667,27.7689,21.0752666667,20.9679333333,33.3870666667,19.1398666667,42.7419333333
187.91,42.616,45.4008666667,44.0927333333,51.0548666667,37.5739,29.6202,28.059,42.7004,29.7469,48.2066666667
188.29,41.5967333333,44.6307333333,39.4411333333,48.9422,37.9640333333,26.5868,28.0639333333,41.3573333333,30.9781,46.4670333333
188.67,44.4171333333,44.1308,43.4765333333,49.1206,38.3435,27.1166,27.6482,41.5134,30.7976,48.6502
189.05,40.5316666667,42.6994,39.3457333333,46.135,36.0123,24.5397333333,25.4394666667,40.7772666667,29.3250666667,47.0552666667
189.43,42.7110666667,47.111,42.1776,48.5778,37.9334,24.8442666667,27.0668,45.4666,33.5999333333,50.5778666667
189.81,43.3970666667,48.1954,41.7409333333,51.0828666667,38.6835666667,26.6666,27.9406,47.3886,37.2187666667,49.1717666667
190.19,38.0367333334,43.7218666667,34.9284,45.9304,33.1288666667,23.0676,24.2944,41.9631333333,31.6973666667,44.7851333333
190.57,41.3414666667,46.4228,40.569,51.0568666667,38.0080666667,30.1626666667,27.1138,48.9025333333,39.4513333333,51.4025666667
190.95,41.0714,45.5554666667,38.9285333333,48.4126666667,37.8769333333,29.881,29.6032666667,50.9125333333,41.8652333333,49.7419666667
191.33,40.2828666667,44.6464666667,39.2322666667,44.9698,38.7070666667,27.2322,29.2930666667,50.1012,41.2929333333,49.7980666667
191.71,46.4658666667,49.8794666667,44.4579333333,50.8833333333,45.5421666667,33.4538,39.1566,54.8593333333,45.6025666667,52.6105333333
192.09,48.2018666667,51.6666,41.7543333333,53.0702666667,49.6053,35.307,43.8596666667,57.5438,49.2764333333,51.8861
192.47,46.4336666667,47.7855333333,39.394,48.5782,48.5081333333,30.7693333333,44.3356666667,56.923,45.1049333333,47.9953666667
192.85,46.4198,48.7406666667,35.8024,48.3458666667,47.3332666666,28.2468666667,43.7035333333,58.1728666667,47.6544333333,43.4567
193.23,41.0752666667,40.2150666667,26.7741333333,39.0861333333,42.7150666667,20.5376,37.7418666667,52.3119333333,43.8441666667,36.9088
193.61,39.7850666667,33.0646,22.258,35.1076666667,40.8871666667,16.7742,32.9033333333,49.8924666667,38.0643333333,33.6022333333
193.99,41.5152,33.9393333333,20.7272666667,32.1212,44.3940333333,17.3938666667,34.7271333333,51.9392666667,36.0607,33.8181333333
194.37,44.5736,34.4186666667,17.7518666667,34.341,48.4884666667,13.6433333333,39.5349333333,55.5038666667,37.3643999999,32.0156333333
194.75,18.9418,7.40733333332,-16.4022666667,-2.11633333334,26.1374,-26.9839999999,16.508,36.5080666667,8.51859999993,-1.48136666667
195.13,24.4808666667,16.7213333333,-12.7868,11.0384666667,29.4535666667,-26.7760666666,13.3332666666,34.5356666667,14.2622666667,-2.67763333333
195.51,27.4666666667,5.20000000001,-34.1333333333,14.4,25.4,-42.9333333332,6.26666666666,29.2000000001,11.5999999999,-22.9333333333
195.89,-12.2222666667,-52.2221333334,-93.7036,-29.4443333333,-9.44443333328,-109.259066667,-50.5555333333,-6.29633333327,-28.889,-75.4630333333
196.27,-39.0196,-72.3529333333,-99.8037999999,-51.1764666667,-46.2744666667,-134.7056,-72.549,-23.5292666667,-46.0784,-105.3921
196.65,-38.3333333333,-83.6112666665,-121.944333333,-32.2222666667,-50.5554333333,-150.833266667,-105.277666667,-33.8889999999,-40.4166333333,-129.444533333
197.03,9.99999999994,-13.492,-25.3968666667,22.8571333334,16.1111,-49.2064000001,-15.8730666666,12.2223333333,9.4445333334,-40.5556
197.40,39.3333333333,8.83333333336,-2.5,47.6666666665,46.4166666666,-22.4999999999,10.1666666667,31.5000000001,23.2499999999,-37.4166666667
197.78,44.5832666667,32.9167333333,6.38886666668,64.1666666667,49.6527333333,0.55559999994,15.4166666667,31.2499999999,42.7083,-19.3750333333
198.16,40.7018666667,34.9708666667,16.0233333333,70.1753999999,50.0000000001,2.57306666674,19.8831333334,35.2047999999,50.4677666666,-9.5321
198.54,50.0564,46.4406666667,28.9266666667,75.0283333333,63.7287333333,9.94353333336,25.7628000001,49.4915333333,68.9831,5.98876666666
198.92,54.4444666667,47.879,28.889,77.6767999999,61.0100666667,16.2626666667,25.2526000001,48.7878666667,64.7475333333,10.4544
199.30,46.6667999999,36.1538,17.9487333333,76.7948666667,58.0129,7.69233333326,17.4359333334,45.1282666667,60.8975666667,-7.94873333334
199.68,28.1760666667,28.9308,6.79246666666,64.5283333334,44.0252333333,-0.2516,1.38366666667,33.2075999999,51.8867666667,-19.3081333333
200.06,25.679,29.3826666667,8.39493333334,64.8147333333,36.0494,-2.5926,-2.09873333335,30.3703333333,52.1606666666,-25.0618
200.44,32.1950666667,31.382,-0.16253333342,81.7886666667,51.7073333334,-9.59326666672,-10.7317999999,24.7152666666,66.0977333333,-30.8944
200.82,11.3889333333,11.5278,-17.4999333333,53.889,33.7501,-31.1110666667,-19.8610666667,13.8888666666,36.5973333333,-39.7917
201.19,-0.5714,-12.3809333333,-48.7619333333,50.4761999999,29.6191999999,-59.9999999999,-48.7618666666,-5.90473333333,27.1427666667,-67.1428666667
201.57,7.17946666668,-2.94886666668,-19.7435333333,47.6924000001,20.7050333333,-36.2821333334,-27.3078,8.46146666665,31.4101666667,-36.6025333333
201.95,-8.88893333333,-24.3138,-35.4247333333,32.8103333333,9.80383333334,-57.9084666667,-36.2091999999,-3.79086666666,11.7645,-55.8170666667
202.33,-109.333333333,-164.333333333,-206.0,-39.3333333334,-60.3333333333,-236.333333333,-187.666666667,-130.666666667,-97.3333333334,-253.166666667
202.71,-58.5185333334,-126.913533333,-146.173,-23.4568000001,-34.0741666667,-159.2592,-113.8272,-101.2346,-73.4568666666,-182.098633333
203.09,-146.190466667,-285.714266667,-304.761866667,-82.8571333334,-87.3809666667,-339.047666667,-225.714333333,-270.000066667,-175.714266667,-391.4286
203.47,-1390.0,-2206.66666667,-2660.0,-1003.33333333,-969.999999999,-2906.66666667,-2020.0,-2360.0,-1800.0,-3236.66666667
203.85,168.181733333,256.666733334,276.060666667,163.636333333,130.454633333,316.9696,239.697,272.121266667,220.302966667,343.1819
204.22,139.111133333,196.8888,213.1112,136.888866667,94.4444333333,232.0,195.555466667,203.333266667,161.222233333,267.111066667
204.60,173.103466667,226.896533333,247.1266,159.080266667,125.2874,260.6896,222.7586,232.8736,194.367766667,306.206766667
204.98,160.392133333,194.313733333,205.49,134.313866667,116.568666667,221.3726,200.196133333,208.431333333,156.9609,268.235133333
205.36,146.388933333,161.5278,171.944333333,122.6388,113.194366667,184.8612,177.638933333,170.138933333,141.388866667,212.7778
205.74,123.5238,129.714266667,148.095333334,108.380866666,102.571466667,149.8094,147.333266667,146.381066667,118.4285,165.714466667
206.12,110.441666667,115.983866666,129.798933333,103.855266667,93.6948666668,131.967866667,133.172733333,135.180866667,102.730733333,146.224833333
206.50,120.325133333,124.552866667,137.642266667,108.780466667,108.251966667,139.756066667,145.3658,144.146333333,109.796833333,152.317266667
206.87,115.646333333,112.721266667,129.3878,100.816266667,105.102133333,125.034066667,138.8436,131.3604,100.918366667,135.4421
207.25,118.062,114.961333333,134.031066667,101.5504,109.030866667,129.612333333,145.348733333,134.651266667,102.480533333,138.410733333
207.63,125.916666667,127.916666667,139.666666667,110.166666667,116.958333333,138.333333333,150.583333333,144.333333333,109.333333333,142.333333333
208.01,141.592133333,140.198866667,163.2836,120.895533333,131.194066667,157.910466667,170.646733333,164.8756,125.920466667,165.372966667
208.39,124.9808,126.896466666,145.746933333,112.0308,119.1188,140.766333333,143.601533333,148.582333333,118.3524,147.8163
208.77,126.5882,129.568666667,143.058866667,115.137333333,120.6667,142.9804,147.8432,150.745066667,124.353,149.372533333
209.14,116.344,120.932,134.408733333,112.688266666,112.903266667,136.200866667,138.566466667,139.139933333,118.745533333,141.111233333
209.52,112.1404,115.719266667,129.6842,113.263066667,108.2106,128.912266667,126.666666667,135.157933333,112.385833333,136.0701
209.90,109.119533333,112.767133333,123.9622,115.408933333,104.905666667,125.094266667,119.1824,131.6352,112.421133333,127.987433333
210.28,109.655,114.023133333,119.655066667,113.907933333,105.919533333,122.6436,115.517066667,128.103333333,113.5057,126.7528
210.66,109.239,112.178333333,116.587933333,114.0158,103.202133333,119.055133333,112.073533334,125.3544,113.2548,123.622066667
211.03,121.7186,123.229066667,124.374933333,124.4792,114.322766667,131.249866667,121.822866667,136.458333333,123.411466667,137.5
211.41,120.219133333,123.903666667,123.4212,123.5086,114.429833333,128.201733333,122.5438,134.2106,121.513266667,135.789433333
211.79,124.6532,130.559333333,128.724933334,129.172266667,119.820933333,133.780733333,128.008866667,141.8344,125.4586,140.536833333
212.17,119.198333333,128.185733333,124.725733333,123.3754,115.5697,127.0464,122.194066667,136.371266667,119.050566667,135.928333333
212.55,125.707733333,132.8768,129.634666667,128.4018,121.803633333,131.780733333,129.4976,141.37,122.214433333,138.013633333
212.92,128.143266667,136.4204,132.527866666,131.856666667,122.662333333,134.272933333,129.977533333,140.0448,122.080433333,138.076166667
213.30,132.072066667,140.1352,138.558466667,135.135133333,127.905333333,138.378466667,133.3332,145.720733333,126.486566667,141.283866667
213.68,138.6384,146.056333333,148.450666667,139.718133333,134.8357,144.0376,141.924933333,150.657266667,132.605566667,150.352233333
214.06,143.043466667,148.0676,151.401066667,136.280266667,137.3431,145.652266667,146.6184,151.497533333,134.347866667,155.579733333
214.44,151.598933333,153.929533333,162.3848,144.7696,146.7208,156.151666667,159.512066667,161.571866667,144.525733333,163.712733333
214.81,169.906533333,173.5826,184.112133333,159.9378,166.573266667,176.760133334,181.931466667,178.130866667,161.2462,186.043666667
215.19,153.511866667,155.357133333,167.2024,146.309533334,149.9702,161.3096,165.714266667,162.261933333,148.988233333,168.750066667
215.57,168.226866667,165.177266667,184.255333333,159.432666667,162.234033334,178.8654,178.9362,173.617,163.0141,183.0142
215.95,144.944533333,140.611133333,158.722266667,136.2778,139.083233333,149.611133333,153.888933333,145.444466667,140.972233333,158.027866667
216.32,148.055466667,139.8332,158.5554,137.333266667,140.166633333,151.389,155.777666667,142.4444,142.583333333,157.388766667
216.70,166.729466666,156.603733333,179.622666667,154.087933333,157.201233333,166.415133334,175.974933333,162.0756,163.8679,181.320666667
217.08,153.7852,144.689266667,168.418,142.2034,150.367166667,151.469,166.440666667,154.745866666,153.361533333,170.536866667
217.46,146.0606,137.7272,157.979866667,134.697066667,142.0202,143.888733333,157.424333333,145.404066667,147.171833333,160.050433333
