wavelength,Back_BanEdwm,Belly_BanEdwm,Breast_BanEdwm,Crissum_BanEdwm,Crown_BanEdwm,DorTail_BanEdwm,Patch10_BanEdwm,Patch11_BanEdwm,Patch12_BanEdwm,Rump_BanEdwm,Throat_BanEdwm,WingTip_BanEdwm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-6.66666666652,166.931372549,190.0,170.0,133.333333333,69.9999999999,93.3333333333,190.0,140.0,83.3333333333,206.666666667,366.666666667
179.16,173.333333333,176.56372549,188.333333333,250.833333333,206.666666667,173.333333333,196.666666667,186.666666667,170.0,131.666666667,133.333333333,209.166666667
179.54,50.5882,40.8939372549,49.804,81.3725666667,63.5295333333,58.8234,76.8626000001,62.3529333333,47.4509333334,47.0588,42.3528666667,69.6078666667
179.93,25.8333333333,18.5710784314,54.1666666666,80.0,64.1666666667,60.0,81.6666666667,101.666666667,55.0,22.5,44.1666666667,76.25
180.31,73.2623999999,75.186094902,82.7658666667,105.4609,81.7022666665,58.0850666667,93.6879999999,93.1916000001,85.2482666666,75.5319333333,71.2056,109.3618
180.69,79.9999333334,78.2984031373,85.9681333335,107.079266667,85.4603333333,62.7935333333,95.6824666667,95.873,89.9047333334,80.3809333333,72.6350000001,113.9047
181.07,85.6357333333,80.2537541177,89.5532666667,112.0962,88.8659333334,62.7492666667,101.168333333,101.374666667,94.8454666665,83.7113333333,72.2335999999,118.178666667
181.45,89.7162666667,83.5894829412,91.7022,116.311933333,94.1844666667,64.2554666667,107.234,107.7306,102.198533333,90.4255333333,77.0214000001,125.815766667
181.83,101.587266667,97.893947647,104.285733333,131.1509,107.936533333,69.5238000001,118.650933333,124.126866667,118.650733333,104.761866667,89.1270666668,144.7618
182.21,123.6036,122.662198039,129.1892,152.6576,127.927933333,82.1622,139.819866666,146.126133333,141.982,128.558533333,107.027,171.576633333
182.59,129.7836,136.185845686,141.558533333,165.194833333,143.117,85.8875333332,147.792133333,153.8528,150.562733333,140.259733333,119.7402,179.480533333
182.97,128.444333333,136.057423529,137.600066667,165.6888,147.910933333,86.0443333333,145.244466667,150.8444,148.266666667,137.155666666,114.133466667,182.755466667
183.35,121.111066667,130.158079804,134.259266667,157.083366667,144.814866667,89.8148666667,140.740733333,150.0926,145.370333333,130.7408,108.7038,179.814866667
183.73,157.1852,169.637021961,182.962933334,212.296333333,196.740733333,115.407466667,188.444333333,204.296333333,194.814866667,171.111066667,136.296133334,257.777666667
184.11,202.381,201.941069608,221.428533333,250.0794,228.7302,146.9842,222.539666667,243.1746,231.269866667,198.095333333,163.0158,300.634966667
184.49,299.710266667,293.115176471,330.145133333,389.854966667,353.6232,206.666666667,335.941933333,379.420333333,351.014466667,283.7682,218.550666667,479.2754
184.87,332.666666667,351.714705882,377.666666667,465.5,410.333333333,253.666666667,389.666666667,436.333333333,392.333333333,324.333333333,257.666666667,556.833333333
185.25,348.5714,346.567754314,367.936466666,480.317333333,405.079333333,267.6192,384.444333334,437.142866666,398.0952,338.730133333,259.0476,551.4286
185.63,370.740733333,355.582686471,391.851866667,505.000066667,424.074,284.074,400.0,446.296333333,420.7408,352.962933333,261.4816,598.703666667
186.01,320.0,286.913487647,340.909066667,413.788066667,352.727266667,258.787933333,320.6062,365.4546,359.697,292.727333333,216.0606,506.363666667
186.39,267.733333333,234.13254902,273.066666667,344.266666666,297.6,198.933333333,258.4,293.6,300.533333333,221.866666667,164.0,418.0
186.77,294.848533333,243.275307647,279.999866667,363.181766667,305.4546,217.5758,269.090866666,325.757533333,331.818333333,221.212133333,158.181933333,454.242433333
187.15,235.9524,195.053985686,228.333266667,280.833433333,227.857133333,184.047666667,195.7142,274.0476,263.8096,171.904866667,124.2858,345.714266667
187.53,257.0116,211.97154902,249.425266667,292.4137,241.839066666,207.126533333,204.597666667,280.4598,272.873733333,185.747133333,149.195333333,353.448366667
187.91,177.0068,138.564257647,155.510266667,191.5646,154.5578,139.591866667,129.659933333,180.000133333,181.496666667,117.823266666,103.6734,215.102133333
188.29,176.888866666,126.945999804,146.222266667,178.8147,145.037,136.7408,112.592533333,173.037133333,178.2222,111.7038,88.4446,207.555566667
188.67,145.4546,109.151829804,116.3636,144.606066667,115.8788,108.848466667,86.3030000001,139.5152,149.575666666,94.4242666667,75.2725999999,168.606
189.05,141.5686,98.4722927451,110.4574,132.418266667,106.274466667,94.1173999999,78.1700000001,137.647066667,148.7582,80.6534666667,63.6601333333,158.496733333
189.43,119.032266667,82.6565135295,86.9892,103.2259,90.3225333332,81.6128,67.5269333333,113.440733333,123.763533333,64.9463333334,56.2366,129.6237
189.81,100.259733333,72.6026766666,72.5539333333,84.8485666666,76.3635999999,66.9264666667,58.0952666667,101.645,100.173133333,52.987,46.8397999999,105.0217
190.19,107.1516,68.7678962746,65.8180666666,76.7878333333,68.7273333334,54.9091333333,48.0001333334,103.3938,102.0606,33.9394,29.2121333333,103.6363
190.57,109.308066667,67.6829288235,70.6916666666,83.7108333333,66.5408666667,65.4088666667,44.5282666667,104.151066667,104.151133333,41.5094666667,27.1699333334,115.157266667
190.95,89.4118666667,46.1367225489,55.0326666667,69.6730666667,49.1503333333,46.7974666667,28.4968,83.5294000001,84.0523333333,22.0914666667,3.13713333332,94.5098666668
191.33,106.086933333,49.2681752942,62.0290000001,85.0725333333,58.5507333333,49.2753333333,41.5941333334,88.4057999999,106.9564,40.2898,8.9854,105.144833333
191.71,94.3703333333,31.2553805883,47.9999333334,69.4074666667,38.8147333333,31.4074,32.1482666667,70.2222,100.2964,30.2222666667,-9.6297333334,85.9999000001
192.09,71.4728666667,16.5886892157,36.5890666666,48.5271333333,20.0,13.7983999999,27.7518,49.9225333334,89.1471333333,17.0542,-29.4572666667,72.6356000001
192.47,57.2357999999,9.52379960784,31.8699333333,41.8699333333,15.4472,-0.650466666666,33.1708,51.7072666667,81.3006666667,4.22766666666,-32.5203333334,65.7723333333
192.85,62.5642,-9.98786156862,22.3077333334,23.3333666667,-3.84619999994,-23.8460000001,33.0769999999,56.6665999999,97.6922666666,-37.6923333334,-72.3077333332,65.7692000001
193.23,51.1111333333,-6.87139039222,19.7778,26.7777333333,1.55566666668,-15.7778666667,29.7777333333,49.7777999999,92.2222,-27.1110666665,-54.8890000001,57.3333333333
193.61,43.6782666666,6.12584196086,42.069,30.9196666667,2.06899999998,-13.7932,32.8736666667,53.1033333332,97.7012000001,-26.6665333335,-43.6780000001,59.4252333333
193.99,38.8096,2.59455921563,39.7618666667,37.7381,-3.8096,2.38093333333,18.8096,44.5237333333,101.904733333,-37.1427999999,-43.5714666667,55.4762333333
194.37,34.7916666667,10.6280637255,35.4166666667,49.2708333333,2.91666666652,-4.79166666668,22.5,53.9583333334,88.9583333333,-17.0833333333,-23.9583333335,53.75
194.75,17.037,-14.4505107843,11.4814000001,21.6666333333,-12.9629333332,-23.8889333334,7.22213333333,38.7036,61.2962666667,-29.4444,-31.8518666667,12.5001000001
195.13,53.7144,19.5698082353,36.381,38.2856333333,7.23806666666,17.7141999999,32.9524,73.1428666665,89.7143333332,5.5238666666,-1.71433333327,43.8095000001
195.51,52.5926000001,25.9709921568,41.7284666667,40.7408000001,-4.1974,19.9999999999,33.8271333333,89.1356666668,105.1852,-9.38266666666,-3.70360000007,40.8643666667
195.89,52.6315999999,26.3323090196,30.1756000001,38.9474333335,-37.5438000002,-9.12279999994,15.0878000001,115.087733333,105.964933333,-38.9473333333,-10.1753999999,20.7016999999
196.27,66.2221999999,27.1607843137,41.7778666666,31.3331666665,-51.5556,-2.6666666666,-23.9999999999,129.333333333,107.999933333,-62.6666666668,-5.33339999995,-15.3333666667
196.65,102.051266667,67.9427027451,66.1537333333,86.1537666668,-42.0514000001,48.2050666667,-21.5384666667,138.461333333,151.794933333,-52.8205333334,15.8973333333,-32.3076333333
197.03,142.381,58.1498929411,73.8095333333,133.095133333,-7.14280000014,49.9999333334,-2.85713333348,157.1428,136.666733333,-6.19046666652,27.6189333333,-32.6190000001
197.40,-278.888933333,-5.87569823512,-57.7776666667,-163.8889,141.111133333,-14.4444666666,171.111133333,-235.555466667,-160.0,171.1112,36.6666,274.4445
197.78,-85.8333333333,32.7230392156,21.2499999999,-23.3333333332,82.0833333333,25.4166666666,102.083333333,-44.5833333333,-7.49999999988,112.083333333,70.0000000001,179.791666667
198.16,-14.5097333333,45.6996296078,36.2744666667,23.4312333334,69.9999333332,47.6469333333,71.5686666666,5.49020000001,21.1766,73.9215333333,58.8235333332,122.548966667
198.54,-12.2916666667,54.2647058824,53.5416666667,44.6875000001,83.3333333333,58.9583333333,86.8750000001,16.6666666666,23.9583333333,94.5833333333,77.2916666667,153.854166667
198.92,11.0000000001,53.9137254902,64.6666666667,67.6666666666,83.0000000001,59.8333333333,84.6666666665,32.3333333334,36.0,91.5,71.8333333333,147.583333333
199.30,38.6325333334,71.3474701959,88.7178666667,91.8803666667,100.512866667,78.4614666667,105.641,58.4614666666,56.0684666666,118.8034,85.1281333332,178.718
199.68,56.0785333333,90.3753431372,115.098133333,120.686266667,119.215533333,96.8627999999,115.098066667,86.2743999999,79.9999999999,142.353066667,107.254933333,214.117633333
200.06,63.6842666667,81.707352353,107.368333333,115.964966667,105.965,76.3158666667,108.5966,80.5263333333,70.5262666666,134.912266667,110.175533333,189.8246
200.44,65.5319333333,81.3040986275,103.546133333,105.602633333,99.0071333335,70.6384,92.9078000001,77.8723333333,73.1916000001,117.872333333,100.283533333,162.907766667
200.82,72.8070000001,109.039069412,130.701733333,139.4737,120.701733333,85.2632,113.5088,95.4386,91.7543333333,140.701666667,118.245666667,195.175433333
201.19,143.2,181.916862745,223.466666667,249.866666667,213.066666667,136.0,186.4,187.733333333,151.466666666,229.866666667,190.666666667,322.133333333
201.57,206.3768,244.04779,293.913,337.1015,285.507333333,202.6088,246.086933333,260.0,205.7972,281.159466667,258.5508,378.6957
201.95,169.892533333,196.627304118,231.397733333,280.5376,231.182866667,163.4408,208.3872,212.473133333,165.8064,221.505333333,204.9462,290.5376
202.33,158.2794,184.118331373,228.3872,266.559233333,232.258066666,151.182733333,193.333266667,207.096866667,151.827933333,199.57,193.548466667,281.397866667
202.71,165.432,193.82715549,238.765533334,280.740666667,257.036933333,126.9136,195.061733333,214.320866667,147.6542,195.5556,181.481333333,295.802333333
203.09,311.333333333,386.956862745,509.333333333,623.333333333,600.0,240.666666667,381.333333333,457.333333333,274.0,412.666666667,350.666666667,663.333333333
203.47,239.394066667,370.609627059,444.848466667,540.000133333,524.848466667,241.211933333,323.030266667,387.8788,229.697066667,359.393866667,298.1818,625.757566667
203.85,166.3158,268.312598235,312.982466667,361.0526,335.0878,199.649133333,259.649133333,259.999933333,180.000066667,265.964866667,193.684133333,416.666566667
204.22,178.148133333,282.709158039,328.888933333,384.814733333,358.1482,227.777733333,261.851866667,265.925866667,192.592666667,268.1482,177.037066667,440.5556
204.60,161.403533333,241.391271373,295.087733333,361.228133333,319.999933333,222.105133333,238.947466667,236.140333333,156.842,231.929866667,158.245466667,389.298166667
204.98,102.575866667,127.183139804,163.181866667,190.227233333,168.181866667,131.363533333,139.091,136.818133333,99.5453999999,134.090933333,100.757666667,205.9849
205.36,80.7142,96.7850613725,125.476133333,145.654766667,123.928666667,105.238133333,110.238133333,103.095066667,83.0952666665,104.523666667,74.4045999999,161.726233333
205.74,68.9550666667,82.4796674511,103.582133333,122.338466667,105.074666667,83.6815333334,93.2339333333,84.5772000001,72.9354,89.5522666667,54.3282666667,143.5821
206.12,73.4286666667,86.9795809805,105.047666667,117.9999,101.5238,87.3333333333,88.2855333333,81.9047333333,71.6192,87.6191333333,50.8571999999,140.571466667
206.50,65.7778,75.231665098,89.4222,111.599866667,86.1332666667,83.1999333333,80.0000666667,71.8222666666,64.5332,80.7111333334,42.7555333334,131.9556
206.87,68.0586,74.1902333333,88.2052000001,110.073133333,79.4872666668,84.6152666666,79.0475333333,73.7728666668,67.619,83.2233333333,50.4029333333,124.9085
207.25,66.4480666667,70.5271103921,84.7540666666,95.9017000001,73.5518666667,78.7977333333,78.6337999999,74.9728,66.776,77.5408666667,55.0820666667,109.180366667
207.63,66.9818,67.7779731373,81.3963333334,89.6622333333,71.7568666667,75.9458666667,77.7026666667,75.0451333333,66.7116666667,74.0540666666,56.1261333333,99.3919333333
208.01,66.1186,61.8149729412,76.1186666667,87.3515333333,69.6804666667,70.2738666667,73.6985333333,70.5935333334,62.7854,68.5845333333,50.0456666667,97.4429666666
208.39,63.6282,60.4869909804,74.5578,86.8934999999,65.8958,68.8888666667,73.2426,69.1611333333,60.5894666667,65.8503333333,47.2108666667,97.6645000001
208.77,63.5218666667,60.2315027451,73.5428,83.6477666667,64.9894666667,67.3374,72.7463333333,68.7632,59.7484666667,64.1090666667,47.4213333333,99.3502
209.14,65.6838666667,62.3155672549,73.4613333333,85.8335,66.7522,68.7178666667,73.1196,69.0170000001,59.7864,63.376,47.4358666667,101.025566667
209.52,65.3078666667,62.8273129412,71.8472,88.8109333333,70.0636666667,67.8557333333,74.0976666667,68.4076666667,57.7919333333,63.6941333333,51.5076,99.4268333333
209.90,63.1828,59.5276560784,71.4407333333,85.8493666666,66.7957333333,66.8387333333,70.9246,65.2043333333,54.7957333333,61.0751333333,50.2796666667,99.2042999999
210.28,64.5661333333,59.6976066667,74.0638666667,87.9679666667,69.0867333333,70.5936,71.9633333333,69.315,56.8494,62.9224,52.4658,104.178066667
210.66,64.6575333333,59.5121166667,74.8401333333,86.0046,68.2647999999,68.9041333333,70.5480666667,69.6804,57.8996,62.7396666666,51.7809333333,102.351566667
211.03,62.0804,55.7761109804,69.8816666667,81.7966333333,66.6666666667,67.7542,67.1869333333,69.1725333333,53.9953333333,57.1158666667,48.1326,102.8369
211.41,63.8933333333,55.6315294118,70.4533333333,82.56,65.2266666667,67.68,63.52,65.9733333333,54.0266666667,56.2133333333,42.56,108.64
211.79,62.7118,54.4827445098,70.2259333333,80.6498666667,63.9548,63.7853333333,59.9435333333,60.7346,51.4688666667,53.9547333333,39.0394666667,108.079066667
212.17,57.1429333333,52.2908501961,64.5503333333,75.6879,58.0424666667,58.9418666667,54.0739333334,55.9788666666,49.1534,49.1005333334,38.7302,99.7091666667
212.55,50.08,46.4901960784,59.4133333333,71.04,51.2,54.1333333333,48.16,49.5466666667,44.8,43.68,34.08,94.3199999999
212.92,49.4914666667,48.4979819608,59.6611333333,73.6157666667,49.3784666667,54.5762,47.6836,46.2146,47.4576666667,43.7288666667,31.9774,95.3672
213.30,43.0724,44.7724723529,53.4492,67.5073666667,43.3042666667,48.6956,42.5507333333,40.4058,43.4203333333,37.913,25.4493333333,91.4203666666
213.68,42.5287333333,41.5732760784,50.6322,64.5977333333,38.2183333333,46.5518,37.4713333333,36.7816,42.1264666667,33.3909333333,17.8736,86.4656333334
214.06,50.2971333333,48.193405098,55.4457333333,74.0595,41.3861333333,52.4753333333,40.7260666667,42.5082666666,46.4026666667,38.8118666667,17.5578,94.6536000001
214.44,54.5834,53.32548,58.5713333333,79.7915999999,47.3214,55.0594666667,48.6905333333,44.6428,51.4285333333,45.6548,24.1666666667,94.2856666667
214.81,59.6235333333,59.2533290196,62.4194,82.1504000001,52.0430666667,60.9141333333,53.4946,49.4623333333,56.6129333333,51.9892,29.6774666667,95.5646000001
215.19,56.8182,58.6049698039,58.7373333333,76.1868666667,48.7374,59.2424666667,51.8181333333,44.3938666667,58.3838,51.9192666667,28.6869333333,90.8584999999
215.57,49.6968666667,53.9397190196,51.7948,69.9766,46.2004,56.7365333333,46.3869333333,40.0930666667,53.7529333333,45.1749333333,26.4802666667,83.4265666667
215.95,51.1436,55.6537854902,53.2359333333,75.3283666667,48.5158666667,62.3358666667,48.9539333333,43.7468666667,58.5402,46.5206,27.0072666667,89.0511333333
216.32,51.9808,57.0290088235,55.3140666667,74.7100666667,52.5121333333,65.1206666667,50.9178666667,47.971,59.5651333333,48.5992,29.4203333333,88.2609333334
216.70,57.5642,60.5846101961,57.3077333333,76.9871666667,60.6837333334,68.9314666667,56.4956666667,57.3504666667,65.2134666667,55.8547333334,38.2052,89.2947
217.08,53.1666666667,57.5503676471,51.9583333333,72.5833333333,58.6666666667,65.9166666667,53.125,57.25,61.2916666667,54.2083333333,37.25,85.0
217.46,48.8742,52.6212201961,48.6092,68.2120666667,54.0398,63.5321333333,46.6667333333,53.6866666667,58.1898666667,52.1412666667,32.2296666667,82.627
217.83,49.6464666667,54.6369372549,54.8484666667,71.8182,56.3636,69.6465333333,51.1112,56.3132666667,62.4746666667,56.0606666667,33.2324,93.5606666667
218.21,42.3189333333,46.6626172549,49.0821999999,64.7342666667,50.5314,63.1401333333,44.3961333333,50.2414666667,59.2271333333,49.4685333333,30.9179333333,84.7342
218.59,33.5449333333,40.492435098,43.4921333333,58.6241333333,43.0158,58.783,37.3015333333,45.873,55.3968666666,42.0634,23.3333333333,82.1691333333
218.97,24.8076,34.1209886274,35.0641999999,54.8717666667,33.8461333333,55.4487333333,30.9614,37.7564666667,49.8717333334,32.5641333333,12.8846,81.1539333333
219.34,19.9306,27.9321084314,30.6250666667,55.3818666667,27.0833333333,51.0417333334,25.0,35.2083333333,45.9722666667,25.8333333333,5.62506666667,75.7986666667
219.72,16.5986,24.2441162745,28.6394,55.1362,20.6122666667,43.8095333333,25.9863333333,34.3536666667,41.2243999999,25.3742666667,7.61900000002,67.5170666667
220.10,5.91046666666,14.5493427451,18.2817333333,47.8008,8.24746666667,31.8900666667,18.6942,22.1992666667,29.5533333333,18.7628666667,-0.068666666666,53.8487333333
220.47,1.30279999999,11.4275276471,11.1878,49.5785,0.07666666666,33.41,15.0192,16.8583333333,27.1264666667,17.6245333333,-5.44066666667,55.6703333333
220.85,-8.45779999999,2.38693666666,3.6816666666,46.5671333334,-18.9055333333,26.7661333333,3.88066666667,2.18899999998,21.6914666667,3.78113333334,-18.0100666667,56.3186333333
221.23,-18.0952,-17.05402,-4.88099999988,43.1547000001,-33.8094666667,17.619,-11.6667333333,-20.2382,14.9999333334,-15.3571333333,-38.2142666666,38.8689333334
221.61,-3.87106666666,-11.9124960784,6.12906666666,49.3011333333,-25.1613333333,26.8817333333,4.5162,-16.3441333333,24.6236666667,-3.7636,-19.3548666667,39.0322666667
221.98,6.35306666666,-0.977327254886,7.2942,41.5685333333,-8.94126666666,23.7647333333,8.39199999998,-5.96073333334,25.4118666667,2.90186666665,-4.86259999999,30.8234666667
222.36,5.81199999999,-1.09543196078,1.79486666667,39.8291,-12.3078,24.3588666667,7.86319999999,-13.6752,22.9058666667,0.341866666654,-8.37600000002,28.8033333333
222.74,8.94533333335,-1.06288705885,-2.1941333334,33.7975333333,-6.58233333334,23.4598666667,8.94526666667,-15.2743333333,18.1435333333,-0.084533333346,-9.62026666668,22.9958
223.11,20.4938666667,9.07892137257,12.8394666667,45.2676,12.7571333333,39.753,23.8682666667,4.19760000001,35.8847333333,19.5885333333,8.47740000001,34.9794333333
223.49,26.4166666667,11.6950980392,18.3333333333,47.875,25.0,44.75,32.25,6.08333333333,41.1666666667,26.5833333333,16.6666666667,35.875
