wavelength,Back_SpoRufm,Belly_SpoRufm,Breast_SpoRufm,Crissum_SpoRufm,Crown_SpoRufm,DorTail_SpoRufm,Patch10_SpoRufm,Rump_SpoRufm,Throat_SpoRufm,WingTip_SpoRufm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,102.666666667,94.6666666667,168.0,137.333333333,106.666666667,103.333333333,130.0,213.333333333,104.0,97.3333333334
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,67.7777999999,69.1666999999,78.3332666667,98.3333333334,80.0,68.6111333333,73.8888666666,98.8888000001,72.2222666667,58.0556
179.93,-151.666666667,-183.333333333,-150.0,-276.666666667,-225.0,-189.166666667,-193.333333333,-191.666666667,-115.0,-82.4999999999
180.31,-133.3334,-181.282066667,-193.3333,-259.743733333,-209.230866667,-147.948633333,-145.769133333,-276.153866667,-122.564066667,-129.487333333
180.69,-148.045933333,-193.907966667,-204.827566666,-270.3448,-217.930933333,-159.885066667,-162.758633333,-290.114933333,-140.0,-135.977166667
181.07,-68.8435999999,-94.4897666666,-98.2312666667,-143.673533334,-112.653066667,-77.0066666666,-74.0816666666,-145.4422,-57.9591999999,-56.3946666667
181.45,-60.6061333333,-81.6363000001,-80.1817333334,-115.878533333,-100.1212,-61.5152333333,-68.2424333333,-126.424133333,-44.8483999999,-47.0908666666
181.83,-43.6618666666,-61.0330000001,-55.7275666667,-81.6901333333,-70.5164,-42.7700666667,-48.6853,-89.7652666667,-28.4507333333,-33.8496333335
182.21,-52.6983333333,-74.3915333333,-67.6190666666,-90.0528666667,-77.8836000001,-47.1958,-52.4339,-102.222266667,-37.6719999999,-45.7140666665
182.59,-82.2693999999,-120.0708,-99.2908,-125.673733333,-110.780266667,-76.8083666667,-85.6029333333,-150.780133333,-52.6241333333,-77.9434666666
182.97,-89.0909333333,-118.3636,-93.8181666666,-115.2728,-98.9090666666,-80.3029999999,-89.4546000001,-140.2424,-55.5153333333,-76.0606333334
183.35,-53.4187333334,-71.1110666667,-52.2649333333,-65.9829333334,-56.2393999999,-45.8547333333,-48.6324,-86.9230666668,-29.8291333333,-42.9915333333
183.73,-69.6396666667,-83.8289000001,-68.7837,-72.0719333334,-67.207,-61.2612666667,-62.117,-99.8198666669,-42.5224666667,-59.0538333334
184.11,-97.5556000001,-116.6668,-96.7222666667,-102.1112,-91.2221333334,-88.2778666667,-84.6112,-131.111066667,-67.3332666667,-79.8888000001
184.49,-122.836933333,-147.375933333,-133.404233333,-134.184333333,-118.156,-107.234166667,-108.936233333,-154.609933333,-93.1914,-105.6028
184.87,-173.7142,-206.6667,-181.142933333,-176.761866667,-160.380866667,-148.2857,-143.619066667,-201.142866667,-131.619133333,-167.333233333
185.25,-262.857133333,-323.214166667,-270.833333333,-259.762066667,-251.428533333,-228.9285,-233.928566667,-294.523733333,-231.4286,-262.142933333
185.63,-386.666466667,-474.8486,-395.000033333,-391.212133333,-392.424266667,-375.3032,-359.394033333,-435.151466667,-388.181666667,-423.484933333
186.01,-292.381066667,-342.380933333,-292.380933333,-291.6666,-296.904666667,-270.833333333,-262.7382,-328.571466667,-297.381066667,-326.190466667
186.39,-234.814866667,-269.444366667,-229.9999,-223.5186,-230.1852,-215.463,-209.2592,-264.6296,-242.5926,-259.444366667
186.77,-152.1212,-174.181766667,-153.696966667,-140.1212,-149.5758,-132.5454,-125.636433333,-161.8182,-158.545266667,-170.3637
187.15,-186.3638,-211.060566667,-187.878866667,-173.788,-180.9092,-155.3787,-151.6666,-183.6362,-204.0908,-209.924166667
187.53,-252.962866667,-269.999866667,-248.981533333,-250.0,-244.8148,-198.981566667,-214.166733334,-242.5926,-279.629666667,-277.685066667
187.91,-329.0476,-345.0,-318.214266667,-333.809466667,-319.285666667,-247.6191,-284.762,-311.428533333,-377.857,-349.0476
188.29,-483.3334,-492.777866667,-478.5186,-484.0742,-494.074,-359.629733333,-439.444233333,-446.296133333,-546.296333333,-520.9259
188.67,-265.0574,-250.6896,-235.287333333,-243.908,-258.620733333,-177.931,-226.206933333,-236.092066667,-285.0576,-280.114766667
189.05,-176.899266667,-155.116366667,-153.178266667,-154.5738,-175.968933333,-108.217,-147.984433333,-153.178266667,-183.100866667,-177.829366667
189.43,-214.7474,-180.403966667,-181.3132,-187.474866667,-211.1112,-124.343333333,-176.363633333,-183.434266667,-218.99,-225.7575
189.81,-187.238133333,-147.333433333,-154.952133333,-156.0,-175.237933333,-82.3809333334,-136.857133333,-141.904666667,-171.238066667,-181.904866667
190.19,-576.923,-500.256366667,-531.7948,-488.717866667,-580.5128,-323.5897,-459.230666667,-454.358933333,-529.230666667,-585.128133333
190.57,-694.666666666,-573.666666667,-654.666666667,-593.333333333,-763.333333333,-370.666666667,-613.0,-536.0,-642.666666667,-727.333333333
190.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191.33,2173.3334,1758.88883333,2150.0,2037.77786667,2739.99993333,1372.22236667,2240.00003333,1864.44453333,2173.33326667,2473.3333
191.71,282.500066667,243.333333334,283.472233333,256.388866667,348.888866667,198.4723,297.361066667,243.6112,292.5002,325.6944
192.09,349.777666667,311.111033333,356.666766667,319.555533333,467.5556,243.555566667,382.888933333,295.999933333,390.222133333,462.444366667
192.47,1740.00013333,1389.9999,1615.55553333,1417.77773333,2284.44453333,1211.111,1758.88903333,1413.3334,2004.4444,2448.8888
192.85,-798.0952,-695.714333333,-772.380900001,-630.476133333,-1032.38106667,-574.761933333,-900.476333333,-644.761866666,-916.190466666,-1114.28576667
193.23,-261.754333333,-251.754366667,-246.842166667,-190.526333334,-358.947333333,-207.7193,-318.0701,-205.614,-328.4212,-371.228133333
193.61,-154.047533333,-138.452466667,-144.0475,-100.952266667,-214.285666667,-115.118966667,-186.1905,-107.857133333,-204.047666667,-213.9287
193.99,-286.666666667,-223.999933333,-278.2222,-175.555533333,-379.555466667,-222.000066667,-350.8887,-201.777533333,-407.5556,-410.888666667
194.37,-129.047533333,-99.7619666667,-113.9286,-74.2857333334,-162.381,-88.5712999999,-173.095233333,-77.6191333334,-213.333266667,-188.690533333
194.75,-157.066666667,-118.933333333,-134.533333333,-88.7999999999,-179.466666667,-108.266666667,-190.533333334,-78.4,-256.533333333,-209.2
195.13,-453.939466667,-352.1211,-371.515166667,-239.999866667,-475.757533333,-348.484766667,-494.8484,-254.5454,-692.727333333,-589.394066667
