wavelength,Back_SalMamm,Belly_SalMamm,Breast_SalMamm,Crissum_SalMamm,Crown_SalMamm,DorTail_SalMamm,Patch10_SalMamm,Patch11_SalMamm,Patch12_SalMamm,Rump_SalMamm,Throat_SalMamm,WingTip_SalMamm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,53.6666666667,17.5,62.6666666666,74.6666666666,70.6666666666,62.2976827094,59.3333333334,58.0,15.3333333333,30.0833333333,62.0,55.3333333333
179.16,-113.333333333,391.666666667,60.0,20.0,-126.666666667,-7.64705882346,33.3333333335,-33.3333333334,280.0,93.3333333335,53.3333333332,-133.333333333
179.54,196.666666666,191.666666667,216.666666667,253.333333333,493.333333333,196.042780749,306.666666667,353.333333333,-180.0,263.333333333,293.333333333,420.0
179.93,83.8095666666,99.9999166667,95.7143000001,103.809533333,121.904866667,95.4406846702,88.0954000001,87.6190000001,68.5715333333,82.9761583333,71.4285333333,95.7142666667
180.31,102.0115,91.3794166667,96.3218666667,109.540266667,146.207066667,99.6422534758,86.5518,99.4827333333,70.2299333332,86.2357166667,67.2413999999,114.137933333
180.69,105.8928,86.1606666666,97.2618999999,112.0238,152.619066667,103.05477041,85.5951333333,100.476266667,67.3809333334,86.1756,62.9761333334,115.714466667
181.07,115.0,99.9999166666,102.243533333,115.769266667,165.0,113.473971658,88.5897333333,106.282066667,80.8973999999,100.496791667,65.1281333333,125.512733333
181.45,115.468866666,105.2085,103.750133333,116.041733333,156.770933333,113.364444385,95.9376,109.948166667,89.8959999999,103.098941667,72.2916,121.250133333
181.83,116.1334,102.5555,106.177766667,117.066666666,148.7112,119.450684492,100.533266667,110.0,97.6000666667,101.777708333,74.1333333333,118.488933333
182.21,116.929766667,103.508833333,107.456033333,116.578933333,148.157933334,125.40494385,102.894666667,110.7455,101.929733333,103.541766667,79.3858666666,119.298333333
182.59,105.555633333,91.1706666666,92.1824333334,105.873066667,137.301466667,119.292880571,99.6031333332,99.9206333332,98.1746,96.2202000001,74.3651333333,103.571533333
182.97,101.417666667,84.9615833334,86.5900666668,104.214533334,134.942666667,114.024326203,99.3102666668,97.0115333334,95.0957333333,95.7660916668,73.5632000001,100.9196
183.35,95.0348,78.2985833334,81.5625666667,97.9167999999,124.930533333,103.440754011,93.6111333335,90.7291666667,90.0694666667,91.4929833333,70.2778,95.6945333333
183.73,90.3395666667,73.9969166667,79.6604333333,95.9875333333,116.172866667,96.2451877004,90.9877333333,88.3642666666,85.6790000001,88.3255916665,69.9999333333,91.2347333333
184.11,96.2499333333,78.9262500001,81.2500666666,101.410333333,119.871666667,102.752947237,95.9614,94.4230000001,91.9230666667,94.1345166666,75.8974666666,92.6281999999
184.49,102.3,88.4166666666,87.2,108.4,126.0,112.631729055,104.0,103.8,97.1333333333,99.4416666667,83.5333333334,96.5333333334
184.87,97.7878999999,91.2120833333,87.3333666667,104.060666667,120.969666667,109.151304635,102.727266667,100.848366667,95.8787999998,97.9014583333,85.3331333334,93.7575333333
185.25,99.2689999999,93.5672500001,88.9473000001,106.900666667,120.5848,109.68900606,107.309866667,101.754333333,98.1870666666,99.5468750001,89.7075333333,94.7368000001
185.63,93.8568666667,89.6005000001,85.6748333333,102.9752,112.231333333,104.533353298,100.661133333,96.2809333333,93.1680666667,94.8348083332,85.8401999999,88.7053333334
186.01,91.6259666666,89.5664166666,84.0107333333,100.054266667,110.135466667,98.2755064172,95.5012666667,92.9268999999,92.4118666667,93.0014333333,84.9864,83.7941999999
186.39,91.2644000001,85.5604166666,82.2126333334,98.3333333333,109.023,93.7537335117,94.9424666667,91.9541000001,97.0688666667,92.4640666666,81.6092666667,80.1149999999
186.77,97.7243333333,88.6218333333,92.5961333333,102.948533333,114.1666,96.5569352941,98.9745333334,98.5576,103.141133333,96.258125,86.0897333334,85.3204666667
187.15,103.047733333,93.4128333333,99.7460333333,105.015933333,115.4286,103.68695508,101.206333333,103.6508,108.888933333,99.1270083333,90.9204666667,87.4920666667
