wavelength,Back_PooHypf,Belly_PooHypf,Breast_PooHypf,Crissum_PooHypf,Crown_PooHypf,DorTail_PooHypf,Patch10_PooHypf,Patch11_PooHypf,Patch12_PooHypf,Rump_PooHypf,Throat_PooHypf,WingTip_PooHypf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,3.33333333326,47.5,134.166666667,88.3333333332,138.333333333,-26.6666666667,83.3333333333,-55.5555555554,3.33333333325,95.9523809525,58.3333333334,61.6666666667
179.16,-325.0,-7.1054273576e-15,345.833333332,50.0000000001,308.333333333,-591.666666666,116.666666667,-311.111111111,-516.666666668,-169.047619048,-191.666666667,-41.6666666667
179.54,191.666666667,49.9999999999,-62.5,116.666666667,-70.8333333333,370.833333333,70.8333333332,155.555555555,150.0,119.642857143,202.083333333,-24.9999999999
179.93,65.2778333334,22.2221666667,15.972375,62.5000833333,20.8333333333,101.388833334,77.7778333333,72.222111111,55.5555000001,-12.5000595238,35.416625,26.3888333333
180.31,-1687.5,47.9166666658,1100.0,100.0,600.0,-1858.33333333,-1020.83333333,-1227.77777778,-1387.5,-257.738095237,-104.166666668,445.833333333
180.69,1758.33333333,-260.416666667,-1302.08333333,-150.0,-691.666666666,1820.83333333,1037.5,1255.55555556,1345.83333333,201.190476191,-54.1666666658,-637.499999998
181.07,745.0,-139.166666667,-408.333333334,-28.3333333334,-221.666666666,711.666666666,461.666666667,402.222222222,555.0,143.333333333,-56.6666666668,-301.666666667
181.45,-701.666666667,278.333333333,442.499999999,115.0,223.333333333,-638.333333334,-498.333333333,-320.0,-358.333333334,-50.714285714,192.5,411.666666666
181.83,-98.2638333334,99.4791250001,123.090208333,73.6111666667,86.1111666667,-88.5415833334,-78.8194999999,-25.0001111111,-23.9584166668,29.4146309523,99.8265,137.15275
182.21,-36.4339166668,69.8642083334,89.5349166666,64.9224166667,69.5737499999,-17.24825,-24.2246666667,13.9535555555,4.845,24.7508452382,79.3604583334,96.1240833333
182.59,-22.8758333333,65.9315,83.1698749999,65.0326666667,64.86925,-10.94775,-6.86275000002,14.597,11.9280833333,24.2063333333,76.3069166666,91.1764166668
182.97,-49.3055,48.437625,69.5312916666,38.3680833333,50.5209166668,-33.5069166666,-23.6111666667,-18.7498888889,-10.59025,-2.85204761903,56.9444583333,72.9165833334
183.35,-50.6666666667,43.9166666667,61.2500000001,29.5,46.6666666666,-24.3333333333,-25.0,-23.7777777778,-6.83333333332,2.8095238095,54.0833333333,74.0000000002
183.73,-17.5324166667,44.047625,49.675375,28.355,41.0173333333,-1.94816666667,-5.08649999999,-6.92644444443,9.091,10.6832380952,47.456625,54.1125833334
184.11,-19.9771666667,40.696125,46.5755416667,32.0775,42.8081666667,-0.11408333335,-4.90841666667,-8.52355555557,9.47483333335,10.6490595238,46.5183333333,47.6028333333
184.49,-12.95175,42.118375,52.761,39.7590833333,44.8795,7.83141666665,4.21666666667,7.09499999999,21.1846666667,14.3573809524,50.5522083333,46.0843333333
184.87,-14.6295,36.4353333333,44.4908333333,39.25925,42.2224166666,4.44441666665,5.27766666667,8.76566666666,18.79625,12.8572261905,48.1945,43.3335
185.25,-12.9929166667,33.9155833333,45.96775,40.5914166667,44.3548333334,7.52691666665,4.65941666668,9.91633333333,21.8638333333,14.0552738095,46.5051666667,38.6200833333
