wavelength,Back_HemRucm,Belly_HemRucm,Breast_HemRucm,Crissum_HemRucm,Crown_HemRucm,DorTail_HemRucm,Patch10_HemRucm,Patch11_HemRucm,Rump_HemRucm,Throat_HemRucm,WingTip_HemRucm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,27.7777999999,43.3332666667,-36.6667333333,17.7778666667,7.7778,17.7776666667,3.33333333327,27.7778666666,4.44446666673,40.0,-64.4444000001
179.16,17.037,46.6665333334,-9.62966666668,51.1109999999,26.6666666667,46.6666666667,1.48146666664,19.2592666667,25.1852,34.8146666667,46.6667333333
179.54,426.666666667,413.333333333,540.0,813.333333333,420.0,506.666666666,393.333333333,526.666666667,699.999999999,593.333333333,440.0
179.93,346.666666667,499.999999999,480.000000001,800.0,453.333333334,393.333333334,526.666666667,440.0,446.666666667,593.333333333,620.0
180.31,73.5238666667,92.5714666666,85.3333333332,115.428666667,68.5714000001,70.0952,55.9999999999,78.6666,70.2857333332,100.380933333,128.7618
180.69,64.4443999999,75.3333333332,62.2222000001,101.333266667,41.7778666667,57.1111333332,25.5555333332,62.4445333333,44.8888666667,93.7777333333,125.3334
181.07,55.0878666667,67.5438666666,43.8596666667,85.7895333333,36.6666,49.4738000001,15.4386,54.5612000001,31.228,79.4736666667,99.9999333334
181.45,57.5608666666,55.9349999999,48.6178666667,75.1219333333,42.2765333333,46.0163333333,14.1463999999,57.5609333333,32.3577333333,79.9999333334,91.2195333332
181.83,44.4444666666,28.5714000001,28.5714666667,44.4443999999,26.8252666667,20.1586666667,-6.66666666666,38.4125999999,1.11113333334,58.0952666668,77.1429333334
182.21,37.1427999999,18.3673333333,28.2993333334,33.1971999999,19.4558666667,19.0476000001,-14.6938666667,32.2450000001,0.27206666666,48.5714666667,62.585
182.59,27.4747333333,6.16166666667,22.3232666667,27.8788,16.8686,18.7879999999,-16.7677333333,25.1515333333,3.13133333333,27.8788666667,44.3434
182.97,22.8572,7.22213333333,20.7936,25.1587333333,20.6349333333,19.6030666667,-9.127,27.7777333333,5.39666666667,29.8412666667,36.746
183.35,26.9090666667,-3.5152,20.4848,26.9090000001,19.0303333333,25.9393999999,-26.5453333333,32.4848,-1.09099999999,29.4544666667,44.2424
183.73,34.0741333335,-1.6668,34.0741333333,29.4443333333,25.1852666667,33.3332666667,-40.1852,50.9260000001,1.66653333335,45.5555333333,66.2961999999
184.11,20.8131333333,-6.99186666668,15.1219333334,14.9593333333,14.6341333333,22.9268666667,-38.2113999999,43.5772666666,-6.50413333334,32.6828666667,51.0569333333
184.49,2.85706666672,-26.6667333333,8.7302,-1.42853333328,-1.9048,12.8572000001,-47.4603333334,26.3492,-12.0634666667,27.3017333333,36.1905333333
184.87,-7.71933333334,-28.7719333333,15.0876666667,-4.56126666672,-2.98246666667,7.54386666668,-45.9649333333,25.9649333333,-16.6666,16.6666,35.2631333333
185.25,-16.4583333334,-50.6250000001,5.00000000006,-20.8333333333,-22.0833333333,-3.74999999998,-52.7083333333,27.9166666666,-16.4583333333,14.7916666667,15.8333333333
185.63,-66.6666666667,-143.333333333,-7.14279999999,-80.4762666665,-130.000066667,-52.3809333333,-149.523733333,-4.76199999986,-108.095333333,-30.9523999999,-29.0475333333
186.01,-77.5,-101.666666667,-17.0833333333,-45.8333333331,-113.333333333,-20.4166666667,-114.166666667,19.5833333332,-70.8333333335,-18.3333333333,-33.7499999998
186.39,-85.1282000001,-120.512866667,-55.8974666666,-87.6923333333,-119.4872,-24.6153999999,-103.5898,16.4101999999,-80.0000000001,-33.8460666667,-40.5126666665
186.77,152.156866667,142.353066667,114.117666667,147.843266666,177.254933333,105.098066667,140.3922,59.6079333334,126.2744,85.8822666668,106.6668
187.15,271.515133333,248.484866667,207.8788,251.515133333,309.090933333,196.3636,215.151533333,123.0302,224.848466666,192.121266667,185.4546
187.53,-82.5,-63.3333333333,-55.0000000001,-82.5,-111.666666667,-40.8333333335,-33.75,8.33333333334,-92.5000000001,-12.0833333333,-5.8333333334
187.91,-27.5861999999,-26.4367333333,-10.1149333332,-36.0919333333,-51.0344666667,-16.5516666667,-10.5747333333,6.66673333326,-45.5173333333,-5.2874,-0.459666666674
188.29,-98.1481999999,-115.926066667,-40.7407333331,-116.6666,-132.592533333,-69.6296,-52.9629999999,-61.8518666665,-130.370333333,-77.4074666667,-43.3333999999
188.67,-32.0987333333,-53.0864,-1.7283333332,-40.9875333333,-58.5184666667,3.95066666668,-18.7654666667,0.49373333326,-61.9753999999,-33.8271999999,-7.90100000006
189.05,4.68473333328,-21.2612666667,21.6216666668,-12.7928666667,-14.054,25.7656666667,2.16226666665,26.126,-8.64873333334,4.86493333332,19.8198666667
189.43,-5.68626666665,-14.5098,39.804,-21.3726,-15.6862,25.8824666667,-7.64699999998,15.8823333333,-22.5490666667,4.70586666668,25.4902000001
189.81,34.9382666667,30.8640666667,66.5432666666,24.3210666667,40.247,55.9259333333,38.8888666667,63.4567333333,37.9012666667,42.5924666667,69.6296666666
190.19,50.5333333332,44.5333333333,86.3999999999,24.0,53.0666666667,71.2,55.4666666666,68.1333333335,51.8666666667,53.3333333334,85.2
190.57,64.7153333333,61.9512666667,116.0976,31.057,62.6015333333,83.0894666667,64.7153999999,92.5202666665,65.691,70.4065333333,106.178866667
190.95,81.0368666667,76.8889999999,120.2964,41.6295333333,71.4074666666,96.7407333333,71.5555333333,102.666666667,76.889,81.6296000001,117.7778
191.33,105.2564,93.3332666667,132.5642,56.1538666667,85.2564,118.461466667,86.6665333333,117.564066667,92.564,98.3333999999,123.4616
