wavelength,Back_TanCyof,Belly_TanCyof,Breast_TanCyof,Crissum_TanCyof,Crown_TanCyof,DorTail_TanCyof,Patch10_TanCyof,Patch11_TanCyof,Patch12_TanCyof,Patch13_TanCyof,Rump_TanCyof,Throat_TanCyof,WingTip_TanCyof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,177.777777778,242.222222222,184.444444445,200.0,193.333333333,291.111111111,164.444444444,326.666666667,237.777777778,255.555555556,184.444444444,204.444444445,195.555555556
179.16,-17.7777777778,-43.3333333333,-37.7777777778,-15.5555555556,-1.11111111112,-47.7777777778,-5.55555555557,-56.6666666668,-42.2222222222,-14.4444444444,-5.55555555553,-28.8888888889,-17.7777777778
179.54,-9.09088888889,-33.3332222222,-23.2323333333,8.08066666667,-16.1614444444,-45.4544444445,-12.1213333333,-46.4646666666,-26.2626666667,6.06066666667,7.07066666668,-32.3233333334,-7.07066666667
179.93,66.6667777778,23.9317777778,24.7862222222,43.5898888889,3.4187777778,-13.6752222222,47.8634444445,-19.6581111111,11.1112222222,40.1707777778,41.0255555556,17.0941111111,9.40166666667
180.31,-16.895,-58.4474444444,-24.0487777778,-18.5692222222,-30.4414444444,-81.4305555556,-39.5738888889,-82.0397777777,-60.2738888889,-38.8127777778,-9.28455555553,-47.4886666667,-21.7655555556
180.69,-33.0015555556,-83.7478888888,-47.098,-38.3085555556,-48.5904444445,-112.935222222,-61.193888889,-114.427888889,-90.3812222223,-62.0233333333,-28.8557777778,-73.9634444446,-37.8108888889
181.07,-13.0953333333,-57.9364444444,-29.3651111111,-19.5767777778,-29.365,-80.1586666668,-42.3282222222,-79.894111111,-63.3597777778,-40.2117777778,-17.5925555555,-51.4551111111,-14.1534444444
181.45,-8.33333333332,-53.5354444445,-25.3786666667,-18.5606666667,-27.9042222222,-74.1161111111,-38.1313333333,-75.8838888888,-61.2374444445,-40.1515555555,-15.0252222222,-47.6011111111,-11.8687777778
181.83,-13.5801111111,-61.454,-31.0013333333,-30.0412222222,-33.1962222222,-86.5567777777,-48.0111111111,-92.0439999999,-78.4636666666,-49.9313333333,-21.6733333333,-52.9491111111,-17.5582222222
182.21,-35.4891111111,-86.4013333332,-53.068,-49.4195555555,-47.2637777778,-118.076222222,-73.7976666668,-119.900444444,-119.071333333,-76.9485555554,-39.8011111111,-78.9384444443,-32.8355555556
182.59,-31.7683333333,-73.8654444444,-47.5743333332,-42.2535555556,-38.3412222222,-100.782777778,-62.7543333333,-105.946888889,-109.076888889,-65.1017777779,-34.5853333333,-67.4492222221,-23.474
182.97,-21.5686666667,-67.1567777779,-43.6273333332,-38.7255555555,-27.7777777778,-96.241888889,-56.8626666667,-102.941222222,-112.091555556,-57.1895555555,-33.9868888889,-63.3986666668,-23.8563333333
183.35,-32.0754444445,-93.7106666667,-71.4885555554,-58.0711111111,-45.0733333333,-132.494555556,-76.3104444446,-142.348,-156.394222222,-82.5995555557,-50.7337777778,-90.9853333333,-38.9936666667
183.73,-38.5622222222,-113.943333334,-92.3747777779,-67.3201111111,-54.4662222221,-147.712333333,-90.631777778,-156.426888889,-178.213555556,-83.8778888888,-61.2199999999,-108.496777778,-54.0304444444
184.11,-21.2302222222,-90.8731111112,-81.9445555557,-56.1508888889,-40.0794444446,-125.793555555,-80.7538888889,-138.888888889,-152.380888889,-63.6903333333,-48.4127777778,-95.2381111111,-49.8013333333
184.49,-22.9165555555,-92.8242222222,-88.8889999999,-64.8148888889,-37.037,-139.583333333,-88.6574444447,-162.268666667,-171.759222222,-64.5833333333,-52.5463333334,-107.175888889,-50.9257777779
