wavelength,Back_TanLarm,Belly_TanLarm,Breast_TanLarm,Crissum_TanLarm,Crown_TanLarm,DorTail_TanLarm,Patch10_TanLarm,Patch11_TanLarm,Patch12_TanLarm,Patch13_TanLarm,Patch14_TanLarm,Patch15_TanLarm,Rump_TanLarm,Throat_TanLarm,WingTip_TanLarm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-341.666666667,-400.0,-487.5,-350.0,-350.0,-100.0,-258.333333333,-83.3333333332,-366.666666667,-241.666666667,-8.333333333,-425.0,58.3333333333,-283.333333333,20.8333333332
179.16,69.4443333333,16.6665833334,123.611166666,61.1111666666,13.8888333333,119.444416667,41.6666666666,133.333333333,11.1112499999,5.5555,133.333333333,47.22225,147.22225,66.6665833333,98.6111666667
179.54,-4.86108333333,13.1944166667,20.4862083333,22.2221666667,15.2776666667,31.25,19.4445,54.1666666667,18.7498333333,0.694499999975,42.3611666667,22.22225,31.25,34.0278333334,22.5695
179.93,-20.8334166667,9.02783333335,2.08345833335,2.77783333335,5.55549999998,13.1942916667,-2.77775,30.5555833333,-0.694416666668,-6.24983333335,-2.77766666665,15.9720833333,18.75,22.91675,6.59708333332
180.31,14.2544166667,7.23691666667,25.8224583333,16.8859166667,23.79375,44.298375,17.9825833333,64.9121666667,22.6974166667,6.24991666668,45.1754166667,26.6448333333,48.465,50.54825,31.0307916667
180.69,17.5094166667,9.64416666665,25.234,16.6665833333,26.21725,40.1219166667,20.5055833333,60.5806666667,21.2546666666,8.0525,42.4155833333,26.0298333333,45.59925,51.3109166667,31.039375
181.07,18.1993333333,15.4216666667,30.0288333333,16.85825,30.7470833333,40.8045416667,22.7011666667,65.8044166666,22.5095,6.99241666667,43.678,27.4903333333,44.8276666667,56.9921666667,31.6092916667
181.45,12.4530833333,13.6703333333,22.2846666667,11.1423333334,26.9663333333,34.784625,16.9476666667,64.7940000001,17.1348333333,2.99633333332,33.0524166666,23.5019166667,39.2321666667,53.7455,25.7024166667
181.83,9.59925,7.59475000001,19.8839166667,4.64141666667,27.6373333333,28.8504166667,11.8144166667,67.0886666668,7.70041666667,-0.632916666675,24.8944166667,18.6709166667,37.3419166667,54.5359166666,22.4155833333
182.21,17.6705833333,12.3494166667,28.8150833333,6.52608333333,33.53425,28.6144166667,16.5664166667,70.4819166667,10.1405,2.81108333335,29.8194166667,22.0884166667,40.7630833333,59.6385833333,24.6988333333
182.59,21.49125,22.0175,37.4999166667,15.3509166667,38.24575,33.9475,26.1403333334,72.4560833334,17.6315833333,12.1929166666,30.5264166667,30.7895,44.3859166667,59.3858333333,33.9913333333
182.97,11.11125,18.0555,33.767375,6.85750000002,28.2119166667,22.69975,20.0520833333,64.7570833334,12.934,3.47233333333,25.4341666667,23.698,40.0173333333,49.82625,26.1718333333
183.35,8.33333333333,14.0523333333,27.4510416666,5.63725,24.1830833333,16.1355833333,16.83,59.0685,8.49666666666,2.61433333332,23.2025833333,20.8335,35.2941666667,43.3006666667,21.282625
