wavelength,Back_LanAurf,Belly_LanAurf,Breast_LanAurf,Crissum_LanAurf,Crown_LanAurf,DorTail_LanAurf,Patch10_LanAurf,Patch11_LanAurf,Rump_LanAurf,Throat_LanAurf,WingTip_LanAurf
206.87,-40.9402666667,-102.649533333,-82.2222000001,-61.8803333333,-75.9828000001,-50.8547333334,-79.4018000001,-70.8545333333,-56.5812666667,-112.734866667,-93.5043333333
207.25,-45.0792666667,-102.698466666,-85.4760666667,-61.6666666667,-81.27,-58.9683333334,-83.5714000001,-72.2223333333,-54.2856000001,-114.285666667,-93.2540000001
207.63,-45.8696666667,-98.4059333333,-82.1015000001,-62.2463333333,-77.6811333333,-58.4058,-83.1159333333,-73.1884000001,-53.8404666667,-103.6956,-88.9129999999
208.01,-50.6522,-101.666733333,-87.5724666666,-70.9420000001,-85.7248666666,-62.1014666667,-86.3044666667,-79.4927999999,-60.6520666667,-104.275266667,-93.7680666667
208.39,-66.9804666668,-119.451133333,-104.274566667,-92.7057999999,-102.3528,-75.4509333333,-102.196,-98.6664666667,-76.4704666667,-120.235333333,-110.7452
208.77,-81.3674666667,-136.495733333,-118.4188,-106.752133333,-118.974333333,-92.8205333333,-121.538466667,-121.8804,-93.5041999999,-136.068266667,-125.641066667
209.14,-76.8723333334,-130.452666667,-112.469266667,-99.3414666668,-113.168733333,-91.3580666667,-116.707866667,-119.753133333,-89.1358,-123.4568,-115.802333333
209.52,-103.8094,-167.714466667,-146.0476,-127.142866667,-147.7144,-117.428466667,-146.761866666,-156.761933333,-117.9048,-160.857066667,-144.761933333
209.90,-98.7342,-156.9622,-136.7088,-118.2278,-134.767933333,-111.3924,-133.502,-139.156266667,-109.1138,-148.438733333,-131.6456
210.28,-87.6984000001,-143.095133333,-120.3571,-105.0,-118.5714,-99.9999333333,-121.666666667,-123.492133333,-99.2062666667,-135.2382,-117.1428
210.66,-74.6526666667,-122.2916,-102.604166667,-86.5276666667,-103.611133333,-85.8333333334,-101.8056,-106.805533333,-88.3333333333,-114.444466667,-102.361
211.03,-67.1154666667,-108.141066667,-89.1988000001,-79.5512000001,-92.4998666667,-76.2181333333,-90.4486666668,-97.0513333335,-85.641,-97.3718000001,-90.7692000001
211.41,-76.8794666668,-118.5814,-98.9361999999,-93.688,-100.638333333,-87.2339999999,-97.9431999999,-109.574466667,-101.843933333,-105.8866,-104.538933334
211.79,-103.3332,-157.685133333,-131.481533333,-125.925866667,-130.926,-117.315066667,-125.925933333,-141.388866667,-138.1482,-142.5926,-138.1482
212.17,-101.960733333,-160.392133333,-132.5979,-122.843066667,-131.372666667,-116.274466667,-126.2744,-141.764733333,-141.666733333,-143.9216,-144.019466667
212.55,-126.129066667,-185.1612,-153.871,-143.118266667,-156.8818,-138.6022,-147.634466667,-159.1398,-162.9032,-169.784933333,-170.752666667
212.92,-153.7854,-206.2146,-180.282533334,-164.971666667,-177.627133333,-160.452,-165.875666667,-171.751466667,-180.903933333,-192.4294,-194.802266667
213.30,-300.5556,-378.5184,-341.388766667,-319.259266667,-334.814666666,-302.407266667,-305.000133334,-315.370266667,-337.407333333,-360.3704,-364.629533333
213.68,-291.619066667,-370.095266667,-335.238033333,-321.714266667,-323.809533333,-295.619066667,-298.095266667,-305.7144,-329.142866667,-353.5238,-360.762
214.06,-548.666666667,-669.333333333,-618.166666667,-610.333333333,-599.666666667,-557.0,-557.666666667,-585.666666667,-616.666666667,-665.666666667,-659.666666667
214.44,-486.3768,-581.4494,-534.782633333,-528.6956,-523.188333333,-493.913,-483.478266667,-519.710066667,-545.2174,-589.275466667,-575.362333333
214.81,-409.2308,-492.820533333,-451.5385,-453.589733333,-436.153866666,-427.179333333,-404.358866667,-440.000066667,-464.102533333,-501.794866667,-485.3846
215.19,-1052.72726667,-1281.21206667,-1204.84863334,-1187.87886667,-1137.57573333,-1113.3334,-1089.69686667,-1164.24233334,-1187.8788,-1312.7274,-1215.15146667
215.57,-3145.0,-3850.0,-3598.33333333,-3438.33333333,-3370.0,-3221.66666667,-3206.66666667,-3425.0,-3476.66666667,-3878.33333333,-3533.33333333
215.95,-13580.0,-16206.6666667,-15453.3333333,-14646.6666667,-14506.6666667,-13660.0,-13766.6666667,-14466.6666666,-14580.0,-16366.6666667,-14833.3333333
216.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.70,-1311.51513333,-1453.93933333,-1448.18183333,-1356.96973333,-1371.51513333,-1275.1516,-1323.6364,-1353.93946667,-1361.21206667,-1576.96966667,-1366.06053333
217.08,-2950.66666666,-3285.33333333,-3242.0,-3086.66666667,-3125.33333333,-2910.66666667,-3069.33333333,-3101.33333333,-3105.33333333,-3628.0,-3082.66666667
217.46,-599.4204,-686.956466667,-659.565233333,-623.188466667,-632.7536,-621.449133333,-649.565133333,-651.3044,-642.8986,-760.579733333,-640.579533333
217.83,-493.095266667,-565.238,-533.928633333,-506.6668,-516.666533333,-520.4762,-534.761866667,-537.142933333,-526.428666667,-621.190533334,-535.476133333
218.21,-319.837466667,-368.292666667,-340.000133333,-319.8374,-335.447133333,-330.406533333,-344.390266667,-344.715466667,-325.203266667,-390.569133333,-348.943066667
218.59,-494.482733334,-556.091866667,-519.885066667,-494.023066667,-521.6092,-495.862066667,-525.977,-519.770066667,-487.8162,-578.390733333,-524.5976
218.97,-1123.80953333,-1208.09513333,-1166.9047,-1111.90473333,-1165.71413333,-1088.09513333,-1170.95226667,-1117.1428,-1060.00006667,-1265.71433333,-1165.71433333
219.34,-786.315733333,-818.2456,-788.4211,-738.245533333,-802.456066667,-748.772,-787.017533333,-751.578866667,-712.9824,-870.5262,-817.5438
219.72,-544.615533333,-555.640933333,-534.871733333,-509.743666667,-556.666666666,-521.282,-557.948666667,-514.1026,-484.102533333,-596.410266667,-566.410266666
220.10,-331.382066667,-338.536733333,-319.268266667,-302.7642,-339.024466667,-310.569066667,-342.9268,-312.0326,-288.2926,-360.4878,-350.8944
220.47,-292.608533333,-305.362466667,-277.536366667,-268.9856,-301.739266667,-276.231866667,-303.0434,-278.115933333,-260.434733333,-322.3188,-311.304266667
220.85,-272.652933333,-286.938733333,-256.8707,-244.897866667,-282.9932,-255.510133333,-286.530666667,-265.306133333,-246.5308,-294.829933333,-296.4626
221.23,-196.881666667,-207.096933334,-182.527,-170.322733333,-206.129,-180.537666667,-204.408666667,-192.473133333,-181.182733333,-210.4302,-218.387
221.61,-206.432666667,-211.8128,-190.350933333,-181.0526,-216.608066667,-178.713466667,-209.7076,-200.000066667,-187.2514,-219.298266667,-225.029133333
221.98,-259.148933333,-260.000133334,-243.191733333,-226.6666,-273.333333333,-219.716333333,-263.971733333,-244.9646,-235.886533333,-271.914866666,-275.460866667
222.36,-226.0256,-222.307666667,-212.500133333,-200.641066667,-241.4102,-193.333333333,-235.3846,-209.615266666,-217.435866667,-239.871866667,-242.051333333
222.74,-228.365866667,-225.4902,-216.928033333,-201.176533334,-239.215733333,-207.1896,-243.7908,-218.954266667,-228.104733333,-247.189533333,-252.4182
