wavelength,Back_EmbLonf,Belly_EmbLonf,Breast_EmbLonf,Crissum_EmbLonf,Crown_EmbLonf,DorTail_EmbLonf,Patch10_EmbLonf,Rump_EmbLonf,Throat_EmbLonf,WingTip_EmbLonf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,91.6666666665,166.666666667,-8.33333333335,66.6666666667,25.0000000002,0.0,-100.0,108.333333333,-66.6666666669,458.333333334
179.16,72.9166666667,91.6666666667,129.166666667,77.0833333333,87.5000000001,12.5,120.833333333,160.416666667,89.5833333335,206.25
179.54,114.583333333,102.083333333,64.5833333335,104.166666667,114.583333333,128.125,147.916666667,125.0,99.9999999999,89.5833333335
179.93,30.303,33.3333333333,45.4546666666,46.9696666666,31.8181666667,40.909,-4.5455,48.4848333333,33.3335,45.455
180.31,64.0625,56.25,57.8125,25.0,23.9583333333,-0.78125,40.1041666667,120.833333333,23.9583333333,133.333333333
180.69,66.25,51.6666666667,45.0,14.1666666667,21.6666666667,-17.5,44.5833333333,121.666666666,37.9166666667,116.25
181.07,73.5846666667,52.8303333333,50.6288333333,21.3836666667,38.3648333333,4.2455,60.3775,114.78,55.6605,95.5978333334
181.45,67.5756666666,47.5758333334,38.7878333334,8.788,34.2425,16.3635,60.0,91.5153333332,46.9696666666,70.909
181.83,74.7473333333,58.8383333334,44.1918333334,14.394,46.9698333333,37.87875,75.7575,94.9493333333,57.3231666666,64.1413333333
182.21,86.4101666666,70.2561666665,45.641,21.795,55.8976666668,34.23075,93.077,100.000166667,62.8205,61.5385
182.59,94.0640000002,79.9086666667,42.4658333333,43.6071666667,68.9498333333,41.4385,97.2603333335,103.653,74.201,78.3103333334
182.97,106.153833333,99.9999999998,61.0258333334,62.3076666667,89.4869999998,50.0,121.795,126.666666666,90.0001666667,86.9233333334
183.35,134.523833333,133.035833333,99.1071666667,91.9643333335,127.380833333,69.64275,166.0715,158.333333333,118.4525,112.797666667
183.73,121.464666667,119.9495,99.7475,85.3535,125.252666667,74.62125,148.232666666,133.586166666,114.6465,102.02
184.11,120.772833333,126.087,104.8305,82.8501666666,126.087,61.23175,141.787333333,124.637833333,118.115833334,95.4105
184.49,139.215833333,143.137333334,109.068666667,100.245,144.1175,81.61775,154.166833333,133.088166667,131.862666666,106.1275
184.87,147.032,155.707833333,113.013666667,114.611666666,155.936,101.36975,152.967833334,128.9955,136.529666667,118.0365
185.25,169.872,188.781833334,127.564166667,127.564166667,184.615333333,101.4425,177.2435,138.461333333,149.359,132.692333333
185.63,182.653,200.680333334,122.448833334,129.932,193.877833334,90.306,168.027166666,140.476333334,152.721,148.6395
186.01,194.565166667,201.087,112.681166667,142.029,197.463666666,69.56525,168.478333333,132.971166666,148.551,176.087333333
186.39,252.777833333,262.222333334,101.666666667,157.222166666,261.111166667,57.5,224.444333333,157.777833333,180.0,259.444166666
186.77,189.743666667,202.564166667,74.7861666666,102.991333333,182.051333333,50.0,167.948666667,120.940166667,125.214,205.128166666
187.15,194.285666667,209.0475,68.0953333333,90.0001666667,171.4285,45.71425,168.095166667,115.238333333,123.333333334,237.619166667
187.53,181.720333333,181.182833334,20.9675,35.4836666667,133.871,5.64525,136.0215,68.2793333333,79.0321666667,236.021333333
187.91,263.636166667,231.818166667,7.57566666665,19.697,177.272666666,-9.091,193.939333334,77.2725,66.6666666667,308.333666666
188.29,262.500166667,213.1945,-13.1946666667,16.6665,179.861166667,34.375,190.277833333,79.8611666666,47.9166666667,290.277833333
188.67,186.574166667,139.814666666,-2.77766666665,-7.87033333335,125.0,15.27775,119.9075,53.2406666667,30.0923333334,199.074
189.05,180.769333333,105.769166667,-71.7945,-86.5383333332,94.2308333334,-42.3075,101.923,-12.8205,-35.2565,194.872
189.43,194.270833333,110.9375,-22.9166666667,-24.4791666666,120.3125,22.65625,120.3125,22.9166666667,17.7083333333,189.583333333
189.81,387.5,188.541666666,-65.625,-37.4999999999,220.833333333,54.6875,257.291666666,60.4166666667,42.7083333335,346.875
