wavelength,Back_TanRuff,Belly_TanRuff,Breast_TanRuff,Crissum_TanRuff,Crown_TanRuff,DorTail_TanRuff,Patch10_TanRuff,Patch11_TanRuff,Patch12_TanRuff,Patch13_TanRuff,Patch14_TanRuff,Rump_TanRuff,Throat_TanRuff,WingTip_TanRuff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,63.6507555555,89.5237333334,75.7142666667,71.6666333333,96.6664666669,80.4761,86.6666666667,80.9524000001,82.3809999999,94.2858,80.9524,100.4762,83.3334666667,83.8095333333
179.16,112.098755556,157.037066667,142.222066667,137.4075,152.592533333,137.7778,117.777733333,128.8888,131.852,130.3704,156.2964,162.2222,130.3704,135.555533333
179.54,79.4871555554,120.512866667,98.4616666667,85.8974333333,87.6923333334,82.8204999999,85.6410000001,94.8718000001,83.5897999999,102.564133333,99.9999333332,112.8206,95.3844666669,98.9742666666
179.93,55.5554,91.7646666667,54.902,61.9609,79.9999333333,67.0588,65.4901999999,62.3528,54.1177333333,72.1567333333,55.2941333333,83.1373333334,69.0196,72.1568
180.31,76.0366444445,117.0446,82.1305333333,90.5498333333,103.230333333,90.6874333333,86.2542666666,85.0171333334,88.5221333332,99.1752,92.6460666667,114.364333333,79.9312666665,93.5394666667
180.69,81.4365555556,125.7238,90.8417333335,93.1313,112.525266667,99.3938,91.3130666667,88.2829333333,93.7374666668,103.771133333,99.1245333333,120.606066667,85.1852666668,98.5857999999
181.07,84.070088889,129.473733333,95.0174666665,101.263266667,114.315866667,105.789466667,91.1579333335,87.6490000001,94.1754666667,108.9824,105.6842,123.298333333,82.7369333334,99.2281333333
181.45,76.1169999999,121.122733333,85.8246,94.7368666667,105.614,98.5264333333,84.8422,76.5613333333,86.5263333333,103.017466667,95.0876666667,114.526333333,74.0349333334,90.8069999999
181.83,78.6517999999,120.824,82.1722666667,98.1648333334,110.562,101.385833333,87.4157333333,76.1049333333,88.3145999999,105.692866667,95.9550666667,116.03,73.0337333334,87.4157333333
182.21,85.6588888889,126.666733333,89.6899333332,108.217066667,117.984466667,105.814,93.0232666666,82.5579999999,98.2172666665,114.7286,101.550533333,119.457333333,78.6821333335,91.7830000001
182.59,84.4932666667,116.1172,88.3516000001,101.062366667,112.8938,97.9487333333,88.4981333335,79.7069333333,93.1868000001,112.454333333,99.7069333333,110.402866667,77.8022,88.498
182.97,91.7648000001,121.647,97.2550666668,104.5098,124.392266667,101.490266667,94.6665333333,87.2941333333,101.4902,122.745,107.607866667,119.137333333,89.8038666667,98.1176000001
183.35,99.3462888889,128.470733333,104.862733333,112.039133333,135.1372,106.352966667,102.352933333,94.5880666665,111.6078,130.509866666,115.451,129.568733333,100.549,100.3138
183.73,92.6474888888,126.090466667,103.3744,110.452733333,133.251,99.8351333333,102.386933333,90.6996666666,111.605,127.654333333,113.580266667,127.901133333,100.329133333,95.0617333332
184.11,74.2455333334,106.245666667,87.7191999999,91.9649000001,110.666666667,81.2981,84.6316,71.7893999999,89.8245333333,105.263133333,92.1404,102.596466667,85.965,76.4210666666
184.49,63.8985777778,95.0292,79.5907333333,84.8539,96.7837333333,71.6666333333,72.3392666667,62.1636666667,78.8888666666,90.2923999999,78.2455333333,88.4795333333,75.9648666666,68.2456666667
184.87,55.8334888889,83.8541333333,67.7605333333,80.4689000001,84.8439333334,60.3386666667,63.0208666667,54.0626666667,70.9895333333,81.0417333333,69.2708,77.3438,69.6355333333,63.5418666666
185.25,47.8870888889,79.4536000001,59.1256,72.6229333333,80.1640000001,50.9836666667,55.1367333333,48.9071333333,67.2133333334,73.8798666667,61.4754,70.5464,67.5410666667,59.6722
185.63,43.4099777778,76.1492666667,57.1264,68.6207333333,78.5633333333,46.0343,49.7701333334,46.092,63.3333333333,70.4598666667,58.2183333333,67.1838666667,66.8965333333,55.5746
186.01,38.4252222222,71.0760666667,53.0708666667,62.0211,68.5038666666,42.2310333333,43.3072,39.8424666667,56.0105333333,63.0971333333,51.3387333333,61.3124,59.8950666667,52.8609333333
