wavelength,Back_TacRuff,Belly_TacRuff,Breast_TacRuff,Crissum_TacRuff,Crown_TacRuff,DorTail_TacRuff,Patch10_TacRuff,Rump_TacRuff,Throat_TacRuff,WingTip_TacRuff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,95.3333333333,105.0,107.333333333,86.0,89.3333333335,63.1481481482,120.666666667,71.3333333333,117.333333333,155.0
179.16,86.2744666666,78.8234999999,102.745066667,95.6862611111,87.4509999999,84.9236777778,80.7842666667,79.2156666667,88.2354666667,99.4117333334
179.54,127.5,96.6666666666,150.833333333,134.375,139.166666667,122.777777778,116.666666667,148.333333333,166.666666667,132.916666667
179.93,49.6295333333,15.5554666667,37.7777333333,40.7408500001,43.7038,17.4074296296,8.88879999999,25.9259333333,62.9630666666,58.1479666667
180.31,69.6427333332,69.0475,83.4522666667,60.2975388889,79.5238666667,51.8848444444,63.2144000001,47.7381333333,66.9046666667,137.618966667
180.69,71.195,69.5598333334,82.2641333334,53.3228277778,78.6164,46.2613666667,59.6227333335,40.0,62.8930666667,139.811166667
181.07,100.247066667,92.4692000001,118.271733333,60.8847277778,120.246866667,67.3387999999,61.9752666667,32.5926666667,70.6173999999,234.444433333
181.45,-313.333333331,-91.6666666668,-173.333333333,485.000000001,-483.333333333,75.9259259259,346.666666667,840.000000001,233.333333334,-1935.0
181.83,-40.9524666667,-16.1904666667,-9.52373333326,220.476094445,-104.761733333,82.698385185,125.714133333,321.9048,151.428533333,-512.8573
182.21,15.8025333333,15.3088,14.8147333333,84.7531944446,-15.3085333334,41.8382074075,43.9508000001,113.3334,67.6544,-109.135933333
182.59,-0.83326666664,5.1388,-5.8334,40.6827111111,-18.4721333333,16.4737444445,17.6390666666,57.9166000001,27.5,-56.1804333333
182.97,-7.8688,-1.63943333332,-2.9508,32.6228888889,-17.8142,8.59136296295,15.3007333333,39.3443333333,14.5356666667,-45.6284
183.35,-13.552,-8.03289999999,-11.0383333333,26.0473555556,-26.776,-3.22404074075,3.06013333334,30.601,4.69946666668,-53.5519999999
183.73,-10.6664666667,-3.57566666673,-12.7272666667,33.0000055556,-27.2727333333,-7.58254814817,5.57580000002,35.7574666667,-1.57573333335,-45.3334
184.11,6.46779999999,6.91546666667,2.58713333333,37.6284833333,-7.86080000001,2.34374444447,22.587,44.7760666667,13.9302,-13.7313333333
184.49,16.7901333333,17.6544,15.3086,40.0410944444,8.47733333336,14.4399259259,32.9218666667,50.535,19.2592666667,6.54306666667
184.87,18.2638,18.8541666666,14.9306666667,39.7628388889,10.0693333333,14.6335407407,33.8889333333,47.9166666667,16.9445333333,7.882
185.25,10.2952666667,11.1391333333,10.2953333333,39.1419722222,3.45993333334,5.91640740739,31.7298,48.5232,8.0168,5.14753333333
185.63,-8.15793333334,-6.31583333332,-10.0876666667,25.1681777778,-12.8948,-7.47075555557,15.5262666666,31.9298,-7.1052,-11.0527666667
186.01,-4.10860000001,-3.64343333334,-2.86819999999,23.7726777778,-6.6666,-6.96812962964,21.7054,34.1086,-5.6588,-7.09310000001
186.39,-16.9106,-15.2437333333,-10.0,12.6760222222,-15.1218666667,-23.6178333333,16.5852,24.9593333333,-12.8454666667,-13.6177333333
186.77,-28.9498666667,-17.8082666667,-5.9362,7.67135,-21.8265333333,-30.7915037037,12.1461333333,16.8037333333,-17.169,-20.3654333333
187.15,-9.69693333335,7.46193333334,15.5302,20.1388166667,-0.302866666666,-8.53963703704,29.394,32.4998666667,5.07579999998,4.05316666666
187.53,-4.32099999999,16.5738666667,23.3334,25.3344944444,8.95066666667,2.10899259261,37.6544666667,38.7038666667,13.5803333333,10.9877
187.91,8.40573333333,29.1544,34.7826666667,31.2561944444,23.3816,16.2613851852,45.604,46.0868666667,29.0337333333,20.3380333333
188.29,3.16546666665,24.1247333333,29.7362666667,30.3797444444,16.7864666667,14.1672370371,43.2614,41.6786666667,24.8441333334,14.6763333333
188.67,5.2656,27.2221666667,33.768,33.7641111111,21.1594,15.5850148148,45.7489333333,43.0436,29.082,15.4346666667
189.05,3.35766666667,26.0098,35.7178,32.4656666667,23.6982666667,12.8549333334,43.7956666667,37.9076,31.4356666667,13.0658
