wavelength,Back_PooErym,Belly_PooErym,Breast_PooErym,Crissum_PooErym,Crown_PooErym,DorTail_PooErym,Patch10_PooErym,Rump_PooErym,Throat_PooErym,WingTip_PooErym
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-20.28588,-6.66666666666,-12.6192,1.42853333332,2.38093333334,-6.82551111112,-26.1905333333,-4.04759999998,7.14273333332,-17.1428666667
179.16,166.266666667,173.333333333,146.666666667,135.333333333,128.666666667,155.370370371,183.333333333,113.0,116.0,142.0
179.54,-165.333333333,-115.0,-158.333333333,-86.6666666667,-118.333333333,-186.111111111,-168.333333333,-111.666666667,-138.333333333,-113.333333333
179.93,430.0,356.666666667,311.666666667,270.0,433.333333333,343.333333333,380.0,298.333333333,350.0,390.0
180.31,-126.027853333,-105.277733333,-82.2916666666,-54.0278,-72.6388666667,-80.7098185185,-114.583333333,-50.625,-78.0556000001,-101.527866667
180.69,-102.254613333,-81.6970000001,-58.1817333333,-33.4544666666,-49.4546666666,-60.390462963,-92.3637333332,-30.4242333333,-59.2727333334,-80.1212000001
181.07,-98.5358533334,-70.5881333333,-56.1438,-32.0261333334,-45.4902666667,-60.9875777779,-88.4967999999,-27.8432333333,-55.6861999999,-74.3790666667
181.45,-105.272693333,-66.8181333334,-59.0907,-26.5151333333,-50.3028666666,-62.3653296296,-99.9998666668,-27.9545333333,-63.4848,-77.1209999999
181.83,-84.5866666666,-50.5333333333,-45.4666666667,-11.8666666666,-37.6,-42.2814814814,-81.0666666668,-17.7333333333,-49.2,-59.4666666667
182.21,-92.7500666667,-56.6666666667,-54.3750333333,-19.8610666667,-40.5556000001,-48.5338592593,-90.1387333333,-25.8332666667,-50.8334666667,-64.1667333333
182.59,-101.264933333,-57.9486,-47.1794666667,-7.52133333333,-41.1965333332,-50.9686259259,-97.9487333334,-28.4615333333,-51.4529999999,-59.4871333333
182.97,-70.1211733333,-22.7273333333,-18.3332666667,13.6363333334,-21.2120666667,-23.2744851852,-69.5453333334,-2.9547,-29.6970666667,-32.4242
183.35,-37.2328133333,-0.251600000001,11.1952333333,30.5660666666,-0.2516,1.54434074073,-39.1195999999,8.30176666666,1.00626666668,-8.93073333333
183.73,-22.5939066667,10.4242666667,27.2728,44.2424666667,6.30293333332,15.2525481481,-26.6665333334,21.5152333334,25.0908666667,9.69699999998
184.11,-46.0774933333,1.70546666667,13.3334,36.4341333333,-16.2790666666,4.03965185184,-59.2247999999,11.0077666667,18.7596,-2.79073333335
184.49,-10.6666933333,44.2592666667,55.1851,82.7778,20.7407333333,39.6090296296,-35.5554666667,49.3518666667,64.8148000001,24.2592666667
184.87,-73.3969199999,34.6032,53.6508666667,91.4286666667,-10.4762,19.9824148148,-118.4126,31.4285666666,76.5079333334,-1.26986666673
185.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.63,-183.199946667,-23.5554666667,70.4445,109.333333333,-43.5555333335,8.29637407412,-163.999933333,27.1110999999,75.1112000001,-59.1111333335
186.01,507.555533333,140.0,-178.333266667,-181.111266667,193.333333334,31.6050703703,457.777666666,-6.11113333333,-144.4444,223.3334
186.39,468.222319999,134.444466667,-217.777766667,-226.666666667,130.0,12.2839481482,461.111133333,8.33323333332,-90.0000666666,204.444466667
186.77,150.923026667,65.3847333334,-11.4103666667,-8.20533333346,55.1281333333,48.7891185186,151.538333333,35.6409,11.2822,88.7178666667
