wavelength,Back_ButAurf,Belly_ButAurf,Breast_ButAurf,Crissum_ButAurf,Crown_ButAurf,DorTail_ButAurf,Patch10_ButAurf,Patch11_ButAurf,Patch12_ButAurf,Rump_ButAurf,Throat_ButAurf,WingTip_ButAurf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,74.8483999999,62.1212,10.9090666667,84.2424,96.9698,60.1513333333,102.1212,20.9090666667,11.8182,71.8182666666,43.6362666667,79.6969333333
180.69,71.9443999999,60.0000666667,6.6666,83.8889333333,96.3888666666,57.0832333333,103.889,19.4444,11.1110666667,74.7222666667,42.7778,82.2221999999
181.07,73.8096000001,67.3809333333,18.5714666667,81.9048,99.0475333333,59.4046,99.0476666667,32.619,20.4760666667,80.4760666666,46.9046666666,87.3809333333
181.45,70.2083333333,67.2916666667,24.375,82.0833333334,97.9166666668,54.4791666667,95.0,34.7916666667,30.625,78.3333333333,49.1666666667,90.2083333334
181.83,75.6988,71.6127999999,26.6666,88.1721333333,104.085933333,61.0752333333,102.1506,42.5807333333,36.5592,87.0968,55.9140666667,100.860066667
182.21,76.1616,68.8888,29.2929333333,85.6567333334,100.201933333,59.5958999999,101.212266667,43.4343333333,39.9999333333,83.2324000001,62.4242666667,101.414133333
182.59,76.4583333334,65.2083333333,25.0,84.7916666667,94.375,52.8125,98.125,36.6666666667,36.875,77.4999999999,54.1666666667,99.9999999999
182.97,80.6061999999,63.6363333333,10.0000666666,93.6364,99.0909333333,45.7576000001,99.3939333334,19.6968666667,23.3332666667,76.9698000001,47.2727333333,113.030266667
183.35,57.8666666667,54.6666666667,-2.93333333333,67.4666666667,73.6,33.7333333333,69.8666666666,9.33333333333,8.53333333333,58.4,27.7333333333,85.8666666667
183.73,36.9446,38.3332666667,-18.8888666667,43.8889333333,49.1666,12.9167333333,46.9444666666,-11.389,-11.9444,36.3889333334,10.2778,66.3888
184.11,49.0909333333,46.9696,-8.78786666667,54.8483333333,66.9698666667,19.6970333333,54.5455333333,-1.21220000002,-6.06059999999,41.8182666667,23.0302666667,74.5453999999
184.49,57.4194666667,53.5482,21.0752666667,61.5053333333,73.1182666667,34.9462,58.9246666667,25.5914,18.7098,52.0429999999,38.2796666667,74.8387999999
184.87,60.0,53.9583333333,26.0416666667,60.8333333333,72.4999999999,35.2083333333,55.625,28.75,22.7083333334,50.2083333334,37.9166666667,73.9583333333
185.25,51.8095333333,47.9999333333,21.3332,49.3332666667,62.2857333334,31.2380333334,47.4286,22.8571333333,23.619,40.3807999999,30.0952666667,62.6665999999
185.63,52.5926,55.5556666667,26.4815333333,50.1853333333,65.3703333333,33.8888000001,49.0741333333,24.0742,24.9999333333,44.8149333333,33.1481333333,62.4073999999
186.01,51.7462,59.0476,34.2858,51.111,64.1270666667,32.6190333334,50.4761333333,26.9842,28.8887333333,45.7144000001,36.9841333334,62.2221333333
186.39,50.1333333333,58.2666666667,38.6666666667,52.2666666667,60.7999999999,35.0,50.0,32.6666666667,33.8666666667,47.7333333334,39.2,61.9999999999
186.77,48.9743333333,57.4358666667,41.282,53.4614,59.7436,35.3846333333,49.9999333333,34.8718,33.5896666667,49.9999333333,41.2820666667,62.1794
187.15,53.0054666667,62.2950666667,46.6666666667,56.6120666667,65.7923333333,42.4591333333,53.7704,41.7486666667,38.1422,53.8797333333,45.2459333333,65.6830666666
