wavelength,Back_PhrDorf,Belly_PhrDorf,Breast_PhrDorf,Crissum_PhrDorf,Crown_PhrDorf,DorTail_PhrDorf,Patch10_PhrDorf,Rump_PhrDorf,Throat_PhrDorf,WingTip_PhrDorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,88.8887777778,70.915,79.0847777777,87.5816666667,96.0783888888,68.6274444443,94.1176666665,101.002107408,84.3137777778,123.529277778
179.16,70.3703333334,29.1666666667,57.8704444444,25.9259444444,59.2592222222,39.8147777778,33.3333333333,41.1110814815,47.2223333334,58.7961111111
179.54,-400.0,-333.333333333,-405.555555555,-455.555555555,-672.222222222,-255.555555556,-633.333333333,-289.259259259,-111.111111111,-450.0
179.93,-59.7222222223,-34.7222222222,-25.0,-75.0,-23.6111111111,-11.1111111111,-135.416666666,-33.9814814815,-27.7777777778,-55.5555555556
180.31,49.5292222222,28.0130555555,53.9547777778,33.5688333333,43.7853888889,55.7438888889,24.8586666666,46.1582185185,59.4162222222,32.0621666667
180.69,49.8206666667,27.285,54.301,32.3925555556,42.6075555556,53.226,21.2366666667,45.0328296296,57.8854444444,29.7939444444
181.07,46.1774444444,22.5280555556,52.7522777778,25.0255,37.6657222222,50.8665555556,9.17416666665,35.0763814815,57.1864444444,15.9530555556
181.45,52.5676666667,32.4930555555,63.1653888889,36.8816666667,44.9113333333,59.4771111111,18.3473333333,42.7699481481,63.9588888889,25.7237222222
181.83,55.3764444444,29.9731111111,63.3960555555,38.6647222222,50.8513888889,59.6774444445,21.1021666666,41.0902333333,64.5162222222,26.1647777778
182.21,63.6922222222,34.7328888889,65.5731111111,45.9753333333,52.7996666667,64.1295555555,31.1025,44.4824666667,70.2537777778,33.4647222222
182.59,62.3781111111,31.4815555556,63.7913888889,42.4464444444,50.7797222222,62.6704444445,24.5613333333,38.9797444444,72.9042222222,29.9221666667
182.97,72.7095555555,38.4016666667,67.0564444444,49.7075,54.4834444444,67.2514444446,32.1638333333,41.182637037,77.387888889,40.2534444444
183.35,83.2833333332,47.8478888889,69.1191666667,56.6066666667,60.1101111111,75.7757777777,43.994,46.8568814815,81.782,51.9522222222
183.73,89.3244444443,55.3922777778,73.8016111111,58.8236666667,64.5969444445,79.3028888889,49.8365,49.1068259259,79.9564444443,56.8626111111
184.11,88.0787777778,48.2638333333,69.7917222222,51.3889444444,57.8703333333,71.4121111112,45.3126666667,41.5586444444,73.8425555556,53.9930555556
184.49,93.9771111111,53.5307777778,76.4276666667,63.5511111111,64.7455555556,77.8816666668,53.2708333333,50.1175851852,75.7007777778,67.7049444444
