wavelength,Back_PooNigm,Belly_PooNigm,Breast_PooNigm,Crissum_PooNigm,Crown_PooNigm,DorTail_PooNigm,Patch10_PooNigm,Rump_PooNigm,Throat_PooNigm,WingTip_PooNigm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-72.3808666667,-22.8571333333,-51.4285999999,-38.0952666667,-53.3332666667,-28.0953000001,-63.0953333333,-33.3334666667,-47.619,-75.0000000001
179.16,72.3810000001,67.6190666667,48.0952666667,81.9047333333,73.3333999999,29.0476333333,116.66675,94.2856666667,57.1428666667,88.0955
179.54,-60.9523333334,-47.6191333333,-94.2855999999,-55.2382,-51.4285333334,-48.5715333333,-52.3809166667,-40.0000000001,-25.7142666667,-24.9999166667
179.93,10.0001333333,3.33333333334,15.4760666667,9.04753333332,27.6190666667,17.381,20.23825,14.7620666667,21.4285333333,8.92849999997
180.31,-135.632333333,-95.1724666667,-108.275833333,-94.7125333333,-122.069,-78.5058333332,-86.2069166667,-96.5518000001,-102.758533333,-61.7815833333
180.69,-128.952466667,-87.619,-109.4286,-91.4286000001,-120.952466667,-80.4761333335,-80.0000833334,-88.7619999999,-99.4286666667,-67.6192499999
181.07,-171.281933333,-122.5642,-149.7434,-132.564,-165.897466666,-116.154033333,-109.615333333,-133.846066667,-145.1282,-80.1280833333
181.45,-363.555533333,-268.0,-284.222133333,-300.0,-353.777733333,-233.5555,-267.777833333,-304.444466667,-308.444466667,-194.999916667
181.83,-962.222133332,-640.000000001,-672.222066667,-784.444599999,-881.111066665,-571.666599999,-704.166666667,-794.444399999,-772.222199999,-497.222250001
182.21,429.166666667,280.416666667,302.5,358.75,401.666666667,276.458333333,304.166666667,353.75,351.666666667,210.9375
182.59,233.978533333,162.1506,184.1934,200.860266667,234.408733333,157.9571,170.96775,205.3762,195.483933333,127.687916667
182.97,268.695733333,185.5072,199.275333333,232.4638,282.6088,180.0001,194.202916667,240.000133334,221.159466667,142.753666667
183.35,463.076866667,304.102666667,335.640966667,413.846133333,472.307666667,280.0001,295.512666667,413.8462,369.230733333,232.692083333
183.73,213.75,155.208333333,183.854166667,211.666666666,217.916666667,159.6875,149.739583333,201.25,176.666666667,129.427083333
184.11,177.592466667,117.962933333,155.1851,185.740666667,178.518466667,142.3147,134.722333333,171.481466667,139.4444,103.703666667
184.49,180.416666667,115.208333333,153.958333333,190.833333333,189.375,136.5625,153.385416666,181.458333333,149.375,104.166666667
184.87,137.117133333,89.1891333334,107.2071,157.2972,142.882866667,100.179966667,120.270333333,146.1262,109.009133333,72.2974999999
185.25,163.333333333,112.916666667,121.770833333,194.791666667,171.458333333,121.666666667,142.447916667,158.541666667,121.666666667,88.0208333333
185.63,163.238133333,124.0,132.095166667,189.904733333,164.952533333,140.476133333,144.047666666,161.904733334,123.238066667,99.0476666667
