wavelength,Back_RamBrem,Belly_RamBrem,Breast_RamBrem,Crissum_RamBrem,Crown_RamBrem,DorTail_RamBrem,Rump_RamBrem,Throat_RamBrem,WingTip_RamBrem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,9.09077777778,-11.1111111111,33.3333333333,10.1011111111,-12.1211111111,6.06066666667,-9.0911111111,27.2727777778,2.02016666667
179.16,-7.93644444447,15.8731111111,2.33330392045e-11,-28.5714444444,96.8253333333,-1.5872222222,-3.17444444443,-20.635,-5.55555666667e-05
179.54,51.5151111111,40.4041111111,34.3434444444,66.6665555555,70.7071111111,19.192,59.596,-13.1314444444,34.3436111111
179.93,65.2777777778,41.6666666667,51.3888888889,40.2777777778,44.4444444443,25.0,29.1666666667,76.3888888889,-16.6666666667
180.31,1.42159079147e+15,8.10306751136e+14,2.43802820737e+15,2.01865892389e+15,-1.06619309359e+14,1.76988053538e+15,1.63482941019e+14,2.31008503614e+15,7.96090843223e+14
180.69,186.324888889,98.2906666666,329.914444445,235.042666666,-20.513,253.846222222,35.8973333333,303.419,114.957222222
181.07,-566.666666666,-300.000000001,-1174.074,-944.444555556,211.111222222,-1007.40733333,-40.7406666667,-1185.18511111,-340.740777778
181.45,688.888888888,255.555555556,1722.22222222,1194.44444444,-277.777777778,1583.33333333,-155.555555555,1761.11111111,544.444444443
181.83,303.703777778,133.333333333,611.111222221,511.111,53.7036666668,561.111,59.2592222224,609.259333333,232.407277778
182.21,-633.333444444,-240.740777778,-1225.92577778,-1140.74077778,-229.629555555,-1103.70355555,-125.925777777,-1296.29633333,-688.888888889
182.59,1533.33333333,761.111111111,2466.66666667,1994.44444444,877.777777779,2166.66666667,883.333333333,2516.66666667,1513.88888889
182.97,-780.555555556,-308.333333333,-1161.11111111,-905.555555555,-377.777777778,-1108.33333333,-583.333333334,-1219.44444444,-802.777777778
183.35,-236.666666667,-35.5555555557,-388.888888889,-281.111111111,-99.9999999998,-367.777777778,-152.222222222,-435.555555555,-206.666666667
183.73,419.047888889,115.873111111,604.762000001,395.238111111,190.476222222,625.396888889,309.523777778,758.730222223,289.682444444
184.11,-2055.55555555,244.444444443,-3188.88888889,-1977.77777778,-77.777777778,-3477.77777778,-1300.0,-4800.0,-961.11111111
184.49,138.426,43.0554444445,152.314888889,134.722222222,40.7406666667,197.222111111,88.8889999999,246.759333333,54.1666666667
184.87,138.647444444,41.0628888888,147.342888889,154.589222222,53.1401111112,204.347888889,99.0336666669,256.038666667,36.4733333333
185.25,86.3888888888,20.2777777778,84.7222222223,81.1111111111,25.5555555555,113.333333333,57.4999999999,156.111111111,25.6944444444
185.63,95.6348888888,7.93655555553,92.0634444445,111.904888889,13.8888888889,136.507888889,63.0951111112,193.650777778,0.396777777667
186.01,76.4226666667,17.6152222222,68.0217777777,83.4686666665,10.5691111111,110.840111111,54.4715555555,141.463222222,4.2006111111
186.39,77.314888889,39.1203333333,81.7130000001,88.426,22.4537777778,115.972222222,73.611,141.898111111,15.5091111111
186.77,51.9126666667,31.5118888889,62.1128888889,74.8633333332,10.929,88.1604444443,55.1912222222,117.304222222,7.37694444443
187.15,30.8642222222,14.9911111111,41.4462222222,61.0228888889,-1.41100000001,76.1903333333,38.8006666667,100.352777778,-1.94016666667
187.53,36.8421111111,24.7075555555,45.0293333334,70.4677777778,17.5438888889,72.3682222222,50.0,98.2455555556,12.5001111111
187.91,35.9125555555,21.23,50.5953333333,90.277888889,21.0318888889,93.0557777777,65.6745555555,119.444444445,9.42466666667
188.29,24.183,17.9738888889,39.3793333334,74.673,18.9542222222,79.2484444444,50.0,99.3464444443,18.464
188.67,-6.96800000001,-10.9227777778,16.7607777778,59.8871111111,3.95477777777,59.5104444445,34.6516666667,94.9153333334,-0.5648888889
189.05,-14.8846666667,-17.4004444444,11.9496666667,58.9098888889,-3.35433333333,56.1844444444,29.5595555555,99.1614444444,-7.12794444433
189.43,6.70844444447,5.45066666665,35.4297777778,77.7777777777,28.0922222222,91.1950000001,54.717,114.674888889,14.1509444443
189.81,27.0753333334,22.8606666666,39.7188888889,65.6448888889,45.3384444444,73.1801111111,60.0256666667,94.7637777778,32.8862222222
190.19,26.4174444444,24.7165555556,37.3016666667,69.5012222222,50.1132222222,68.4807777778,58.39,89.229111111,36.3377222222
190.57,12.4497777778,4.68533333333,18.34,60.6425555555,33.0654444444,67.8714444445,41.4993333333,80.5890000001,25.5018333333
190.95,9.9568888889,-0.86577777778,8.6581111111,53.8238888889,32.7562222222,70.707,37.0851111111,70.8514444444,18.2539444444
191.33,17.5037777778,-0.913444444443,10.8067777778,54.49,37.8995555555,70.9283333333,38.8128888889,66.2099999999,8.0668888889
191.71,10.4575555555,-9.47722222222,4.41166666666,41.6666666667,36.1111111111,67.647,34.6405555556,58.987,1.961
192.09,6.2331111111,-10.0271111111,1.8968888889,25.2033333333,26.5582222222,44.9865555555,25.4741111111,44.5798888889,0.271055555567
192.47,6.87133333333,-11.9883333333,-0.1462222222,25.2923333333,26.0233333333,44.4443333333,29.5322222222,43.5673333333,-6.06722222223
192.85,5.98288888889,-11.282,0.3418888889,25.1282222222,29.7434444444,51.2821111111,30.9401111111,43.9317777778,-1.7093888889
193.23,2.4692222222,-8.81833333334,-0.8818888889,29.9824444444,29.8058888889,56.4373333333,32.9806666667,42.6808888888,8.6421111111
193.61,-7.35277777778,-6.86277777776,-10.4576666667,31.3724444445,20.915,37.9084444444,23.0392222222,30.0653333333,0.3268888889
193.99,-42.4242222222,-41.1614444444,-42.4243333334,7.82822222224,-10.3535555556,23.9897777778,-6.31333333333,8.081,-35.1010555556
194.37,-63.888888889,-72.8395555556,-54.6296666667,-16.9753333333,-36.7282222222,7.09877777776,-27.1604444444,-22.2223333333,-70.2161111111
