wavelength,Back_SpoNicm,Belly_SpoNicm,Breast_SpoNicm,Crissum_SpoNicm,Crown_SpoNicm,DorTail_SpoNicm,Rump_SpoNicm,Throat_SpoNicm,WingTip_SpoNicm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,590.0,473.333333333,503.333333333,590.0,566.666666667,560.0,620.0,533.333333333,566.666666667
179.16,116.666666667,125.833333333,143.333333333,120.0,107.5,115.0,109.166666667,155.833333333,115.833333334
179.54,-44.1025333333,-15.8975333333,-41.0255333333,-6.15386666667,-28.718,-37.4358,-38.9743333333,-42.564,-7.69213333334
179.93,-600.0,-490.0,-630.0,-563.333333334,-396.666666667,-716.666666667,-596.666666667,-616.666666667,-543.333333333
180.31,-60.5555999999,-48.0001333334,-77.5556666667,-56.4446000001,-37.8888666666,-67.5556666667,-62.3334,-77.8888666667,-47.7778666667
180.69,-85.7142,-72.6191333331,-112.023733333,-80.2380666667,-63.4524666667,-94.7619333335,-95.0000000001,-111.309533333,-72.5
181.07,-93.5848666667,-81.6353333333,-124.025133333,-90.0628666668,-64.1510666666,-102.138333333,-104.025266667,-121.761,-74.9685333333
181.45,-105.751666667,-90.3268000001,-132.6798,-103.137133333,-82.8758,-119.346333333,-117.908533333,-133.8562,-88.6275333333
181.83,-103.259266667,-101.1852,-133.925933333,-107.259133333,-82.963,-124.148266667,-119.7038,-141.185133333,-97.0371333335
182.21,-117.450866667,-122.549133333,-159.019733333,-118.039133333,-104.313933333,-139.215666667,-136.274466666,-173.725533333,-112.745133333
182.59,-192.2222,-191.388933333,-243.055533333,-187.777666667,-180.5556,-220.277866667,-233.3332,-272.7778,-164.4444
182.97,-738.0954,-714.285733333,-849.523733334,-749.523733333,-700.000066668,-861.9048,-846.6666,-1043.80946667,-636.190333334
183.35,318.1818,307.575733333,353.0304,313.030266667,320.303,376.666666667,351.212066667,412.424133333,271.211933333
183.73,245.714333334,236.666733333,260.714333333,236.190466667,250.238,285.000133333,278.809466667,324.047466667,205.476066666
184.11,283.678266667,268.735666667,281.839,264.597733333,279.080333333,321.1496,306.896666667,358.390866667,245.7472
184.49,260.0,247.428466667,245.523866667,243.619066667,258.666733333,281.523933333,263.999933333,315.8096,229.714333333
184.87,231.481533333,215.740733333,210.185133333,215.555533333,236.296266667,253.333266667,224.629666667,283.703666667,207.407266667
185.25,229.247266667,214.8388,209.892333333,219.785,256.559266667,263.225933333,232.688066667,297.4194,220.215133333
185.63,1396.0,1373.33333333,1284.0,1308.0,1446.66666667,1572.0,1406.66666667,1785.33333333,1292.0
186.01,865.925933333,797.037133333,797.777800001,849.6296,877.777733332,940.740666668,845.1852,1065.926,769.629666667
186.39,7800.00000001,7060.0,6973.33333334,8206.66666668,7940.00000001,8413.33333333,7740.00000001,9613.33333333,6760.0
186.77,1574.66666667,1488.0,1410.66666666,1649.33333333,1658.66666667,1762.66666667,1533.33333333,1916.0,1390.66666667
187.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.53,-229.885133333,-212.8736,-209.4254,-214.023,-213.563266667,-247.586133334,-207.5862,-276.091933333,-194.023
187.91,-165.641,-155.726466667,-151.794866667,-148.376,-151.623866667,-178.4616,-139.145333333,-186.324666667,-132.136733333
188.29,-125.909,-125.606066667,-113.333333333,-112.575733333,-122.575733333,-133.030333333,-108.939466667,-141.818066667,-93.788
188.67,-69.4048666667,-77.2618666666,-70.3571999999,-64.2857333334,-72.4998666666,-83.9285333333,-73.5715333333,-85.1189333335,-46.1904666667
189.05,-53.3334666667,-65.2308000001,-55.1795333333,-49.2306666666,-49.0256000001,-59.7948,-60.5127333333,-60.5126666666,-29.8462
189.43,-46.8627333333,-58.3333999999,-48.5294,-38.8236000001,-38.4314000001,-52.549,-49.9999333334,-54.5098,-23.0391333333
189.81,-58.2609333335,-73.7682000001,-58.1159333333,-46.0871333333,-52.4636666665,-65.5073333333,-66.2317333333,-71.8841333334,-26.5216
190.19,-71.5685333333,-113.921666667,-79.0196666667,-56.0784666667,-83.1373333334,-91.3724666666,-91.9607333333,-92.3530666667,-36.6666666667
190.57,-51.8333333333,-98.1666666667,-71.5000000001,-27.3333333334,-63.8333333333,-77.8333333333,-76.1666666667,-61.9999999999,-23.5
190.95,-22.2764666667,-70.2439333332,-41.7885333333,0.48786666674,-23.0894000001,-36.0975999999,-49.7560666667,-31.7073999999,2.11386666666
191.33,-13.7930666667,-51.3793333333,-35.5171333333,-0.574799999994,-23.3334000001,-23.9081333333,-42.6436666666,-21.2645333333,-1.49433333332
191.71,-19.8450000001,-92.8681333333,-56.1240666667,-5.5814,-52.8682000001,-49.4573333333,-68.2169999999,-42.7908,-12.2480666667
192.09,-24.6297333333,-123.518466667,-77.7778000001,-17.2221333333,-74.6296000001,-57.4073999999,-94.8148,-62.7778,-24.0739333334
192.47,-11.7116666667,-114.234133333,-69.3694,-21.6216666667,-65.7657333334,-54.2341333334,-79.4594666667,-56.9369333333,-17.1172
192.85,-191.8518,-599.2592,-393.333333333,-228.888933333,-424.4444,-329.629666667,-420.740866667,-400.7406,-219.259333333
193.23,-148.889,-824.444533335,-414.4444,-245.5556,-642.222333334,-430.0,-537.777799999,-548.889,-250.0
193.61,364.999999999,1393.33333333,693.333333335,453.333333334,1145.0,694.999999999,963.333333333,906.666666667,455.000000001
193.99,-503.333333333,-2523.33333333,-1270.0,-746.666666665,-2193.33333334,-1156.66666667,-1633.33333333,-1370.0,-679.999999999
194.37,13.8666666665,-130.133333333,-36.0000000001,12.2666666667,-99.4666666667,-20.2666666666,-79.2,-55.2000000002,1.06666666672
194.75,29.9999999999,-97.4359333333,2.30773333314,27.1795333333,-73.3332666665,12.0512666667,-30.5126666667,-51.7949333333,18.4616000001
195.13,16.6667333333,-44.3589333333,1.4103333334,13.2050666667,-42.3077333333,5.51279999999,-7.43593333332,-29.7436666667,13.5896666667
195.51,16.8182,-54.2423999999,1.06060000008,15.4544666667,-52.5756666667,11.2120666667,-7.27286666668,-38.4848666667,17.8786666667
195.89,15.0426666667,-61.7092666666,-3.41886666658,-0.85473333332,-61.5384666665,16.5812666667,-21.3675333333,-42.7350666667,18.1196666666
196.27,27.7333333333,-32.8,16.4000000001,12.2666666667,-33.7333333334,27.3333333333,-1.06666666668,-17.3333333334,25.2
196.65,0.62006666666,-62.1706,-9.61253333328,-8.68226666665,-68.0621333333,8.9922,-29.9225333333,-46.8217333334,5.58126666666
197.03,16.2820666667,-31.282,-1.7949333334,9.99999999998,-42.1794,27.6922,-5.89740000001,-17.5640666667,21.2820666667
197.40,16.8484666666,-21.9393333333,-7.51506666661,11.5151333333,-27.8787333333,26.5453333333,-3.87880000001,-10.4242666667,23.2728
197.78,26.1616,-4.64646666668,1.71726666666,20.3031333333,-8.58579999998,30.6058666667,9.59606666665,5.75760000008,33.5352666667
198.16,32.9870666667,0.86580000002,4.84853333333,25.0216666667,-0.259800000006,31.8614666667,13.0734666667,8.39833333333,38.2684
198.54,20.3508,-26.0819333333,-27.9531999999,-1.40353333335,-34.5028666667,12.2806666667,-11.8129333333,-7.83633333328,29.5906666666
198.92,15.679,-41.9752666666,-51.7285333333,-14.6913333333,-50.6171333333,-1.35806666667,-37.6544,-16.7900666667,19.7530666667
199.30,9.24726666667,-106.021533333,-119.785066667,-49.0322000001,-100.214933333,-22.7956666667,-99.1400000001,-43.4408000001,12.4731999999
199.68,39.6824666667,-152.380933333,-152.380933333,-50.7937333333,-123.492133333,-27.3016666668,-144.761733333,-33.9683333333,24.7618666666
200.06,42.0,-83.5555333333,-83.1109999999,-10.8888666667,-73.5556666665,7.33333333333,-78.2221333334,-9.99993333346,35.9999333334
200.44,57.0115333333,-75.1723999999,-74.4827333333,-2.069,-79.7701333334,10.8046666666,-75.6321333333,-2.29886666666,51.4942666667
200.82,89.1058666667,-6.01626666666,-13.9837333333,45.0406666667,-10.4065333333,51.7071999999,-3.08933333334,44.2276666667,79.3494666666
201.19,91.25,-20.4166666667,-26.6666666667,44.1666666667,-18.75,43.5416666666,-22.2916666666,42.2916666668,81.0416666668
201.57,78.7655333333,-54.0742,-50.1234666667,34.8147333333,-55.0615999999,20.9876666667,-40.4938666667,22.9628666666,73.0864666666
201.95,80.8889333335,-176.444466667,-159.555666667,5.77780000006,-183.5556,-31.5556000001,-139.111066667,-27.5555333333,59.1110666667
202.33,105.641066667,-173.846133333,-142.564,35.8973999999,-188.718066667,3.58986666674,-108.2052,11.7947333334,97.9486666669
202.71,75.7576666666,-69.6970666666,-51.5152000001,41.212,-67.5757333333,32.4242666667,-11.5151333334,25.7577333333,72.1213333333
203.09,77.4358,-21.0256,-6.15380000001,50.5128666667,-47.4358666667,64.8717999999,27.6922666667,48.4615999999,82.5640666665
203.47,67.7333333334,-33.0666666668,-27.2,25.8666666667,-71.2,50.3999999999,24.5333333332,28.8000000001,57.0666666667
203.85,58.5712666667,-100.952333333,-95.7143333335,-17.6189333333,-167.142866667,43.3333999998,30.4762000001,1.42853333346,59.5239333333
204.22,65.0,-129.444466667,-135.000066667,-48.8888666665,-185.555533333,47.7778,18.3334,-7.22213333326,56.1111333334
204.60,6.6667333332,-385.555666667,-387.777666667,-164.444333333,-410.000066667,77.7777333332,-16.6666666666,-95.5554666674,45.555533334
204.98,126.666666667,289.333266667,294.222266667,193.3332,261.333333333,110.222333333,145.333466667,155.5556,91.5555333333
205.36,-87.7778000002,-542.222266667,-573.333266666,-352.222333333,-468.888933333,-94.4443333334,-167.777866667,-225.555600001,9.9999333328
205.74,0.31746666668,-146.349133333,-165.396933333,-91.1110666668,-106.666666667,-8.88893333328,-39.6825333332,-46.0316666667,4.4444666666
206.12,47.8788000001,-53.7373333333,-71.1110666665,-25.6567333333,-24.2423333332,40.6059999999,23.2323333333,6.46473333326,46.6666666666
206.50,32.7999999999,-105.866666667,-128.8,-69.0666666668,-54.1333333333,19.1999999999,-2.40000000002,-37.3333333333,26.9333333332
206.87,-4.10260000006,-141.282133333,-163.3334,-82.5640666667,-96.9231333333,-8.4614666666,-47.4359333333,-71.0256666667,4.10253333334
207.25,-124.615466667,-417.948666667,-420.5128,-277.435866667,-266.153933333,-121.538466667,-206.666666667,-218.4614,-91.7949333334
207.63,-65.4546666667,-226.0608,-218.787866667,-126.060533334,-131.212133333,-52.7273333335,-91.2119999999,-92.1212666667,-42.1212666667
208.01,2.76419999998,-90.0812666667,-94.1462666665,-41.9512,-49.9188,-2.27633333342,-23.9025333333,-19.0244,10.7316666666
208.39,-73.3333333333,-262.666666667,-267.0,-149.666666667,-184.666666667,-92.3333333335,-109.0,-114.0,-47.6666666666
208.77,-104.4444,-337.777733333,-362.222266667,-207.999933333,-239.111066667,-156.888866667,-163.111133333,-153.7778,-91.1110000001
209.14,-15.0725333333,-168.405866667,-188.405866667,-86.0870666667,-126.666666667,-53.0435333332,-55.3624666665,-52.7536,-22.0289333333
209.52,-2386.66666667,-6093.33333333,-6580.0,-4066.66666667,-5026.66666667,-3300.0,-3253.33333333,-3460.0,-2693.33333333
209.90,191.666666667,392.083333333,427.083333333,275.833333333,352.5,218.333333333,240.0,245.416666667,177.916666667
210.28,135.882333333,215.6864,244.117666667,171.960666666,208.431266667,151.568666666,159.215666667,155.686133334,127.058866667
210.66,153.333333333,269.090866667,312.7272,211.818266667,260.606066667,166.0606,191.2122,168.787733333,133.636466667
211.03,71.9999333334,177.111133333,191.777733333,138.444466667,143.777933333,92.2223333333,101.111066667,79.3333333333,63.5556
211.41,87.8431333332,270.9804,300.7842,185.4902,208.2354,129.803866667,151.372533333,124.3136,72.1568666666
211.79,93.3333333335,304.166666667,333.75,224.166666667,257.5,141.666666667,184.583333333,163.333333333,62.5
212.17,111.458333333,207.5,225.625,172.708333333,174.166666667,123.958333333,150.0,141.25,90.625
212.55,354.444466667,858.888866665,998.8888,707.777733333,668.888933333,386.6668,567.777800001,480.000066667,227.777733334
212.92,290.370466667,598.518533333,722.962933333,549.629533333,484.444466667,331.8518,417.777866667,390.370266667,163.703733333
