wavelength,Back_TanSchm,Belly_TanSchm,Breast_TanSchm,Crissum_TanSchm,Crown_TanSchm,DorTail_TanSchm,Patch10_TanSchm,Patch11_TanSchm,Patch12_TanSchm,Patch13_TanSchm,Patch14_TanSchm,Patch15_TanSchm,Rump_TanSchm,Throat_TanSchm,WingTip_TanSchm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,67.6190571429,69.9998666666,74.5455333333,101.8182,65.4545333333,104.5455,81.8181333333,69.0910000001,38.1818666667,75.1515666666,99.3938666666,69.091,80.6060666665,35.7575333333,76.3637333333
179.16,43.5714285714,66.6666666666,71.6666666667,67.4999999999,85.0000000001,124.166666667,109.166666667,39.1666666667,35.0000000001,94.1666666668,86.6666666667,29.1666666667,107.5,20.8333333333,83.3333333333
179.54,61.1721428571,81.2821333333,73.3333333333,98.4615333333,99.4871999998,106.922966667,84.6153333334,80.5127999999,54.3589333333,100.0,96.9232000001,88.2050666665,87.6922666667,47.6923333333,80.2563666667
179.93,64.2857142858,90.8333333334,68.3333333334,148.333333333,96.6666666667,135.0,113.333333333,1.66666666653,8.33333333334,86.6666666666,165.0,70.0000000001,113.333333333,21.6666666667,10.0
180.31,61.5975428571,80.2150333333,80.7169333333,96.2724666666,86.5949999999,96.3440333331,97.2042666667,60.2867333334,47.5986,85.7348333333,94.9104666667,66.1649333334,92.6882666667,36.6308,74.9821
180.69,62.484,80.3094666667,79.4502000001,97.3195999999,87.0790000001,95.6357666667,98.7629999999,59.244,45.4983333333,86.0136999999,95.3264000001,64.3986666666,95.1202000001,37.6632666667,75.4296
181.07,59.4020190475,77.6355333333,78.8372666668,96.2016666668,92.0930666667,94.7288333335,99.6124,54.8836666667,37.7519333333,85.9689333334,95.0387333333,60.3876,95.5038666666,33.8759333333,73.3719666667
181.45,65.5879809524,81.5262,81.9276666666,102.0082,95.6625999999,93.5342666666,102.329466667,57.4296666666,39.1163333333,86.3453333333,100.482,65.8635999999,100.1606,39.5181333333,77.9116666667
181.83,76.7914095238,91.8650666667,94.0475333333,110.317466667,103.968266667,98.8890000001,112.380933333,62.2222666667,52.7778,95.8732000001,110.555466667,73.1747333334,112.3016,51.2698666667,85.5556
