wavelength,Back_DigDuif,Belly_DigDuif,Breast_DigDuif,Crissum_DigDuif,Crown_DigDuif,DorTail_DigDuif,Rump_DigDuif,Throat_DigDuif,WingTip_DigDuif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,193.3333,188.889,326.666666667,191.111066667,160.0,286.666666667,226.6666,191.1112,77.7777333333
179.16,104.848466667,79.9999999999,120.606133334,74.5454666667,116.363533333,102.424333333,84.8485333334,67.8788,77.5757333333
179.54,116.6666,106.666533333,191.111133333,152.222066667,168.888933333,105.555666667,111.111,170.0,106.666766667
179.93,-188.333333333,-150.0,-303.333333333,-110.0,-360.0,-216.666666667,-153.333333333,-176.666666667,-99.9999999999
180.31,-4.26666666668,34.9333333333,-80.8000000001,36.2666666666,-42.1333333333,-30.9333333333,-10.9333333333,-4.26666666668,113.066666667
180.69,-26.6667666667,13.3333333334,-103.333333333,9.28573333333,-58.3333333335,-49.2857333334,-30.7142666667,-24.5238666667,92.2617999999
181.07,3.205,31.6666,-32.1795333333,25.5128666666,-15.3847333334,-2.82046666661,1.28206666667,-1.53833333334,73.4615
181.45,30.8244,46.9534666667,14.2651333333,41.2187333333,22.5806,26.2364666667,30.5376,24.3728,75.3046333333
181.83,33.0356,51.6665333333,25.8928666667,49.4643333333,32.7976666667,33.3334,36.131,33.9880666667,75.3868999999
182.21,44.0935666667,61.0526666667,36.7835333333,59.2982,44.5613333333,43.4502666666,45.4971333333,41.8128666667,87.2514333333
182.59,47.3611666667,62.8888,41.6666,61.7222,45.4444,46.9444,49.4999333333,42.8333333333,88.4167666667
182.97,41.2312333333,58.6186,38.6185333333,59.6396,41.9219333333,45.2252,44.5644,38.4384,90.6904333333
183.35,38.7699666667,55.5987333333,31.9092666667,57.5403333333,43.5598666667,46.8609333333,43.6893333333,36.0516,93.3655999999
183.73,36.203,52.1738666667,28.5219333334,52.8696666667,43.7100666667,44.4058,44.0579333333,34.8986,84.6086333333
184.11,33.8364666667,52.8302666667,24.0879333333,52.5786666667,39.8113333334,47.2956666667,43.6476666667,33.0817333333,81.6350666667
184.49,26.8198333333,51.7241333333,14.0995333333,49.4253333333,31.2643333333,43.2951999999,37.1647333333,21.4558666667,82.0689666667
184.87,34.6929666667,62.8947333334,22.5438,60.5263333333,36.4912,55.4386,43.5088000001,24.9124,96.9296666666
185.25,47.9013000001,75.4320666666,33.5802,81.111,50.6173333333,80.3704000001,56.6667333333,37.1606666666,128.395133333
185.63,54.4828333333,102.068933333,23.9080666667,117.471133333,59.3104,124.3678,61.6092000001,39.5402666666,173.1035
186.01,120.0,-1053.33333333,1246.66666667,-1760.0,93.3333333348,-2166.66666667,-166.666666665,519.999999998,-3396.66666667
186.39,107.7779,24.4444666667,174.666533333,-11.5555333332,97.7778666666,-67.9999333333,62.2222,119.111066667,-123.999866667
186.77,124.9382,70.3705333334,152.8396,46.6666666668,92.8396000001,10.1234666666,85.6790000001,112.098666667,-17.9012666667
187.15,108.472166667,58.6110666666,149.722133333,18.0555333333,72.2222,-38.6112,65.5555333333,80.8332666665,-45.4166333334
187.53,108.214233333,45.4761333333,118.5714,24.5238000001,93.8094666666,-30.7144666666,61.4284666666,96.6668000001,-25.4762666667
