wavelength,Back_TacLucm,Belly_TacLucm,Breast_TacLucm,Crissum_TacLucm,Crown_TacLucm,DorTail_TacLucm,Patch10_TacLucm,Rump_TacLucm,Throat_TacLucm,WingTip_TacLucm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-175.0,-153.333333333,-153.333333333,-171.666666667,-203.333333333,-143.333333333,-156.666666667,-151.666666667,-195.0,-188.333333333
179.16,-53.3334000001,-29.6296,-32.5925333333,-27.4073333333,-45.9259333333,-51.852,-15.5555333333,-23.7036666667,-42.9629333333,-42.9631666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,77.7778666667,54.4444,83.3333333335,74.4444000001,61.1110666667,160.000066667,73.3332666666,42.7777333334,87.7777333333,50.5555666666
180.31,-392.0,-233.333333333,-318.0,-293.333333333,-267.333333333,-512.0,-246.0,-198.0,-377.333333334,-290.333333333
180.69,-450.833333333,-234.166666667,-359.166666667,-343.333333333,-312.5,-670.833333333,-282.5,-205.833333333,-435.833333333,-339.166666667
181.07,-1566.66666667,-633.333333333,-1223.33333333,-1140.0,-950.0,-2576.66666667,-880.0,-608.333333332,-1510.0,-1211.66666667
181.45,324.2424,152.727266667,270.302933333,270.909066666,232.121133333,508.484733333,217.5758,157.8788,296.969666667,264.545433333
181.83,168.627533333,79.2157333333,155.6864,149.4118,129.803866667,289.8038,124.313733333,90.1961,164.705933333,156.2745
182.21,157.193066667,83.8598000001,127.368333333,135.789466667,113.684266667,247.017666666,111.579066667,90.1754999999,147.0176,149.824633333
182.59,142.381,100.476066667,123.5714,138.571333333,119.047666667,193.809666667,104.285666667,98.8095333332,135.4762,158.452266667
182.97,132.252266667,107.387333333,117.297133333,131.531533333,118.919,169.549466667,113.3334,106.216233333,130.4504,145.945833333
183.35,110.574733333,92.1837999999,99.5402,110.9196,105.977133333,130.919466667,100.6896,97.8735333333,110.114933333,119.9425
183.73,105.373066667,90.6469333334,102.686533333,109.850733333,105.870533333,122.786133333,104.676666667,102.8856,111.1444,118.009866667
184.11,96.461,88.5596666667,93.0864666667,97.5308666667,97.5307333332,111.275666667,97.2016,100.6585,102.551533333,111.892933333
184.49,95.0515999999,86.3230000001,89.0720666667,90.9966666666,94.8452666667,101.511933333,90.7902666669,94.4330000001,97.8006666667,104.192466667
184.87,102.5454,93.1514666668,96.1212,96.3029999999,100.1212,99.5758000001,95.0909333335,99.8182000001,104.060666666,110.6363
185.25,104.885266667,95.6896666667,98.6206666667,96.4367333334,101.091933333,96.4368666667,99.1379999999,99.2529333334,104.482866667,109.137966667
185.63,104.9404,95.1191333333,97.9762666667,95.8927333331,98.8690666667,93.2737333334,100.357066667,100.2084,106.071466667,110.357133333
186.01,110.4674,99.9377333333,104.548266667,102.056066667,105.171333334,97.2587333333,109.9066,109.408033333,112.2742,115.669866667
186.39,113.739066667,99.8841333334,108.521666667,105.3914,108.289866667,96.8696666665,116.115933333,113.420333333,115.0144,119.2753
186.77,113.005333333,99.0163333333,106.8852,102.7868,107.650333333,94.6449333333,118.7978,112.923366667,114.0436,114.8088
187.15,110.666666667,97.2799999999,106.133333333,98.8799999999,103.413333333,90.9333333333,117.546666667,110.213333333,111.36,110.506666667
187.53,112.888933333,99.2778666667,108.444466667,98.9444,102.944466667,90.9444666667,121.111133333,112.416533333,111.722266667,114.666666667
187.91,104.963533333,90.4136,98.8807333333,91.3868666666,95.6204666667,83.0655999999,112.116866667,103.3821,101.7518,104.817533333
188.29,95.9007333335,79.9549333333,92.1170666667,84.4595333333,87.3422666666,75.1802666667,105.990933333,95.2477666666,92.0721333333,96.7568000001
188.67,87.8204666667,74.4442666666,85.2136666667,78.9742666667,81.1966,71.0256666667,101.4956,90.8119666667,84.2308666666,90.7691333333
189.05,82.5876666667,67.8070666667,80.5701333333,73.2017333333,74.8684,65.965,99.9561333335,86.7106333334,78.1579333333,84.7808
189.43,77.6033333333,63.8779333333,77.5599333333,70.5446666667,72.4182,63.7037333333,97.7342666667,85.2721333333,73.6384,81.5904666667
189.81,73.8684,63.2097333333,74.8148,66.8724666667,68.6420666667,60.3292666667,95.3086666667,81.8313666667,70.9875333333,78.1892333333
190.19,69.8266666667,61.0791333334,68.5936,61.2330666667,63.314,53.6416,87.3602666666,75.1059666667,66.3583333333,71.9459333333
190.57,64.7174,57.3878666667,64.1325333333,55.8674,58.9473333333,47.8362,81.0916666666,69.3176,62.6510666667,66.0233333333
190.95,60.0372666667,51.8808666667,58.6964666667,50.4282666667,52.9236666667,42.1975333333,73.4078,63.2401666667,56.8716,60.1676333333
191.33,57.8946,48.7718666667,55.1657333333,48.1871333333,49.3176666667,38.0505333333,71.4230666667,61.0135,55.0878,56.9395333333
191.71,55.4462,46.9216666667,52.7139333334,48.0510666667,48.4517333334,36.5026666667,68.1602,57.9963333333,53.5154666667,53.2422666667
192.09,57.2906,49.1623333333,54.8663333333,50.3387333333,51.1942666667,39.9643333333,68.877,61.3012333333,54.9376,54.8130333333
192.47,54.4622,48.3599333333,53.6861333333,48.7477333333,48.7477333333,35.6261333333,66.0316,57.3544,52.2752,52.9805333333
192.85,51.8134,46.3904,53.1261333333,45.3884666667,46.7012,29.8445333333,63.627,54.3350333333,48.1866,48.601
193.23,51.56,48.0459333333,52.4466,45.4188666667,48.1116666667,30.5089333333,64.8604666667,54.4171333333,49.2282666667,48.3907666667
193.61,50.3316666667,46.8562666667,51.0901333333,46.0032666667,47.6146,29.9211333333,63.3491333333,54.5024333333,50.7109333333,47.3143666667
193.99,53.4262666667,48.0,54.1085333333,49.1162666667,51.2558,33.0852666667,64.8062,58.7441666667,53.1782,47.7829333333
