wavelength,Back_PhrPlem,Belly_PhrPlem,Breast_PhrPlem,Crissum_PhrPlem,Crown_PhrPlem,DorTail_PhrPlem,Rump_PhrPlem,Throat_PhrPlem,WingTip_PhrPlem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,220.0,163.333333333,363.333333333,233.333333333,320.0,247.083333333,246.666666667,173.333333333,251.666666667
179.16,-9.69700000001,-4.5455,-39.3938666666,-9.69713333334,-17.5758,-3.82580416665,3.6364,-7.27280000001,-15.1514
179.54,56.1904666667,46.9048,30.9523333334,46.1904666667,42.8570666667,41.637,54.2857333333,51.9046000001,63.5714666667
179.93,140.0,105.0,58.3333333334,150.0,108.333333333,67.2916666666,111.666666667,130.0,107.5
180.31,46.3160666667,1.31586666674,-43.3332666666,23.1578666667,-12.4560666667,-7.971575,62.1052666667,23.5088000001,27.0175333333
180.69,51.938,4.72859999998,-40.6200666667,26.8217333334,-10.5427333333,2.46119999998,65.5814666666,23.5659333333,26.8992333333
181.07,66.0818666667,24.9124333333,-2.10533333334,48.4210666667,16.2573333333,28.9838791667,82.924,38.1286000001,45.0876666667
181.45,76.3218666667,33.0459666667,12.5287333333,65.4022666668,30.2299333333,39.2744625,95.5174000001,43.2184666666,55.5747333333
181.83,82.6316666666,14.1228,-11.5789333333,72.9824666668,6.84213333334,26.1184499999,109.999933333,25.6142,41.4035
182.21,47.9569333334,-39.1397666667,-57.8495333335,36.5591333333,-45.8063999999,-20.3764416666,87.3117333333,-27.7419333333,2.25806666667
182.59,45.4166666667,-35.1041666666,-51.4583333334,31.6666666666,-53.7499999999,-29.0104166667,83.7500000001,-25.0,-6.7708333334
182.97,48.5715333333,-45.9523999999,-56.1904000001,34.0476666665,-70.7143333331,-38.1993958334,87.1428,-20.9522666667,-11.7856333333
183.35,30.5554666667,-91.5277666665,-99.9999333333,3.8888666666,-106.9444,-73.8368041666,56.1110666667,-50.2778000001,-44.8610666665
183.73,6.6666666668,-169.791666667,-188.75,-31.25,-200.416666667,-135.0,25.0000000001,-104.166666667,-91.6666666667
184.11,13.3333333333,-113.333266667,-132.381066667,4.12693333328,-150.4762,-69.1269291667,24.4443333333,-77.4602666667,-40.6349666667
184.49,8.6274666666,-125.686333333,-156.8626,29.0196666668,-178.039133333,-84.4119833335,17.6469999999,-90.9804,-29.8038666665
184.87,-53.3333333335,-202.619033334,-208.0952,-8.09526666666,-274.285666667,-159.851108333,-38.5714666668,-159.523933333,-88.0952000001
185.25,-2160.0,-3980.0,-4160.0,-1460.0,-5026.66666667,-3702.08333333,-2353.33333333,-3673.33333333,-2286.66666667
185.63,-9.15504469707e+14,-1.47703283234e+15,-1.57796577853e+15,-5.28831774425e+14,-2.18072027411e+15,-1.54224830989e+15,-8.95602198624e+14,-1.4159044283e+15,-6.73834035156e+14
186.01,362.666666667,548.000000001,664.0,198.666666667,938.666666667,624.749999999,354.666666666,577.333333333,194.0
186.39,-17.3333333334,-231.333333333,-381.333333333,93.3333333327,-665.333333334,-292.500000001,-120.0,-302.666666667,103.333333333
