wavelength,Back_TanChim,Belly_TanChim,Breast_TanChim,Crissum_TanChim,Crown_TanChim,DorTail_TanChim,Patch10_TanChim,Patch11_TanChim,Rump_TanChim,Throat_TanChim,WingTip_TanChim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,342.5,365.0,416.666666667,458.596491228,356.666666667,406.666666667,186.666666667,380.0,320.0,356.666666667,470.0
179.16,18.8889333333,1.66673333332,6.66660000001,32.0467298246,37.7776,-26.6666,72.2223333333,28.8889333333,27.7777333333,104.4446,24.4445333333
179.54,42.1295416667,39.2592333333,43.7037333332,24.1324807017,35.5556,46.6666,89.6294666667,40.7408,76.2964000001,75.5556,14.8146666667
179.93,177.916666667,260.0,173.333333333,234.912280702,296.666666667,330.0,83.3333333333,250.0,156.666666667,173.333333334,266.666666667
180.31,-542.5,-1265.0,-866.666666667,-1215.87719298,-980.000000001,-1118.33333333,-436.666666667,-795.000000001,-511.666666666,-660.0,-1165.0
180.69,1101.25,2605.0,1910.0,2724.73684211,2053.33333333,2356.66666667,963.333333333,1776.66666667,1110.0,1480.0,2443.33333333
181.07,-306.458333333,-1118.33333333,-771.666666668,-1198.77192982,-781.666666666,-958.333333333,-345.000000001,-705.000000001,-350.0,-598.333333333,-936.666666667
181.45,310.555533333,885.555633333,596.666733333,951.052522808,634.444533333,727.777866668,394.444400001,612.222199999,348.888999999,633.333266667,728.888866667
181.83,148.703566667,361.851833333,229.999866667,363.528207017,257.036933333,292.962866667,198.518466667,251.111133333,185.185266667,285.926066667,277.4074
182.21,122.999966667,270.444433333,175.1112,263.47377193,196.888933333,206.444466667,160.2222,190.666666667,156.2222,215.777933333,203.333333333
182.59,126.866666667,303.333333333,188.8,296.870175439,226.133333333,206.666666667,173.6,226.666666667,170.4,246.4,220.533333334
182.97,505.138758333,1199.44453333,726.666599999,1159.35672631,888.888999999,733.333333333,663.333333333,972.222266667,671.111066666,1006.6666,848.888933333
183.35,279.833383333,558.000066667,367.555466667,547.789508772,448.888866667,362.666666667,310.666666667,504.444466667,355.111133333,484.888866667,395.111133333
183.73,231.416666667,427.5,297.666666667,421.49122807,358.666666667,282.666666667,263.0,397.0,292.0,389.0,309.666666667
184.11,285.8333,586.111166667,371.111133333,598.830421053,484.444466667,339.444466667,328.3334,537.222133333,412.777733333,572.7778,396.666666667
184.49,159.5,333.833333333,187.666666667,338.666666667,295.0,172.666666667,189.333333333,321.0,225.0,334.666666667,237.0
184.87,170.341033333,345.7576,182.424266667,334.577252632,295.757533333,161.515133333,188.4848,323.030266667,227.575666667,336.060533333,236.363733333
185.25,198.2972,357.536066667,183.188333333,334.218133333,309.275333334,161.1594,206.3768,326.9566,249.855066666,339.710066667,262.6088
185.63,219.621175,383.1818,206.060666667,355.454575439,340.909066667,167.878733333,220.606133333,338.181866667,275.757666667,356.0606,298.787866667
186.01,187.916633333,303.095266667,189.285733334,288.5212,287.619,141.190533333,185.2382,274.0476,228.5714,296.4286,247.142866667
186.39,283.382466667,416.666633333,279.999933333,421.50674386,417.254866667,167.843066667,278.431466667,401.9608,305.490133333,457.647066667,349.019533333
186.77,234.583316667,323.846066667,242.307733333,318.920410526,308.717933333,146.153866667,232.051266667,296.923066667,243.846,342.307666667,284.8716
187.15,140.187016667,185.918466667,148.163266667,183.566185965,175.238133333,91.1564666667,146.2584,175.102,144.898,198.367333333,164.4898
187.53,129.488325,164.619966667,135.087533334,167.651536842,156.959066667,81.6374666667,138.7134,159.181333333,131.345066667,174.035066667,151.345066667
187.91,168.59755,212.520233333,165.3658,211.869947368,199.349533333,93.0081333333,173.821266667,208.6178,164.5528,226.666666667,197.8862
188.29,159.423033333,192.756466667,157.5642,189.74357193,178.974266667,101.794866667,159.230733333,185.1282,141.5384,201.794866667,176.410266667
188.67,192.883333333,230.066666667,201.733333333,228.512280702,205.2,136.533333333,191.466666667,214.266666667,168.4,238.533333333,204.8
189.05,216.957408333,255.891566667,232.247933333,246.585221053,232.7132,157.5194,220.775333333,232.868266667,189.7674,264.806266667,228.062
189.43,169.1964,207.261933334,188.571466667,193.621670175,194.166666667,134.1666,183.214333333,188.5716,151.666666667,210.238133333,178.3332
189.81,155.2543,193.2204,178.305133333,183.675196491,186.2148,122.4858,176.836133333,184.180866667,136.9492,198.079066667,162.146933333
190.19,170.2,226.133333333,199.2,204.098245614,205.066666667,124.533333333,201.466666667,212.4,143.2,217.333333333,183.066666667
190.57,147.5398,201.1111,172.063533333,175.10994386,180.9524,111.111,176.7196,182.010533334,130.581866667,182.963066667,167.407333333
190.95,133.737333333,182.979866667,150.505066667,154.338231579,167.373666667,102.525266667,158.9898,165.959466667,115.050533333,169.696933333,146.1616
191.33,133.308875,183.627433333,149.0196,153.921508772,169.999933333,108.823666667,161.666733333,160.294,121.372466667,170.294066667,147.647266667
191.71,158.218391667,215.976933333,171.839133333,175.178459649,194.942666667,125.0574,197.816066667,181.6092,141.6092,203.333466667,180.574733333
192.09,141.618233333,188.7924,150.628,158.703249123,173.043466667,114.492666667,181.256,158.357466667,124.927533333,179.710133333,159.3236
192.47,154.872783333,208.8136,164.858733333,175.634796491,194.6892,117.401,205.197866667,178.644,141.581933333,197.288066667,177.2882
192.85,205.642941667,287.047633333,207.619,230.025091228,268.762,128.761933333,284.5714,242.095266667,184.000066667,277.333266667,241.714266667
193.23,254.596875,333.870933333,246.4516,275.766880702,303.6558,147.311866667,330.7528,275.913933334,214.623666667,324.301,290.3226
193.61,342.99245,430.757533333,303.0304,376.507340351,378.484866667,156.9696,432.121266667,361.8182,270.303066667,432.424266667,375.1516
193.99,405.925841667,500.925833333,322.962933333,424.658831579,409.629666667,154.074066667,499.6296,397.777933333,308.889066667,496.6666,440.3704
194.37,409.768558333,492.777833333,321.111,438.070091228,414.8148,177.7778,502.962866667,407.037,336.2964,512.962866667,430.370333333
194.75,-1095.0,-1384.0,-729.333333333,-1253.05263158,-1024.0,-350.666666667,-1480.0,-1117.33333333,-837.333333333,-1484.0,-1120.0
195.13,-390.897433333,-500.2564,-235.384533333,-488.259122807,-352.820466667,-88.2051333333,-561.538466667,-396.923066666,-306.666733333,-516.410266667,-432.3076
