wavelength,Back_TanChim,Belly_TanChim,Breast_TanChim,Crissum_TanChim,Crown_TanChim,DorTail_TanChim,Patch10_TanChim,Patch11_TanChim,Rump_TanChim,Throat_TanChim,WingTip_TanChim
195.51,-535.925941667,-675.555466666,-305.185066667,-715.984452632,-465.185133333,-65.1851333335,-736.296333333,-539.259333333,-395.555533333,-692.5926,-579.259066668
195.89,-758.749941666,-923.888966665,-411.111066667,-1025.2632,-684.444533334,-93.3332666666,-983.333266666,-777.7778,-535.555666667,-969.999933331,-728.888999999
196.27,-151.62695,-194.4444,-60.9523333335,-205.530301754,-128.254,47.6189999999,-195.873,-147.619066667,-91.4284666667,-202.222333333,-136.8254
196.65,-87.4000000001,-110.0,-4.26666666674,-122.512280702,-54.1333333334,81.0666666667,-118.133333333,-71.7333333334,-40.5333333334,-121.333333333,-81.3333333334
197.03,-167.277741667,-200.888833333,-22.6667333333,-216.561382456,-108.889,126.666666667,-217.777866667,-130.222266667,-94.2221333333,-200.0,-160.4444
197.40,-139.722191667,-182.500066667,46.6667333333,-234.239792982,-116.111133333,162.7778,-247.222266667,-151.666733333,-76.6666666667,-194.444466667,-142.2222
197.78,-118.333333333,-128.541666667,43.3333333333,-154.649122807,-108.75,105.833333333,-184.166666667,-97.9166666666,-72.4999999999,-143.75,-107.916666666
198.16,-287.314816667,-295.185233334,19.2591999998,-335.984364912,-280.740666667,104.444333333,-377.037066667,-248.888866667,-194.814733334,-330.370333333,-240.740733333
198.54,-2.20808589685e+15,-2.21128447613e+15,-4.30742009816e+14,-2.41947270651e+15,-2.14518050432e+15,1.833852121e+14,-2.82327931185e+15,-2.03856119497e+15,-1.52678851004e+15,-2.46930320478e+15,-2.04709073971e+15
198.92,1183.05554167,1200.00013333,266.666799999,1094.61972982,1106.66673333,-166.666733333,1348.8888,1082.22233333,797.777733333,1284.4444,1108.889
199.30,366.018375,375.555566667,79.2592000001,318.596589474,335.555533333,-74.0741999999,417.036933334,334.074,213.333266667,408.888933333,300.7408
199.68,-165.320516667,-186.666566667,21.5384000001,-104.831224561,-156.923066666,125.641133333,-240.000066667,-168.2052,-53.8461999998,-219.487133333,-144.102666667
200.06,14.1090916666,0.6895666668,99.3104666667,47.3925859649,25.2873333333,139.999866667,-26.6666,13.1035333332,59.3102666667,-14.7124666667,24.1380666667
200.44,19.8959250001,-5.4166666668,117.2222,53.7134947369,27.2222,161.666666667,-34.7222666666,13.8889999999,69.1666000001,-22.7778,23.6112
200.82,10.1666666667,-15.8666666666,94.6666666665,38.4842105264,25.3333333334,145.333333333,-47.2000000001,5.06666666673,74.1333333334,-41.5999999999,21.3333333333
201.19,8.93517500007,-48.5185333334,109.2592,34.2885263159,18.1481999999,177.037066667,-87.4073333331,-5.92600000001,112.222333333,-75.1851333334,14.0741999999
201.57,-2.63884166647,-86.6665666668,87.7777333332,45.7893122807,13.3333333333,186.2964,-84.8147333333,-6.29633333346,115.925933333,-90.0000000001,-27.7778666667
201.95,24.6970250001,-67.5757666666,70.0000666665,53.2536771929,33.3334,158.787866667,-49.0909999999,12.4241999999,122.727133333,-48.4847333335,-26.6666666667
202.33,21.3474999999,-18.9362333334,37.8723333333,37.0286596491,28.7942666666,90.4963333333,-9.64546666673,13.7589333333,71.9148666666,-14.7517333333,-7.0922
202.71,44.04755,14.9405333333,56.7856000001,55.7455192983,49.6427333333,98.5714666667,18.8093999999,42.8570666667,85.7142666666,16.9047333333,17.262
203.09,53.7107,28.3017666667,64.9056666667,62.0191298245,51.4465333333,110.440266667,23.1446,55.5974666667,97.2327333335,24.6540666667,24.654
203.47,54.6770833334,39.8333333333,65.5833333333,62.5789473684,52.25,93.0,32.0,56.5833333333,82.3333333333,39.9166666667,33.75
203.85,70.8043499999,59.5736,81.3953999999,79.5265929825,70.5426666666,110.620333333,52.4031333334,74.1860666667,98.2170666667,62.6356,50.9304
204.22,65.5292666667,52.5675666667,78.0181999999,72.4560736843,63.7838666667,111.7118,46.4864,68.1982666667,98.9189333332,61.6216,38.9188666667
204.60,67.1713,58.7323333332,80.5634000001,72.9676982456,71.2675333333,117.371,48.8263333333,68.5447333333,100.657266667,67.3239333334,42.3474
204.98,79.88095,69.4708999999,98.8360666667,89.8134877194,83.3862000001,135.873,61.7990666666,82.7514666667,118.73,86.1375333333,52.0633999999
205.36,78.14505,76.0752333333,105.483933333,93.101340351,81.9354666666,142.795533333,63.7633999999,84.1935333333,121.290333333,92.1505333332,55.4838666667
205.74,76.8308583333,79.6465333334,109.393866667,92.9717719298,81.2122,136.363533333,62.5251333333,82.5251333333,118.787933333,93.2324,66.1616000001
206.12,81.07635,89.3055333333,116.481533333,98.0847122807,91.1110666668,136.759266667,69.9999999999,83.4259333334,123.3332,95.0926000001,74.5369999999
206.50,101.776025,109.781366667,140.655666667,119.01642807,110.8196,156.502733333,79.7814666666,103.2788,145.3552,117.0492,91.2569333333
206.87,109.583366667,116.264233333,158.275866667,132.456157895,121.264333333,170.804533333,92.0689333333,113.1036,160.115066667,127.931066667,103.103466667
207.25,103.874233333,113.274966667,152.631666667,123.250385965,118.1286,163.742666666,89.4737333332,105.731066667,151.345,125.497066667,98.7134666665
207.63,114.612333333,132.7908,170.697733333,142.301164912,142.325533333,195.193733333,106.201533334,117.829466667,183.411,144.186066667,112.403066667
208.01,110.755208333,135.416666667,192.083333333,154.353070175,149.583333333,215.208333333,98.1249999999,122.708333333,206.666666667,154.375,117.708333333
208.39,120.8333,142.7381,214.761933334,182.782003509,164.523866667,238.333466667,104.047533333,140.952333333,223.5714,164.0476,131.428666667
208.77,125.717525,141.0186,201.851866666,173.869340351,150.370333333,214.074,112.962733333,146.110933333,210.0,155.5554,129.814866667
209.14,109.980966667,112.8788,175.151466667,153.476792982,130.606,175.757733333,96.9698000001,117.2728,172.878733333,129.696933333,110.454533333
209.52,88.4582583333,84.7776999999,128.5556,114.298266667,97.5555333333,123.1112,73.9999333333,89.6666666668,126.3334,99.2222666665,86.1111999999
209.90,82.6370749999,76.9405333334,110.958933333,98.2167754386,88.1277999999,112.237466667,68.4931333334,78.3560666665,108.036533333,87.4884666669,81.0958000001
210.28,77.3506750001,68.1593000001,102.786066667,92.3331578947,77.811,114.328266667,62.2884666667,71.5422,103.880466667,84.5770666666,80.1989333332
210.66,79.5586416666,72.5979666666,102.549,98.8391894735,80.5881333333,117.353,67.8430666667,72.8431333333,108.627333333,91.0783999998,90.8824666667
211.03,75.2736583333,70.9950333335,88.2587333333,95.9570491227,76.3183333333,108.2586,61.7910666667,66.4676,102.2886,86.5671333333,90.8457333334
211.41,72.692275,66.0256333333,86.5812000001,91.5070350877,73.7606666667,104.444466667,63.1623333334,63.5896666667,100.854733333,82.5641333331,91.111
211.79,73.5184416667,64.1975333333,85.8436666668,92.0510596491,72.2634,104.3622,66.0906000001,69.1356666667,101.646266667,82.6337999999,91.0286666667
212.17,70.2991416667,55.6411,78.8034,84.7187754387,67.1795333333,96.0683333333,66.4956666667,60.0854,97.4358666666,75.8974666667,85.3846666665
212.55,68.9682750001,55.6747333333,75.3968000001,77.3141438597,70.5556666667,95.4761999999,67.0634666666,59.2062,94.1270000001,76.3492,84.5238666666
212.92,62.2409583334,46.3964333334,67.0271333334,69.3789684211,65.3154,93.063,60.1801333334,44.9548,87.5675333333,73.9639999999,81.8016666667
213.30,59.2391666666,43.1884333333,58.8406,64.4901438597,60.4830666667,92.6567999999,58.8406,40.6763333333,86.1836000001,74.2994666666,78.3574666666
213.68,68.6146916666,50.6493,65.5411333333,74.6184035088,74.6319333333,101.8182,72.2077333333,50.1298,93.5065333335,83.0302666666,86.7532666665
214.06,76.9443916667,61.7390666666,73.4300666667,89.7586421053,87.8260666667,112.367066667,81.8356666667,61.2560666666,106.183533333,98.9371333334,93.7197333335
214.44,88.7381916667,70.9524,81.4285333333,101.614070175,100.666666667,116.190466667,90.4762,74.5714,108.095333333,109.809533333,99.7142666667
214.81,104.299041667,87.7778333333,91.7460666665,111.484221053,115.026466667,133.4392,102.962933333,86.5608666668,117.671933333,122.2222,109.841266667
215.19,97.6690750001,78.5990333333,87.5361999999,96.8116000001,105.313866667,126.280066667,94.5893333334,78.1641333333,102.705266667,111.014466667,101.159466667
215.57,111.9971,90.2873666667,93.5633333332,110.042280702,120.8046,137.1264,103.6782,86.3218666667,106.092,120.114933333,111.494333333
215.95,117.2462,92.6811333333,95.6522,111.876403509,128.4058,142.463666667,106.956466667,76.6666000001,98.9855333335,123.188466667,117.101266667
216.32,112.566666667,100.0,91.6000000001,107.87368421,126.4,142.133333333,106.533333333,76.5333333334,94.1333333333,121.066666667,118.933333333
216.70,93.7633416666,83.3869666665,73.7634666666,91.3468491228,94.9461333333,111.075133333,83.6558666666,59.3548,77.2043333332,93.5484000001,100.107533333
217.08,85.195225,77.8124333333,66.2498666667,87.9660385964,91.6666000001,105.5208,77.6041333333,51.1456666667,76.5623333332,81.4583333334,100.833066667
217.46,70.5996583334,71.1382,55.2032666667,70.3978807017,77.073,85.1219333334,64.3088666667,44.309,67.2358,64.3090000001,85.6097333333
217.83,62.6174166667,71.6433666666,46.7606,66.5777929824,73.0516666667,82.7230000001,53.3333333333,29.953,61.1268,54.1784666667,87.9811333333
218.21,60.8204333334,67.7083666667,43.0208,63.9640561403,74.5836,85.6252666666,53.2292666667,23.6458666667,60.4167999999,48.9585333333,96.6668666667
218.59,56.2159,63.3880333333,39.6720666667,62.5079789474,70.164,81.9672666666,46.8851999999,15.6284666667,63.4972666667,41.3114,95.8469333332
218.97,36.6060416667,40.7274,24.7273333333,51.9807087719,55.0302666667,68.3635333333,32.1213333333,-0.606066666674,52.2425333333,25.6969333333,82.3029999999
219.34,36.3938666667,45.1515666667,31.3938666667,64.4210561404,58.1818,64.6060666667,36.6060666667,3.63639999999,56.1212,29.8180666667,81.8182
219.72,31.0333333333,50.0,33.6,76.5333333334,59.0666666667,73.8666666667,39.2,5.19999999999,70.4000000001,31.4666666667,91.7333333333
220.10,46.6666666666,71.0,48.9333333333,98.7157894735,75.2,91.9999999999,53.4666666667,25.7333333333,93.6,48.6666666666,110.0
220.47,59.3420500001,84.8245333333,68.0700666667,128.928929824,92.9825333334,109.8246,57.5438,32.1052,120.877266667,60.1751999999,143.8598
220.85,81.6666666666,199.666666667,156.666666667,371.122807017,251.333333333,298.0,131.333333333,27.9999999999,336.666666667,120.666666667,404.666666667
221.23,97.1296666667,219.6297,168.888866667,429.20082807,271.111133333,271.111,143.703733333,49.6296,360.740733333,162.962933333,404.4444
221.61,-11.0605916667,-79.3939333333,-33.9394666667,-286.538957895,-139.9998,-164.242466667,-48.4848666666,48.4847333333,-190.909133333,-58.1818666667,-268.485
221.98,-13.4583333334,-19.1666666666,7.66666666666,-142.649122807,-64.9999999999,-85.0000000001,-27.3333333333,14.0,-91.3333333333,-13.0000000001,-124.666666666
222.36,11.7777583333,3.11110000002,35.5555999999,-70.7718596491,-12.4444,-43.1110666667,-5.11106666666,27.7777333333,-34.2223333333,16.4445333333,-47.5554666667
222.74,19.7093416667,11.1628333333,38.7596666667,-33.0721894737,6.20153333334,-23.1006666667,4.34100000001,33.9535333333,-11.628,24.651,-23.4109333333
223.11,-23.1989583333,-27.9569666667,12.4731333334,-80.3283087719,-40.2150000001,-82.3656666667,-41.0753333333,9.67740000001,-67.9569333332,-5.37633333333,-88.8173333334
223.49,4.05306666668,7.95456666667,36.8182,-27.8388877193,-11.0606,-40.3031333333,-2.42420000002,30.4544666667,-30.6061333333,18.4848666667,-43.9394
223.87,15.4075416667,22.4444333333,52.7408,-10.1676526316,3.40753333333,-24.5925333333,15.8518666667,49.6297333333,-9.62973333333,26.8148,-24.1481333333
224.24,13.3334833334,18.4946333333,73.5483333334,-18.0532210526,-2.58060000001,-54.4086,15.2688666667,68.6020666666,-13.3334666667,28.8173333333,-42.7957999999
224.62,16.0277833334,15.5555333333,84.4445333335,-14.163677193,-4.6668,-57.7777333334,15.3333333333,70.2222666667,-8.22233333333,36.4443333334,-39.111
225.00,40.4797083333,43.3333333334,113.333266667,13.1419719298,23.8384000001,-23.0303333333,50.5050666667,95.5555999999,19.1920666667,61.6161333334,-12.5252
225.38,45.4340666667,50.4166666667,93.4722000001,29.9926807017,37.7777333333,4.30553333332,60.4166,82.9166666667,31.9445333333,69.3055333333,9.58333333334
225.75,42.134625,47.5438333333,80.7017333333,29.5721122807,41.1694666667,10.9940666667,60.234,72.6315333333,32.2807333333,65.7308666667,14.9709333333
226.13,38.2711083333,36.7165,66.3681333334,24.2943298245,37.1144666667,12.8357333333,53.1342666667,64.2786,25.2737333333,55.821,18.9054666667
226.51,33.7310833333,35.9092333333,55.7576666667,28.0142210526,33.5605333333,17.1212,49.6970666667,57.6514666667,24.2423333333,49.6970666667,18.6363333333
226.88,32.6530416667,35.1361,52.4491333333,28.1812385965,31.9728,17.8232,48.8434666667,53.9455333333,23.2654,47.3469333333,19.6598666667
227.26,28.2466666667,29.6533333333,44.1066666667,23.7024561403,27.84,20.16,42.88,46.0266666666,21.9733333333,41.7066666667,20.9066666667
227.64,17.5417833333,16.0713666667,33.5714,12.4559964912,18.7619333333,12.3334666667,31.5714666667,35.1905333333,12.5238,29.4284666667,13.7618666667
228.01,8.67299999999,8.89599999999,26.8365333333,6.94381754386,9.55399999999,7.516,22.2506,25.0531333333,7.04893333334,22.1231333333,7.6432
228.39,9.26536666665,11.9355,26.8100666666,7.906,9.03226666666,11.0394666667,21.6487333333,25.233,8.49453333334,22.975,10.5376666667
228.76,11.40575,11.5153333333,27.3063333333,8.43867017544,9.52859999999,11.6496,22.1211333333,25.8249333333,9.56226666667,23.6699333333,12.8282666667
229.14,6.56604166667,6.79553333333,21.868,3.65797192982,5.60393333333,6.89206666666,18.1319333333,21.6424666667,5.05640000001,19.9356666667,9.11433333334
229.52,2.2317,3.83003333334,18.75,-0.732147368421,2.0832,1.47433333333,12.532,18.2691333333,0.897333333326,15.5767333333,4.96806666667
229.89,-0.590208333332,0.542133333334,15.9488666666,-2.51835438596,-1.49933333333,-2.39233333333,8.86746666667,15.1195333333,-2.99846666667,12.2487333333,1.46726666667
230.27,-2.64361666667,-2.03603333334,14.9753333333,-4.81043508772,-4.03946666667,-2.75873333333,8.11166666666,13.202,-4.86046666667,10.8045333333,-2.52886666667
230.65,-2.77239166667,-3.46153333333,15.4806666666,-6.19422807017,-5.19220000001,-0.705266666667,9.07053333335,12.1473333333,-4.16666666667,9.07053333333,-1.95513333334
231.02,-3.75416666667,-4.26666666667,17.7,-7.31929824561,-6.3,-0.333333333333,8.83333333333,11.7666666667,-4.43333333333,9.83333333332,-1.76666666667
231.40,-3.32070000001,-2.92306666666,19.6922666667,-6.97611578947,-5.12813333333,-1.2992,10.3590666667,13.5042666667,-3.41873333333,11.2137333334,-0.581266666673
231.78,3.98098333333,4.45586666667,27.9792,0.890817543858,2.17613333333,5.38873333333,16.4075333333,20.4146,3.17793333334,19.4818,5.83773333334
232.15,8.16400000001,9.52920000001,34.8022666667,4.56929824561,6.10173333333,9.83059999999,22.5235333333,28.0979333334,7.194,25.5368,10.4331333333
232.53,9.99536666669,12.0689,37.318,7.06190877192,8.31413333333,12.2605333333,25.9388,29.5785333333,8.04586666665,28.4291333333,12.5288
232.90,15.0949166667,19.8618666667,41.1744666667,13.5151754386,15.2676,18.6528666666,30.2937333333,34.6458666667,13.9206666667,32.2280666667,17.6856
233.28,14.7333333333,19.1166666667,41.0666666667,13.8701754386,13.9,18.1333333333,30.1,34.1666666667,13.1666666667,32.0333333333,17.8333333333
233.66,16.4171833333,20.3864333333,42.9308,16.438631579,15.4589333333,21.256,32.8501333333,36.8438666667,16.2640666667,33.7520666667,21.2238666667
234.03,17.5229416667,22.0490333333,43.7307333333,16.2336807017,16.6055333333,23.6086,34.4342,38.0122666667,18.1040666667,34.373,23.3026666666
234.41,19.927475,25.7391333333,45.5942666667,19.5896947368,18.8694666667,25.0146,36.1160666667,40.4348,20.2316666667,36.9854666667,27.2752666667
234.78,19.2167,26.0648666667,47.4998666667,19.3940350877,18.4567333333,23.7037333333,34.8456666667,42.0678666667,18.0865333334,38.4568666667,27.8086666667
235.16,21.1099916667,27.5220666667,47.8172,21.866231579,20.7668666667,24.5428666667,36.5191333333,42.6254,20.6785333333,39.2330666667,29.3806
235.54,25.5220583333,30.5532666667,50.7054666667,26.3302877193,25.7814,28.5752666667,40.3595333333,45.8643333333,24.2047333334,42.2406666667,32.614
235.91,24.8046,29.9348,47.8645333333,26.0936280702,25.6249333333,27.0312,39.9218,44.6873333333,23.5936666667,40.9373333334,30.7552
236.29,24.6279833333,27.4970666667,44.2677333333,24.1874105263,24.3136666667,24.7750666667,37.4163333333,41.4303333333,22.4682666666,38.1314666667,28.1429333333
236.66,25.6315666666,26.9811,42.2430666667,24.1597719298,24.2348,24.2767333333,36.6246,41.1111333333,22.5996,36.6875333333,27.4004
237.04,23.459575,23.7748,39.8948666667,21.5916035088,21.7034666667,20.6730666667,34.6162,39.6424666667,20.0839333334,35.3941333333,24.7529333333
237.41,24.2575333333,24.1313,39.9596,22.0384175438,22.6465333333,21.6768,34.5253333333,40.6666666667,20.4444,35.3738666667,24.6263333333
237.79,24.607475,23.3142,39.2100666667,21.3436631579,22.4468,21.1369333333,34.5278666667,40.1927333333,20.1927333333,35.0866666667,24.5471333333
238.17,23.5363583333,21.8155,36.5128,20.970645614,21.0115333333,19.4939333333,32.8632666667,39.2047333333,19.7288,33.6221333334,23.2337333333
238.54,21.805225,19.3521,34.4927333333,19.8753263158,19.5909333333,17.7834,31.2874,37.8687333333,19.0622,31.3723333333,20.5967333333
238.92,17.8997166667,15.5344333333,30.0870666667,15.7769719298,15.8510666667,14.3466,27.7909333333,33.6182666667,15.5661333333,28.0600666667,16.3738
239.29,14.9347166667,12.6249666667,28.1878666667,13.285554386,13.2886,12.2446666667,25.1900666667,31.6182,11.9164666667,25.891,13.3036
239.67,12.7151666667,10.6162333333,26.2886666667,10.477,10.084,10.7843333333,22.787,29.3977333333,9.4958,23.7955333333,11.2746666667
240.04,10.979175,9.42296666666,25.0896666667,8.35764210525,8.17953333335,9.60253333335,21.3718,27.718,7.97433333334,22.6284,10.3590666667
240.42,10.034375,8.93076666667,24.9463333333,7.63437192982,7.28793333333,9.36679999999,20.92,27.5269333333,6.73813333333,22.6164,10.669
240.79,8.3181,7.67063333333,24.7477333333,6.93655438597,6.2008,8.51906666667,19.9223333333,27.2656666667,5.52413333333,22.4405333333,9.60613333334
241.17,7.04609166667,6.92526666667,23.7872666667,6.19917543859,5.17326666667,8.17973333333,18.9068,25.6123333333,4.44106666667,20.9271333333,8.50173333333
241.54,5.62348333333,5.33593333333,22.8056,4.62218947369,3.32893333333,6.802,17.6543333333,24.8083333333,3.32886666667,19.8376666667,6.91933333333
241.92,4.7925,4.38823333333,22.0771333333,3.50609824561,2.20033333333,5.90313333333,16.5024666667,23.7602666667,2.11006666667,19.0557333333,5.40226666667
242.29,5.13115833333,4.59483333333,23.3024,3.52462105263,2.3226,6.54326666666,17.1296,24.537,1.88273333333,19.753,5.7482
242.67,5.41488333333,4.97083333333,23.741,3.35280701755,2.40166666667,6.99413333333,17.4526,24.8327333333,1.9432,20.1673333333,6.47
243.05,6.27010833333,5.59306666667,24.6596666667,3.857,3.18593333333,7.3124,18.4281333333,25.7544,2.6034,20.9825333333,7.02453333333
243.42,7.178325,6.32786666667,25.2566,4.16551929825,3.5658,8.02193333333,19.1718666667,26.9062666667,3.43593333333,21.7864,7.7276
243.80,7.51500833335,6.6166,25.8985333333,4.88167719298,4.0814,8.4502,19.6324666667,27.5951333333,4.08146666667,22.2980666667,8.10286666667
244.17,7.00083333333,5.66666666667,25.8666666667,4.34105263158,3.22666666667,7.62666666667,19.1666666667,27.58,3.31333333333,22.0933333333,7.33333333333
244.55,6.33376666667,4.72293333333,25.2024666667,3.88021403509,2.60446666667,6.98413333333,18.6459333333,27.1979333333,2.5202,21.6974,6.63426666667
244.92,6.77927499999,4.9148,25.3466666667,4.17127017544,2.78586666666,7.24433333333,19.3431333333,27.3601333333,2.84066666667,21.837,6.97693333333
245.30,6.79314166666,4.69,25.802,4.04733333333,2.75326666667,7.19573333333,19.8635333333,27.9805333333,2.84993333333,22.3321333333,7.0194
245.67,6.96354166667,4.90896666667,26.0251333333,4.5038877193,3.05366666667,7.32353333333,20.1693333333,27.9445333333,3.336,22.4788666667,7.67253333334
246.05,6.81141666667,4.67133333333,26.401,4.70263508772,2.8138,6.97033333333,20.6879333333,28.2372666667,3.50173333333,22.6760666667,7.80053333333
246.42,6.29841666667,4.183,25.9844666667,4.18236842105,2.25973333333,6.2102,20.3172666667,27.9138666667,3.35953333333,22.4250666667,7.26646666666
246.79,6.32235,4.12326666667,25.8030666667,4.19432982456,2.1572,5.9782,20.1830666667,28.1112666667,3.4786,22.4516666667,7.021
247.17,6.20046666667,3.85456666667,25.7435333333,4.16817192983,1.73093333333,5.77706666667,20.1563333333,28.2114666667,3.43573333333,22.427,6.8752
247.54,5.577925,3.03426666667,25.4522,3.69804912281,1.05066666667,5.25286666667,19.6652,27.7848,2.84913333333,22.0654666667,6.32133333333
247.92,5.3413,2.83216666667,25.4422666667,3.51732982456,0.808066666667,4.8942,19.5526666667,27.7038,2.63606666667,22.1401333333,6.12213333333
248.29,5.6031,3.28063333333,25.9259333333,3.99389473684,1.1756,5.44326666667,20.0714666667,28.1820666667,3.15326666667,22.6911333333,6.5816
248.67,5.77934166667,3.49623333333,26.3272666667,4.19007368421,1.48333333333,5.51946666667,20.4277333333,28.4894666666,3.54393333333,23.0176666666,6.70053333333
