wavelength,Back_SalNigf,Belly_SalNigf,Breast_SalNigf,Crissum_SalNigf,Crown_SalNigf,DorTail_SalNigf,Patch10_SalNigf,Rump_SalNigf,Throat_SalNigf,WingTip_SalNigf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,98.4846666665,103.030166667,119.697166667,90.9091666665,80.3028333332,110.60575,59.091,85.6060833331,150.0,113.6365
179.16,55.5555,61.1111666667,109.259333333,48.1481666666,46.2961666669,61.1110833333,25.9256666665,67.5924166666,120.3705,64.8146666666
179.54,16.6665,61.1111666667,94.4446666665,-22.222166667,66.6668333332,61.111,44.4443333335,11.111166667,94.4443333333,5.5556666665
179.93,-122.222,-194.444333333,-272.222333333,-211.111166667,-183.3335,-236.111166666,-144.4445,-147.22225,-149.999833333,-138.889
180.31,150.476166667,179.523833333,204.285833333,139.047666667,120.0,161.90475,57.1426666665,150.238,223.333333333,147.143
180.69,126.576666667,151.802,185.5855,117.117166666,97.7476666665,141.891916667,28.8288333335,114.4145,197.297333333,128.378166667
181.07,130.303166667,180.808166667,184.343166666,129.293166666,102.020166667,129.545416667,27.2725,116.91925,204.040333334,124.747666667
181.45,139.444333333,226.111166667,201.111,143.889,104.444333333,138.611166667,16.1108333335,114.999916667,198.888666667,131.666666666
181.83,147.701166667,255.172666667,230.46,150.574833334,95.9769999998,167.815916667,6.8965,109.770166667,201.149333334,156.321833333
182.21,183.3335,355.5555,303.968333333,177.7775,115.079333333,224.602916667,-11.111,121.4285,280.952333333,218.254
182.59,3416.66666666,7166.66666666,5800.00000002,2900.0,1500.0,4183.33333334,-550.0,1450.0,5283.33333334,4483.33333334
182.97,-3433.33333334,-7233.33333334,-6183.33333332,-2833.33333334,-1316.66666666,-3591.66666666,800.0,-533.333333335,-4750.0,-4416.66666666
183.35,-485.714333334,-997.618999999,-904.762000002,-400.000166667,-152.380833333,-603.571333333,135.714166666,17.8570833335,-661.904666667,-659.524
183.73,-114.166666667,-275.833333334,-239.166666667,-74.1666666665,25.8333333335,-179.166666667,125.0,84.1666666667,-135.833333333,-177.5
184.11,-204.166666666,-410.416666667,-368.75,-148.958333333,-34.375,-300.0,62.5,67.1875,-220.833333333,-282.291666666
184.49,-368.75,-843.75,-747.916666666,-306.25,-58.333333333,-570.833333334,45.8333333335,91.6666666665,-506.25,-606.25
184.87,-424.074,-914.814833333,-696.2965,-362.963,-159.259,-570.370416666,-64.8146666665,-37.962916667,-592.5925,-624.074
185.25,-101.785666667,-248.214166667,-192.261833333,-74.4046666665,-8.9283333335,-174.106916667,27.3813333335,25.893,-162.5,-171.4285
185.63,-6.9046666667,-60.476,-38.0951666667,4.52366666665,34.2858333335,-33.3335,41.1905,43.5715,-35.2383333333,-36.1905
186.01,7.3478333333,-27.5985,-6.4515,16.3081666667,38.8886666667,1.79208333335,43.3691666667,48.0285,-13.2618333333,-11.8278333333
186.39,16.6666666667,-13.1498333333,5.3515,24.6176666666,49.0825000002,19.4951666667,50.9173333334,50.0001666667,1.68216666666,1.0705
186.77,28.0236666667,-1.3275,13.5691666667,29.3508333333,54.5721666668,31.121,56.7848333334,51.7698333333,12.6841666667,15.7816666667
187.15,31.7663333333,-1.13966666665,17.8063333333,31.9088333333,56.6951666668,35.1138333334,57.9775,47.4359166667,13.8176666667,15.6696666667
187.53,36.0881666666,0.0,23.6913333334,33.471,56.3361666668,43.80175,53.9946666667,49.6556666666,20.9368333333,19.6968333333
187.91,36.4736666667,0.483,26.6906666667,34.5411666666,55.1933333334,43.5988333334,46.377,47.2826666667,19.9276666666,24.5171666667
188.29,44.7205,13.147,39.1301666666,42.7535,63.9751666667,52.2773333334,56.4183333334,54.8136666667,30.7453333333,35.7145
188.67,44.6328333333,14.4066666667,40.6778333334,42.8436666667,61.8645,52.9659166667,59.7928333334,57.0620833334,34.934,39.2655
189.05,47.2636666666,24.2123333333,44.0295,48.4245,68.6566666667,56.7580833334,66.3348333333,60.5305833333,42.2886666667,43.201
189.43,52.564,29.1451666666,49.1453333333,55.3845,75.7265,63.29075,72.906,66.5813333333,49.4016666667,46.0683333333
189.81,52.9411666667,30.588,50.9805,56.4706666667,79.51,65.8333333333,79.2158333334,71.2746666667,47.4508333333,47.647
190.19,52.8768333333,30.9525,53.6706666667,57.0435,80.2578333333,63.7896666666,81.845,71.18075,45.238,50.7935
190.57,51.2423333333,33.3335,58.1781666667,59.0061666666,82.2981666665,62.0600833334,85.4036666666,73.0849166667,44.5133333333,55.4865
190.95,53.8216666667,36.8365,68.6836666666,65.1805,90.1274999998,64.5965833333,95.6475,80.30775,48.9383333334,63.0575
191.33,59.1463333334,45.9351666667,73.2725,72.561,94.7155000002,66.6665833333,103.048666667,88.16075,55.4878333333,72.1543333333
191.71,56.5088333333,45.4635,70.5126666667,70.9073333333,92.5050000002,63.7570833334,102.662833333,85.4535,51.6768333334,74.359
192.09,59.0361666667,49.0965,72.3895,75.703,96.8876666669,69.62875,109.337333333,88.2530000001,54.9195,79.016
192.47,59.127,52.6785,72.2223333333,78.1746666667,96.2301666665,69.09725,111.011666667,86.0615,54.6626666666,83.0356666667
192.85,61.0771666667,55.8943333333,77.5408333334,84.7561666667,101.930666667,70.4269166667,113.007833333,86.7378333334,56.5043333333,85.1626666667
