wavelength,Back_SpoBoef,Belly_SpoBoef,Breast_SpoBoef,Crissum_SpoBoef,Crown_SpoBoef,DorTail_SpoBoef,Patch10_SpoBoef,Rump_SpoBoef,Throat_SpoBoef,WingTip_SpoBoef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,95.8333333333,191.666666667,62.5,54.1666666667,45.8333333333,175.0,133.333333333,62.5,4.16666666667,79.1666666667
179.16,-7.40766666667,22.2223333333,1.18423789293e-15,-11.111,55.5556666667,92.5923333333,59.2593333333,44.4443333333,70.3703333333,-7.40733333333
179.54,55.5556666667,91.6666666667,61.111,58.3333333333,30.5553333333,86.111,141.666666667,97.2223333333,38.889,50.0
179.93,-38.8886666667,33.3333333333,-44.4443333333,-122.222,-50.0,-16.6663333333,88.889,-5.55566666667,-72.2223333333,-44.4446666667
180.31,-66.6666666667,77.193,-50.877,-63.158,-29.8246666667,26.316,107.017333333,-3.50866666667,-107.894666667,-108.772
180.69,-59.722,63.1943333333,-43.7503333333,-54.861,-31.9443333333,18.0556666667,77.778,-19.4443333333,-104.861,-91.6666666667
181.07,-89.1473333333,50.3876666667,-58.1396666667,-67.442,-29.4573333333,-11.628,77.519,-34.8833333333,-118.604666667,-126.356666667
181.45,-108.571333333,84.762,-57.1426666667,-60.9523333333,-28.5713333333,-45.7143333333,102.857,-57.1426666667,-153.333333333,-131.428333333
181.83,-137.634333333,96.7743333333,-81.7206666667,-68.8173333333,-10.7526666667,-59.1396666667,86.0216666667,-89.247,-182.795666667,-162.365666667
182.21,-307.843333333,123.529333333,-215.686333333,-119.607666667,-76.4706666667,-176.470666667,88.2353333333,-245.098,-364.706,-358.823666667
182.59,-137.179666667,114.102666667,-88.4616666667,-44.872,12.8203333333,-46.154,115.384666667,-91.0256666667,-139.743666667,-180.769333333
182.97,-86.9563333333,137.681,-43.478,20.29,27.5363333333,21.7393333333,150.724666667,-104.348,-84.058,-142.029
183.35,-42.5923333333,201.852,11.1113333333,57.4073333333,42.5926666667,83.3336666667,255.555333333,-51.8516666667,-40.7406666667,-62.963
183.73,1.33333333333,162.666666667,44.0,64.0,53.3333333333,89.3333333333,217.333333333,-46.6666666667,-5.33333333333,-22.6666666667
184.11,17.094,111.965666667,55.5553333333,63.2476666667,74.359,94.872,182.051333333,-2.564,-5.128,-1.70933333333
184.49,30.769,109.401666667,67.5213333333,64.1026666667,89.7433333333,123.076666667,199.145,-0.854666666667,24.786,18.8036666667
184.87,58.586,139.394,111.110666667,102.02,121.212333333,168.687,262.626,15.1513333333,93.9393333333,45.4543333333
185.25,55.2633333333,102.631333333,107.895,98.2456666667,92.9823333333,147.368333333,221.93,13.1576666667,98.2456666667,45.614
185.63,59.5743333333,79.4326666667,91.4893333333,86.5246666667,75.8866666667,134.042333333,178.014,20.567,91.4893333333,33.3333333333
186.01,60.6836666667,59.8286666667,91.453,85.47,67.5216666667,149.572666667,199.145333333,4.27333333333,118.803333333,43.5896666667
186.39,66.013,65.3593333333,103.268333333,85.621,86.2743333333,149.673,172.549,24.8366666667,140.522666667,58.8233333333
186.77,75.2136666667,88.889,141.88,120.513,109.402,183.760333333,202.564,10.2563333333,169.231,82.9056666667
187.15,65.4086666667,79.874,100.629,98.113,107.547333333,142.767333333,157.232666667,23.8996666667,137.736,71.0693333333
187.53,68.889,79.2593333333,100.740666667,105.926,122.963,147.407666667,157.777666667,7.40733333333,154.074,63.7036666667
187.91,60.7406666667,74.074,93.3336666667,101.481333333,128.889,141.481333333,153.333666667,15.5556666667,149.629666667,71.852
188.29,61.7283333333,112.346,118.518333333,150.617333333,171.605,180.246666667,186.419666667,-9.87666666667,241.975333333,106.173
188.67,60.0,220.0,273.333333333,326.666666667,370.0,316.666666667,390.0,-73.3333333333,553.333333333,230.0
189.05,22.8073333333,115.789333333,135.087666667,205.263333333,217.544,157.894666667,224.561666667,3.509,296.491,157.894666667
189.43,74.3586666667,200.0,223.076666667,323.077,358.974333333,292.307666667,348.718,58.9743333333,428.205,323.077
189.81,191.666666667,650.0,716.666666667,1000.0,1158.33333333,1033.33333333,1175.0,208.333333333,1225.0,1150.0
190.19,-44.4443333333,988.888666667,1088.889,1155.55566667,1500.0,1155.55566667,1611.111,411.111,1555.55533333,1433.33333333
190.57,41.6666666667,-566.666666667,-616.666666667,-608.333333333,-833.333333333,-633.333333333,-1058.33333333,-266.666666667,-600.0,-1125.0
190.95,81.4813333333,-181.481666667,-255.555666667,-170.370333333,-244.444666667,-200.0,-448.148333333,-107.407333333,-262.963,-437.037
191.33,33.3333333333,-71.0143333333,-118.841,-39.1306666667,-69.565,-52.1736666667,-153.623,-43.4783333333,-88.406,-169.565
191.71,20.5126666667,-117.949,-253.846333333,-115.384666667,-138.461666667,-66.6666666667,-325.641,-89.7436666667,-194.871666667,-333.333333333
192.09,1033.33333333,2233.33333333,4400.0,1833.33333333,2000.0,1666.66666667,5166.66666667,1866.66666667,4133.33333333,5100.0
192.47,1633.33333333,1400.0,4566.66666667,1433.33333333,1500.0,1366.66666667,4666.66666667,1733.33333333,4566.66666667,5300.0
192.85,121.568666667,96.0783333333,272.549,103.921666667,62.745,125.49,323.529333333,143.137333333,301.960666667,331.372666667
193.23,148.889,117.777666667,340.0,97.778,102.222333333,155.555666667,397.777666667,155.555333333,348.889,348.888666667
193.61,181.481333333,77.778,529.629666667,77.7776666667,77.7776666667,196.296333333,725.926,225.926,592.592333333,522.222333333
193.99,125.0,-62.5,487.5,0.0,-141.666666667,16.6666666667,695.833333333,200.0,579.166666667,441.666666667
194.37,711.111333333,-333.333333333,1399.99966667,344.444333333,-600.0,177.777666667,1733.33333333,488.889,1644.44433333,1299.99966667
194.75,-214.814666667,162.963,-570.370333333,-222.222333333,122.222,-44.4446666667,-551.852,-181.481333333,-640.740666667,-381.481333333
195.13,-558.333333333,358.333333333,-1283.33333333,-725.0,-83.3333333333,-266.666666667,-1358.33333333,-483.333333333,-1483.33333333,-991.666666667
195.51,388.889,-288.889,927.778,577.778,44.4443333333,233.333333333,950.0,433.333333333,1088.889,577.778
195.89,266.666666667,-553.333333333,1053.33333333,520.0,-80.0,240.0,1013.33333333,373.333333333,1200.0,646.666666667
196.27,18.182,348.484666667,-436.363666667,-272.727333333,78.788,-45.4546666667,-363.636333333,-54.5453333333,-484.848666667,-260.606
196.65,64.4443333333,184.444333333,-96.667,-61.111,65.5556666667,36.6666666667,-90.0,28.889,-108.889,-37.778
197.03,43.3333333333,238.333333333,-216.666666667,-150.0,-26.6666666667,-16.6666666667,-140.0,18.3333333333,-203.333333333,-81.6666666667
197.40,45.045,164.864666667,-85.5856666667,-35.135,32.4323333333,18.919,-29.73,31.5316666667,-80.18,-6.30633333333
197.78,42.9633333333,142.963,-54.815,-5.92118946467e-15,38.5183333333,35.5556666667,22.963,48.148,-44.4443333333,32.5923333333
198.16,36.0,125.333333333,-53.3333333333,12.0,10.6666666667,6.66666666667,10.0,46.0,-55.3333333333,30.6666666667
198.54,50.0,124.712666667,-24.138,46.5516666667,26.4366666667,35.0573333333,25.2873333333,63.793,-24.7126666667,51.7243333333
198.92,62.6666666667,163.333333333,-21.3333333333,79.3333333333,38.0,52.0,24.6666666667,81.3333333333,-10.0,69.3333333333
199.30,78.0143333333,174.468,-13.475,111.347666667,54.61,53.901,37.5886666667,89.3613333333,-4.96433333333,102.127333333
199.68,73.0496666667,170.921666667,-11.3476666667,113.475333333,53.9006666667,62.4113333333,31.2056666667,93.6173333333,-12.0566666667,105.674
200.06,35.0876666667,155.263,-48.2453333333,110.526333333,24.5616666667,32.456,-5.263,75.4386666667,-49.123,95.614
