wavelength,Back_PhrPatm,Belly_PhrPatm,Breast_PhrPatm,Crissum_PhrPatm,Crown_PhrPatm,DorTail_PhrPatm,Rump_PhrPatm,Throat_PhrPatm,WingTip_PhrPatm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,78.7407333333,49.6296666667,56.2962000001,21.185,59.4814666667,37.037,37.068752381,72.8890000001,79.6296666668
179.16,19.8990666667,27.8789333334,67.6768000001,28.5858666667,27.5758000001,51.6159333333,61.6883904762,32.2222,41.0101333334
179.54,43.9315999999,19.1452666667,12.9914666667,20.9572666667,44.8204,18.8032666667,29.6264666667,26.3248,55.829
179.93,-40.0000000001,-162.2222,-159.2592,-124.444333333,9.62953333342,-28.148,-39.5766857143,-91.1112666667,-63.7036666667
180.31,120.444866667,132.770333333,142.683666667,114.662666667,73.1733333333,80.5280666667,99.5744761905,113.4409,110.681266667
180.69,138.8346,153.460933333,160.7164,122.725466667,78.3892,93.5131333333,111.291276191,133.046766667,125.924066667
181.07,157.356466667,183.296133334,189.3636,147.247133333,88.8553333333,110.8042,136.926104762,156.138533333,142.62
181.45,144.395666667,157.930133333,171.506533334,136.464466667,92.3501999999,103.169066667,136.161276191,147.530033333,134.265866667
181.83,130.3022,136.024333333,146.724733333,114.112133333,91.331,94.2196000001,112.21707619,129.3024,119.087533333
182.21,135.297066667,132.091,145.578,114.5676,100.258533333,98.8010000001,110.832304762,125.902033333,121.826266666
182.59,130.563333333,131.612733333,152.929866667,103.6256,93.8095333333,89.3784666667,111.735161905,128.752266667,119.259133333
182.97,150.019666667,152.1026,178.617133333,109.398133333,105.868533333,106.155666667,129.931390476,154.647533333,135.028333334
183.35,197.575733333,199.930666667,240.3636,147.324733333,141.489066667,151.4806,178.864619048,218.519333333,176.1038
183.73,175.0926,169.963,202.564733333,133.231333333,131.277866667,138.083133333,142.641580952,180.870433333,144.9538
184.11,218.349333333,223.6092,261.227533333,155.052866667,160.937933333,166.1562,190.930619048,227.190966667,174.790666667
184.49,397.877066667,403.3332,485.615066666,291.984133333,309.305666666,316.091133333,382.400809524,433.2141,318.7898
184.87,324.934666667,335.539133333,432.3204,276.3236,281.7076,267.393866667,335.047771429,372.7451,259.885666667
185.25,966.087000001,1032.69573334,1420.52173334,821.536266666,862.492733334,818.086933333,1112.26495238,1194.57973333,767.130466667
185.63,-901.355199999,-1016.32786667,-1405.02726667,-700.196733334,-765.420733332,-774.841533334,-1067.99064762,-1118.72133333,-760.743133333
186.01,-2276.43273333,-2702.39773333,-3650.2924,-2014.9708,-2063.45026667,-2078.01166667,-2760.15875238,-3016.7836,-1947.66086667
186.39,-1270.4506,-1670.09006666,-2241.68166667,-1143.24313333,-1135.43546667,-1317.3572,-1693.42775238,-1870.0901,-1019.87986667
186.77,-434.074,-580.269400001,-708.080733334,-376.9698,-357.575733333,-501.548933333,-693.621952381,-541.010133333,-385.656466667
187.15,-57.9486666674,-116.153799999,-248.718066666,37.9488000005,56.1539333328,-428.718,-1050.21992381,133.589633333,-302.051266667
187.53,-289.0196,-383.1374,-421.960733333,-301.568533334,-255.6862,-308.627466667,-382.408895238,-391.5685,-238.4314
187.91,-183.75,-251.666666667,-324.583333333,-164.583333333,-133.75,-407.916666667,-795.535714286,-124.375000001,-280.833333333
188.29,-734.117733334,-805.6862,-817.254933333,-759.607866666,-683.7256,-117.843133333,272.128885715,-1105.09816667,-297.254933333
188.67,-106.886533333,-170.0732,-208.901,-141.245533333,-60.6226666664,-236.1538,-491.355361905,-145.403,-202.527533333
189.05,-69.5237333334,-103.412733334,-123.174666667,-91.3492666666,4.3651333326,-182.8572,-467.176961905,-59.0873333334,-163.3334
189.43,-33.3334666666,-4.691466666,-89.3827333334,-103.4568,66.6666666666,-233.333333333,-750.617266667,71.2345000008,-276.2964
189.81,-171.085066667,-203.211066666,-197.8056,-160.5524,-145.762466667,-120.918733333,-132.861371429,-213.5753,-112.4828
190.19,-126.832933333,-150.693333333,-149.482333333,-115.840466667,-101.586,-97.0846666666,-115.817457143,-158.3024,-81.9705333333
190.57,-74.7817333334,-98.4242,-92.8787333333,-72.0324000001,-65.4088666666,-57.8921333333,-68.4985142858,-102.954233333,-42.5266
190.95,-79.5836000001,-108.005,-99.5113333334,-84.6956,-73.4858666667,-69.4713333333,-85.9010095238,-113.249366667,-50.5530666667
191.33,-74.0350666667,-103.073466667,-96.6732000001,-83.9181333333,-76.4978000001,-66.6469999999,-82.9546952378,-113.430866667,-47.3683333333
191.71,-69.1706666667,-95.1096000001,-91.7696000001,-78.6418000001,-79.0349333333,-69.1481333334,-73.8125619047,-111.331033333,-42.043
192.09,-44.3506666667,-74.4722666666,-73.9663333333,-59.5384000001,-68.5676,-49.6282666666,-52.8660380952,-92.7500666667,-31.9952666667
192.47,-34.1231333333,-62.9088,-64.6863333333,-50.3572000001,-65.1628666667,-56.0555333333,-51.7178095238,-87.8056333333,-27.7342
192.85,-53.2425333333,-95.0722000001,-91.6028666667,-74.1134000001,-95.6992,-94.4029333333,-92.2995904764,-125.083633333,-40.3035333333
193.23,-50.8843333333,-81.0884666666,-82.4489999999,-67.8911999999,-98.0951333332,-78.9117333333,-82.4683142858,-117.891233333,-35.2382000001
193.61,-47.9110000001,-72.8203333333,-75.6349333334,-50.5329999999,-88.5486666667,-80.5611333334,-81.411552381,-111.271233333,-27.5850666667
193.99,-53.4162666666,-84.2624666667,-88.1018666667,-63.0645333333,-102.9902,-89.6483333332,-105.142380952,-134.7654,-34.5540666667
194.37,-21.4288,-44.7146666667,-50.3882,-35.7025999999,-68.2594666667,-47.9404666667,-67.434152381,-86.4698666665,-12.8686
194.75,-47.5189999999,-68.3711333334,-78.1335999999,-58.8859333334,-103.912133333,-74.1109333334,-103.483209524,-126.3971,-32.7712666667
195.13,-21.5541333333,-39.5141333333,-43.5489333333,-24.4948666667,-65.9524666666,-45.3186,-56.6537428571,-82.2746666666,-10.6112666667
195.51,-8.67753333332,-20.1792666666,-27.6344,-9.16493333333,-48.3620666667,-25.6163333333,-37.3783047619,-54.4123333333,-0.1578
195.89,-4.84840000002,-20.3030666667,-22.7777333333,-4.36866666667,-41.7172666667,-17.6515333333,-40.1442666666,-50.1766,2.57573333333
196.27,-4.31380000001,-17.6471333333,-15.4508,-0.156733333334,-34.9804666667,-10.5882666667,-38.3865047619,-38.0785,9.33326666665
196.65,-4.55439999998,-19.6764666667,-11.0867333333,3.32713333334,-34.3713333333,-6.69739999999,-38.1214761904,-32.9883666667,10.1526
197.03,2.18946666667,-16.0561333333,-3.94400000001,9.02106666666,-28.2210666667,-1.08066666667,-29.8000571429,-23.8771,8.6386
197.40,3.98793333333,-16.2634,1.89453333333,10.0254666667,-25.4048666666,2.31339999999,-30.0614285714,-16.3180666667,9.48406666667
197.78,10.635,-13.8664666667,5.63693333333,5.35606666668,-23.8014,7.74913333333,-24.7716761905,-14.1392666667,12.6414666667
198.16,7.5984,-18.0428,8.30019999999,2.25733333333,-23.4815333333,1.34900000001,-24.9974857143,-17.3198,11.9412666667
198.54,-8.76886666667,-38.2578,0.1712,-9.61106666668,-37.6669333334,-14.0389333333,-34.9289714286,-31.0786666667,0.42553333334
198.92,-8.87786666668,-35.1048,0.704399999986,-10.3714666666,-34.022,-13.1294,-29.0931142857,-24.983,-2.22566666667
199.30,-14.0547999999,-43.1512000001,3.013,-18.2409999999,-42.73,-15.7333333333,-35.5098761905,-27.3290333333,-2.79499999999
199.68,-7.50980000001,-36.7748,11.5254666667,-16.0271333334,-33.9586,-12.6058666666,-27.0206,-19.8016666667,-0.104
200.06,-6.11873333333,-25.1263333333,12.9032,-8.55206666666,-25.9932666667,-9.11573333332,-18.6543619048,-15.9699,1.55106666665
200.44,-1.21440000002,-18.4058,13.8116,-5.60873333333,-16.4608666667,-11.9419333333,-12.4289619048,-12.6667333333,3.55080000001
200.82,3.29153333332,-14.2491333333,17.9274,-5.04606666667,-12.1271333333,-12.0291333333,-8.20510476192,-8.51876666666,10.7192666667
201.19,5.6244,-9.3136,19.9129333333,0.11746666668,-5.17599999999,-7.38233333332,-4.44088571429,-2.25996666666,13.3142666666
201.57,9.41546666667,-7.56006666667,18.3803333333,2.2714,-3.3256,-7.00446666667,-2.4635809524,-1.47896666666,16.2206666667
201.95,6.77066666667,-8.28126666667,16.875,2.03133333333,-5.05206666667,-10.9374666667,-2.81259047621,-1.92713333334,14.8437333333
