wavelength,Back_ThrGlaf,Belly_ThrGlaf,Breast_ThrGlaf,Crissum_ThrGlaf,Crown_ThrGlaf,DorTail_ThrGlaf,Patch10_ThrGlaf,Patch11_ThrGlaf,Rump_ThrGlaf,Throat_ThrGlaf,WingTip_ThrGlaf
185.25,24.7313333333,-39.1130833333,-59.6776666666,20.1949270835,-62.6343333333,-48.6558333334,10.7528333333,-62.9031666667,14.2473333333,27.9568333333,-74.8656666667
185.63,22.327,-52.5154166667,-68.8678333334,27.7362789352,-79.5596666669,-64.7798333333,7.547,-75.7861666667,20.4403333333,24.8425,-71.3836666667
186.01,26.543,-34.8765,-62.037,30.3048877315,-67.9011666665,-52.4693333334,16.0495,-63.2718333334,17.9011666666,28.3948333334,-65.8948333333
186.39,19.7278333335,-27.7211666666,-70.068,38.3054016205,-80.272,-62.9253333333,23.8095,-62.2448333333,7.8231666667,15.9866666667,-78.4014166665
186.77,32.8703333335,-42.3610833333,-106.0185,24.405134259,-123.611166667,-100.0,32.4076666667,-86.1111666668,-10.6483333333,2.31466666666,-116.43525
187.15,90.476,-355.952333334,-673.8095,-67.0139456015,-792.857166668,-704.762166666,-2.3808333335,-585.714333334,-254.762166667,-190.476166666,-741.666833335
187.53,133.333333333,763.333333335,1250.0,364.166666668,1320.0,1303.33333334,280.0,1100.0,636.666666665,740.0,1221.66666666
187.91,-5.5555,1091.66658334,1755.55566666,462.229954865,1850.00016667,2088.88866667,383.3335,1677.77783333,700.000166668,1111.111,1852.77791666
188.29,658.333333333,1754.16666667,3166.66666667,1009.14351851,3316.66666666,3625.0,983.333333331,2908.33333334,1483.33333333,1858.33333333,3258.33333334
188.67,460.0,838.333333335,1373.33333334,460.578703705,1590.0,1583.33333334,613.333333333,1360.0,786.666666669,970.0,1410.0
189.05,330.5555,595.833666666,1050.0,351.504714118,1227.778,1288.88883334,366.666666666,975.000166666,544.444333333,819.444666665,1043.0555
189.43,145.833333333,244.270833334,423.958333334,167.115162037,461.458333333,543.75,150.0,421.875,257.291666667,366.666666666,401.041666667
189.81,140.0,212.333333334,353.333333334,173.87962963,344.0,390.0,138.0,356.0,228.0,307.333333334,341.333333334
190.19,139.583333333,199.739583334,317.708333334,172.424768519,295.833333333,365.104166666,157.8125,328.645833333,220.833333333,261.979166666,307.03125
190.57,176.041666667,268.489583334,362.5,232.729311343,329.6875,391.145833334,197.395833333,379.166666667,242.1875,316.666666666,356.25
190.95,172.083333333,237.708333334,310.416666666,209.910300926,277.916666666,338.75,182.916666667,343.75,209.166666667,280.0,298.125
191.33,230.645333333,308.06425,401.613,273.950729167,358.602166667,418.2795,216.129,438.709833333,242.473166666,347.311833333,372.84975
191.71,524.2425,746.969833333,1022.72733333,712.920940971,898.484666667,971.212000001,518.181833333,1100.00016667,574.242333333,857.575666665,958.333333335
192.09,997.222333331,1356.94441667,1952.77783333,1287.28781829,1697.22233334,1683.33333333,936.111166668,1983.33333333,1075.0,1508.3335,1747.22216667
192.47,3.51843720888e+15,5.16037457302e+15,7.02621248683e+15,4.53968730194e+15,5.72545691264e+15,6.1306102882e+15,3.24122700455e+15,7.38871813866e+15,3.48645141608e+15,5.36295126081e+15,6.25855345944e+15
192.85,-869.999999999,-1595.0,-2073.33333334,-1371.59722222,-1580.0,-1783.33333333,-883.333333333,-2263.33333334,-939.999999999,-1460.0,-1935.0
193.23,-383.333166667,-660.118833333,-828.571166666,-591.526122685,-636.904833333,-714.285666667,-379.761833334,-915.476166667,-400.0,-597.619333333,-747.618916667
193.61,-275.0,-431.666666667,-576.666666667,-429.195601852,-450.833333333,-489.166666667,-270.0,-598.333333333,-260.0,-426.666666667,-514.583333333
193.99,-42.6553333333,-93.07925,-137.288333333,-97.8188252314,-99.7175000002,-132.768333333,-46.3276666666,-149.999833333,-35.0283333333,-88.983,-120.480416666
194.37,-34.6563333334,-91.1375,-123.8095,-86.8000729168,-88.6243333331,-113.492166667,-33.0688333333,-135.185166667,-21.4285,-75.1321666665,-102.910166667
194.75,-18.4211666667,-79.23975,-124.269166667,-75.4752488425,-76.9005,-112.280666666,-24.2691666667,-130.4095,-9.06416666665,-47.3685,-85.6726666665
195.13,-4.3716666667,-64.8906666665,-107.104,-49.9830752316,-52.4591666667,-82.2403333335,-9.836,-98.3608333331,9.563,-25.4095,-56.8306666665
