wavelength,Back_WetStem,Belly_WetStem,Breast_WetStem,Crissum_WetStem,Crown_WetStem,DorTail_WetStem,Patch10_WetStem,Rump_WetStem,Throat_WetStem,WingTip_WetStem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,115.555666667,77.778,67.7776666667,100.000166667,80.0,72.2221666667,67.7775,47.7776666666,72.2221666666,62.2221666666
179.16,58.3335,28.7035,48.148,24.074,24.0741666667,37.0368333333,36.111,30.5556666667,25.0,24.074
179.54,76.923,82.0511666667,88.4618333334,46.154,56.41,50.0,62.8203333333,58.9743333334,58.9743333334,42.3076666667
179.93,68.4028333333,48.9583333334,66.1458333333,50.868,51.5625,42.014,43.9236666666,48.6111666666,52.4305,41.1458333333
180.31,72.0125,48.1131666667,64.4655,51.1006666666,54.0881666666,40.8805,44.0251666667,47.6415,50.9433333333,41.195
180.69,62.5848333333,39.6258333334,60.0338333333,40.6463333333,46.9388333334,31.8026666666,32.9931666666,43.5375,45.238,36.0543333333
181.07,66.0416666667,40.625,64.375,47.0833333333,54.1666666667,27.7083333333,26.875,43.9583333333,47.9166666667,36.0416666667
181.45,73.2323333333,35.101,65.1515,50.2525,52.7776666667,27.778,15.4041666667,43.6868333333,43.687,33.8383333334
181.83,82.1211666666,33.6365,71.5151666667,58.788,50.909,26.0605,8.78783333333,42.4243333334,39.9998333333,37.2728333334
182.21,83.3335,10.8526666667,52.3256666667,45.7365,41.8606666667,-2.7131666667,-23.2558333333,23.6435,26.3565,23.2558333333
182.59,94.4445,-36.1111666665,20.1388333335,27.7778333331,30.5555,-72.2223333335,-108.3335,-13.1945,-31.9445,-20.139
182.97,109.848333333,-38.6363333335,-9.091,34.0908333334,21.9696666666,-111.363666667,-140.151333333,-19.6968333334,-65.9088333334,-21.9696666667
183.35,116.6665,-66.6665,-26.3156666667,42.9821666669,10.5263333333,-138.596333333,-170.1755,-49.9998333333,-99.1228333331,-28.0701666667
183.73,141.666666667,-150.0,-86.6666666667,13.3333333335,11.6666666667,-320.0,-338.333333334,-148.333333334,-200.0,-58.3333333335
184.11,355.5555,-722.222333334,-511.111166665,-144.444333333,33.3335,-1155.55533333,-1027.77783333,-577.777666665,-850.0,-383.333166667
184.49,166.666666667,-281.25,-254.166666666,-60.4166666665,16.6666666665,-468.75,-354.166666667,-156.25,-314.583333334,-122.916666667
184.87,107.143,-147.619,-127.381,-14.285666667,71.4284999999,-273.8095,-177.380833333,-71.4284999999,-138.095166667,-28.5715
185.25,67.3611666667,-64.583333333,-68.7500000002,11.1111666667,69.4443333334,-147.222166666,-86.8056666669,-19.4445,-64.5831666667,5.55566666667
185.63,66.6668333333,-22.413833333,-36.2068333334,27.5861666667,70.6896666666,-100.574666667,-39.6551666667,17.8161666666,-51.1493333334,18.3908333333
186.01,67.4076666667,10.3701666667,10.7408333334,38.5185,77.037,-30.7406666667,8.88916666668,32.2221666667,8.51849999998,35.5556666666
186.39,77.4191666666,-5.914,-9.67733333335,38.1720000001,90.8601666667,-55.3761666665,-20.4301666667,18.2796666667,-11.2903333333,21.5055
186.77,123.958333333,-40.625,-44.7916666665,52.0833333335,150.0,-133.333333334,-89.5833333333,14.5833333333,-47.9166666667,-10.4166666667
187.15,96.5278333335,-16.6668333332,-27.7776666666,69.4445000002,90.9723333332,-54.1668333334,-74.3054999998,21.5276666667,-26.3888333334,6.25
