wavelength,Back_NeoFasf,Belly_NeoFasf,Breast_NeoFasf,Crissum_NeoFasf,Crown_NeoFasf,DorTail_NeoFasf,Patch10_NeoFasf,Rump_NeoFasf,Throat_NeoFasf,WingTip_NeoFasf
241.92,4.81855555556,5.965,4.77555555556,9.32677777779,2.88766666667,6.43033333334,5.04266666667,5.06866666667,6.62022222222,8.12855555556
242.29,4.14255555555,5.61977777778,4.31122222222,9.04788888888,2.47277777778,6.27,4.873,4.31122222222,6.25388888889,7.42611111111
242.67,3.30588888889,4.84122222222,3.47344444445,8.22322222222,1.90755555555,5.57088888889,4.47633333333,3.62511111111,5.68488888889,6.61211111111
243.05,2.90611111111,4.30811111111,3.15566666667,7.55922222222,1.556,5.01255555556,4.14633333333,3.19988888889,5.18144444444,6.44355555556
243.42,2.60922222222,4.00088888889,3.04433333334,7.24788888889,1.31911111111,5.001,4.17488888889,2.86311111111,5.08811111111,6.31288888889
243.80,1.78844444444,2.93755555556,2.02555555556,6.49288888889,0.387888888888,4.15855555555,3.56977777778,2.10455555555,4.36666666667,5.17122222222
244.17,1.50955555555,2.60433333333,1.77422222222,6.525,0.178777777777,3.71344444444,3.18377777778,2.03911111111,4.05666666667,4.91511111111
244.55,1.94688888889,3.28866666667,2.39877777778,7.21022222222,1.02888888889,4.20666666666,3.4,2.70466666667,4.596,5.639
244.92,1.91288888889,3.23255555555,2.42633333334,7.15177777779,1.21977777778,3.91255555555,2.87944444444,2.71288888889,4.48577777778,5.65222222222
245.30,1.59611111111,3.16122222222,2.13866666667,6.89622222222,0.960222222223,3.48544444445,2.43166666667,2.363,4.40822222222,5.52444444445
245.67,1.60511111111,3.38055555555,2.20055555555,6.72122222222,0.930111111112,3.64133333333,2.27433333333,2.50133333333,4.50333333333,5.56411111111
246.05,1.39166666667,2.975,2.03511111111,6.60444444446,1.06433333333,3.25555555556,2.04566666667,2.45577777778,4.12766666667,5.50355555556
246.42,1.79377777778,3.10266666666,2.303,6.81433333334,1.53711111111,3.54022222222,2.35088888889,2.92166666667,4.26822222222,6.01488888889
246.79,2.13666666667,3.18766666667,2.63833333333,6.97277777777,1.67877777778,3.71111111111,2.59455555555,3.16588888889,4.44788888889,6.34922222222
247.17,2.45555555556,3.415,2.919,7.2611111111,2.01655555556,4.155,2.81344444444,3.34188888889,4.704,6.46022222222
247.54,2.97355555555,3.971,3.549,7.83466666668,2.57433333333,4.61944444444,3.25722222222,3.67566666667,5.10277777778,6.89444444444
247.92,3.67411111111,4.71922222222,4.29811111111,8.386,3.22744444444,5.18822222222,3.81455555555,4.16533333333,5.58311111111,7.56611111111
248.29,3.79922222222,4.88533333333,4.38577777778,8.47111111112,3.37188888889,5.38533333333,4.07066666667,4.27711111111,5.67855555556,7.85888888889
248.67,3.631,4.76155555556,4.267,8.4178888889,3.20933333333,5.27744444445,3.94,4.15811111111,5.48455555556,7.55277777778
249.04,3.95988888889,5.20866666667,4.61244444445,9.0111111111,3.59988888889,5.69244444444,4.42855555556,4.50366666667,5.97355555556,7.92366666666
249.42,4.241,5.39711111111,4.86266666667,9.36888888889,3.936,5.92377777778,4.78744444444,4.712,6.24044444445,8.16888888889
