wavelength,Back_PooAltf,Belly_PooAltf,Breast_PooAltf,Crissum_PooAltf,Crown_PooAltf,DorTail_PooAltf,Patch10_PooAltf,Patch11_PooAltf,Patch12_PooAltf,Patch13_PooAltf,Rump_PooAltf,Throat_PooAltf,WingTip_PooAltf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,333.333333333,483.333333333,450.0,150.0,116.666666667,383.333333333,633.333333333,516.666666667,500.0,383.333333333,416.666666667,250.0,250.0
179.16,41.6666666667,108.333333333,-75.0,275.0,100.0,16.6666666667,-41.6666666667,-41.6666666667,58.3333333333,58.3333333333,191.666666667,-8.33333333333,166.666666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,179.487333333,228.205,325.641,-74.359,23.077,423.077,328.205333333,333.333333333,246.153666667,15.3846666667,-30.7693333333,387.179333333,12.8206666667
180.69,195.833333333,341.666666667,458.333333333,-291.666666667,-112.5,587.5,425.0,545.833333333,370.833333333,-79.1666666667,-158.333333333,529.166666667,-100.0
181.07,96.2963333333,214.815,296.296333333,-362.963,-137.037,414.815,211.111,403.704,222.222333333,-211.111,-262.963,403.703666667,-259.259333333
181.45,55.5556666667,203.703666667,185.185333333,-396.296333333,-237.037,381.481333333,122.222,340.740666667,122.222,-314.814666667,-314.815,385.185,-292.592333333
181.83,72.9166666667,191.666666667,152.083333333,-172.916666667,-77.0833333333,254.166666667,122.916666667,260.416666667,177.083333333,-145.833333333,-87.5,283.333333333,-85.4166666667
182.21,56.0,141.333333333,128.0,-82.6666666667,-17.3333333333,180.0,80.0,182.666666667,153.333333333,-62.6666666667,-25.3333333333,248.0,-45.3333333333
182.59,51.4283333333,96.1906666667,86.667,-64.7616666667,10.4763333333,131.428333333,60.0,148.571666667,140.0,-46.6666666667,-8.57133333333,198.095,-37.143
182.97,45.3126666667,81.771,66.6666666667,-20.8336666667,25.0,104.167,44.2706666667,109.375,100.521,-3.125,9.37466666667,121.875333333,-6.771
183.35,31.282,75.3846666667,57.9486666667,-34.359,15.3846666667,96.4106666667,23.077,106.666666667,78.9743333333,-8.718,5.641,103.589666667,-27.6926666667
183.73,30.0466666667,74.1783333333,58.2156666667,-32.3943333333,6.57266666667,89.6713333333,18.7793333333,104.225333333,68.075,-6.573,12.2063333333,83.099,-43.1923333333
