wavelength,Back_SicTacm,Belly_SicTacm,Breast_SicTacm,Crissum_SicTacm,Crown_SicTacm,DorTail_SicTacm,Patch10_SicTacm,Rump_SicTacm,Throat_SicTacm,WingTip_SicTacm
207.63,-31.2037333333,-41.8517999999,-90.0,-148.379666667,-82.2222,-103.58679057,13.8889333333,-98.3333333333,-75.5554666665,-59.3827
208.01,-45.5173166667,-52.1838666667,-124.3678,-177.58625,-105.977,-131.017042763,0.919466666674,-125.977,-87.8160666666,-68.8122222221
208.39,-15.5,-20.8,-60.7999999999,-82.3333333333,-45.4666666667,-60.7649122806,13.8666666667,-56.1333333334,-31.0666666667,-15.6
208.77,-27.0,-31.5555333333,-69.4815333334,-93.5185,-46.963,-72.9993916666,15.2592666667,-62.9630000001,-29.926,-20.5185555555
209.14,-53.4684666667,-58.7387333334,-94.2343999999,-126.801666667,-72.6125333333,-94.6164905702,-0.900933333394,-92.0722,-47.7478000001,-40.6006777778
209.52,-20.9420833333,-24.9274,-53.4783999999,-70.6522500001,-31.7392,-53.035410307,24.4928666667,-53.1885333333,-12.8986,-6.44935555555
209.90,-7.31301666661,-14.5577333333,-36.3265333333,-44.21775,-20.0,-42.3116151316,30.0679999999,-34.1496666667,6.53053333333,3.60542222223
210.28,8.01886666668,9.18239999993,-16.2263333334,-21.698,-0.12586666666,-18.2377164474,45.1572000001,-7.54713333333,26.1635333333,20.9642333333
210.66,13.38795,24.5902666666,-6.1202,-11.74875,7.75953333332,-3.25461710525,46.8852666666,9.72673333332,35.3005333333,31.0929555555
211.03,5.12629999998,20.5050666666,-10.6062,-11.4899166667,-3.33326666669,-7.18430109649,33.9394,2.32326666668,27.8786666666,24.2760666667
211.41,1.8751,23.8541999999,-9.89573333334,-16.927,-7.49993333334,-5.4689758772,27.4999333334,-0.104,26.3543333333,16.8751111111
211.79,-5.67899999999,21.6049333334,-20.6172666667,-29.4753333333,-10.6172666667,-13.5563252193,25.1851333333,-1.23453333333,24.4445333333,7.83952222222
212.17,-18.0189,17.4843333334,-24.7798666667,-39.6225833333,-19.6226666667,-17.5563236842,16.9811999999,-9.18233333333,14.8427333333,-0.293533333348
212.55,-20.0360833333,21.8840666667,-26.3768666667,-50.7245833333,-26.2319333333,-18.9826416667,15.7971333333,-14.2028666667,12.8986,-8.93721111113
212.92,-7.5,23.0666666667,-22.8,-41.1666666667,-18.6666666667,-14.8026315789,20.6666666667,-13.4666666667,15.4666666667,-5.93333333334
213.30,15.0521666667,34.4793999999,-1.66640000001,-13.1508333333,3.54193333333,-0.90825,31.2501333334,1.56273333334,25.1044666667,7.18771111113
213.68,13.6150666667,30.6103333333,-5.91546666667,-18.42725,-0.563400000012,-4.48569627192,22.6291333333,2.81686666666,19.4366666667,5.0078
214.06,2.39613333336,23.5418,-16.2498666667,-36.19775,-8.02066666667,-15.0184546053,11.6666666666,-11.5624,6.77106666668,-10.1735
214.44,-7.77778333333,18.0118666667,-25.9648666667,-50.29225,-19.415,-33.6491416667,1.5204666666,-18.3625333333,-2.45600000001,-26.3547888889
214.81,-7.30509999998,25.5318666667,-22.8368,-51.241,-22.4113333333,-32.3674063596,7.94319999998,-18.2979333333,1.27653333334,-40.2838666667
215.19,-22.6470666667,18.6273333333,-41.9607333333,-75.9803333334,-34.3138,-63.0804675439,9.01953333328,-39.0195333333,-5.88226666665,-72.0914333333
215.57,-2.80958333332,29.7143333333,-18.8570666667,-59.762,-6.47613333334,-50.4486076754,38.8570666666,-16.7619333333,20.381,-50.7936888889
215.95,27.4315333334,45.9017333333,21.7486,5.46441666667,23.4973333333,1.01306074562,48.6339333333,15.9562,40.9836666667,0.200411111126
216.32,37.5924833333,48.2405999999,35.2777333333,22.5695,33.1482,15.1407111842,54.1667333334,29.537,45.9259333333,13.6573555556
216.70,27.10525,39.9121333333,27.8069333333,17.8729166667,27.5438,7.81220614037,47.8948,27.1930666667,38.5087333333,6.53501111111
217.08,10.0228166667,32.9680666667,19.9999333333,8.67575,13.516,-5.04737872807,31.6895333333,17.443,29.9543333333,-7.68638888889
217.46,9.20093333335,35.0685333333,23.0136666666,11.1873333333,9.13233333335,-3.1076530702,34.1552666667,24.7488,31.2329333333,-4.30743333335
217.83,17.0208333333,36.6666666667,32.5,22.5,14.5,7.73026315788,40.0833333334,29.9166666667,40.8333333333,5.30555555555
218.21,19.7737833333,38.8478,36.4608666667,27.05775,16.5431333334,12.8159828947,46.8311333333,33.9918666667,46.7489333333,12.7160666667
218.59,33.4419333333,45.2173333333,48.2608666667,39.5833333333,29.7100666667,28.2106552632,57.7536,42.971,56.8839333333,30.6884222222
218.97,35.4761666667,42.0237333333,49.5238666667,40.6994166667,32.6785333333,27.458335307,52.9166666667,41.9046666667,54.7618666667,35.5654
219.34,36.8796666667,41.7042666667,49.1729333333,41.228,33.0827333333,30.8884140351,51.3782666667,43.2078666667,52.7318,36.0150333333
219.72,34.0477833333,39.4987333333,46.4662,41.3534166667,29.3232666666,28.4772763158,48.6216,40.4010666667,48.4712666667,34.9039444444
220.10,23.8992166667,31.1926,36.3301333333,28.5169166667,19.0214666667,16.3870453947,40.8563333333,29.2966,39.3884,26.3404222222
220.47,12.7244666667,21.3461333333,25.5127333333,15.6250833334,9.87186666668,3.65195811402,29.1666,13.3333333333,28.5256666666,14.6475
220.85,13.8512,20.9709333334,23.1067333333,8.73783333334,8.28493333333,3.31204473686,26.1488,10.2266,28.3494,14.6277666667
221.23,14.8498333333,19.9399333333,20.3004,4.05383333333,7.86786666665,6.38186600878,25.1652,11.1712666667,26.3664666666,16.2362222222
221.61,12.6363666667,16.2424,15.3333333333,-0.833333333325,6.84853333335,3.86872149123,19.4546,6.66666666666,23.5152666667,12.7473555556
221.98,6.50328333334,11.6994,8.82353333333,-11.6011666667,2.28753333334,-4.76030921054,14.5752666667,-0.065466666654,16.4705333334,4.90197777778
222.36,3.66980000001,9.35893333333,6.08966666667,-15.46475,-1.15386666665,-6.68742105264,8.14093333333,-2.82040000001,9.93573333334,3.09826666666
222.74,-11.8995666667,-0.0715999999994,-9.31893333333,-30.8244166667,-13.5483333333,-19.3652300439,-8.45873333335,-20.5017333333,-5.448,-11.5770888889
223.11,-39.7917,-25.3703333333,-43.7962666667,-66.5511666667,-41.2038,-49.1819587719,-35.4629333333,-54.1666666667,-35.5556666667,-39.6605777778
223.49,-65.5974166667,-36.7295333333,-69.8113333334,-99.5280833333,-66.6666,-74.8803635965,-60.6288666667,-82.5158000001,-58.3648666667,-63.6059333333
223.87,-64.4653833333,-24.4026,-69.8111999999,-101.572416667,-63.5221333333,-68.1595570174,-60.6290666667,-76.9809999999,-52.9561333333,-64.8218111111
224.24,-30.8216,4.41313333333,-32.2066,-58.33325,-30.7982,-33.0259241228,-25.446,-36.0563333333,-20.0938666667,-34.6321888889
224.62,-23.3114,13.1578666667,-25.5263333333,-51.4253333333,-25.965,-24.7189616228,-13.5964666667,-22.8947333333,-9.38593333332,-28.8012222222
225.00,-12.8000333333,24.3555333333,-10.1333333333,-35.3335,-18.2222,-14.9032844298,-2.57773333333,-13.4222666667,2.84433333333,-17.1704
225.38,0.342400000006,39.3608,4.01833333335,-18.6071666667,-4.74879999999,-4.31231907895,12.5114666667,-1.27846666667,14.7032666667,-1.20241111111
225.75,0.04330000002,37.6622666667,7.09960000003,-19.4806666667,-3.98260000001,-5.81808618421,9.69706666666,-1.55839999999,14.7186666667,-1.63053333332
226.13,-7.7426,27.1730666667,0.168866666646,-23.6289166667,-15.3586666667,-16.3483254386,0.168866666672,-10.7174,2.44726666667,-10.8579
226.51,-8.875,27.25,-2.33333333332,-22.7083333333,-14.9166666667,-20.3824013158,1.00000000001,-9.91666666667,2.75000000001,-13.9305555555
226.88,-6.07150000001,26.9048,0.873066666674,-17.1626666667,-13.0951333333,-13.6759445175,3.80959999999,-7.22226666667,5.87306666666,-9.80173333333
227.26,11.1845833333,32.4516,14.8761333333,5.0965,3.19553333333,5.10474035089,17.0798666667,8.31953333333,18.4021333333,8.65014444445
227.64,14.7761833333,29.4408,14.1387333333,7.71833333332,6.39826666666,8.50296118422,18.1656,10.5145333333,16.9576,11.6481111111
228.01,11.1708333333,23.5021333333,9.49346666666,5.32716666668,2.152,4.68847631578,13.0378666667,5.56953333333,10.8860666667,7.62302222223
228.39,10.4952666667,21.9046666667,9.21893333333,6.23791666667,3.77146666666,5.80125087721,12.9904666667,5.56186666667,11.6572,10.0508888889
228.76,10.3457333333,21.4894,10.603,8.86525,5.00013333333,6.10177061403,12.3758,6.17026666666,12.5532666667,13.0497111111
229.14,8.80244999999,18.9615333333,8.7102,8.29141666667,5.99660000001,5.4097482456,10.4522,5.66166666668,11.6581333333,11.1333666667
229.52,8.43086666667,17.3007333333,7.51219999999,7.11391666667,5.46339999999,4.58600460527,8.94313333332,5.75599999999,10.1789333333,8.36857777777
229.89,10.1910833333,19.1131333333,9.69433333333,10.4739166667,8.10393333333,8.04388552631,12.7523333333,8.2264,12.4464,11.2232444444
230.27,12.6709666667,22.1367333334,13.1908666667,13.9601666667,12.7636,14.4226263158,15.641,12.5925333333,16.4388,15.1710777778
230.65,13.37355,22.249,14.0832,15.7965,13.2796,15.9291067982,15.4752666666,13.0389333333,17.7776666667,15.8233666667
231.02,13.4893833333,22.5218666666,13.2334666667,15.7615833333,13.6328,14.2138087719,15.0812,14.2073333333,17.7028666667,15.3434555555
