wavelength,Back_CamParf,Belly_CamParf,Breast_CamParf,Crissum_CamParf,Crown_CamParf,DorTail_CamParf,Rump_CamParf,Throat_CamParf,WingTip_CamParf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-178.333333333,-28.3333333333,-171.666666667,-94.9999999999,-89.9999999999,-130.0,-170.3125,-64.6,-45.0000000001
179.16,228.888977778,120.0,248.8889,36.6666000001,86.6667333333,126.666666667,158.61115,-41.0667653333,128.888866667
179.54,114.027777778,99.9999999999,128.541666667,109.583333333,139.583333334,107.5,128.098958333,96.4500000001,133.333333333
179.93,121.111222222,143.333266667,183.8887,123.3332,201.111,136.666733333,147.916641667,94.2668133333,118.889
180.31,434.6914,286.2962,407.7776,243.333366667,439.6296,377.037066667,441.736116667,163.496384,326.666666667
180.69,512.810377778,361.1764,514.901966667,306.4707,510.5884,441.568666667,534.41175,229.772429333,416.0786
181.07,346.923133333,276.153866667,344.359033333,220.384633333,363.589733333,315.641133333,381.2499625,181.015298667,316.410466667
181.45,248.489933333,201.880266667,247.777766667,181.025666667,271.453,234.700866667,278.579175,149.58624,234.188
181.83,366.666577778,282.898466667,347.536233333,243.623166666,376.8116,324.057933333,407.373195833,197.39116,326.666733334
182.21,376.944422222,287.2222,335.416566667,248.194366667,371.944333334,328.333333333,416.857608333,208.666685333,340.277866667
182.59,401.313133333,320.302933333,359.697033333,286.818233333,392.424333333,343.030466667,447.6137375,225.284770667,362.121133333
182.97,205.403066667,170.588333333,191.8302,168.366033333,208.104533333,188.366133333,238.77445,142.577858667,200.522866667
183.35,200.854666667,164.743466667,177.2437,153.7179,201.282,173.717866667,231.097691667,134.025624,198.974333333
183.73,226.232933333,179.512266666,204.471433333,161.9512,222.6016,197.561066667,272.6931625,157.899184,232.3578
184.11,195.024266667,157.101333333,188.3333,149.058033333,199.855,170.4348,238.958291667,137.652109333,210.7246
184.49,186.666733333,164.897933334,194.2178,153.945666667,200.6804,170.203933333,239.7873375,140.832797333,205.034066667
184.87,146.6668,126.010866667,147.322533333,121.092933333,156.830666667,133.114733333,190.027316667,107.689568,156.065466667
185.25,138.700888889,115.282,140.154,117.999866667,149.5384,124.9232,175.128066667,100.180501333,141.641
185.63,153.475066667,134.184466667,159.503633333,120.921933333,170.922,127.234066667,206.0991875,101.770282667,161.844133333
186.01,143.7198,137.1014,163.260866667,124.057833333,177.826,131.014466667,212.019954166,107.037722667,165.2174
186.39,129.159733333,132.3578,164.308933333,115.6098,172.3576,127.804933333,212.367858333,101.690936,155.122
186.77,100.781822222,101.111066667,126.4815,85.2468999999,136.049333333,104.321,163.74225,87.3136666668,121.7284
187.15,104.563577778,97.5001333333,123.690533333,87.8572000001,131.666666667,97.619,152.567054167,90.9332346666,114.285866667
187.53,85.9047777778,84.1904666666,105.9524,81.9522666667,111.428466667,84.0000000001,131.511883334,86.5599386667,100.285666667
187.91,79.0517777778,79.6444666666,106.800033333,82.7110999999,108.888866667,80.3555333333,125.600070833,82.254296,90.9333333334
188.29,79.9688222223,87.0422666667,108.4037,87.6995000001,115.586733333,82.0656666667,133.462466667,90.9221013333,98.3099333333
188.67,76.9590222222,92.6315999999,100.2632,86.4473333334,108.9474,77.8070000001,131.737983333,89.442112,98.9474666666
189.05,78.827288889,98.7964000001,101.620333333,89.9999333334,117.407533333,78.1481333333,139.021945833,93.4962293334,104.259333333
189.43,96.6440444443,130.884266667,135.0341,112.245,148.571466667,95.2382,184.056095833,116.810930667,141.9048
189.81,96.7129555555,130.5554,126.944633333,109.236133333,144.7222,99.3056666667,181.788166667,121.350048,140.555533333
190.19,98.4444444446,132.666666667,124.533333333,104.466666667,136.933333333,101.333333333,177.875,113.994666667,130.133333333
190.57,103.371511111,122.988466667,123.3333,108.563166667,134.827666667,94.3678666667,170.035920833,112.193130667,128.7356
190.95,121.866666667,153.733333333,154.333333333,139.333333333,156.666666667,111.066666667,204.925,133.44,153.2
191.33,133.391755556,186.3158,179.912266667,154.473666667,174.736933333,116.666533333,247.269570833,139.466890667,187.543866667
191.71,176.231777778,268.116,255.217466667,200.5797,249.565133333,149.2754,358.677595833,190.666797333,243.478266667
192.09,148.611066667,243.888866667,206.805433333,164.7221,199.444333333,114.722266667,296.284766667,161.088794667,207.777933333
192.47,140.096688889,230.7248,205.3623,154.6377,179.710066666,104.3476,278.514441667,151.733410667,191.5942
192.85,378.888888889,545.0,576.666666667,345.416666667,455.0,226.666666667,661.979166667,412.566666667,456.666666667
193.23,-334.6032,-529.5238,-578.095166666,-297.619,-410.4762,-161.904666667,-650.119,-384.114296,-388.571333333
193.61,-106.666666667,-310.0,-329.166666667,-98.3333333334,-213.333333334,16.6666666668,-389.895833333,-215.566666667,-95.8333333335
193.99,-768.888888889,-1436.66666667,-1938.33333333,-870.000000001,-1183.33333333,-170.000000001,-1930.0,-1490.66666666,-596.666666667
194.37,105.037,200.444466667,261.999933333,134.222233333,185.333266667,37.7777999999,262.333308333,229.066629334,117.333266667
194.75,100.000022222,-82.4242666667,-93.9394,36.6666999999,10.909,158.1818,-109.280179167,-102.327312,93.9392666665
195.13,118.571488889,-53.3334000001,-56.4285333333,66.6666333332,36.6666000002,159.523933333,-62.7678041666,-61.3524373333,96.1903999998
195.51,133.043311111,6.08686666668,2.60863333332,78.1160333334,61.7390666668,146.086933333,12.1378750001,-6.04052266666,136.5218
195.89,117.197977778,-13.9130666666,-30.2898333333,27.8259666665,46.3767333333,135.362333333,-6.26800833326,-15.7218239999,113.913066667
196.27,116.0846,-27.9364666667,-42.2222333334,10.3175,30.4761333333,142.539733333,-26.9642791668,-24.9650346667,93.9680666667
196.65,73.684288889,-74.0350666666,-66.8421333333,-24.0351333333,11.9299333333,116.491333333,-74.7149458333,-71.8594533333,71.2279999999
197.03,91.1827333333,-12.4732,1.5054333334,6.1291,49.8924000001,111.397733333,-15.5107083333,-5.19558133332,83.2259333333
197.40,98.8888222222,2.59253333333,24.0739666666,19.6297,57.4074,112.777733333,13.4376208333,18.85172,91.1110666665
197.78,192.6984,-41.4284666668,15.9524,-24.0477666667,99.9999999999,267.142866667,-6.2203583332,-11.1998960001,163.809533333
198.16,1421.11111111,-603.333333334,138.333333335,-425.000000001,506.666666667,1576.66666667,-251.250000001,-180.933333333,1000.0
198.54,164.814777778,1.9446,81.1111666667,18.7500333333,126.111066667,188.611066667,50.1388041667,28.8110426667,158.055533333
198.92,204.592622222,-58.6666666666,72.2223666666,12.8887333333,144.889066667,268.444333333,19.3056250001,-23.7334373335,168.888933333
199.30,391.388888889,-74.1666666666,215.416666667,55.4166666666,305.0,504.166666667,83.8020833333,-63.2000000001,382.5
199.68,470.476222222,-14.2855999999,354.761866667,118.571566667,442.857133333,606.666533334,176.3096125,39.8095253332,449.523866667
200.06,227.284066667,45.5557333335,217.407233333,116.666566667,246.2962,298.888933333,125.879691667,60.2665013331,225.926066667
200.44,124.761866667,23.8094,117.333466667,63.9047000001,133.523933333,156.952333333,72.5594250001,38.0952773333,131.428533333
200.82,143.333333333,21.4583333333,124.6875,62.4999999999,138.958333333,171.875,85.2994791667,29.65,143.75
201.19,176.752066667,-5.12826666666,129.871666667,72.6922666667,155.1282,189.487266667,99.5192083333,28.6051973334,162.0512
201.57,346.868555556,-102.4242,208.7877,90.6061333334,308.484933333,361.818133333,161.628675,-51.9032346668,305.454666667
201.95,295.873022222,-74.2857333335,166.1904,126.190366667,273.3334,282.857,134.9702375,-38.4000933333,258.5714
202.33,342.407422222,-45.5554666667,210.2778,206.944466667,342.2222,342.7778,218.715166667,15.1111866669,300.0
202.71,-380.000133333,266.6666,-83.8096000001,-128.095333333,-344.761933333,-382.857133333,-210.952283333,131.085714667,-276.1904
203.09,-429.523911111,180.9526,-127.1428,-130.0,-362.857066667,-382.857066667,-305.773833333,44.8763093334,-351.428666667
203.47,-298.024666667,154.073933333,-35.9259,-76.2963333334,-263.7038,-285.925933333,-225.833379167,57.3334053336,-248.888866667
203.85,-1438.88888889,603.333333332,-18.3333333326,-443.333333333,-1200.0,-1440.0,-1214.16666667,235.733333333,-1240.0
204.22,-604.0,232.0,9.3333333334,-232.0,-485.333333333,-530.666666666,-555.999999999,134.826666667,-530.666666667
204.60,646.666666667,50.4762,267.619033333,380.4761,532.380933333,588.571199999,673.630925,60.419136,630.4762
204.98,380.148244445,137.333266667,231.555566667,275.333366667,343.555466667,344.444466667,421.583441667,153.760085333,403.111066667
205.36,376.444511111,180.4444,281.111066667,288.8888,369.333266667,366.6668,463.861058333,166.0268,413.3334
205.74,188.417444444,119.192,161.2121,153.232366667,186.262733333,184.4444,237.0959875,93.9797839999,212.929333333
206.12,145.555555555,100.833333333,139.666666667,124.166666667,148.166666667,145.333333333,202.895833333,88.2999999999,170.333333333
206.50,116.281333333,83.9456666666,122.925266667,95.6462000001,122.176866667,121.496466667,168.9030625,68.6802746668,142.8572
206.87,108.134955556,80.7142666666,118.333366667,90.7737666666,110.714333333,112.023733333,151.264758333,64.3999626667,135.952333333
207.25,99.7713333335,72.1567333333,103.088333333,78.1373333332,102.843133333,97.8431999999,130.055125,58.5762240001,119.411733333
207.63,107.254911111,76.3726,116.323666667,86.0785,111.764733333,104.313666667,136.734129167,74.4667146667,124.5098
208.01,101.022933333,67.9364666667,114.074033333,77.1958000001,104.656133333,92.5925999999,129.3253875,60.5799813333,125.925866667
208.39,98.8728,67.2463333333,116.135266667,76.4735999999,99.4203333333,88.4055333333,129.4022375,65.1478026666,119.806733333
208.77,110.721333333,75.0876666666,126.3742,85.4385333334,117.894933333,102.689933333,144.934266667,76.3695466667,134.152
209.14,118.044444444,69.4666666667,131.866666667,91.5333333333,126.0,111.2,154.475,72.2986666667,137.333333333
209.52,120.252644444,65.9090666667,135.454566667,91.2879333332,129.848533333,112.5758,154.734866667,65.0788053333,145.909
209.90,183.333355555,62.7777333333,208.749933333,126.944533333,200.277666667,159.722266667,234.027775,96.5001013333,220.555533333
210.28,719.555555556,82.6666666666,734.666666667,325.999999999,728.0,567.999999999,863.166666667,193.226666667,871.999999999
210.66,393.777777778,44.0000000001,363.0,150.666666667,357.333333333,290.0,431.5,92.1333333333,456.666666667
211.03,212.982533333,19.2983333333,188.596533333,94.7368333335,198.596466667,168.0702,222.346479167,51.1999679999,240.701733333
211.41,-653.888888889,365.0,-487.5,-146.666666666,-511.666666666,-431.666666666,-713.541666666,140.533333333,-819.999999999
211.79,-341.481577778,293.333333333,-206.666666667,11.6666333333,-217.777733333,-218.888866667,-447.847270834,194.133389333,-437.777733333
212.17,-86.6666444445,131.372533333,-15.2940666667,53.7254333332,-38.0391999999,-60.3921999999,-123.039220833,110.32164,-74.5097999999
212.55,-27.638888889,79.7916666666,24.5833333333,54.0625000001,-5.20833333334,-11.875,-43.9322916666,82.8916666667,-23.1249999999
212.92,-15.9856222221,93.9786,32.9031666667,64.8387666667,9.2474,16.9891333334,-41.3575666666,109.238834667,-12.043
213.30,-78.2010222221,70.4759999999,12.0634999999,44.2857333333,-28.8889333333,-18.4128666667,-132.0635625,94.0572533334,-93.3332666668
213.68,-45.1460222222,125.263066667,68.9473666666,93.1579,1.05246666654,23.8596666667,-108.157975,127.410386667,-62.8069999999
214.06,-16.4103111112,105.641,64.6155666667,76.7948666667,17.4358666666,34.3589999999,-78.3653166667,108.297514667,-28.4616666667
214.44,-35.4250222221,145.882333333,90.5881,89.6079000001,-1.5685999998,35.2940666665,-128.651858333,131.153002667,-58.8236
214.81,-35.6862222222,156.862733333,93.9214333333,58.8235333333,-4.3138,60.7845333333,-108.382308333,128.078448,-37.2548666667
215.19,-29.8244666667,122.807133333,77.5437333334,48.4212666667,3.1578666664,63.5086,-111.1403,108.912389333,-42.4561333334
215.57,5.8479555557,107.017533333,91.0527333333,74.2105,28.0700666668,85.2631333333,-87.5657666666,107.466498667,-37.1930666667
215.95,7.1079539573e+13,-1.10884081734e+15,-8.78543109128e+14,-4.75522119746e+14,1.79120439726e+14,-9.6810332899e+14,1.0861842141e+15,-1.02712777865e+15,7.33540848397e+14
216.32,25.9260222222,-120.5556,-78.6110666666,-4.72213333327,58.8889333333,-141.666666667,158.1943125,-108.888885334,133.333266667
216.70,-57.7778000001,-293.333266667,-230.740666667,-124.4444,-36.2962666668,-293.333533334,66.8981458333,-235.051938667,48.1480666667
217.08,160.444533334,290.6666,258.222133333,182.444466667,140.8888,299.555533333,88.0833333335,227.093272,82.2222000001
217.46,157.851866667,219.3334,202.666666667,165.666666667,142.4444,230.888866667,130.694420833,193.671061333,130.0
217.83,134.666688889,183.777866667,172.777766667,135.666733333,122.666666667,205.111133333,107.041645833,170.595624,102.888933333
218.21,137.712555556,154.7058,167.647133333,133.039266667,113.529333333,201.568533333,111.2746625,162.133317333,106.8628
218.59,131.745933333,143.1746,153.8096,131.4286,112.6984,187.301533333,102.430608333,150.044405333,108.730066667
218.97,173.580288889,173.888866667,192.777866667,167.037,141.111133333,215.185266667,123.090425,185.940712,130.555666666
219.34,168.421066667,169.298333333,183.771966667,157.456066667,135.4386,214.210533333,122.7521375,173.445696,129.122666667
219.72,162.165311111,166.153933333,172.1366,152.564033333,119.658066667,200.683666667,110.651620833,169.005242667,131.623866667
220.10,128.259288889,130.6666,126.389,123.111066667,107.555666667,158.7778,90.8610624999,136.946776,103.666666667
220.47,127.241333333,125.747,115.3447,120.0575,104.827533333,149.3104,82.9813333334,129.406968,100.23
220.85,131.892933333,124.691333333,113.7037,113.456766667,107.4074,161.604933333,82.1373500001,129.545741333,99.6296000001
221.23,174.666666667,160.0,146.133333333,169.866666667,124.266666666,242.133333333,85.9000000001,186.890666667,127.2
221.61,172.2222,156.969733333,106.515166667,160.909066667,110.0,246.060666667,73.5985291666,170.303112,115.7576
221.98,401.975288889,395.555466667,223.333266667,374.814733333,292.592666667,660.000199999,195.648104167,384.237002667,334.814733333
222.36,-251.777777778,-310.0,-130.666666667,-230.666666667,-198.0,-492.000000001,-118.833333333,-264.48,-221.333333333
222.74,-101.888888889,-130.0,-43.0,-87.0000000001,-88.6666666667,-208.333333333,-37.8333333334,-124.28,-102.333333333
223.11,-1514.44444444,-1616.66666667,-738.333333333,-1413.33333333,-1246.66666667,-2463.33333333,-988.75,-1291.86666667,-1493.33333334
223.49,990.370400002,1126.6668,578.888866667,1132.22236667,935.555533335,1675.55566667,839.027691667,919.199938666,1193.33333333
223.87,269.230711111,292.820466667,168.974333333,281.025533333,292.307733333,483.077066667,237.948816667,262.133224,347.692266667
224.24,-2028.88888889,-2033.33333333,-1603.33333333,-2286.66666667,-2653.33333333,-4759.99999999,-1700.0,-2035.46666667,-3686.66666667
224.62,136.491422222,152.631533333,137.544033333,169.1229,181.403466667,298.245733333,140.899120833,132.954525333,244.5614
225.00,86.2223111111,89.9046666666,85.1427666667,100.5716,107.238133333,167.809466666,87.4880208333,79.824776,156.380933333
225.38,89.5299999999,96.4101333332,88.9743666667,86.9229333333,100.640866667,143.589733333,89.2147375,87.3230586666,141.666666667
225.75,106.5722,115.744666667,120.496433333,107.2339,125.390066667,165.6738,114.964375,113.480824,172.6242
226.13,88.7407333332,95.2222666668,98.4999,94.6110666667,96.1111333333,132.222266667,92.7082416668,97.8177279999,139.4444
226.51,82.0036666667,87.5410666667,87.5956666667,95.2459,95.1912666666,131.5846,86.4481666667,91.5323199999,136.612133333
226.88,65.596711111,69.3828666667,72.0574666667,75.3496666667,77.0370666666,106.995933333,76.2756833333,70.495496,109.794333333
