wavelength,Back_OryCraf,Belly_OryCraf,Breast_OryCraf,Crissum_OryCraf,Crown_OryCraf,DorTail_OryCraf,Patch10_OryCraf,Rump_OryCraf,Throat_OryCraf,WingTip_OryCraf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-198.148148148,63.8888888889,-50.0,-188.888888889,-466.666666667,-155.555555556,-288.888888889,-172.222222222,-183.333333333,-150.0
179.16,117.777777778,162.222222222,146.666666667,117.777777778,117.777777778,93.3333333333,64.4444444445,111.111111111,151.111111111,51.111111111
179.54,-17.9012592593,17.1296111111,4.62955555557,-12.9628888889,5.55544444443,35.185,0.000111111123333,-12.0368888889,-5.55566666667,27.7778888889
179.93,-18.5184074074,35.8025,-19.7532222222,-67.9013333333,-48.1482222222,-54.320888889,-35.8024444444,-30.2469444444,22.2222222222,-19.7531111111
180.31,-66.8617407408,-6.0430000001,-10.3313333333,-53.8011111111,-63.9377777778,-70.3701111111,-62.1831111111,-44.5418333333,-24.5613333333,-49.7076666667
180.69,-88.6290370371,-21.2474444443,-23.9766666667,-67.4464444444,-84.9902222222,-84.6004444443,-84.6004444444,-65.4972222222,-37.232,-67.6412222222
181.07,-140.740703704,-56.9137222221,-56.5432222222,-100.493888889,-121.728444444,-147.901111111,-129.382666666,-111.728333333,-70.1233333333,-113.580222222
181.45,-214.711925926,-110.493777778,-120.987888889,-167.901222222,-191.666555556,-232.098777778,-196.604888889,-182.870444444,-129.321,-174.691222222
181.83,-302.37037037,-158.444444444,-176.888888889,-224.888888889,-263.555555555,-352.0,-277.777777778,-248.888888889,-179.555555555,-279.111111111
182.21,-770.37037037,-484.848611111,-442.424333333,-514.141444444,-654.545444445,-813.131444443,-681.818222222,-643.939611111,-514.141444444,-710.101
182.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.97,9155.55555557,6777.77777778,5788.88888889,5422.22222222,8388.88888889,9722.22222223,8144.44444444,7600.0,6000.0,8477.7777778
183.35,-606.084555556,-426.1905,-411.904888889,-362.698555556,-557.142888889,-674.603000001,-532.539555556,-489.682388889,-405.555444445,-600.793555556
183.73,-940.329407409,-674.074,-656.79,-616.049333333,-871.604999999,-1014.815,-838.271555556,-841.358,-633.333333333,-1019.75311111
