wavelength,Back_ComGarm,Belly_ComGarm,Breast_ComGarm,Crissum_ComGarm,Crown_ComGarm,DorTail_ComGarm,Patch10_ComGarm,Rump_ComGarm,Throat_ComGarm,WingTip_ComGarm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-18.182,-42.4241111111,-22.7273333333,-19.865243771,-33.3332222222,35.3535555556,1.0102222222,-14.1412962963,-32.3231111111,27.2725
179.16,241.666666666,169.444444444,311.111111111,181.01010101,286.111111111,230.555555555,166.666666667,244.907407408,291.666666667,262.5
179.54,39.2156666666,71.8953333332,50.3268333333,64.6544437711,42.4835555556,45.7517777778,45.7516666667,49.1284444444,26.1437777778,57.353
179.93,38.2715555556,59.2592222222,35.1852777778,56.0344727272,24.6914444445,34.5678888889,44.4443333332,52.8806851852,25.9261111111,5.55575
180.31,10.5105555556,42.9427777778,18.6185555556,50.3649400673,7.80777777778,38.1378888889,36.036,34.8848888889,20.871,45.27025
180.69,1.35133333333,44.4444444444,10.7357777778,47.9924424242,2.25211111111,37.2371111111,31.3813333333,31.6815,17.5677777778,46.284
181.07,-9.06422222222,45.4677777778,4.53205555554,45.5714242424,3.36266666667,27.6315555555,23.8304444445,27.6316851852,15.9357777778,38.48675
181.45,-10.1125555556,45.1934444445,10.1748333333,43.1400410774,7.49055555557,30.7117777778,17.3534444445,33.1252962963,18.9763333333,38.2025
181.83,-24.9638888889,39.2495555555,-2.1642777778,37.331773064,-2.74166666666,32.7561111111,14.4298888889,29.4132222222,15.0072222222,26.29875
182.21,-26.917,44.601,1.9562222222,45.2270121212,-0.939111111111,41.4712222222,18.4663333333,34.3244074074,21.7526666667,36.61975
182.59,-69.8413333332,38.0953333333,-18.5940555556,35.070472054,-36.5078888889,19.7277777778,-3.8548888889,26.2284814815,4.98855555557,21.42875
182.97,-116.34,54.902111111,-27.1242777778,32.9710296297,-67.6471111111,9.8038888889,-22.2223333333,36.0019629629,-11.7645555556,27.941
183.35,-116.835,61.953111111,-30.9764444443,27.0156114477,-75.7576666667,-13.8045555556,-34.0066666667,34.5118518518,-19.8654444444,15.1515
183.73,-439.394,57.575777778,-200.000111111,-12.3049084176,-330.303,-127.272777778,-179.797888889,-29.966388889,-143.434444444,-120.45475
184.11,964.814777779,-22.222222222,493.5185,176.92480606,755.555555556,288.888888889,479.629555556,191.358111111,385.185111111,404.16675
