wavelength,Back_ChlSpim,Belly_ChlSpim,Breast_ChlSpim,Crissum_ChlSpim,Crown_ChlSpim,DorTail_ChlSpim,Rump_ChlSpim,Throat_ChlSpim,WingTip_ChlSpim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-6.66666666668,-1.66666666668,7.50000000001,57.5,-9.16666666667,2.08333333333,9.25925925927,2.5,30.0
179.16,-244.4444,-217.7778,-266.6668,-131.1112,-146.666666667,-206.666666667,-202.469259259,-191.1112,-208.888866667
179.54,-4.44446666666,-12.2222666667,24.4443333333,36.6666,35.5556000001,33.8889666667,32.222274074,-24.4444666667,52.2222666666
179.93,112.0,33.3333333333,66.6666666667,53.3333333333,67.9999999999,80.0000000001,68.2962962963,12.0,101.333333333
180.31,-67.7193999999,-60.7017333333,-31.2279999999,80.7016666666,-32.2807333334,-27.0174333332,-1.55938518525,-122.456066667,83.1578
180.69,-34.4827999999,-34.9425999999,-10.1149333333,57.2413333333,-16.0920666667,-8.39083333334,2.83534074074,-83.6781999999,58.1608666667
181.07,-20.6450666665,-34.4086666667,-4.51626666668,38.7096000001,-3.6558,-13.2258,2.77171851839,-91.1826666666,61.7204000001
181.45,-17.4193999999,-33.9784666667,13.9784666667,42.5806666667,3.87106666674,-3.22586666668,12.9510444445,-80.8601999999,74.6236000001
181.83,-18.8333333333,-31.3333333334,0.666666666666,24.5,0.16666666668,-12.0833333333,5.14814814815,-65.3333333333,56.1666666667
182.21,-64.5833333332,-66.6666666665,-27.5,7.29166666666,-25.625,-52.1875000001,-19.6759259258,-108.125,36.25
182.59,-81.6666000001,-92.1428,-36.4286000001,-12.3810666667,-32.857,-88.6903666667,-32.7512666667,-135.0,19.7619333334
182.97,-49.8412666667,-50.7936666667,-29.6826666667,-7.61913333333,-7.14293333332,-63.1745333333,-26.137548148,-89.0476,13.6507333333
183.35,-32.8,-41.8666666666,-22.0,-3.46666666667,-0.26666666666,-53.6,-13.6888888889,-71.3333333333,8.80000000001
183.73,-40.1666666666,-52.6666666667,-28.9999999999,-3.16666666667,-1.66666666666,-69.2499999999,-9.88888888894,-87.0,13.0
184.11,-24.2936666667,-25.8757333333,-18.8702666667,-1.24293333332,11.0734,-46.3841333333,-1.83305925927,-55.1414,16.8360666667
184.49,-6.00819999999,-12.0165333333,-5.18520000001,7.57206666667,19.8354,-26.0493333334,7.93775555556,-27.7366,23.4568666667
184.87,-3.67806666667,-5.97686666667,-1.91573333335,13.7931333333,24.7508666667,-22.5669666667,11.7071555556,-20.7663333333,28.0458666667
185.25,-11.341,-10.4214666667,-6.81993333334,7.58613333333,18.6206666667,-24.7126333333,7.66284444444,-23.8313333333,17.7778666667
185.63,5.12820000001,5.06406666667,2.17960000001,18.5898,25.641,-9.51919999999,16.9088074074,-13.3335333333,27.6922
186.01,11.3794,15.2299333333,10.1149333333,25.1724,29.5403333333,-2.41390000001,22.1455851852,-5.28733333334,31.2068666667
186.39,19.5495333333,23.7837333333,18.1080666667,28.8738666667,34.009,7.97286666667,28.1380962963,4.77486666668,34.9098666667
186.77,21.5619333334,28.9144,21.1429333333,30.781,33.6763333333,12.8952,30.2349259259,10.5141333333,36.1904666667
187.15,24.8988,30.2393333333,23.8305333333,32.6335333333,33.9594666667,15.4144333333,34.0331333333,15.0276,37.3111333333
187.53,27.7304,32.3759333333,26.1346666667,32.5176,35.6382,18.1559333333,36.9660518518,18.2624,36.9859333333
187.91,29.6296666666,32.5252,25.9259333333,31.7170666667,35.8922666667,20.1515666666,38.6046814815,19.1244666667,35.3199333333
188.29,28.4601333333,30.7952,26.159,31.303,34.5854666667,22.1825666667,39.4434296296,17.3604,32.5889333333
188.67,26.2146,28.6252666667,23.6912,28.9264666667,32.3162666667,19.2466666667,39.0751185185,13.1074,29.3033333333
189.05,27.7468,29.4973333333,24.9162,29.5716666667,34.9349333333,21.3966666667,43.3891481482,14.0408666667,29.9069333333
189.43,30.8022,34.1889333333,27.9144,34.795,38.1104,23.9751666667,45.8903259259,18.1105333333,33.2263333333
189.81,31.0034666667,35.4481333334,28.9964666667,35.3406,38.9248666667,24.552,46.8896370371,20.2153333333,33.6917333333
190.19,34.1154666667,34.2272,28.8268,36.7598,39.4042,25.9591333333,47.9743037037,18.7336,33.6685333333
190.57,34.1027333333,33.4188666667,26.1110666667,36.752,39.3589333333,27.8204666667,49.1642814815,17.2221333333,33.0342666667
190.95,34.1834,30.2014666667,25.4585333333,35.8837333333,40.3578,30.5368,49.8434222222,16.0179333333,32.3936666667
191.33,35.381,34.9523333333,27.7142,36.8572,42.3808666666,35.3810666667,50.7617555556,16.1428666667,34.2856
191.71,31.2604666667,29.4678,20.0000666667,32.9412,37.7031333333,29.8318333333,47.3016962963,8.17920000002,31.9328
192.09,24.6602,24.8543333333,9.96779999999,26.2782666667,29.5794,20.9062666667,36.6559703704,-4.78959999999,22.6537333333
192.47,31.5555333333,29.5238666667,15.1112666667,28.0,32.7618666667,24.2223333333,38.6665851852,2.53966666665,26.2856
192.85,34.8266666667,36.4266666667,21.6,28.5866666667,33.92,31.84,38.1925925926,7.41333333334,29.8133333333
193.23,26.8871333333,28.2643333333,10.6337333333,18.6777333333,19.8898,21.6805,25.0996444444,-1.98346666666,19.0082666667
193.61,19.1752666667,20.8934666666,-1.44326666665,8.59106666667,9.55319999999,15.2234333333,17.8083185185,-14.7767333333,7.83506666667
193.99,-4.04033333334,1.4142,-31.3133333333,-20.707,-18.2828666667,-8.03033333326,-3.40065185185,-50.8080000001,-23.4342666667
194.37,-33.1852,-10.8149333334,-61.3333999999,-56.0,-42.9629333333,-29.8517666667,-17.2345481482,-81.6297333334,-62.0741333334
194.75,-89.0907999999,-45.6567333333,-122.2222,-122.222333333,-94.1415333333,-80.6060999999,-63.4792000001,-133.1314,-132.929333333
195.13,-80.6898,-31.7242666666,-113.5632,-133.5632,-92.4138666667,-75.1723333332,-61.481488889,-124.3678,-137.701266667
