wavelength,Back_ComBaef,Belly_ComBaef,Breast_ComBaef,Crissum_ComBaef,Crown_ComBaef,DorTail_ComBaef,Rump_ComBaef,Throat_ComBaef,WingTip_ComBaef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-188.888888889,-238.888888889,-372.222222222,-511.11111111,-311.111111111,-366.666666667,-133.333333333,-22.222222222,0.0
179.16,169.841222222,176.984111111,33.3331666667,139.682666667,128.571444444,39.6822777778,168.254,133.333333334,180.952333333
179.54,39.3163333333,29.4873333333,65.3845555556,72.6494444444,65.812,80.3417777778,50.4273333333,59.8288888889,42.735
179.93,-115.555555556,-27.7777777777,8.8888888889,15.5555555555,55.5555555557,41.1111111111,-15.5555555556,-53.3333333334,-37.7777777777
180.31,-44.1733333332,-51.7612777778,55.962,13.5502222221,49.5934444443,73.3062222222,-1.35499999999,-6.2327777778,-55.8266666667
180.69,-41.6667777778,-48.6110555556,56.4395555555,29.2927777778,62.1213333332,68.1817777778,-1.26244444443,8.0807777778,-52.7775555556
181.07,-45.8937777779,-55.9177777778,59.1787222222,25.3622222221,63.7678888888,65.2174444444,-8.69566666666,13.285,-51.4494444444
181.45,-16.8651111111,-16.9643333333,60.0196666667,46.4286666665,79.365,71.131,17.6586666666,35.1191111111,-25.1983333333
181.83,-22.8888888889,-29.0,57.6666666667,40.8888888888,83.5555555555,75.0,10.0,32.2222222222,-44.6666666667
182.21,-41.7344444443,-65.9893888889,48.1028888889,26.8293333332,78.8617777778,72.7641111111,-16.2601111111,19.5122222222,-90.5151111111
182.59,-104.365222222,-126.587,21.4287777778,-15.4763333333,71.0318888888,66.2698888889,-76.9839999999,-11.1111111111,-190.476444444
182.97,-177.777777778,-207.516222222,23.8564444445,-30.0654444446,94.7712222222,88.2353333333,-140.522777778,-7.18955555557,-339.215777778
183.35,-91.756222222,-103.405,3.58444444443,-18.2796666667,60.9318888888,50.1791111111,-79.5698888889,-0.000111111123331,-191.039333333
183.73,-80.6349999999,-101.428444444,5.23816666666,8.8887777778,63.1745555555,40.3173888889,-56.5078888889,7.93655555556,-161.269777778
184.11,-78.4314444446,-105.719,6.53588888887,20.9151111111,72.2223333332,40.8497222222,-54.9017777778,16.3398888889,-173.856222222
184.49,-83.3332222223,-122.067777778,3.85805555557,16.3578888888,49.6912222222,17.2838333333,-52.7777777778,8.6418888889,-150.617333333
