wavelength,Back_DigGlam,Belly_DigGlam,Breast_DigGlam,Crissum_DigGlam,Crown_DigGlam,DorTail_DigGlam,Patch10_DigGlam,Rump_DigGlam,Throat_DigGlam,WingTip_DigGlam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,16.0,-2.66666666662,32.0000000001,50.6666666667,-1.33333333335,32.0,34.6666666667,62.6666666667,15.9999999999,17.3333333334
179.16,53.3334,43.8094666667,40.9524666667,55.7143333334,45.238,62.8572666666,68.5713333334,65.7144000001,60.4763333333,50.4762666667
179.54,253.333333333,-113.333333333,126.666666667,146.666666667,-186.666666667,-13.3333333336,240.0,273.333333333,120.0,-60.0
179.93,191.666666667,171.666666667,205.0,243.333333333,120.0,148.333333333,223.333333333,221.666666667,160.0,130.0
180.31,83.1818666667,27.5756666667,83.7879333334,70.3029999999,34.0909333333,64.3938,79.5454000001,78.4847333334,52.7274000001,33.7878
180.69,80.9333333333,24.9333333334,82.5333333334,63.7333333333,35.7333333334,62.9333333335,79.4666666667,70.7999999999,48.2666666667,32.0
181.07,90.1886000002,33.4590666667,92.0755333333,68.4276000001,48.3018666667,73.8364666665,82.264,71.8238666667,55.0944,44.2767333333
181.45,104.090866667,32.8786666667,106.969666667,73.7878666667,50.7575333333,80.3029333333,84.6969333334,80.1514666667,60.1515999999,49.6969333333
181.83,87.7778,31.9998666666,91.6666,61.2221333333,48.0000666667,69.2222666666,68.5558000001,67.2221333333,53.7777999999,48.6667333334
182.21,81.6160666667,26.4647333333,84.3433333333,51.7172000001,46.3633999999,67.0706000001,60.7070000001,57.9798666667,52.8281333333,48.7878
182.59,70.7143999998,-3.69046666665,67.2618000001,31.6667333333,27.6190666667,52.0238000001,44.6429333333,41.6666000001,33.6905333333,35.1191333333
182.97,56.6138666667,-12.1693333333,51.9575333333,19.0476,19.6825333333,44.3386666667,38.7301333333,31.7460666667,18.7301333333,25.7142666667
183.35,52.7853333333,-9.86293333333,49.1324666665,19.0867333333,20.6394,39.5434000001,39.7259333334,34.6117333334,17.0774666667,29.9542666667
183.73,48.9176666667,-7.35926666669,45.2813333334,18.7013333333,23.8096666667,39.8268666666,39.4805999999,31.0822,15.5844666667,29.264
184.11,40.5691333333,-16.7478666667,34.2276666667,8.69926666667,16.9105333333,27.4796666667,28.7806,23.6585333333,11.2194666667,22.3576666666
184.49,32.4324,-27.9279333333,25.4954666667,-0.090066666666,8.01806666666,19.8198,15.2253333333,13.1531333333,3.60360000001,18.4684666667
184.87,30.4917333334,-44.9181333333,18.6886,-9.50826666668,-3.6066,11.0381999999,4.48086666667,4.69946666668,-5.90160000001,15.082
185.25,19.6363333334,-63.7575999999,6.06073333334,-23.3939333333,-17.3333999999,0.363599999926,-5.57586666668,-6.42433333333,-16.4848000001,1.21219999999
185.63,22.6456666666,-49.1005333334,12.5926,-11.9576,-5.39693333328,6.24340000006,1.37566666666,-1.4816,-9.1005333334,6.87833333335
