wavelength,Back_WetStef,Belly_WetStef,Breast_WetStef,Crissum_WetStef,Crown_WetStef,DorTail_WetStef,Patch10_WetStef,Rump_WetStef,Throat_WetStef,WingTip_WetStef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,98.8889166666,81.6666666667,91.6666666666,100.000083334,91.1111666666,73.8887499999,88.8888333333,75.0,101.66675,104.444416667
179.16,50.4629166667,28.7035833333,49.074,49.074,54.1664166667,41.66675,51.85175,35.18525,71.2960833333,63.4259166667
179.54,83.3332500001,67.94875,70.5128333333,80.1282499999,85.8975000001,69.2306666666,73.0769166667,80.76925,92.9486666668,67.3078333334
179.93,79.2533333333,56.5105,66.927,73.6978333333,72.4828333334,61.8923333333,69.0971666667,63.6284166666,74.132,76.3888333333
180.31,79.6383333334,57.6256666667,70.3616666667,73.2704166667,71.9339166666,63.6006666667,71.6194166666,64.3084166667,72.6415833333,78.1445833333
180.69,77.466,53.4864166667,68.19725,65.39125,63.3503333333,59.949,64.28575,58.2480833333,62.5849166667,69.4728333333
181.07,87.3958333333,60.3125,74.4791666667,72.2916666666,68.0208333333,64.0625,71.5625,67.7083333332,66.6666666667,71.5625
181.45,96.5909166665,60.9849166666,79.9242500001,76.2627499999,69.1918333333,69.0656666666,78.6615,71.5909166667,66.1615,75.3788333334
181.83,111.96975,65.6061666667,92.2726666667,80.4545833332,74.6967499999,75.1514166668,93.1817499998,78.3334166667,70.6061666666,85.6061666667
182.21,109.689916667,52.9069999999,87.4031666666,78.10075,55.4261666667,68.6046666667,88.1783333333,64.7285833333,61.2405,83.1395833334
182.59,135.763916667,25.00025,95.8334166666,77.7779999998,21.5278333333,49.9999999999,117.361083333,42.7085000001,45.1388333333,76.0417499999
182.97,142.045416667,21.5910833332,100.757583333,61.3637500001,11.7423333333,31.4392500001,123.863666666,26.8938333331,43.5605833333,56.0606666667
183.35,145.614083333,27.6316666666,75.0000833333,52.1930833333,11.8421666667,17.1054166666,108.772,15.3508333332,35.08775,53.0699999999
183.73,250.0,30.0000000001,83.3333333333,53.3333333333,-1.66666666667,-25.0000000002,165.0,-7.50000000007,32.5000000001,59.9999999999
184.11,649.999916666,-44.4442500001,-55.5555833335,49.9998333333,52.7776666664,-311.11125,408.333166668,-97.2223333332,-33.3333333335,69.4443333333
184.49,248.958333333,-44.7916666666,-50.0000000001,-9.37499999992,28.125,-89.5833333333,108.333333333,-80.2083333333,-28.125,18.75
184.87,168.452333333,-8.92874999992,-8.92858333333,32.14275,44.0476666667,-24.4048333334,94.6428333335,-15.4762500002,18.4524166667,39.2855833335
185.25,99.6527500002,6.25,-17.7083333333,43.74975,43.0556666667,-11.4583333333,57.2917500003,6.94441666675,10.41675,19.4444166666
185.63,99.9999999998,31.3220833333,1.72416666666,53.44825,64.6550833333,12.3562500001,72.9885,37.9309166666,34.48275,31.0344166666
186.01,94.6295,54.4443333334,27.77775,64.6295833333,74.2593333333,40.5554166667,68.8888333331,57.5925833333,50.74075,52.0371666667
186.39,111.29025,56.7206666667,11.0215,69.3548333334,80.3764166667,42.20425,71.2366666667,63.7094999999,53.2258333333,59.1397499999
186.77,197.916666667,64.5833333333,-8.33333333335,97.3958333333,136.979166667,83.3333333333,123.958333333,99.4791666668,80.2083333333,71.8750000001
187.15,134.027833333,46.52775,-10.4166666667,76.3889999999,100.000166667,67.01375,85.0694999999,74.9999166667,59.02775,34.0277500001
187.53,176.984166667,83.3333333332,19.8411666667,103.5715,126.98425,119.047583334,127.77775,126.190666667,107.539666666,75.3967499999
187.91,168.478333333,91.3043333332,12.6810833333,100.36225,107.608583333,95.6522499997,121.376916667,127.173916667,90.5795833334,80.43475
188.29,185.294,109.313833333,-32.8430833333,88.2352500002,113.725583333,70.0979999998,124.0195,133.33325,82.8431666668,76.9607500001
188.67,458.3335,186.111083333,-181.9445,88.8889166669,234.722083333,108.33325,265.277833333,269.444416667,190.27775,143.055666667
189.05,1650.0,733.333333333,-333.333333333,283.333333332,899.999999999,349.999999999,979.166666665,1012.5,716.666666667,654.166666667
189.43,-2566.66666666,-1041.66666667,1141.66666666,-158.333333333,-1625.0,8.3333333325,-1591.66666667,-1650.0,-808.333333334,-758.333333333
189.81,237.5,113.194416667,-91.6665833334,52.0833333333,198.611166667,6.25000000007,163.194333333,193.055583334,63.8888333333,100.000166667
190.19,248.14825,142.592666667,-173.148166667,21.2964166665,237.037,-84.25925,161.111166667,206.481416666,50.926,88.889
190.57,-61.7646666668,-0.490333333275,167.646833333,76.9607500001,-50.98025,131.372416667,-10.2941666667,-30.8823333334,54.4118333333,28.9215
190.95,-32.5758333333,25.7575833333,130.68175,71.5911666667,-29.54525,129.166583333,-7.95458333325,-2.27266666667,62.1211666666,36.3636666668
191.33,-16.279,7.55808333335,52.1317500001,29.2634166667,-24.80625,58.1395000001,-13.5659166667,-6.78299999998,27.3254166667,17.05425
191.71,-14.49275,15.5795833333,54.7100000001,36.4131666667,-22.2825833333,52.3549166668,-7.79000000001,3.44208333332,36.5943333333,22.6448333333
192.09,-2.45908333335,18.0328333334,47.95075,41.2566666667,-9.56291666668,46.4480833333,2.86874999999,7.92349999999,40.0273333333,26.6394166667
192.47,0.746166666683,19.4029166667,49.0050833333,43.1591666667,-3.10949999999,44.776,7.83583333335,6.34341666666,40.796,31.5920833333
192.85,5.39908333333,22.6525833333,54.108,51.8778333333,5.39899999999,50.7041666667,13.1454166667,13.4976666667,43.662,38.6150833334
193.23,-1.53258333333,11.3983333333,35.34475,39.3676666667,4.40608333333,37.5478333333,5.26824999999,12.3564166667,29.9809166666,30.8429166667
193.61,-0.0925,13.3334166666,36.0185833333,36.75925,9.62966666667,40.0925833333,5.27791666666,9.81483333332,30.3703333333,33.3335
193.99,-8.67583333333,4.33783333333,35.0455833333,31.05025,3.42466666667,37.78525,-4.68041666668,-2.85375000001,24.5435,30.5935833334
194.37,0.76766666665,8.33333333333,47.8069166667,35.7455,14.4738333333,46.3815833333,7.34641666665,1.86399999998,27.4121666667,45.06575
194.75,3.588,9.37508333333,59.3751666667,43.7499166667,20.02325,53.1249166667,12.0369166667,4.39816666667,29.2825,50.6944166666
195.13,0.0,-0.563083333358,50.7883333333,39.3018333333,21.9594166667,48.8738333333,10.81075,-3.15316666667,20.946,46.509
195.51,-2.25225,-9.12166666668,49.5495833334,29.955,16.77925,45.3828333333,6.86941666666,-9.34666666666,12.3873333333,42.7926666667
195.89,5.12816666665,-7.47858333334,50.9613333333,25.8545833333,21.5811666667,39.423,13.4614166667,-8.01275,13.67525,44.4445
196.27,2.00433333335,-14.9788333333,38.8185833333,13.9243333334,18.0380833333,22.99575,9.07166666666,-16.0338333333,2.63699999998,33.2278333333
196.65,-5.74716666668,-36.6378333333,37.6435833333,0.718416666668,11.3505,14.5115,5.31600000001,-37.069,-13.5058333333,27.8735
197.03,-30.0725,-68.1160000001,22.645,-16.3043333334,-2.53633333332,-4.34766666667,-7.78991666667,-61.9564166667,-39.1304166667,8.87691666668
