wavelength,Back_ThlFulm,Belly_ThlFulm,Breast_ThlFulm,Crissum_ThlFulm,Crown_ThlFulm,DorTail_ThlFulm,Rump_ThlFulm,Throat_ThlFulm,WingTip_ThlFulm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,54.2857333333,46.6666666667,60.9523666667,84.7618666666,43.8094666667,79.0474666667,79.3650333333,46.6666999999,40.9523
179.16,-242.222333333,-213.333266667,-323.333266667,-206.666666667,-344.4444,-186.666666667,-255.185266667,-231.111133333,-305.5556
179.54,-168.888933333,-101.1112,-128.333233333,-132.7778,-150.000066667,-68.8889333333,-147.592555556,-138.8889,-118.333233333
179.93,2.85706666666,63.8094,53.8094666667,61.9047666667,69.5238666667,57.1428666667,68.8889111111,32.3809666667,43.3336
180.31,-14.9424666667,34.7126,17.0113666667,46.8966666667,3.33326666668,42.6437333333,36.3027111111,7.18393333333,9.02283333334
180.69,-18.1818,32.3233333333,13.8888666667,42.5757333333,-3.43433333335,42.4242666667,32.2895444445,8.28286666667,8.2322
181.07,-27.0707333333,25.1515333333,1.4142,37.7271333333,-10.4040666667,34.0404666667,24.1077333333,3.28293333332,3.23226666666
181.45,-17.2602666667,36.6211333333,15.7534333333,47.1231666667,5.2056,41.0959333334,35.2359555555,14.0180666667,11.2786333333
181.83,0.9302,41.7054,25.6587666667,57.4031,14.9612,44.7285333333,44.2506111111,26.6667666667,17.0930333333
182.21,3.15786666667,35.5088666667,18.2457333333,53.7543666667,8.21060000001,42.1752666667,39.0994222222,24.3859666667,12.9473666667
182.59,-17.0696,19.1942,-1.68499999999,40.4029333333,-6.73993333334,28.2051333333,21.6240333333,8.16843333334,-7.58246666667
182.97,-26.2920666667,11.7602666667,-8.46446666667,33.6703333333,-17.3032666666,18.4269333333,8.88884444445,0.262166666666,-13.7079
183.35,-36.2393333333,5.55573333334,-16.6665666667,28.5897333333,-22.9059333333,12.0513333333,-1.68087777777,-14.9573333334,-23.1196333333
183.73,-74.7693333333,-23.2820666666,-57.1795666667,-0.66666666668,-59.7948666667,-21.0257333333,-42.4275111111,-54.4615666667,-63.1794333333
184.11,-73.0303333333,-27.4748666667,-68.8888666667,-1.71733333334,-55.4545333333,-18.2829333333,-47.5421,-52.1211,-58.3334333333
184.49,-62.2221333334,-24.2592666667,-59.7221333333,3.42603333332,-38.5184,-10.2778,-42.0987888889,-40.7407333333,-44.3055
184.87,-77.0116000001,-35.5172666666,-80.6322666666,1.49413333334,-46.2069333333,-16.7817333333,-64.1570555555,-57.2989,-54.7699666667
185.25,-85.1571333333,-44.7798000001,-91.2578999999,-3.3335,-58.239,-19.9999333333,-81.9286666666,-66.5408333333,-63.2074666667
185.63,-47.9531333334,-18.3626666667,-57.4852333333,23.3918333333,-29.2399333333,5.14606666666,-56.0820222222,-32.1052666667,-30.117
