wavelength,Back_MelXanf,Belly_MelXanf,Breast_MelXanf,Crissum_MelXanf,Crown_MelXanf,DorTail_MelXanf,Patch10_MelXanf,Rump_MelXanf,Throat_MelXanf,WingTip_MelXanf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,15.3845,3.20516666666,52.5643333333,33.3335,-5.1283333333,-19.2306666667,32.0511666667,6.4101666667,2.564,50.3205
179.16,361.111,391.666416667,338.889,216.66675,277.777833333,361.111166667,333.333166667,366.666666667,372.222333333,86.1111250001
179.54,-16.6668333333,16.6666666666,227.777666667,186.111,216.666666667,11.1111666666,111.111166667,61.111166667,255.5555,384.722083333
179.93,63.3335,67.7775833334,82.2223333334,87.2225,105.5555,77.7778333334,55.5556666667,54.4445,61.1113333334,82.499875
180.31,34.2856666667,30.5951666667,101.428666667,58.5716666667,95.4763333331,51.6666666667,59.762,25.4761666667,80.238,111.369083333
180.69,35.6411666667,34.9998333333,106.410333334,61.41,104.872,56.1536666667,64.1025,35.8975,74.6153333335,127.564125
181.07,55.2468333333,49.5368333334,134.568166667,74.69125,144.4445,87.3456666667,81.173,50.9260000001,98.4566666665,155.9415
181.45,79.5920000001,80.6123333333,172.789166667,88.09525,184.353833334,130.272166667,110.204166667,75.8501666665,125.510666667,186.734541667
181.83,92.4603333335,94.4444166666,180.555666667,90.0794166667,201.984333333,146.4285,122.222166667,75.7936666665,122.619,187.301541667
182.21,135.416666666,117.014,269.444333334,100.694666667,302.083166667,222.222,206.25,104.166833333,165.277666667,297.916708334
182.59,-167.777833333,-77.2220833334,-406.6665,-64.9999166666,-410.0,-287.777833333,-237.777666667,-95.5556666665,-132.222333333,-404.444458334
182.97,-89.0803333333,-12.931,-169.5405,-30.7468333334,-191.954166666,-116.6665,-88.5055,-24.1378333331,-58.6205,-182.614875
183.35,-112.626166667,-0.50491666665,-153.030166667,-35.35325,-173.737333333,-101.010166666,-93.4343333335,-41.9193333335,-53.0301666665,-149.621125
