wavelength,Back_CreVerm,Belly_CreVerm,Breast_CreVerm,Crissum_CreVerm,Crown_CreVerm,DorTail_CreVerm,Rump_CreVerm,Throat_CreVerm,WingTip_CreVerm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,90.6060777778,100.606166667,67.8787333333,69.0909333333,71.5151333333,68.7880333333,85.1851814814,94.5453466667,68.4848666667
179.16,-168.888888889,-56.6666666666,80.0,240.0,80.0000000001,-140.0,-141.481481482,-190.666666667,120.0
179.54,-216.666666666,-60.0,-253.333333333,433.333333333,193.333333333,26.6666666668,-62.9629629632,104.0,186.666666667
179.93,45.7407666666,52.2222666667,31.4814,21.8518666667,37.037,47.5926333333,47.6133222222,33.33332,33.3334
180.31,66.6667555555,85.1803000001,60.7205999999,26.7568,50.6306,71.0810666667,77.0620333333,56.8288666666,36.8469333333
180.69,66.0218333334,86.4197,61.6460666667,29.0534,53.2509999999,71.4814666666,78.7059222222,59.0781466666,37.3662
181.07,53.9394111112,84.1919666667,52.1213333334,16.4646666667,42.7274,64.4445000001,78.3389333333,48.3030133333,26.6667333333
181.45,51.2407777777,95.1665999999,58.7778666667,24.2222,48.0001333333,69.7220333333,90.0433222222,51.7777333333,31.889
181.83,51.0774444445,94.6970666667,57.6767333333,35.1514666666,53.9392666667,79.8989333333,91.7115555556,58.5857466667,36.8688
182.21,43.5912333332,94.881,55.2382666666,35.8333333333,47.3809333333,82.6191333333,95.145437037,55.3809866667,28.2143333333
182.59,49.5797333333,79.4144333333,56.2161333334,43.2432,45.5856666667,75.1800333335,88.7687555555,56.0000133333,38.6487333333
182.97,55.6225666667,78.5140000001,65.0603333333,56.5461333333,54.9398,76.7869666667,94.0562740741,59.6466133333,46.4256666667
183.35,55.179411111,80.2051666667,75.5896666667,61.3332666667,55.8972666666,83.6923666667,105.97727037,64.6152533333,49.2308666666
183.73,46.3887777777,83.1411333333,75.3847333334,66.6666666668,53.5896666667,81.9871999999,116.680933333,66.7692533333,48.3331999999
184.11,40.2776666667,71.4392666667,67.1212000001,62.1212000001,41.2122,77.3484333333,121.978085185,56.8788133333,44.8484000001
184.49,-22.6983999999,87.3809999999,98.0950666667,60.0001333331,-5.7142666666,73.3334333332,256.217011111,44.4762399999,19.5237999999
184.87,-81.2699666666,86.1904666666,186.666866667,72.3809333336,-82.8571333332,71.9047,441.481422222,12.9523466667,65.7142
185.25,12.2222222223,78.4443999999,169.3334,94.6667333331,15.1112666666,96.4442333334,240.518477778,61.3331600001,73.3333333333
185.63,12.7983666667,31.3581666665,90.6173333332,41.4814,12.5925333335,52.9630666667,124.032966667,26.37044,41.2345999999
186.01,35.1156999999,41.875,77.0833333335,57.3611333333,45.6943333334,49.6527333333,99.5292962963,40.0277333334,56.5277333333
186.39,57.9818111112,56.8707666666,98.6394,69.3878,75.3740000001,64.9660333333,119.977377778,57.5237866667,78.5033333334
186.77,67.9818222221,71.2244999999,107.074733333,77.823,92.7892000001,79.3198333333,126.591092593,71.8366533333,89.2517333334
187.15,52.7351444444,53.8462333334,91.2820666665,56.1538666667,78.5897333334,69.1666666666,110.021292593,62.0256533334,80.7691333334
187.53,54.7420666667,52.9165333334,84.4049333334,61.9048,82.0238000001,68.3928333333,109.173355555,61.1428266667,80.2380666666
187.91,59.9424444446,51.9540333333,86.4366666668,63.7929999999,86.0920666667,66.1494,110.044733333,62.16092,78.9656
188.29,58.4443888889,54.5554,83.4446000001,65.4444666667,97.1111333335,74.1667,111.753137037,57.9555066667,78.8888666666
188.67,76.9229888889,65.8462333335,94.2564000001,85.0255999999,119.282066667,102.512833333,123.851848148,73.8667333333,95.1794666667
189.05,74.7008666666,65.7689999999,86.1539333334,84.8718666667,116.324733333,101.367666667,118.43782963,70.4274266667,88.3759333333
189.43,81.8301222221,69.2941333335,86.5882666666,89.5686,126.039266667,110.3136,123.241777778,76.26668,97.9608666666
189.81,90.3253222221,76.5854333333,93.5773333334,100.6504,139.268333333,120.284366667,133.518637037,84.1788933334,106.9918
190.19,104.049,82.8247666668,107.344533333,115.593266667,167.9096,144.011333333,168.957940741,93.6044133333,130.056533333
190.57,92.3480888889,69.6856333333,92.4527999999,118.6164,164.025066667,138.868066667,169.601674074,86.6163600001,134.4654
190.95,82.8930000001,59.4339333332,79.9998666667,117.2326,160.125733333,124.0879,163.661692593,77.3332933334,131.8238
191.33,83.1068222221,63.5801666667,73.8270666667,116.296266667,164.1976,120.1235,159.897181481,72.5433599999,130.370266667
191.71,70.1879444445,58.9232000001,58.1537333333,98.1538666667,140.410333333,108.308,133.629662963,63.24108,112.6154
192.09,66.5128888889,51.4872333333,47.7949999999,95.8974666667,140.307866667,112.666633333,131.30477037,60.1846266668,111.384666667
192.47,68.5493666665,49.7222333333,52.3148666667,96.9442666667,133.796266667,106.851866667,125.828237037,67.3333733334,109.259333333
192.85,51.1360777777,40.1122,39.2507999999,76.6291999999,103.8952,80.3372666667,99.5630962963,55.5505733333,86.8164666667
193.23,41.2679111111,27.4358666667,29.7436,73.9317333334,102.222133333,77.8204333333,95.5366407409,50.3419466667,85.0426666667
193.61,34.0297888888,9.50256666674,16.9154000001,68.5572666666,98.8058666666,67.2139333333,90.8014222223,38.6069733334,81.4924666667
